α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.11,0.65,0.9,0.4,0.96,0.99,0.16,0.92,4.41193429400851e6
0.65,1.0,0.55,0.7,0.96,0.8,0.22,0.55,4.409224833436728e6
0.22,0.08,0.51,0.65,0.01,0.36,0.59,0.35,4.471804949940534e6
0.32,0.78,0.94,0.64,0.32,0.89,0.81,0.26,4.443806908927432e6
0.09,0.52,0.97,0.05,0.95,0.11,0.75,0.62,4.415447966228112e6
0.13,0.5,0.46,0.76,0.39,0.04,0.31,0.83,4.460137224083588e6
0.8,0.47,0.25,0.82,0.49,0.76,0.94,0.56,4.439613442594911e6
0.3,0.17,0.43,0.73,0.86,0.62,0.71,0.69,4.425907120581794e6
0.86,0.35,0.44,0.22,0.45,0.02,0.47,0.74,4.461764359506002e6
0.71,0.39,0.12,0.84,0.53,0.44,0.03,0.2,4.4424901754905395e6
0.3,0.32,0.91,0.62,0.51,0.65,0.36,0.1,4.442377427631336e6
0.65,0.41,0.66,0.85,0.86,0.97,0.99,0.1,4.424146989596785e6
0.64,0.89,0.93,0.41,0.74,0.41,0.96,0.29,4.429729482635738e6
0.15,0.7,0.18,0.06,0.44,0.81,0.4,0.2,4.447177809954619e6
0.47,0.84,0.45,0.02,0.29,0.65,0.55,0.42,4.44448879138194e6
0.58,0.45,0.01,0.27,0.33,0.2,0.16,0.89,4.457504653243197e6
0.11,0.28,0.61,0.3,0.05,0.51,0.31,0.09,4.462229356813997e6
0.02,0.63,0.4,0.96,0.49,0.16,0.7,0.27,4.448958569510025e6
0.06,0.48,0.17,0.61,0.97,0.37,0.9,0.31,4.459372816997259e6
0.11,0.03,0.23,0.58,0.99,0.6,0.16,0.19,4.410782082901609e6
0.59,0.66,0.88,0.44,0.24,0.08,0.81,0.37,4.453436177066784e6
0.87,0.3,0.64,0.84,0.48,0.44,0.36,0.48,4.450161804730493e6
0.27,0.22,0.8,0.09,0.81,0.95,0.2,0.41,4.4206020980057055e6
0.82,0.15,0.47,0.18,0.66,0.7,0.82,0.98,4.430938532800175e6
0.23,0.55,0.66,0.37,0.53,0.99,0.12,0.14,4.436562511705837e6
0.43,0.01,0.55,0.78,0.79,0.62,0.06,0.18,4.422340559474837e6
0.04,0.21,0.27,0.86,0.51,0.65,0.05,0.59,4.437286981768882e6
0.14,0.83,0.5,0.83,0.69,0.17,0.49,0.69,4.442326858885125e6
0.62,0.97,0.96,0.18,0.23,0.22,0.7,0.46,4.445518157298214e6
