α_v,α_s,decay,MSE
0.41,0.68,0.81,3.279146369189526e6
0.09,0.2,0.15,3.4112495205779076e6
0.69,0.78,0.57,3.244991840156064e6
0.65,0.29,0.45,3.3072072686176277e6
0.15,0.64,0.44,3.3342781050748434e6
0.36,0.38,0.16,3.321594123711698e6
0.85,0.22,0.79,3.3178002145461175e6
0.64,0.02,0.27,3.452415122400595e6
0.21,0.74,0.47,3.307019059700224e6
0.16,0.15,0.14,3.4032577296495205e6
0.6,0.41,0.05,3.293888473524908e6
0.56,0.88,0.43,3.240773654902152e6
0.6,0.5,0.22,3.2830204321001284e6
0.64,0.09,0.93,3.36507486897421e6
0.24,0.27,0.05,3.3575370720521994e6
0.2,0.67,0.66,3.317550203376415e6
0.74,0.83,0.01,3.237790622909778e6
0.29,0.8,0.19,3.2837770579301165e6
0.63,0.27,0.14,3.3111232502846075e6
0.13,0.77,0.91,3.3251282452139156e6
0.63,0.5,0.72,3.281427933694953e6
0.08,0.33,0.99,3.3930088166818703e6
0.56,0.8,0.43,3.249769521312993e6
0.73,0.11,0.27,3.3508122068991335e6
0.44,0.8,0.92,3.2614819875684786e6
0.93,0.32,0.37,3.305311342481775e6
0.45,0.68,0.89,3.274301131491766e6
0.7,0.29,0.01,3.3056498069847105e6
0.53,0.81,0.56,3.251083460358089e6
0.87,0.47,0.64,3.283589504021304e6
0.39,0.7,0.94,3.279449661283119e6
0.66,0.54,0.17,3.275292233695858e6
0.53,0.23,0.23,3.324375257607677e6
0.88,0.16,0.94,3.3329685514453296e6
0.05,0.32,0.23,3.4004657542217225e6
0.24,0.82,0.25,3.291297767112693e6
0.02,0.38,0.42,3.3978099138877876e6
0.46,0.3,0.95,3.3194564966021986e6
0.18,0.07,0.18,3.4393307163023404e6
0.48,0.96,0.35,3.2400842032708917e6
0.32,0.38,0.81,3.3278321050112555e6
0.63,0.12,0.56,3.3495823687207173e6
0.53,0.85,0.72,3.2465710531072803e6
0.32,0.19,0.92,3.3581072792863897e6
0.44,0.06,0.84,3.405026830921386e6
0.64,0.47,0.79,3.2845897635333883e6
0.39,0.79,0.02,3.2690262806451414e6
0.86,0.04,0.54,3.407606738191033e6
0.33,0.86,0.35,3.2702754426517333e6
0.5,0.56,0.63,3.2834167985679694e6
0.51,0.34,0.06,3.3091783560828455e6
0.53,0.1,0.13,3.366225228818143e6
0.61,0.52,0.69,3.280044942648271e6
0.29,0.99,0.07,3.264382793028837e6
0.01,0.81,0.65,3.364539114424564e6
0.63,0.88,0.6,3.2360673938317755e6
0.45,0.81,0.75,3.2591780165035524e6
0.72,0.42,0.75,3.2882511720484234e6
0.77,0.2,0.51,3.320929696020147e6
0.63,0.17,0.55,3.3318669080970096e6
0.64,0.39,0.47,3.294336390579947e6
0.93,0.58,0.37,3.272757401694154e6
0.81,0.19,0.12,3.3234661869351724e6
0.62,0.18,0.38,3.3296390348130176e6
0.17,0.65,0.2,3.3275159789989563e6
0.32,0.49,0.38,3.314759898748637e6
0.73,0.28,0.55,3.306619716427686e6
0.17,0.93,0.17,3.29611861777311e6
0.08,0.46,0.71,3.377426624378675e6
0.54,0.99,0.77,3.2314955534316534e6
0.99,0.24,0.1,3.32134167366786e6
0.82,0.83,0.04,3.2375738615156696e6
0.01,0.51,0.37,3.3953415142841474e6
0.22,0.39,0.64,3.3458710288057937e6
0.33,0.38,0.82,3.326203259757455e6
0.69,0.42,0.38,3.2888945421276316e6
0.11,0.71,0.27,3.338546223781702e6
0.99,0.31,0.7,3.310733826378351e6
0.09,0.17,0.55,3.418680086649625e6
0.53,0.17,0.11,3.3382670592310233e6
0.34,0.58,0.03,3.300939628006835e6
0.48,0.15,0.79,3.3489159066886324e6
0.76,0.37,0.54,3.294101219668775e6
0.21,0.15,0.61,3.390683826774622e6
0.48,0.6,0.65,3.2805946237136414e6
0.39,0.01,0.05,3.4954608889594777e6
0.36,0.04,0.59,3.4393853688286557e6
0.05,0.45,0.72,3.385172017238223e6
0.91,0.51,0.29,3.280397389763681e6
0.93,0.05,0.58,3.3959566228103004e6
0.67,0.73,0.52,3.251735805763829e6
0.59,0.92,0.29,3.2342956962134168e6
0.04,0.21,0.77,3.4182721776389885e6
0.3,0.73,0.09,3.290000758792922e6
0.38,0.16,0.68,3.3573438187159686e6
0.16,0.83,0.12,3.3094554808188574e6
0.6,0.53,0.94,3.2794075572246844e6
0.7,0.54,0.63,3.2740372565647955e6
0.94,0.61,0.47,3.2695707022216935e6
0.81,0.67,0.67,3.257279608794773e6
0.51,0.66,0.41,3.270528301349134e6
0.41,0.93,0.76,3.2513067922868757e6
0.04,0.71,0.55,3.3574625907967836e6
0.99,0.21,0.38,3.3268916363266762e6
0.96,0.1,0.54,3.3595198324702643e6
0.74,0.22,0.17,3.316872184742056e6
0.34,0.68,0.65,3.2891559408651893e6
0.31,0.83,0.11,3.276895074705804e6
0.86,0.22,0.88,3.318088413931038e6
0.79,0.25,0.43,3.311290593530859e6
0.96,0.35,0.52,3.3032420202398393e6
0.62,0.92,0.43,3.2323432823352367e6
0.89,0.32,0.62,3.3033033920243406e6
0.74,0.69,0.99,3.254832149609679e6
0.26,0.71,0.39,3.299806758975744e6
0.94,0.98,0.46,3.223846672864917e6
0.31,0.9,0.65,3.2694141341979406e6
0.3,0.9,0.78,3.2711568711497714e6
0.79,0.93,0.14,3.225843736655415e6
0.82,0.94,0.93,3.2248137064915546e6
0.37,1.0,0.44,3.250477615486306e6
0.81,0.65,0.94,3.259780291601311e6
0.29,0.7,0.78,3.2952850835527824e6
0.49,0.79,0.09,3.2571380997764287e6
0.15,0.17,0.79,3.400044697073476e6
0.67,0.06,1.0,3.387484849078258e6
0.65,0.85,0.47,3.2383973345583724e6
0.65,0.84,0.69,3.239542470421973e6
1.0,0.05,0.07,3.3985819632794433e6
0.9,0.83,0.17,3.2396764016170376e6
0.57,0.72,0.12,3.2584510084442263e6
0.92,0.86,0.07,3.236868238230007e6
0.38,0.26,0.59,3.3352541035333322e6
0.55,0.15,0.44,3.3428989267351255e6
0.72,0.79,0.14,3.242961962652009e6
0.67,0.23,0.09,3.3164461289128615e6
0.72,0.49,0.47,3.2797160675256015e6
0.94,1.0,0.07,3.2217158123156335e6
0.41,0.35,0.45,3.318530737129559e6
0.21,0.37,0.75,3.350585512186413e6
0.7,0.79,0.95,3.2434827128660427e6
0.1,0.15,0.48,3.4215293331134776e6
0.47,0.12,0.9,3.36159918075627e6
0.14,0.62,0.57,3.3395928210823527e6
0.45,0.95,0.05,3.2443970461808564e6
0.72,0.79,0.43,3.242961962652009e6
0.05,0.81,0.03,3.3450831311020325e6
0.85,0.39,0.05,3.292802073682055e6
0.3,0.48,0.09,3.3193500695300763e6
0.47,0.34,0.92,3.3129834446887677e6
0.09,0.11,0.23,3.440535225396026e6
0.6,0.97,0.29,3.228633732772803e6
0.08,0.11,0.77,3.443493072371074e6
0.24,0.53,0.61,3.325023267862183e6
0.1,0.59,0.61,3.3559230038713403e6
0.15,0.33,0.5,3.371184311455818e6
1.0,0.19,0.82,3.331888153186299e6
0.42,0.73,0.56,3.272002175984154e6
0.64,0.44,0.53,3.288219677034351e6
0.64,0.8,0.61,3.2446861123167328e6
0.78,0.86,0.95,3.2338399122295054e6
0.13,0.28,0.09,3.384124146076653e6
0.95,0.61,0.73,3.270198058674435e6
0.28,0.44,0.38,3.3276716234164014e6
0.15,0.37,0.86,3.366135693807095e6
0.79,0.42,0.26,3.287960970129321e6
0.56,0.45,0.1,3.291618941000358e6
0.73,0.22,0.77,3.3169900424519572e6
0.3,0.79,0.35,3.2831146492219865e6
0.37,0.72,0.28,3.2799300681270496e6
0.3,0.57,0.29,3.3087772553416314e6
0.69,0.52,0.1,3.276734691303921e6
0.54,0.26,0.83,3.318277767137432e6
0.18,0.1,0.08,3.4191481868295716e6
0.28,0.7,0.79,3.297127123847219e6
0.07,0.72,0.56,3.35030345325837e6
0.63,0.93,0.17,3.230717104398857e6
0.4,0.71,0.56,3.276927155148961e6
0.68,0.67,0.98,3.25869551628197e6
0.07,0.97,0.01,3.323764936785786e6
0.49,0.18,0.04,3.3390291561047616e6
0.54,0.04,0.34,3.4201247190835634e6
0.65,0.18,0.68,3.328266911397713e6
0.83,0.04,0.15,3.4076233762539253e6
0.95,0.13,0.83,3.345903879166635e6
0.78,0.46,0.1,3.282995323916032e6
0.89,0.98,0.97,3.2218402142391414e6
0.48,0.2,0.55,3.335086106777845e6
0.81,0.39,0.7,3.291910978493332e6
0.07,0.03,0.5,3.519160260712688e6
0.58,0.07,0.77,3.3833026821656357e6
0.99,0.35,0.71,3.3054479862961625e6
0.9,0.4,0.85,3.293469049009988e6
0.88,0.91,0.31,3.2293268118164837e6
0.21,0.75,0.46,3.305862698660098e6
0.78,0.74,0.52,3.248382376148179e6
0.15,0.63,0.68,3.3354557760754544e6
0.28,0.07,0.07,3.418398103819138e6
0.99,0.97,0.41,3.227928716508264e6
0.5,0.85,0.3,3.2493683433821546e6
0.2,0.03,0.4,3.4838359839984905e6
0.27,0.53,0.91,3.318995247501411e6
0.84,0.33,0.66,3.300236019444435e6
0.68,0.56,0.61,3.2721587576697594e6
0.62,0.54,0.15,3.277095258738144e6
0.48,0.93,0.5,3.2429849174421253e6
0.47,0.99,0.38,3.238464266978801e6
0.57,0.71,0.65,3.2596468407890303e6
0.96,0.92,0.75,3.231782995349006e6
0.27,0.76,0.36,3.2920666755540543e6
0.45,0.82,0.82,3.258051342211091e6
0.54,0.95,0.76,3.2352105235712007e6
0.52,0.06,0.75,3.397182788855024e6
0.08,0.6,0.13,3.3612114478892703e6
0.29,0.88,0.52,3.2750288042605985e6
0.61,0.36,0.12,3.2995524630277827e6
0.28,0.53,0.76,3.3171031834401395e6
0.1,0.43,0.38,3.3746043855376597e6
0.26,0.9,0.31,3.2786232089106e6
0.32,0.57,0.28,3.3053531197201796e6
0.85,0.62,0.38,3.264337661468409e6
0.69,0.24,0.97,3.3140004315050626e6
0.8,0.99,0.97,3.2195526236922396e6
0.37,0.52,0.3,3.3035015771317286e6
0.56,0.89,0.52,3.2396954462366737e6
0.94,0.08,0.51,3.3703436482100943e6
0.48,0.39,0.51,3.3056867194658113e6
0.86,0.04,0.07,3.407606738191033e6
0.42,0.39,0.72,3.3123160128398053e6
0.13,0.7,0.8,3.3332608881228957e6
0.4,0.7,0.17,3.2781005403563892e6
0.75,0.15,0.82,3.3345163987753848e6
0.04,0.49,0.63,3.38157928245139e6
0.93,0.5,0.89,3.282718989072929e6
0.63,0.47,0.04,3.285048668685917e6
0.59,0.73,0.69,3.2558825850821584e6
0.97,0.27,0.93,3.3150227577840146e6
0.93,0.64,0.02,3.265184285165507e6
0.91,0.1,0.25,3.357341711102119e6
0.95,0.87,0.11,3.2372346881302125e6
0.93,0.77,0.03,3.2486395326310126e6
0.35,0.39,0.12,3.3218665708206827e6
0.29,0.49,0.13,3.3199596859918246e6
0.56,0.05,1.0,3.405016378388105e6
0.78,0.65,0.13,3.2595658653909853e6
0.79,0.24,0.39,3.3130332417480885e6
0.08,0.85,0.48,3.3326678297478342e6
0.77,0.18,0.88,3.325717985204621e6
0.16,0.67,0.16,3.327901142720172e6
0.95,0.45,0.36,3.2901108531877147e6
0.41,0.17,0.69,3.3504858587795845e6
0.69,1.0,0.97,3.2209663606679e6
0.87,0.65,0.4,3.2611857551502064e6
0.84,0.12,0.33,3.346050759165218e6
0.43,0.09,0.25,3.382083079738766e6
0.56,0.94,0.35,3.2345186719642687e6
0.39,0.06,0.26,3.4109836597838504e6
0.16,0.63,0.46,3.332608659651278e6
0.51,0.63,0.2,3.2741176114454335e6
0.42,0.99,0.6,3.244448270224015e6
0.93,0.12,0.17,3.348841216278771e6
0.36,0.94,0.95,3.2573772704903185e6
0.19,0.17,0.06,3.3893786265558004e6
1.0,0.73,0.38,3.2585221722491924e6
0.11,0.34,0.42,3.382256146343304e6
0.29,0.1,0.89,3.396104224136377e6
0.64,0.76,0.43,3.249432481866762e6
0.94,0.01,0.64,3.464283566430988e6
0.5,0.67,0.99,3.2702693889085855e6
0.14,0.42,0.31,3.3630764919198016e6
0.74,0.28,0.46,3.3065106255181367e6
0.53,0.93,0.51,3.2380718780037244e6
0.99,0.18,0.39,3.333480768630892e6
0.92,0.91,0.78,3.230847731799612e6
0.49,0.74,0.94,3.2629528289996153e6
0.94,0.19,0.18,3.327914049163242e6
0.44,0.95,0.92,3.245587912208991e6
0.11,0.02,0.61,3.528373552109553e6
0.82,0.65,0.55,3.2599236646126667e6
0.22,0.29,0.38,3.358857348647784e6
0.6,0.78,0.03,3.2493033103572614e6
0.88,0.43,0.72,3.2888884507875075e6
0.82,0.82,0.43,3.2387875604846394e6
0.94,0.35,0.04,3.301948344856539e6
0.75,0.19,0.08,3.32332965676274e6
0.64,0.61,0.79,3.267619250772491e6
0.77,0.26,0.29,3.3095390293788314e6
0.4,0.94,0.58,3.251664506932477e6
0.18,0.18,0.36,3.389215105780407e6
0.79,0.14,0.4,3.3377821231838004e6
0.2,0.89,0.16,3.292654839387697e6
0.79,0.85,0.8,3.235001417333967e6
0.63,0.64,0.71,3.2644484235592727e6
