α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.28,0.83,0.99,0.02,0.56,0.04,0.84,0.03,1.741847017234805e7
0.71,0.23,0.22,0.14,0.06,0.95,0.69,0.66,1.7411432438277457e7
0.01,0.91,0.85,0.67,0.56,0.5,0.34,0.3,1.7442355170742884e7
0.41,0.37,0.3,0.92,0.93,0.87,0.19,0.26,1.7316583454655964e7
0.63,0.41,0.4,0.48,0.66,0.07,0.83,0.87,1.7388787055851348e7
0.09,0.1,0.73,0.08,0.36,0.36,0.83,0.18,1.7438856466072574e7
0.77,0.33,0.55,0.9,0.55,0.77,0.55,0.09,1.7372446744458426e7
0.48,0.56,0.47,0.5,0.16,0.13,0.95,0.64,1.741920227526451e7
0.38,0.43,0.37,0.12,0.35,0.57,0.61,0.56,1.7389995426908903e7
0.49,0.71,0.86,0.2,0.1,0.61,0.42,0.03,1.742187867572673e7
0.14,0.92,0.44,0.7,0.5,0.23,0.63,0.62,1.742720815130595e7
0.29,0.03,0.41,0.63,0.74,0.53,0.89,0.09,1.743865293602507e7
0.61,0.48,0.57,0.2,0.67,0.92,0.11,0.74,1.7361428847916e7
0.32,0.91,0.01,0.56,0.62,0.19,0.22,0.84,1.7404988243860554e7
0.05,0.65,0.58,0.84,0.66,0.4,0.83,0.5,1.743729537397358e7
0.5,0.46,0.41,0.47,0.34,0.02,0.77,0.6,1.7428381992667314e7
0.37,0.99,0.38,0.88,0.82,0.6,0.65,0.98,1.7372818601970427e7
0.67,0.51,0.49,0.96,0.28,0.3,0.14,0.32,1.7423036760603894e7
0.62,0.69,0.17,0.17,0.85,0.94,0.86,0.77,1.734875386443259e7
0.79,0.42,0.28,0.4,0.17,0.92,0.38,0.7,1.740919116337628e7
0.15,0.8,0.44,0.4,0.75,0.86,0.16,0.95,1.7356815477699094e7
0.45,0.73,0.19,0.23,0.34,1.0,0.51,0.48,1.7416277314386405e7
0.44,0.2,0.5,0.14,0.22,0.55,0.27,0.64,1.7400824151103362e7
0.42,0.24,0.55,0.13,0.29,0.49,0.89,0.59,1.7409354329733897e7
0.44,0.59,0.37,0.85,1.0,0.84,0.16,0.33,1.72985777163651e7
0.06,0.11,0.73,0.98,0.64,0.47,0.66,0.21,1.7441719697438113e7
0.46,0.91,0.62,0.83,0.26,0.56,0.4,0.18,1.742447946931863e7
0.13,0.58,0.24,0.72,0.65,0.4,0.59,0.62,1.740864090935134e7
0.27,0.67,0.78,0.59,0.69,0.7,0.95,0.58,1.7408057014154784e7
0.9,0.7,0.66,0.55,0.28,0.67,0.05,0.03,1.739930400590229e7
0.89,0.11,0.37,0.83,0.27,0.4,0.31,0.03,1.7421416563111376e7
0.31,0.37,0.73,0.99,0.63,0.86,0.19,0.16,1.7370767954461884e7
0.44,0.59,0.07,0.96,0.66,0.85,0.2,0.87,1.736790039489556e7
0.39,0.45,0.61,0.36,0.6,0.95,0.59,0.25,1.7394509744994506e7
0.43,0.56,0.63,0.76,0.49,0.91,0.35,0.07,1.7392074716531716e7
0.81,0.41,0.59,0.09,0.26,0.06,0.29,0.88,1.742637965465453e7
0.95,0.56,0.86,0.15,0.89,0.95,0.75,0.12,1.7324285106319144e7
0.41,0.4,0.24,0.82,0.49,0.97,0.15,0.2,1.7397171430163898e7
0.24,0.29,0.51,0.23,0.1,0.78,0.88,0.75,1.7428660091939837e7
0.48,0.2,0.78,0.16,0.96,0.64,0.83,0.24,1.730606755185654e7
0.26,1.0,0.96,0.44,0.62,0.69,0.54,0.73,1.7399438583704412e7
0.88,0.46,0.14,0.66,0.08,0.33,0.68,0.03,1.7430630172522396e7
0.31,0.15,0.34,0.56,0.47,0.02,0.02,0.33,1.7438686181856595e7
