α_v,α_s,α_v_error,α_s_error,decay,MSE
0.35,0.13,0.61,0.72,0.77,3.7860781084062524e7
0.62,0.92,0.38,0.5,0.56,3.7827030451129496e7
0.88,0.51,0.04,0.22,0.19,3.7729500620787516e7
0.46,0.04,0.82,0.99,0.88,3.786063558389989e7
0.13,0.34,0.38,0.85,0.41,3.785812838072676e7
0.55,0.97,0.22,0.02,0.09,3.7820228347065724e7
0.23,0.85,0.26,1.0,0.42,3.787319242475281e7
0.23,0.39,0.08,0.24,0.98,3.776286447734797e7
0.06,0.72,0.94,0.98,0.23,3.807461119637506e7
0.05,0.44,0.63,0.92,0.13,3.798737328346642e7
0.03,0.48,0.28,0.22,0.74,3.786202705075634e7
0.02,0.12,0.02,0.27,0.87,3.786809437477186e7
0.32,0.67,0.89,0.81,0.3,3.787557958095308e7
0.01,0.75,0.6,0.52,0.7,3.813726239909852e7
0.49,0.99,0.82,0.76,0.75,3.7920802783319615e7
0.06,0.64,0.5,0.05,0.97,3.789891783067674e7
0.1,0.16,0.68,0.59,0.87,3.79492259411151e7
0.28,0.62,0.94,0.14,0.59,3.7856045776642315e7
0.66,0.91,0.61,0.09,0.54,3.783652862296328e7
0.5,0.57,0.02,0.86,0.45,3.773868381731624e7
0.4,0.33,0.74,0.53,0.61,3.782603190574524e7
0.27,0.57,0.93,0.05,0.83,3.784831168926011e7
0.65,0.31,0.65,0.7,0.46,3.7815238575375244e7
0.02,0.98,0.84,0.09,0.16,3.819294417100899e7
0.1,0.55,0.7,0.23,0.81,3.789948826540265e7
0.6,0.82,0.42,0.9,0.37,3.7816386435521595e7
0.96,0.94,0.15,0.64,0.75,3.783327856179942e7
0.56,0.15,0.58,0.19,0.01,3.782364606605755e7
0.92,0.61,0.62,0.15,0.95,3.7801905347694755e7
0.86,0.3,0.7,0.95,0.14,3.785469631722372e7
0.29,0.94,0.43,0.23,0.09,3.787557373560595e7
0.99,0.74,0.65,0.24,0.84,3.7832963854407914e7
0.19,0.29,0.83,0.03,0.14,3.786998655022645e7
0.24,0.27,0.56,0.03,0.16,3.7813929207728066e7
0.71,0.84,0.48,0.79,0.4,3.782387412390924e7
0.26,0.33,0.24,0.98,0.42,3.78118415627801e7
0.21,0.43,0.67,0.34,0.8,3.783501004022933e7
0.42,0.21,0.92,0.14,0.34,3.786421640991734e7
0.85,0.17,0.94,0.29,0.18,3.789745772737018e7
0.08,0.44,0.2,0.28,0.5,3.782714654066319e7
0.87,0.56,0.73,0.66,0.7,3.78296302217981e7
0.08,0.55,0.95,0.75,0.52,3.801816362069303e7
0.21,0.23,0.03,0.52,0.78,3.780310855515349e7
0.5,0.56,0.46,0.11,0.24,3.774866239046489e7
0.97,0.55,0.7,0.99,0.12,3.785337700775778e7
0.07,0.94,0.52,0.78,0.08,3.799849107553887e7
0.38,0.99,0.47,0.13,0.37,3.787927049650752e7
0.41,0.49,0.34,0.08,0.89,3.773746522363884e7
0.28,0.92,0.95,0.58,0.07,3.793757774804289e7
0.58,0.66,0.27,0.32,0.88,3.774263176156511e7
0.14,0.79,0.82,0.51,0.74,3.7937011406196885e7
0.52,0.95,0.74,0.19,0.43,3.787646981769247e7
0.68,0.08,0.06,0.39,0.93,3.778011643464871e7
0.15,0.2,0.25,0.79,0.81,3.785411419736516e7
0.12,0.63,0.36,0.16,0.94,3.783427410608492e7
0.84,0.43,0.67,0.46,0.57,3.7811995039140396e7
0.87,0.83,0.79,0.67,0.99,3.786548010240229e7
0.11,0.61,0.54,0.76,0.41,3.789185833653747e7
0.83,0.74,0.87,0.21,0.93,3.784167177068771e7
0.68,0.12,0.56,0.99,0.39,3.78505352759339e7
0.85,0.8,0.6,0.49,0.9,3.782707087956011e7
0.81,0.91,0.4,0.17,0.03,3.7818766774265714e7
0.84,0.1,0.24,0.24,0.52,3.781850387091434e7
0.13,0.3,0.4,0.03,0.29,3.782118651851481e7
0.09,0.61,0.29,0.18,0.87,3.784026887555474e7
0.79,0.08,0.81,0.19,0.93,3.789652901877029e7
0.67,0.47,0.11,0.16,0.14,3.770528174486565e7
0.2,0.74,0.62,0.21,0.35,3.785653464914403e7
0.12,0.16,0.3,0.78,0.35,3.787761163737311e7
0.44,0.37,0.01,0.96,0.75,3.775120847710846e7
0.7,0.67,0.05,0.02,0.89,3.771032511055827e7
0.4,0.15,0.63,0.21,0.23,3.784009046199977e7
0.99,0.9,0.47,0.08,0.73,3.783950009842152e7
0.46,0.71,0.76,0.13,0.34,3.781499772845485e7
0.85,0.44,0.83,0.71,0.04,3.7847883397701874e7
0.4,0.33,0.64,0.21,0.41,3.779425916673809e7
0.06,0.18,0.56,0.61,0.05,3.795948046658147e7
0.9,0.06,0.91,0.73,0.61,3.79241550816295e7
0.41,0.36,0.39,0.27,0.38,3.775761110674202e7
0.13,0.81,0.91,0.26,0.5,3.7955282311486766e7
0.83,0.1,0.78,0.76,0.89,3.789495640543696e7
0.91,0.4,0.21,0.14,0.81,3.7753249662598476e7
0.28,0.29,1.0,0.58,0.03,3.789645644844961e7
0.72,0.09,0.67,0.42,0.24,3.7862897801906005e7
0.45,0.03,0.91,0.21,0.26,3.7946374265069075e7
0.4,0.49,0.1,0.94,0.5,3.776072596690074e7
0.11,0.93,0.26,0.04,0.98,3.791371392846004e7
0.12,0.21,0.68,0.42,0.15,3.791282215973913e7
0.2,0.13,0.16,0.34,0.27,3.7832576850175515e7
0.9,0.7,0.11,0.01,0.32,3.7744329051586546e7
0.36,0.44,0.24,0.6,0.92,3.776272480142051e7
0.69,0.89,0.56,0.67,0.64,3.784272718817864e7
0.87,0.78,0.94,0.52,0.51,3.7872220218143776e7
0.71,0.28,0.25,0.53,0.92,3.776080891309719e7
0.58,0.84,0.48,0.82,0.81,3.782644150164652e7
0.19,0.1,0.05,0.34,0.44,3.7836911573718965e7
0.07,0.85,0.49,0.32,0.91,3.794793660044812e7
0.82,0.33,0.64,0.12,0.83,3.780060777772358e7
0.08,0.48,0.74,0.78,0.71,3.795961523467232e7
0.34,0.43,0.75,0.42,0.44,3.7821831685045056e7
1.0,0.64,0.37,0.55,0.06,3.780413381419009e7
0.59,0.03,0.51,0.88,0.27,3.779503912656999e7
0.81,0.76,0.19,0.6,0.59,3.777307187227896e7
0.77,0.82,0.61,0.99,0.04,3.784464510632947e7
0.9,0.45,0.39,0.9,0.39,3.780242076750842e7
0.9,0.44,0.14,0.21,0.72,3.7744277332206845e7
0.25,0.81,0.26,0.88,0.11,3.785104222741393e7
0.63,0.45,0.27,0.85,0.72,3.775724835502688e7
0.97,0.68,0.29,0.05,0.15,3.777356164070101e7
0.01,0.3,0.12,0.71,0.99,3.786994451212607e7
0.04,0.14,0.85,0.7,0.22,3.814296763897769e7
0.32,0.27,0.38,0.66,0.19,3.780325909050419e7
0.95,0.78,0.25,0.22,0.1,3.7787262224027805e7
0.97,0.25,0.79,0.88,0.36,3.789060254592861e7
0.3,0.15,0.07,0.99,0.73,3.781823161258509e7
0.36,0.91,0.64,0.06,0.91,3.7865835259021826e7
0.02,0.08,0.38,0.18,0.78,3.7986895925833076e7
0.46,0.31,0.57,0.72,0.79,3.780675571880251e7
0.44,0.99,0.32,0.46,0.79,3.786463026773099e7
0.42,0.29,0.08,0.36,1.0,3.773675076168435e7
0.26,0.99,0.54,0.97,0.66,3.793689999229403e7
0.91,0.57,0.62,0.33,0.53,3.780625043342279e7
0.83,0.41,0.2,0.05,0.81,3.773201690418393e7
0.93,0.73,0.51,0.08,0.99,3.779898866925477e7
0.53,0.26,0.08,0.63,0.82,3.7744951107227504e7
0.92,0.09,0.29,0.82,0.13,3.784552915991566e7
0.67,0.87,0.75,0.86,0.04,3.786770522856913e7
0.73,0.99,0.2,0.37,0.01,3.783117743970613e7
0.97,0.2,0.67,0.68,0.2,3.787790918556781e7
1.0,0.87,0.3,0.68,0.47,3.783453754058271e7
