α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.27,0.17,0.62,0.3,0.55,0.53,0.52,0.18,9.510719003605872e6
0.24,0.6,0.11,0.82,0.81,0.97,0.96,0.39,9.450557271283707e6
0.97,0.75,0.82,0.22,0.16,0.77,0.2,0.32,9.464744916396018e6
0.11,0.19,0.71,0.07,0.14,0.41,0.3,0.01,9.523123652567003e6
0.76,0.03,0.21,0.98,0.99,0.58,0.06,0.83,9.606282530586617e6
0.68,0.85,0.12,0.23,0.19,0.78,0.78,0.66,9.370740481311359e6
0.86,1.0,0.09,0.59,0.24,0.05,0.8,0.86,9.446147827662677e6
0.7,0.88,0.52,0.24,0.83,0.13,0.71,0.63,9.591169494601373e6
0.3,0.82,0.25,0.28,0.14,0.55,0.24,0.16,9.37666629140973e6
0.85,0.13,0.85,0.88,0.92,0.82,0.83,0.52,9.666332238561194e6
0.51,0.57,0.89,0.07,0.33,0.36,0.3,0.69,9.472373897743743e6
0.13,0.67,0.68,0.04,0.92,0.25,0.57,0.7,9.609821841262134e6
0.72,0.8,0.38,1.0,0.31,0.65,0.09,0.21,9.450874645312969e6
0.06,0.65,0.31,0.4,0.96,0.13,0.88,0.69,9.522609819124477e6
0.51,0.72,0.68,0.21,0.79,0.63,0.69,0.26,9.519993522570457e6
0.13,0.05,0.23,0.28,0.56,0.75,0.95,0.35,9.417548578215314e6
0.04,0.47,0.13,0.54,0.81,0.91,0.62,0.79,9.482033457883667e6
0.58,0.02,0.02,0.9,0.65,0.08,0.46,0.06,9.666375510350812e6
0.67,0.69,0.99,0.82,0.38,0.54,0.75,0.52,9.529440351426804e6
0.77,0.22,0.85,0.99,0.08,0.3,0.85,0.28,9.509377900714017e6
0.05,0.51,0.33,0.55,0.48,0.38,0.54,0.28,9.450427745394245e6
0.87,0.44,0.8,0.97,0.78,0.82,0.46,0.94,9.575002116043845e6
0.49,0.2,0.12,0.19,0.89,0.24,0.41,0.55,9.566841368266096e6
0.1,0.33,0.33,0.5,0.17,0.56,0.56,0.49,9.396477793045528e6
0.56,0.88,0.71,0.92,0.32,0.46,0.38,0.15,9.484244519037642e6
0.75,0.35,0.04,0.82,0.49,0.69,0.69,0.16,9.468464212805327e6
0.96,0.61,0.82,0.04,0.08,0.28,0.04,0.23,9.663357719010165e6
0.46,0.91,0.19,0.18,0.15,0.9,0.06,0.94,9.384311823929816e6
0.25,0.92,0.09,0.65,0.58,0.67,0.76,0.14,9.44843767885871e6
0.24,0.06,0.21,0.08,0.91,0.32,0.48,0.99,9.636909569271812e6
0.68,0.9,0.78,0.61,0.15,0.47,0.83,0.57,9.478358822239984e6
0.52,0.68,0.2,0.27,0.14,0.86,0.28,0.48,9.369056770475592e6
0.03,0.72,0.16,0.27,0.93,0.81,0.8,0.26,9.482640242586428e6
0.49,0.86,0.67,0.99,0.24,0.82,0.58,0.4,9.495685792628068e6
1.0,0.2,0.47,0.81,0.33,0.02,0.86,0.82,9.52546392718005e6
0.56,0.89,0.47,0.48,0.6,0.56,0.71,0.1,9.487573989780357e6
0.05,0.3,0.76,0.23,0.62,0.32,0.29,0.68,9.586023406128021e6
0.08,1.0,0.88,0.22,0.54,0.89,0.99,0.17,9.670885018302519e6
0.82,0.99,0.6,0.98,0.57,0.92,0.32,0.29,9.531576708332937e6
0.67,0.91,0.1,0.73,0.72,0.18,0.34,0.87,9.543103361826774e6
0.37,0.97,0.24,0.15,0.17,0.71,0.29,0.1,9.347653275628988e6
0.65,0.09,0.06,0.39,0.32,0.27,0.3,0.21,9.3444356053793e6
0.91,0.28,0.53,0.4,0.22,0.45,0.76,0.35,9.45537411302028e6
0.21,0.07,0.34,0.27,0.32,0.96,0.08,0.17,9.43662378951156e6
0.72,0.35,0.12,0.37,0.01,0.12,0.2,0.46,9.383515923431328e6
0.51,0.92,0.47,0.22,0.07,0.54,0.35,0.81,9.48452499465821e6
0.71,0.7,0.08,0.81,0.92,0.24,0.94,0.69,9.541334135483729e6
0.28,0.16,0.49,0.5,0.21,0.82,0.9,0.24,9.463621890906658e6
0.27,0.17,1.0,0.61,0.27,0.8,0.65,0.59,9.619204810546419e6
0.25,0.21,0.76,0.96,0.17,0.3,0.96,0.63,9.538355167469095e6
0.9,0.13,0.24,0.6,0.62,0.49,0.46,0.13,9.537885288581872e6
0.93,0.06,0.7,0.31,0.49,0.71,0.15,0.09,9.49219501579391e6
0.47,0.59,0.35,0.99,0.02,0.15,0.09,0.89,9.56460266093721e6
0.95,0.91,0.12,0.46,0.76,0.91,1.0,0.06,9.564559753120815e6
0.15,0.85,0.12,0.3,0.26,0.89,0.77,0.4,9.357308405452285e6
0.72,0.75,0.83,0.74,0.96,0.12,0.59,0.13,9.6688381446894e6
0.71,0.8,0.3,0.46,0.91,0.2,0.66,0.49,9.57761733900161e6
0.45,0.34,0.2,0.17,0.37,0.47,0.53,0.26,9.376530908079633e6
0.9,0.91,0.21,0.57,0.58,0.27,0.21,0.14,9.515694761743749e6
0.55,0.77,0.01,0.08,0.43,0.05,0.67,0.3,9.456199376557283e6
0.97,0.83,0.82,0.04,0.14,0.43,0.65,0.78,9.540691235439848e6
0.46,0.82,0.2,0.82,0.43,0.08,0.05,0.93,9.557838513042897e6
0.39,0.94,0.24,0.34,0.37,0.2,0.45,0.59,9.461565278217817e6
0.86,0.65,0.23,0.25,0.73,0.27,0.69,0.46,9.508082157733168e6
0.85,0.05,0.74,0.26,0.84,0.83,0.83,0.68,9.70914941049974e6
0.12,0.8,0.35,0.18,0.2,0.55,0.24,0.82,9.443145502987104e6
0.38,0.32,0.56,0.49,0.3,0.16,0.23,0.17,9.46485588783246e6
0.04,0.74,0.32,0.18,0.87,0.28,0.95,0.41,9.530420373053858e6
0.48,0.07,0.26,0.9,0.79,0.33,0.01,0.91,9.55527791626461e6
0.59,0.58,0.68,0.61,0.23,0.91,0.44,0.18,9.468504073586665e6
0.29,0.66,0.73,0.7,1.0,0.46,0.15,0.78,9.624996599130139e6
0.34,0.57,0.47,0.62,0.54,0.36,0.28,0.28,9.477075210178345e6
0.97,0.63,0.89,0.46,0.1,0.65,0.73,0.1,9.506212542019863e6
0.24,0.29,0.49,0.44,0.55,0.51,0.25,0.07,9.488339732384287e6
0.95,0.87,0.67,0.63,0.38,0.55,0.97,0.17,9.48635318976287e6
0.63,0.15,0.95,0.42,0.7,0.27,0.78,0.11,9.593865370524991e6
0.82,0.07,0.35,0.86,0.07,0.23,0.54,0.25,9.52317903485139e6
0.28,0.22,0.28,0.33,0.67,0.03,0.09,0.58,9.630423494711574e6
0.11,0.32,0.6,0.75,0.76,0.85,0.2,0.58,9.557028449451335e6
0.18,0.45,0.67,0.48,0.65,0.3,0.92,0.58,9.505906252197396e6
0.84,0.93,0.66,0.65,0.01,0.94,0.9,0.34,9.474955885171749e6
0.95,0.46,0.12,0.08,0.14,0.7,0.91,0.73,9.4350117518931e6
1.0,0.3,0.72,0.92,0.6,0.19,0.42,0.01,9.560948117911085e6
0.79,0.82,0.68,0.55,0.17,0.65,0.82,0.03,9.459540128764281e6
0.26,0.69,0.63,0.18,0.22,0.25,0.27,0.35,9.47954036445627e6
0.67,0.84,0.64,0.3,0.98,0.36,0.14,0.13,9.630162961668532e6
0.07,0.57,0.69,0.51,0.91,0.25,0.74,0.15,9.68480418083083e6
0.51,0.14,0.52,0.03,0.76,0.61,0.35,0.66,9.551626257184088e6
0.5,0.01,0.39,0.56,0.62,0.68,0.72,0.49,9.720204537465028e6
0.7,0.49,0.52,0.85,0.15,0.16,0.78,1.0,9.44186021201427e6
0.47,0.61,0.69,0.19,0.93,0.51,0.05,0.91,9.579661304039832e6
0.65,0.12,0.15,0.53,0.53,0.87,0.14,0.88,9.465718185532887e6
0.01,0.21,0.6,0.62,0.45,0.13,0.35,0.28,9.705418601801075e6
0.87,0.91,0.92,0.44,0.31,0.67,0.17,0.47,9.502718188719762e6
0.38,0.78,0.06,0.03,0.59,0.09,0.69,0.14,9.459040150478505e6
0.61,0.24,0.04,0.33,0.4,0.12,0.96,0.57,9.416921338147681e6
0.01,0.87,0.93,0.55,0.31,0.5,0.62,0.39,9.76155987544427e6
0.99,0.27,0.88,0.65,0.82,0.96,0.64,0.64,9.591118555168305e6
0.37,0.65,0.83,0.83,0.13,0.46,0.79,0.06,9.480981647428978e6
0.01,0.75,0.87,0.14,0.96,0.41,0.13,0.8,9.63128729478022e6
0.19,0.64,0.32,0.83,0.95,0.66,0.95,0.06,9.439089934966892e6
0.14,0.38,0.82,0.49,0.73,0.32,0.7,0.65,9.546004001021238e6
0.25,0.71,0.69,0.09,0.43,0.68,0.47,0.74,9.469235726435851e6
0.04,0.02,0.2,0.56,0.26,0.05,0.29,0.31,9.687251449057277e6
0.98,0.26,0.75,0.07,0.45,0.23,0.57,0.19,9.485581352482589e6
0.12,0.91,0.74,0.29,0.7,0.99,0.94,0.13,9.582497897676699e6
0.88,0.35,0.6,0.46,0.07,0.69,0.44,0.8,9.510786441909175e6
0.03,0.71,0.71,0.02,0.35,0.48,0.26,0.25,9.602125906389546e6
0.02,0.59,0.85,0.14,0.8,0.06,0.51,0.8,9.622148006599512e6
