α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.52,0.52,0.26,0.74,0.19,0.42,0.34,0.48,3.0150569499832697e7
0.64,0.07,0.81,0.41,0.72,0.6,0.42,0.22,3.015049935928645e7
0.83,0.1,0.6,0.03,0.89,0.5,0.67,0.67,3.0113422648258466e7
0.01,0.72,0.89,0.56,0.05,0.52,0.19,0.8,3.0128324546355736e7
0.99,0.53,0.29,0.66,0.53,0.43,0.01,0.35,3.01510488118021e7
0.63,0.68,0.63,0.15,0.22,0.79,0.91,0.06,3.012391945286322e7
0.29,0.86,0.18,0.53,0.66,0.57,0.6,0.38,3.0132155873998016e7
0.31,0.67,0.54,0.9,0.45,0.13,0.83,0.56,3.0149672957167298e7
0.74,0.49,0.98,0.95,0.28,0.48,0.42,0.52,3.013931031297158e7
0.23,0.51,0.32,0.78,0.68,0.87,0.7,0.06,3.006780990457961e7
0.66,0.96,0.45,0.98,0.61,0.58,0.88,0.09,3.0129890623090744e7
0.04,0.99,0.26,0.53,0.41,0.51,0.09,0.77,3.0139990620428126e7
0.38,0.74,0.26,0.67,0.16,0.31,0.17,0.33,3.0129699791988615e7
0.86,0.77,0.99,0.44,0.29,0.14,0.95,0.92,3.014497797093899e7
0.18,0.94,0.05,0.02,0.02,0.55,0.71,0.71,3.014468689876675e7
0.09,0.93,1.0,0.25,0.66,0.81,0.83,0.21,3.010500403370695e7
0.12,0.36,0.01,0.14,0.63,0.17,0.17,0.53,3.009343264988949e7
0.34,0.54,0.47,0.86,0.39,0.99,0.76,0.84,3.0052022912048746e7
0.29,0.46,0.32,0.63,0.3,0.86,0.57,0.54,3.0104907439815592e7
0.82,0.61,0.21,0.28,0.33,0.05,0.11,0.36,3.0107763417017102e7
0.07,0.59,0.25,0.4,0.99,0.18,0.11,0.03,3.0112474474886935e7
0.3,0.92,1.0,0.11,0.92,0.99,0.35,0.54,3.008635482207829e7
0.69,0.85,0.99,0.21,0.84,0.43,0.06,0.71,3.0150731249300726e7
0.15,0.46,0.77,0.71,0.58,0.41,0.49,0.61,3.014540102968325e7
0.7,0.8,0.82,0.76,0.32,0.51,0.01,0.18,3.0144942996889524e7
0.66,0.05,0.15,0.01,0.51,0.21,0.79,0.81,3.0090277306431394e7
0.38,0.31,0.76,0.89,0.75,0.96,0.13,0.43,3.006160958790897e7
