α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.56,0.31,0.71,0.47,0.72,0.82,0.69,0.3,1.1220956058621943e7
0.04,0.3,0.01,0.32,0.05,0.44,1.0,0.44,1.1223987172934616e7
0.83,0.86,0.12,0.23,0.77,0.29,0.02,0.85,1.121236774636228e7
0.64,0.69,0.61,0.63,0.75,0.59,0.15,0.79,1.1177420195117978e7
0.3,0.7,0.96,0.32,0.49,0.7,0.56,0.51,1.1166981096625678e7
0.95,0.08,0.98,0.94,0.07,0.9,1.0,0.31,1.1248144754681367e7
0.12,0.19,0.79,0.88,0.84,0.12,0.02,0.86,1.1234928811528053e7
0.38,0.2,0.79,0.65,0.68,0.32,0.75,0.87,1.1236390467327539e7
0.98,0.64,0.11,0.02,0.83,0.94,0.65,0.13,1.1122627121547326e7
0.83,0.73,0.15,0.04,0.02,0.36,0.28,0.9,1.1123935791739978e7
0.11,0.86,0.39,0.78,0.61,0.88,0.36,0.16,1.1148584692608606e7
0.44,0.78,0.79,0.17,0.03,0.86,0.07,0.83,1.1190183371002465e7
0.76,0.74,0.51,0.75,0.88,0.23,0.87,0.42,1.1215336670657763e7
0.08,0.63,0.36,0.04,0.22,0.42,0.85,0.13,1.1197018523483252e7
0.56,0.03,0.1,0.41,0.45,0.24,0.39,0.76,1.123865563399681e7
0.92,0.17,0.4,0.87,0.09,0.18,0.21,0.08,1.1256499728431357e7
0.73,0.12,0.87,0.93,0.12,0.52,0.71,0.77,1.1267869190969251e7
0.64,0.89,0.47,0.77,0.5,0.55,0.37,0.57,1.1171637728485474e7
1.0,0.06,0.86,0.31,0.91,0.5,0.24,0.95,1.1253432500032026e7
0.85,0.83,0.34,0.9,0.25,0.41,0.46,0.37,1.1215974478927087e7
0.12,0.62,0.47,0.31,0.8,0.54,0.22,0.41,1.1172016166887017e7
0.98,0.05,0.55,0.35,0.59,0.89,0.07,0.09,1.112689414505e7
0.82,0.33,0.45,0.79,0.07,0.78,0.62,0.12,1.1230348193025364e7
0.13,0.01,0.07,0.39,0.22,0.2,0.93,0.3,1.1268214230759278e7
0.01,0.85,0.17,0.6,0.55,0.4,0.84,0.36,1.124780541571995e7
0.21,0.2,0.74,0.29,0.88,0.88,0.18,0.17,1.1133053716553962e7
0.06,0.99,0.44,0.16,0.89,0.64,0.56,0.02,1.114935441927763e7
0.79,0.76,0.05,0.2,0.33,0.11,0.87,0.49,1.1217889384527007e7
0.17,0.01,0.72,0.04,0.21,0.32,0.15,0.09,1.1201854471344035e7
0.86,0.46,0.27,0.23,0.02,0.2,0.14,0.04,1.123316977812947e7
0.67,0.25,0.54,0.82,0.22,0.81,0.73,0.44,1.1262066844794352e7
0.08,0.98,0.35,0.09,0.07,0.77,0.94,0.65,1.1132091815359706e7
0.36,0.47,0.26,0.98,0.16,0.71,0.1,0.34,1.1150476015963478e7
0.96,0.02,0.23,0.4,0.15,0.43,0.99,0.21,1.1258443742275741e7
0.15,0.99,0.78,0.31,0.41,0.66,1.0,0.6,1.1131678975230725e7
0.12,0.58,0.54,0.01,1.0,0.86,0.22,0.16,1.113144053255966e7
0.98,0.18,0.24,0.1,0.76,0.36,0.39,0.26,1.1222937341424484e7
