α_v,α_s,α_v_error,α_s_error,decay,MSE
0.26,0.72,0.94,0.67,0.17,1.1275761651047189e7
0.35,0.07,0.53,0.67,0.15,1.1276499956168886e7
0.62,0.72,0.91,0.78,0.22,1.1274546089351317e7
0.79,0.73,0.63,0.86,0.27,1.1273840704659682e7
0.99,0.17,0.72,0.53,0.19,1.127911205732238e7
0.04,0.29,0.64,0.78,0.38,1.1257655833715517e7
0.31,0.52,0.83,0.64,0.17,1.1276897338125968e7
0.9,0.44,0.6,0.55,0.01,1.1275995320720904e7
0.16,0.67,0.57,0.03,0.95,1.1272807492223544e7
0.52,0.94,0.15,0.3,1.0,1.1271446605734706e7
0.99,0.47,0.98,0.64,0.85,1.1276859987723973e7
0.66,0.11,0.56,0.34,0.47,1.1279139156544589e7
0.3,0.63,0.85,0.81,0.76,1.1276288937678628e7
0.99,0.97,0.18,0.5,0.97,1.1273211632586582e7
0.45,0.53,0.43,0.48,0.31,1.1274656475459311e7
0.43,0.55,0.56,0.77,0.38,1.1275495501239475e7
0.21,0.67,0.97,0.09,0.66,1.12746909419339e7
0.37,0.72,0.25,0.3,0.71,1.1272706215749431e7
0.43,0.77,0.42,0.06,0.43,1.1272366058460377e7
0.88,0.32,0.4,0.42,0.1,1.1276796071232975e7
0.19,0.41,0.29,0.48,0.96,1.1277312939411163e7
0.35,0.09,0.57,0.19,0.04,1.1278243681313083e7
0.29,0.28,0.57,0.51,0.63,1.1278834244686078e7
0.53,0.67,0.27,0.58,0.98,1.1272302794773683e7
0.07,0.66,0.73,0.64,0.6,1.126080937162433e7
0.95,0.01,0.23,0.19,0.36,1.1274682247176781e7
0.15,0.51,0.44,0.16,0.32,1.1274684729629783e7
0.3,0.32,0.76,0.39,0.26,1.1278557809847018e7
0.39,0.83,0.17,0.64,0.16,1.1272680065045733e7
0.6,0.91,0.58,0.3,0.28,1.1272900506365221e7
0.13,0.61,0.06,0.59,0.06,1.1275591126636947e7
0.65,0.92,0.72,0.78,0.36,1.1274135834615901e7
0.19,0.09,0.59,0.64,0.57,1.1276440928359952e7
0.91,0.63,0.74,0.51,0.67,1.1274601575966755e7
0.51,0.62,0.07,0.75,0.68,1.127195967587667e7
0.23,0.31,0.03,0.23,0.14,1.127813407579255e7
0.15,0.6,0.33,0.83,0.04,1.1275079219058068e7
0.26,0.93,0.47,0.65,0.97,1.1275043687684733e7
0.96,1.0,0.76,0.9,0.43,1.1275474597211331e7
0.22,0.79,0.9,0.12,0.49,1.1274308591860112e7
0.2,0.09,0.76,0.64,0.19,1.1276264399857396e7
0.01,0.74,0.66,0.67,0.33,1.1213280534136197e7
1.0,0.57,0.78,0.27,0.98,1.127531754145721e7
0.27,0.16,0.89,0.94,0.94,1.1278030484719034e7
0.3,0.02,0.04,0.56,0.34,1.12732247212324e7
0.06,0.87,0.42,0.89,0.59,1.1261916877364751e7
0.56,0.75,0.91,0.02,0.1,1.1273425179425173e7
0.83,0.68,0.41,0.46,0.86,1.1272738090463873e7
0.44,0.49,0.24,0.61,0.2,1.1274597681795768e7
0.79,0.18,0.88,0.99,0.85,1.1279151593638351e7
