α_v,α_s,decay,MSE
0.05,0.89,0.29,3.135207227558334e7
0.61,0.87,0.25,3.138352847067003e7
0.56,0.83,0.9,3.13735977534356e7
0.09,0.49,0.72,3.1325294637582667e7
0.43,0.85,0.44,3.1352705589559603e7
0.43,0.4,0.44,3.1366636943334986e7
0.83,0.07,0.17,3.154433579984823e7
0.92,0.46,0.67,3.145705605100697e7
0.06,0.84,0.96,3.134121173901985e7
0.32,1.0,0.46,3.135151799740044e7
0.72,0.33,0.39,3.1434005571715504e7
0.48,0.41,0.73,3.137463481376831e7
0.4,0.41,0.28,3.1360565394449923e7
0.86,0.64,0.39,3.1435061441462565e7
0.16,0.25,0.52,3.136344105486785e7
0.16,0.57,0.09,3.1324731937650904e7
0.21,0.14,0.94,3.1424542449364696e7
0.94,0.48,0.53,3.145880521731941e7
0.53,0.01,0.72,3.1567312323498018e7
0.66,0.86,0.09,3.139267499162929e7
0.79,0.73,0.8,3.1418639667234205e7
0.52,0.5,0.92,3.137451489663952e7
0.17,0.35,0.5,3.134270698714447e7
0.14,0.05,0.02,3.1530288365184534e7
0.06,0.95,0.59,3.135176437156498e7
0.18,0.66,0.12,3.1325262759855147e7
0.81,0.6,0.11,3.142777324195757e7
0.84,0.98,0.52,3.1426697179377723e7
0.33,0.72,0.65,3.133741637350493e7
0.52,0.72,0.11,3.1365882145347424e7
0.69,0.17,0.09,3.1468586876427297e7
0.08,0.39,0.05,3.1334620334382348e7
0.91,0.24,0.76,3.14827694294604e7
0.89,0.18,0.39,3.1495259323020436e7
0.09,0.36,0.96,3.1336817625362825e7
0.14,0.81,0.47,3.132733550884659e7
0.76,0.76,0.13,3.1412209520724993e7
0.36,0.22,0.59,3.1392768016545475e7
0.56,0.53,0.39,3.1380627518977117e7
0.12,0.84,0.91,3.1328818338835403e7
0.66,0.98,0.67,3.1396282792312074e7
0.75,0.37,0.6,3.143469409768952e7
0.17,0.73,0.12,3.132562181974185e7
0.25,0.92,0.42,3.133998200730062e7
0.43,0.22,0.98,3.140288809828595e7
0.62,0.7,0.73,3.1385759513920862e7
0.05,0.35,0.88,3.135349033839288e7
0.3,0.3,0.26,3.1363571358581975e7
0.34,0.16,0.17,3.1419721538926587e7
0.3,0.71,0.37,3.1334434240512498e7
0.57,0.75,0.01,3.1375126319810156e7
0.45,0.14,0.66,3.144657137202252e7
0.51,0.81,0.23,3.1364343294692624e7
0.85,0.01,0.32,3.156937274492749e7
0.63,0.32,0.72,3.1417187408856336e7
0.86,0.45,0.56,3.1447455576673646e7
0.49,0.3,0.11,3.1392458494993184e7
0.11,0.2,0.08,3.137978071524259e7
0.44,0.3,0.15,3.1383340582326315e7
0.81,0.95,0.27,3.1421059354608983e7
0.6,0.92,0.45,3.1383180020157482e7
0.84,0.63,0.74,3.1431880115119938e7
0.18,0.62,0.3,3.1325407313626397e7
0.05,0.45,0.54,3.1343292185243856e7
0.74,0.09,0.8,3.152230104599651e7
0.32,0.53,0.19,3.1340290402863514e7
0.38,0.32,0.15,3.136992203639157e7
0.27,0.31,0.1,3.1358561562843867e7
0.24,0.25,0.6,3.1370350074396417e7
0.86,0.48,0.12,3.1444996977686007e7
0.86,0.91,0.9,3.1428915429525472e7
0.28,0.23,0.25,3.138038904231296e7
0.98,0.32,0.13,3.148037671784525e7
0.83,0.58,0.48,3.1432674041068044e7
0.71,0.54,0.32,3.1411384588796854e7
0.32,0.97,0.64,3.1348555751993034e7
0.9,0.03,0.84,3.15687676919761e7
0.49,0.62,1.0,3.1362449210184272e7
0.85,0.09,0.57,3.1532610844242338e7
0.14,0.04,0.59,3.1544507689470857e7
0.37,0.12,0.1,3.145291194001573e7
0.01,0.23,0.68,3.1401972920470435e7
0.22,0.19,0.65,3.1392526702317744e7
0.13,0.31,0.95,3.1345824822795924e7
0.93,0.37,0.36,3.1467033177614268e7
0.02,0.97,0.54,3.138090633558842e7
0.21,0.91,0.19,3.133732460509784e7
0.67,0.18,0.26,3.1460957499227203e7
0.98,0.68,0.41,3.1453580235324174e7
0.42,0.04,0.29,3.154661721572348e7
0.75,0.8,0.71,3.1409685810607363e7
0.38,0.29,0.93,3.137576952714342e7
0.68,0.1,0.13,3.1508110296195477e7
0.61,0.7,0.79,3.1383744808056362e7
0.69,0.77,0.33,3.1398474431279115e7
0.38,0.99,0.83,3.135562208819008e7
0.76,0.7,0.43,3.141378857419901e7
0.1,0.9,0.28,3.1334630310701016e7
0.94,0.37,0.1,3.146862361323988e7
0.46,0.49,0.97,3.1363723977603614e7
0.33,0.86,0.37,3.1341514677103378e7
0.09,0.8,0.99,3.1328129101868037e7
0.3,0.99,0.12,3.134916830962685e7
0.59,0.22,0.39,3.1431760615724564e7
0.17,0.79,0.7,3.1327781277118277e7
0.27,0.32,0.75,3.1356699387665115e7
0.55,0.29,0.47,3.140619110541684e7
0.8,0.02,0.89,3.156944721407375e7
0.99,0.43,0.6,3.14707006258403e7
0.11,0.52,0.08,3.132317907842788e7
0.65,0.31,0.32,3.1422952019852735e7
0.76,0.46,0.86,3.1427571504597988e7
0.12,0.4,0.09,3.1331970895091806e7
0.3,0.61,0.45,3.1335201583996657e7
0.11,0.68,0.71,3.132176749811541e7
0.43,0.16,0.31,3.143078584815255e7
0.24,0.21,0.72,3.1384706588982295e7
0.3,0.99,0.64,3.134916830962685e7
0.53,0.89,0.27,3.136988242479184e7
0.11,0.58,0.91,3.13215425318534e7
0.63,0.43,0.32,3.1403377945846964e7
0.9,0.57,0.35,3.1445930846445497e7
0.15,0.06,0.94,3.151540442980323e7
0.53,0.68,0.09,3.136837845627193e7
0.23,0.94,0.25,3.1340772972633123e7
0.08,0.21,0.16,3.1377329874433655e7
0.78,0.2,0.48,3.147254150692214e7
0.98,0.41,0.79,3.147092894311786e7
0.59,0.32,0.75,3.1408909370367967e7
0.38,0.86,0.53,3.1346678815081723e7
0.3,0.38,0.61,3.1350732798457023e7
0.47,0.8,0.77,3.1357435413721383e7
0.98,0.09,0.43,3.154221259135052e7
0.59,0.42,0.73,3.139592140549225e7
0.27,0.59,0.98,3.133295674411044e7
0.09,0.84,0.05,3.1330852404638037e7
0.65,0.94,0.99,3.139280978847771e7
0.85,0.04,0.57,3.1564367657288652e7
0.23,0.01,0.36,3.156366410915635e7
0.22,0.44,0.65,3.133691497880797e7
0.83,0.69,0.28,3.142744180793763e7
0.94,1.0,0.51,3.144254988213354e7
0.09,0.05,0.62,3.1534588040323265e7
0.67,0.83,0.52,3.139432613523824e7
1.0,0.34,0.97,3.148088748045801e7
1.0,0.51,0.52,3.1466141117884096e7
0.33,0.54,0.23,3.1340935804879945e7
0.99,0.97,0.77,3.144933179588872e7
0.98,0.07,0.19,3.1552704814825427e7
0.94,0.05,0.36,3.1561738143620193e7
0.54,0.35,0.92,3.139401616659613e7
0.96,1.0,0.53,3.144544815583011e7
0.36,0.12,0.21,3.1451962551559534e7
0.71,0.78,0.91,3.1402250882957794e7
0.43,0.24,0.56,3.1396320434595015e7
0.88,0.2,0.48,3.1487922487755686e7
0.35,0.94,0.27,3.1348473204987384e7
0.24,0.94,0.53,3.1341213732160706e7
0.75,0.42,0.55,3.1429258253912378e7
0.17,0.42,0.79,3.1334295178051036e7
0.1,0.63,0.02,3.1321476236801006e7
0.92,0.01,0.99,3.1569079734983608e7
0.08,0.59,0.48,3.132418192725086e7
0.85,0.19,0.28,3.1486517839364164e7
0.66,0.66,0.64,3.1395070186974738e7
0.61,0.22,0.23,3.1435589870034847e7
0.96,0.16,0.99,3.1510397572340958e7
0.64,0.75,0.48,3.1388861510268413e7
0.54,0.13,0.17,3.146669781910659e7
0.19,0.27,0.09,3.1360449359324515e7
0.3,0.4,0.35,3.134836640985675e7
0.17,0.69,1.0,3.1324816993003353e7
0.87,0.93,0.9,3.143069866049125e7
0.27,0.45,0.68,3.1340491808559697e7
0.91,0.77,0.98,3.143897102150114e7
0.21,0.28,0.3,3.1359687164153673e7
0.43,0.58,0.27,3.1353367108795624e7
0.94,0.82,0.72,3.1442717282388505e7
0.33,0.17,0.63,3.141262129979242e7
0.56,0.31,0.1,3.1404455079667784e7
1.0,0.13,0.26,3.1525444891872916e7
0.43,0.62,0.6,3.135194900785792e7
0.09,0.61,0.05,3.1322324457293235e7
0.82,0.46,0.47,3.1439227562904637e7
0.16,0.81,0.28,3.1328242594831046e7
0.25,0.79,0.44,3.1332403394266482e7
0.2,0.49,0.54,3.1331536189737145e7
0.75,0.02,0.89,3.1569260402626645e7
0.37,0.2,0.7,3.140208255138934e7
0.13,0.14,0.55,3.1420338805483345e7
0.88,0.9,0.99,3.1432184659911864e7
0.72,0.66,0.89,3.1407278029551506e7
0.87,0.75,0.08,3.1432665712633412e7
0.95,0.51,0.55,3.14582557727163e7
0.27,0.5,0.82,3.133690073933843e7
0.95,0.11,0.87,3.1529968575402703e7
0.22,0.58,0.63,3.1329208157492172e7
0.64,0.22,0.89,3.144131872710628e7
0.78,0.1,0.28,3.1519481869951945e7
0.76,0.95,0.77,3.141252465463774e7
0.94,0.57,0.17,3.1452730720281366e7
0.43,0.6,0.45,3.1352598094081245e7
0.73,0.37,0.82,3.1430709902888294e7
0.17,0.08,0.35,3.148733969848988e7
0.47,0.54,0.24,3.1362330848826185e7
0.27,0.58,0.96,3.133325151288286e7
0.17,0.67,0.88,3.1324605926194392e7
0.72,0.35,0.74,3.143123141364612e7
0.67,0.55,0.4,3.140242938837855e7
0.3,0.33,0.69,3.13579991907847e7
0.61,0.34,0.62,3.1409955310299296e7
0.03,0.23,0.69,3.1398524292044457e7
0.34,0.9,0.31,3.1344729979118787e7
0.48,0.12,0.83,3.146577593183499e7
0.96,0.58,0.99,3.145542204545743e7
0.38,0.81,0.07,3.1344781666724205e7
0.41,0.61,0.51,3.1349074879417423e7
0.23,0.09,0.44,3.1475854801424395e7
0.31,0.06,0.25,3.1516716189417724e7
0.28,0.22,0.57,3.1384054305418365e7
0.23,0.24,0.5,3.1372667954235386e7
0.1,0.24,0.62,3.136302183080387e7
0.13,0.75,0.35,3.1324121642589863e7
0.51,0.37,0.52,3.1385240361255422e7
0.86,0.79,0.33,3.142992387628785e7
0.79,0.18,0.3,3.1480815534953818e7
0.88,0.86,0.01,3.143233077497783e7
0.27,0.39,0.44,3.1346471781817608e7
0.27,0.83,0.24,3.133538030192928e7
0.59,0.5,0.43,3.1388933974782094e7
0.78,0.71,0.16,3.141733252825263e7
0.07,0.32,0.08,3.134741183115549e7
0.1,0.52,0.84,3.1323266267676674e7
0.54,0.05,0.93,3.1541637397115238e7
0.34,0.64,0.07,3.1338866392680295e7
0.23,0.5,0.47,3.133343292677152e7
0.7,0.14,0.82,3.14848529232151e7
0.94,0.78,0.68,3.1443647166126303e7
0.4,0.22,0.01,3.1398281889085464e7
0.43,0.9,0.96,3.1354957506853804e7
0.78,0.77,0.38,3.1415799628708873e7
0.48,0.54,0.33,3.1364186773848753e7
0.44,0.24,0.08,3.1397972183168482e7
0.6,0.05,0.44,3.1545523710397538e7
0.5,0.62,0.68,3.136432061926257e7
0.14,0.49,0.29,3.132632423851071e7
0.09,0.26,0.84,3.1357175109051064e7
1.0,0.2,0.17,3.150351555968828e7
0.03,0.49,0.39,3.1357130611525003e7
0.69,0.19,0.31,3.1460578297079504e7
0.96,0.33,0.23,3.147621422909754e7
0.4,0.94,0.63,3.1353677646394193e7
0.86,0.74,0.46,3.1431193297409244e7
0.27,0.16,0.77,3.1413620266982876e7
0.82,0.59,0.29,3.1430221467566807e7
0.7,0.33,0.12,3.142999281381523e7
0.29,0.54,0.56,3.1336650485603575e7
0.39,0.96,0.87,3.1354066743490133e7
0.15,0.83,0.85,3.1328923453384783e7
0.22,0.27,0.76,3.1363049395446327e7
1.0,0.84,0.53,3.1451606098456014e7
0.41,0.64,0.02,3.134827754274843e7
0.67,0.56,0.06,3.140182759821039e7
0.08,0.27,0.29,3.135582687367273e7
0.18,0.09,0.43,3.1474620977482308e7
0.77,0.77,0.59,3.1413914799825355e7
0.51,0.48,0.47,3.137402244797356e7
