α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.18,0.14,0.81,0.47,0.24,0.46,0.94,0.15,1.3150631464348596e7
0.59,0.05,0.54,0.05,0.29,0.44,0.68,0.17,1.3133454609606845e7
0.03,0.25,0.93,0.32,0.1,0.2,0.68,0.87,1.3171799380343452e7
0.23,0.38,0.66,0.75,0.06,0.7,0.12,0.64,1.3136473237000259e7
0.04,0.6,0.05,0.66,0.38,0.43,0.29,0.3,1.308535298603202e7
0.53,0.94,0.29,0.06,0.69,0.61,0.3,0.68,1.3037585404078647e7
0.84,0.47,0.21,0.68,0.82,0.69,0.41,0.58,1.305649511823871e7
0.59,0.88,0.02,0.52,0.7,0.37,0.02,0.53,1.3050610539033916e7
0.92,0.25,0.05,0.68,0.27,0.88,0.14,0.21,1.3054739121540464e7
0.9,0.05,0.96,0.96,0.21,0.92,0.56,0.11,1.3099407375861678e7
0.02,0.5,0.73,0.85,0.1,0.26,0.35,0.57,1.3157407939180579e7
0.86,0.69,0.12,0.2,0.81,0.15,0.85,0.54,1.3057940579656469e7
0.75,0.13,0.43,0.67,0.45,0.03,0.39,1.0,1.3119155287073717e7
0.01,0.71,0.75,0.92,0.11,0.12,0.11,0.89,1.3177096007145457e7
0.6,0.89,0.88,0.74,0.79,0.24,0.52,0.81,1.3045360957451083e7
0.57,0.07,0.18,0.16,0.85,0.36,0.51,0.76,1.3085193759708418e7
0.61,0.95,0.94,0.3,0.41,0.8,0.49,0.74,1.3086174575203065e7
0.86,0.69,0.13,0.51,0.84,0.79,0.34,0.44,1.3044967185783397e7
0.38,0.21,0.34,0.67,0.94,0.72,0.63,0.83,1.307206948156152e7
0.29,0.33,0.83,0.52,0.94,0.49,0.44,0.31,1.3080267043092858e7
0.09,0.91,0.31,0.22,0.35,0.9,0.25,0.23,1.3092536246196289e7
0.76,0.16,0.28,0.98,0.39,0.66,0.55,0.49,1.308985225571999e7
0.3,0.23,0.31,0.04,0.69,0.75,0.83,0.41,1.304647041829199e7
0.91,0.43,0.73,0.17,0.31,0.73,0.08,0.24,1.3084089284676054e7
0.2,0.32,0.15,0.02,0.15,0.34,0.43,0.7,1.3098522982222022e7
0.83,0.65,0.03,0.1,0.65,0.68,0.93,0.31,1.304603443858487e7
0.87,0.46,0.78,0.46,0.44,0.1,0.22,0.51,1.3110262767660704e7
0.71,0.49,0.41,0.47,0.39,0.66,0.35,0.37,1.3079402245516792e7
0.09,0.37,0.7,0.36,0.45,0.29,0.52,0.51,1.3097373071989097e7
0.91,0.56,0.87,0.66,0.72,0.73,0.48,0.47,1.3074864482010648e7
