α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.51,0.63,0.17,0.4,0.64,0.31,0.25,0.15,3.1712873428864297e7
0.82,0.55,0.49,0.69,0.49,0.01,0.17,0.35,3.200942791573449e7
0.15,0.94,0.47,0.84,0.82,0.3,0.55,0.03,3.1720894002993844e7
0.97,0.99,0.63,0.4,0.67,0.7,0.85,0.63,3.1812185768675465e7
0.65,0.92,0.97,0.67,0.27,0.74,0.25,0.92,3.1639684771726772e7
0.89,0.77,0.86,0.9,0.71,0.06,0.64,0.48,3.187781333578397e7
0.54,0.4,0.47,0.01,0.72,0.73,0.67,0.29,3.1859041923833236e7
0.34,0.9,0.19,0.51,0.5,0.56,0.74,0.99,3.163341328974659e7
0.37,0.03,0.79,0.54,0.58,0.43,0.19,0.53,3.195511055589516e7
0.63,0.51,0.51,0.97,0.51,0.81,0.55,0.31,3.18021175188585e7
0.7,0.03,0.83,0.11,0.86,0.38,0.64,0.6,3.197746602985199e7
0.86,0.43,0.83,0.86,0.01,0.43,0.03,0.33,3.1256120414229255e7
0.2,0.79,0.36,0.21,0.55,0.5,0.4,0.51,3.1623440211349916e7
0.9,0.52,0.04,0.35,0.14,0.04,0.69,0.24,3.1557601787928462e7
0.26,0.14,0.16,0.25,0.19,0.08,0.59,0.47,3.155835917025174e7
0.44,0.67,0.72,0.4,0.77,0.15,0.84,0.55,3.1643740784588393e7
0.68,0.19,0.28,0.66,0.21,0.37,0.04,0.55,3.1500692162307862e7
0.97,0.46,0.24,0.07,0.48,0.09,0.02,0.99,3.1700862241346862e7
0.72,0.55,0.55,0.15,0.66,0.55,0.81,0.65,3.177509265281839e7
0.87,0.3,0.86,0.71,0.01,0.55,0.44,0.18,3.1333072101832923e7
0.31,0.55,0.51,0.65,0.24,0.69,0.14,0.8,3.1612742281250466e7
0.18,0.45,0.12,0.11,0.22,0.11,0.57,0.23,3.143331050256566e7
0.34,0.3,0.99,0.03,0.07,0.67,0.73,0.8,3.152222351222307e7
0.42,0.08,0.3,0.08,0.46,0.06,0.41,0.14,3.17464863526018e7
0.21,0.35,0.78,0.61,0.16,0.7,0.95,0.44,3.154075920307168e7
0.47,0.36,0.71,0.62,0.38,0.65,0.02,0.29,3.1689755636175815e7
0.5,0.49,0.42,0.99,0.04,0.75,0.79,0.4,3.1618342920886222e7
0.56,0.68,0.34,0.95,0.62,0.63,0.93,0.48,3.175829163199112e7
0.43,0.41,0.88,0.25,0.01,0.21,0.62,0.8,3.1223221124871317e7
0.82,0.95,0.1,0.89,0.62,0.12,0.8,0.55,3.164869270703665e7
0.62,0.64,0.61,0.74,0.99,0.41,0.31,0.99,3.181603561024782e7
0.24,0.25,0.47,0.4,0.94,0.53,0.08,0.22,3.1831632891465113e7
0.38,0.38,0.47,0.71,1.0,0.6,0.28,0.57,3.187241064736053e7
0.26,0.37,0.58,0.47,0.72,1.0,0.45,0.47,3.185890892538704e7
0.49,0.64,0.68,0.59,0.3,0.79,0.41,0.58,3.1725411238947943e7
0.75,0.82,0.6,0.98,0.23,0.24,0.31,0.45,3.1649761992613915e7
0.38,0.83,0.3,0.64,0.38,0.75,0.42,0.61,3.1719684265120137e7
0.38,0.87,0.97,0.91,0.84,0.88,0.68,0.89,3.186734342962318e7
0.38,0.76,0.6,0.3,0.12,0.81,0.42,0.24,3.161374945114566e7
0.41,0.61,0.6,0.37,0.81,0.95,0.23,0.52,3.18903284008953e7
0.93,0.86,0.89,0.74,0.67,0.76,0.7,0.3,3.1832049532203842e7
0.17,0.19,0.23,0.36,0.23,0.21,0.27,0.57,3.150007504535727e7
0.03,0.39,0.19,0.98,0.06,0.32,0.65,0.41,3.117587163250115e7
