α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.29,0.87,0.7,0.6,0.99,0.87,0.39,0.1,2.973816518702464e7
0.87,0.63,0.36,0.44,0.91,0.72,0.88,0.85,2.9741131850971423e7
0.66,0.07,0.47,0.99,0.93,0.94,0.93,0.77,2.9957911155181024e7
0.37,0.04,0.7,0.53,0.87,0.2,0.75,0.48,2.9649768413351417e7
0.07,0.54,0.78,0.34,0.13,0.53,0.1,0.97,2.9970272787935816e7
0.12,0.26,0.7,0.49,0.62,0.64,0.43,0.97,2.9934049864762325e7
0.01,0.92,0.37,1.0,0.41,0.17,0.12,0.62,2.9780380220562004e7
0.35,0.96,0.25,0.11,0.17,0.34,0.63,0.59,2.9937257501872223e7
0.43,0.58,0.69,0.26,0.86,0.76,0.53,0.58,2.9749670621496174e7
0.81,0.89,0.16,0.28,0.22,0.36,0.97,0.01,2.9817098626652922e7
0.2,0.76,0.44,0.04,0.83,0.01,0.87,0.65,2.976874691840798e7
0.78,0.84,0.89,0.54,0.52,0.08,0.36,0.15,2.9696937792521212e7
0.84,0.91,0.05,0.83,0.3,0.31,0.12,0.99,2.982047755507027e7
0.89,0.93,0.12,0.39,0.65,0.27,0.83,0.71,2.977597507918951e7
0.69,0.85,0.63,0.51,0.34,0.6,0.67,0.48,2.9881383481988296e7
0.73,0.3,0.29,0.63,0.22,0.18,0.2,0.78,2.9872442246034894e7
0.73,0.72,0.76,0.84,0.89,0.07,0.92,0.27,2.9667547443758495e7
0.94,0.95,0.05,0.03,0.12,0.82,0.38,0.43,3.0033601816807617e7
0.93,0.72,0.21,0.83,0.92,0.13,0.44,0.68,2.9553541532234933e7
0.98,0.45,0.27,0.05,0.39,0.93,0.17,0.68,2.9833273802250855e7
0.48,0.87,0.46,0.38,0.75,1.0,0.32,0.15,2.9818117769596394e7
0.88,0.51,0.68,0.86,0.65,0.38,0.27,0.47,2.9809277952603467e7
0.54,0.39,0.72,0.27,0.25,0.9,0.36,0.09,2.9964111737392295e7
0.85,0.75,0.06,0.66,0.69,0.46,0.36,0.74,2.9777871621485896e7
0.74,0.69,0.73,0.98,0.54,0.86,0.13,0.4,2.9872402942108206e7
0.43,0.91,0.85,0.02,0.82,0.72,0.98,0.85,2.9862705101915225e7
0.82,0.32,0.3,0.71,0.5,0.53,0.44,0.04,2.984649211107815e7
0.1,0.16,0.26,0.94,0.93,0.29,0.79,0.73,2.981334417637192e7
0.62,0.61,0.36,0.17,0.11,0.18,0.01,0.94,2.9831494963922057e7
0.82,0.83,0.4,0.84,0.57,0.78,0.28,0.73,2.9820526235740114e7
0.77,0.11,0.03,0.51,0.45,0.59,0.34,0.68,2.986379246526318e7
0.29,0.17,0.2,0.83,0.69,0.78,0.32,0.72,2.9788406300292876e7
0.52,0.24,0.25,0.22,0.78,0.38,0.99,0.77,2.9762026047560602e7
0.85,0.49,0.9,0.48,0.38,0.98,0.96,0.69,2.989667527389891e7
0.48,0.64,0.33,0.63,0.52,0.49,0.25,0.92,2.9843844044801507e7
