α_v,α_s,α_v_error,α_s_error,decay,MSE
0.52,0.42,0.19,0.73,0.84,2.503337226923708e7
0.29,0.88,0.77,0.51,0.23,2.503293536408487e7
0.01,1.0,0.89,0.31,0.94,2.5299888428502306e7
0.59,0.49,0.24,0.52,0.46,2.5030771135823853e7
0.17,0.1,0.16,0.63,0.95,2.51260807473538e7
0.9,1.0,0.57,0.01,0.23,2.506786830672607e7
0.72,1.0,0.36,0.77,0.63,2.5060782236698277e7
0.89,0.24,0.48,0.63,0.54,2.5080662483778995e7
0.67,0.99,0.68,0.32,0.86,2.5048614068660848e7
0.19,0.25,0.62,0.65,0.26,2.5076377937383056e7
0.2,0.33,0.39,0.84,0.15,2.507243788489317e7
0.54,1.0,0.07,0.69,0.85,2.5064538754847944e7
0.78,0.46,0.1,0.44,0.78,2.50533501824162e7
0.7,0.12,0.07,0.35,0.97,2.5086915650563426e7
0.33,0.32,0.41,0.52,0.43,2.503561251461625e7
0.81,0.2,0.64,0.4,0.53,2.507423463213325e7
0.88,0.03,0.27,0.78,0.05,2.5063097341337703e7
0.32,0.07,0.72,0.52,0.63,2.5035181166457452e7
0.97,0.9,0.8,0.99,0.27,2.5059837041819062e7
0.19,0.57,0.3,0.44,0.69,2.5069470085074127e7
0.66,0.03,0.45,0.55,0.89,2.503932585148039e7
0.32,0.84,0.39,0.61,0.51,2.5035029039742682e7
0.57,0.28,0.62,0.37,0.2,2.5037503109408036e7
0.24,0.32,0.61,0.96,0.23,2.5044775147953898e7
0.45,0.95,0.19,0.35,0.08,2.5051057096895687e7
0.35,0.26,0.43,0.99,0.53,2.503554447665564e7
0.34,0.95,0.68,0.02,0.84,2.5039621621657066e7
0.86,0.19,0.78,0.67,0.13,2.5076347814136103e7
0.72,0.21,0.29,0.86,0.14,2.5066656881369412e7
0.79,0.59,0.95,0.93,0.32,2.5025046224617556e7
0.6,0.97,0.15,0.93,0.57,2.5057516936315335e7
0.54,0.14,0.76,0.63,0.81,2.504028074517145e7
0.17,0.67,0.88,0.06,0.99,2.5059712354592443e7
0.74,0.04,0.47,0.59,0.36,2.505975649467361e7
0.86,0.63,0.4,0.3,0.57,2.5043801738054585e7
0.18,0.34,0.04,0.61,0.97,2.5113384378385372e7
0.94,0.04,0.53,0.37,0.68,2.510305168301238e7
0.35,0.15,0.23,0.74,0.59,2.5054809634363398e7
0.24,0.59,0.04,0.46,0.3,2.506076685724213e7
0.25,0.79,0.6,0.16,0.53,2.5036964064801484e7
0.93,0.05,0.79,0.52,0.81,2.5091188891612858e7
0.54,1.0,0.26,0.87,0.62,2.505766529207041e7
0.07,0.27,0.35,0.62,0.15,2.523704319806811e7
0.56,0.76,0.87,0.39,0.11,2.500816424363207e7
0.31,0.61,0.33,0.99,0.97,2.5023586478006646e7
0.51,0.49,0.31,0.03,0.55,2.5024768544300713e7
0.16,0.81,0.77,0.06,0.55,2.507637544734854e7
0.68,0.16,0.53,0.55,0.19,2.5062949183786184e7
0.43,0.7,0.74,0.04,0.46,2.5004352622771956e7
0.4,0.79,0.78,0.63,0.58,2.5009634925457254e7
0.79,0.68,0.04,0.51,0.97,2.504585442572327e7
0.91,0.35,0.27,0.18,0.36,2.507654925753644e7
0.88,0.85,0.59,0.04,0.33,2.5048900862982206e7
0.71,0.19,0.34,0.52,0.34,2.50699198794774e7
0.93,0.63,0.71,0.48,0.84,2.5046783918026872e7
0.86,0.56,0.11,0.67,0.45,2.5052459147625916e7
0.35,0.04,0.02,0.92,0.04,2.503632100484903e7
0.86,0.14,0.75,0.15,0.65,2.5090307043190107e7
0.53,0.95,0.97,0.86,0.36,2.502750023628804e7
0.58,0.98,0.25,0.94,0.8,2.505527510568431e7
0.92,1.0,0.6,0.11,0.49,2.5069148569447204e7
0.69,0.98,0.22,0.85,0.75,2.5059948905427985e7
0.73,0.52,0.3,0.62,0.07,2.5037556553132325e7
0.59,0.06,0.82,0.06,0.03,2.5063296189186372e7
0.98,0.37,0.79,0.91,0.13,2.50723382984508e7
0.59,0.56,0.12,0.87,0.55,2.503111944093864e7
0.68,0.73,0.58,0.79,0.11,2.5022721247845385e7
0.61,0.44,0.63,0.07,0.3,2.5024367872366242e7
0.89,0.83,0.01,0.82,0.39,2.5059240263922874e7
0.86,0.84,0.86,0.8,0.33,2.504131579423485e7
0.06,0.54,0.81,0.23,0.85,2.5202822782192364e7
0.19,0.94,0.21,0.03,0.37,2.5098886269022055e7
0.34,0.95,0.05,0.84,0.37,2.5063735275352933e7
0.34,0.92,0.96,0.45,0.38,2.5027546242108516e7
0.3,0.13,0.99,1.0,0.48,2.503107717298183e7
0.11,0.6,0.96,0.57,0.5,2.5115941677436844e7
0.82,0.11,0.76,0.76,0.57,2.5073245785064526e7
0.3,0.33,0.23,1.0,0.91,2.504522236138092e7
0.39,0.63,0.86,0.25,0.34,2.499930399759063e7
