α_v,α_s,decay,MSE
0.19,0.83,0.32,4.26280527169661e6
0.33,0.1,0.62,4.2493527901973985e6
0.47,0.32,0.73,4.257446773043899e6
0.6,0.85,0.52,4.268991168116429e6
0.2,0.13,0.79,4.244882022822022e6
0.63,0.47,0.68,4.262406180333828e6
0.42,0.24,0.62,4.255238554184199e6
0.38,0.86,0.78,4.2669078551940685e6
0.41,0.94,0.15,4.269224741037417e6
0.46,0.83,0.65,4.267140414856097e6
0.89,0.95,0.96,4.273882037130779e6
0.14,0.71,0.83,4.258822793248478e6
0.01,0.08,0.32,4.260772358809989e6
0.42,0.77,0.63,4.265248148309966e6
0.42,0.29,0.55,4.255945898644822e6
0.15,0.43,0.62,4.25109600591252e6
0.2,0.39,0.67,4.251330538947495e6
0.62,0.71,0.84,4.266348781267497e6
0.7,0.23,0.61,4.261091098617399e6
0.55,0.44,0.97,4.260632458338661e6
0.11,0.79,0.51,4.261277786958541e6
0.36,0.16,0.8,4.252243281069155e6
0.72,0.81,0.9,4.269469981556766e6
0.88,0.66,0.13,4.2692312730214605e6
0.42,0.67,0.75,4.262941378593026e6
0.07,0.1,0.6,4.238873182903292e6
0.67,0.64,0.87,4.265722269976072e6
0.58,0.59,0.28,4.26357091663045e6
0.4,0.97,0.62,4.269838751855345e6
0.78,0.48,0.19,4.265163332976334e6
0.19,0.59,0.93,4.256126404908279e6
0.67,0.62,0.24,4.265379704569057e6
0.42,0.61,0.68,4.261630902401656e6
0.47,0.42,0.91,4.258931980303659e6
0.11,0.99,0.91,4.266769369160412e6
0.14,0.89,0.68,4.263970463147929e6
0.21,0.28,0.42,4.249189621389709e6
0.69,0.58,0.71,4.2650255767940115e6
0.69,0.61,0.24,4.265507431959725e6
0.52,0.68,0.11,4.264510991989419e6
0.07,0.33,0.52,4.248442503813092e6
0.22,0.63,0.21,4.257878728813052e6
0.48,0.49,0.69,4.260279358113198e6
0.62,0.1,0.93,4.257385067522179e6
0.85,0.04,0.28,4.262438670559812e6
0.04,0.16,0.25,4.243673877767034e6
0.37,0.53,0.13,4.259039835120058e6
0.29,0.98,0.46,4.268629634562561e6
0.27,0.48,0.32,4.255516031143725e6
0.11,0.37,0.3,4.2491228090271875e6
0.08,0.89,0.55,4.264777795633473e6
0.39,0.49,0.32,4.258644829368809e6
0.96,0.78,0.19,4.272140387120123e6
0.42,0.9,0.11,4.268369208522862e6
0.84,0.12,0.12,4.263200408662103e6
