α_v,α_s,α_v_error,α_s_error,decay,MSE
0.61,0.95,0.64,0.75,0.31,4.303854265055097e7
0.09,0.58,0.29,0.77,0.04,4.3284907968630865e7
0.47,0.36,0.15,0.66,0.91,4.314399304600181e7
0.14,0.44,0.98,0.37,0.63,4.330729456090554e7
0.43,0.32,0.1,0.5,0.4,4.316520268140009e7
0.35,0.37,0.96,0.4,0.49,4.326278942637453e7
0.19,0.82,0.36,0.13,0.89,4.319987787694199e7
0.12,0.54,0.66,0.38,0.49,4.330147167131861e7
0.38,0.67,0.36,0.83,0.32,4.31266800147585e7
0.15,0.12,0.07,0.42,0.44,4.328159872903584e7
0.11,0.74,0.17,0.85,0.71,4.322026594231114e7
0.87,0.08,0.01,0.88,0.06,4.2923662083655e7
0.13,0.38,0.85,0.48,0.6,4.330733344070794e7
0.42,0.13,0.57,0.61,0.65,4.324016229120647e7
0.1,0.28,0.14,0.5,0.48,4.329751333672671e7
0.97,0.23,0.45,0.8,0.49,4.304650701696823e7
0.69,0.24,0.49,0.91,0.56,4.3133457442438796e7
0.93,0.09,0.09,0.9,0.14,4.294004202308988e7
0.48,0.63,0.76,0.83,0.63,4.3141481203052334e7
0.05,0.12,1.0,0.24,0.32,4.3109817345365606e7
0.47,0.68,0.69,0.35,0.44,4.313272908289015e7
0.08,0.9,0.23,0.25,0.56,4.324842643977879e7
0.14,0.84,0.24,0.81,0.44,4.320065097849677e7
0.78,0.19,0.82,0.62,0.61,4.315265620989561e7
0.72,0.22,0.37,0.19,0.75,4.3131638217396684e7
0.92,0.59,0.73,0.92,0.82,4.299635262748808e7
0.7,0.12,0.7,0.41,0.57,4.316904405520411e7
0.32,0.01,0.4,0.74,0.31,4.260378617590798e7
0.83,0.25,0.77,0.48,0.92,4.312614486340018e7
0.6,0.79,0.66,0.82,0.57,4.305534174448552e7
0.17,0.58,0.51,0.73,0.08,4.3262134787891835e7
0.53,0.31,0.31,0.18,0.74,4.316468461505243e7
0.32,0.7,0.22,0.65,0.85,4.3127865792444594e7
0.5,0.61,0.84,0.93,0.67,4.314554385187e7
0.75,0.41,0.74,0.54,0.82,4.310249050855033e7
0.4,0.23,0.55,0.88,0.55,4.323874188406673e7
0.54,0.99,0.69,0.46,0.42,4.3072980321790956e7
0.62,0.06,0.45,0.9,0.69,4.3003338622448415e7
0.78,0.38,0.22,0.66,0.75,4.303736671540816e7
0.34,0.88,0.96,0.36,0.25,4.3183154934241444e7
0.04,0.13,0.05,0.11,0.89,4.328445463173413e7
0.82,1.0,0.19,0.16,0.82,4.292111428346031e7
0.66,0.15,0.46,0.02,0.05,4.318127546076435e7
0.03,0.22,0.3,0.34,0.54,4.3117340762593396e7
0.57,0.44,0.8,0.02,0.14,4.316872717333404e7
0.36,0.5,0.48,0.27,0.22,4.319458372817582e7
0.84,0.49,0.93,0.63,0.89,4.307293120821989e7
0.63,0.2,0.76,0.19,0.07,4.320261350822076e7
0.03,0.93,0.84,0.09,0.23,4.3287688076480255e7
