α_v,α_s,decay,MSE
0.41,0.99,0.15,3.1768037816543456e7
0.24,0.29,0.71,3.175983797986858e7
0.89,0.28,0.2,3.1768438299095508e7
0.74,0.99,0.72,3.1768226864662774e7
0.1,0.2,0.27,3.1747303869557645e7
0.48,0.33,0.97,3.1767778662576277e7
0.6,0.41,0.02,3.1768486020996816e7
0.82,0.56,0.83,3.176808090823096e7
0.36,0.48,0.3,3.1766598355708007e7
0.24,0.58,0.43,3.1763894288026825e7
0.35,0.55,0.08,3.1766819295812584e7
0.16,0.93,0.38,3.1762741609654028e7
0.65,0.66,0.8,3.176826025156103e7
0.03,0.52,0.5,3.175000862602193e7
0.23,0.68,0.88,3.176431999352991e7
0.03,0.01,0.83,3.1729472978004932e7
0.02,0.26,0.01,3.1740900832346585e7
0.1,0.74,0.86,3.175891951703152e7
0.94,0.95,0.26,3.1768076073936276e7
0.78,0.33,0.72,3.1768445173079584e7
0.29,0.49,0.82,3.1764722610324554e7
0.43,0.31,0.49,3.176698304257535e7
0.99,0.43,0.24,3.1768311794905953e7
0.57,0.97,0.65,3.1768473036697343e7
0.19,0.4,0.86,3.1758787462731183e7
0.33,0.3,0.29,3.1764159337095942e7
0.18,0.37,0.1,3.1757542442087177e7
0.52,0.34,0.96,3.1768148615112342e7
0.7,0.61,0.04,3.1768184914036136e7
0.14,0.94,0.44,3.176198135427805e7
0.73,0.21,0.92,3.176848134919624e7
0.46,0.4,0.97,3.1767809676239938e7
0.46,0.77,0.62,3.1768408759709835e7
0.47,0.88,0.82,3.176842739878941e7
0.65,0.95,0.48,3.1768334814250246e7
0.08,0.17,0.94,3.174417167041308e7
0.9,0.93,1.0,3.176804105877001e7
1.0,0.56,0.96,3.1768107209842738e7
0.38,0.63,0.92,3.1767642886998553e7
0.47,0.45,0.07,3.176807970561021e7
0.3,0.56,0.85,3.1765658358405404e7
0.04,0.95,0.25,3.175722446843449e7
0.49,0.44,0.12,3.176819858586803e7
0.43,0.76,0.28,3.176826804311939e7
0.85,0.61,0.89,3.1767989181199808e7
0.89,0.73,0.09,3.1767898028073616e7
0.19,0.04,1.0,3.175473534087232e7
0.2,0.04,0.19,3.175561517266211e7
0.73,0.75,0.56,3.1768046383540783e7
0.24,0.63,0.98,3.1764320418233015e7
0.38,0.06,0.64,3.1765633320309363e7
0.13,0.9,0.04,3.1761468035948016e7
0.97,0.61,0.22,3.176801383744689e7
0.17,0.95,0.22,3.1763113898085296e7
0.81,0.33,0.66,3.1768431714252986e7
0.57,0.02,0.73,3.176819454729894e7
0.94,0.43,0.11,3.176829334046358e7
0.28,0.66,0.12,3.1765714505199146e7
0.98,0.38,0.17,3.176837465000404e7
0.98,0.71,0.45,3.1767945521509975e7
0.55,0.42,0.02,3.1768422251216013e7
0.66,0.37,0.05,3.1768488117445182e7
0.01,0.93,0.04,3.1761459023900863e7
0.3,0.04,0.79,3.1762474332035262e7
0.38,0.8,0.76,3.1767851855820566e7
0.5,0.62,0.31,3.1768467174521632e7
0.76,0.51,0.4,3.1768227502764612e7
0.64,0.83,0.28,3.1768277855218694e7
0.36,0.57,0.46,3.1767115031501986e7
0.27,0.3,0.45,3.176153364067149e7
0.44,0.55,0.45,3.1768101748350285e7
0.71,0.95,0.65,3.176822442122674e7
0.91,1.0,0.88,3.1768139830710307e7
0.61,0.3,0.98,3.17684401489509e7
0.26,0.65,0.18,3.1765090498624098e7
0.26,0.49,0.23,3.1763640000450965e7
0.92,0.78,0.84,3.1767911387983177e7
0.06,0.89,0.49,3.1757543524383705e7
0.64,0.27,0.4,3.176846986344865e7
0.25,0.61,0.68,3.176450225799468e7
0.01,0.62,0.79,3.1758692588338934e7
0.37,0.98,0.97,3.176764475078677e7
1.0,0.51,0.52,3.176818753600569e7
0.11,0.43,0.03,3.175365132093047e7
