α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.3,0.64,0.48,0.27,0.48,0.72,0.24,1.0,1.6053357388055367e7
0.49,0.81,0.64,0.74,0.3,0.91,0.21,0.31,1.6062023439999498e7
0.23,0.41,0.75,0.3,0.58,0.22,0.86,0.56,1.6076823815286662e7
0.55,0.12,0.26,0.13,0.43,0.82,0.27,0.15,1.6046846567090336e7
0.79,0.35,0.04,0.04,0.84,0.25,0.28,0.46,1.6041482556906765e7
0.6,0.8,0.62,0.99,0.67,0.92,0.54,0.4,1.60567792422854e7
0.69,0.43,0.74,0.7,0.47,0.45,0.16,0.51,1.6043161014293578e7
0.96,0.01,0.47,0.58,0.29,0.65,0.29,0.7,1.60736868295472e7
0.44,0.87,0.82,0.6,0.85,0.51,0.93,0.13,1.6076665303397268e7
0.33,0.6,0.21,0.58,0.79,0.58,0.51,0.13,1.6040358283225086e7
0.45,0.9,0.7,0.11,0.23,0.96,0.54,0.92,1.60619343157776e7
0.67,0.68,0.16,0.36,0.35,0.43,0.45,0.59,1.605782222554614e7
0.95,0.39,0.12,1.0,0.41,0.16,0.01,0.97,1.604707053662492e7
1.0,0.25,0.57,0.47,0.83,0.02,0.61,0.54,1.6044201951568436e7
0.64,0.86,0.68,0.82,0.36,0.14,0.03,0.54,1.6053023423797224e7
0.06,0.29,0.29,0.85,0.18,0.78,0.66,0.66,1.6028666465700496e7
0.25,0.45,0.59,0.04,0.23,0.37,0.21,0.98,1.6058146774637746e7
0.34,0.06,0.4,0.46,0.93,0.71,0.56,0.87,1.6042074615213249e7
0.99,0.07,0.3,0.99,0.66,0.2,0.71,0.49,1.6020820387028143e7
0.3,0.09,0.03,0.76,0.5,0.35,0.21,0.36,1.6006997117725335e7
0.56,0.58,0.9,0.25,0.8,0.6,0.49,0.91,1.60404769240424e7
0.6,0.41,0.15,0.59,0.73,0.06,0.24,0.44,1.603908284896756e7
0.17,0.46,0.15,0.14,0.91,0.48,0.54,0.9,1.6031992401177473e7
0.66,0.12,0.06,0.59,0.75,0.86,0.7,0.29,1.60612180271662e7
0.26,0.27,0.89,0.21,0.56,0.97,0.59,0.12,1.6067317400504744e7
0.15,0.16,0.74,0.41,0.47,0.41,0.2,0.38,1.6041324088598732e7
0.93,0.27,0.32,0.85,0.05,0.37,0.6,0.03,1.6043931763632933e7
0.58,0.88,0.54,0.5,0.57,0.41,0.6,0.88,1.6069724949060068e7
0.38,0.63,0.28,0.75,0.14,0.78,0.61,0.75,1.6044227284053773e7
0.35,0.01,0.94,0.23,0.12,0.46,0.57,0.28,1.6067248564547546e7
0.05,0.22,0.87,0.1,0.86,0.59,0.8,0.93,1.6089418293700248e7
0.99,0.77,0.5,0.3,0.49,0.11,0.26,0.4,1.6026860315938419e7
0.17,0.63,0.82,0.97,0.32,0.77,0.92,0.84,1.6049739082957305e7
0.46,0.73,0.32,0.26,0.24,0.94,0.5,0.25,1.606307130694193e7
0.04,0.51,0.03,0.14,0.77,0.65,0.44,0.38,1.6026010191878166e7
0.58,0.66,0.42,0.42,0.48,0.43,0.57,0.07,1.6059714637699967e7
0.17,0.04,0.14,0.1,0.34,0.45,0.04,0.02,1.6030451616010752e7
0.47,0.57,0.34,0.84,0.85,0.02,0.04,0.97,1.6013452500975449e7
0.73,0.88,0.15,0.1,0.82,0.62,0.65,0.93,1.6055738056161609e7
0.08,0.18,0.05,0.21,0.36,0.35,0.84,0.83,1.6079937525432283e7
0.17,0.39,0.49,0.05,0.54,0.46,0.1,0.98,1.6045524976735068e7
0.21,0.01,0.25,0.62,0.98,0.63,0.83,0.32,1.6043285884323929e7
0.82,0.55,0.81,0.43,0.97,0.21,0.61,0.82,1.6051189985573798e7
1.0,0.17,0.44,0.58,0.53,0.89,0.8,0.23,1.6022072846502822e7
0.15,0.3,0.1,0.85,0.11,0.59,0.74,0.83,1.6046729510630628e7
0.06,0.72,0.87,0.98,0.88,0.35,0.23,0.12,1.6049044366277417e7
0.55,0.95,0.6,0.75,0.45,0.25,0.03,0.88,1.6059725440177768e7
0.5,0.95,0.17,0.47,0.66,0.26,0.56,0.64,1.6080250812491968e7
0.53,0.42,0.06,0.39,0.18,0.44,0.62,0.31,1.6053935301288057e7
0.25,0.28,0.25,0.09,0.35,0.05,0.07,0.2,1.6036975460121058e7
0.4,0.23,0.51,0.09,0.85,0.67,0.09,0.1,1.6036980924455486e7
0.39,0.35,0.16,0.56,0.72,0.4,0.88,0.03,1.6053527342112424e7
0.98,0.05,0.78,0.5,0.33,0.04,0.39,0.53,1.602942145799971e7
0.86,0.54,0.2,0.65,0.98,0.23,0.07,0.41,1.603472990977137e7
0.66,0.96,0.35,0.47,0.77,0.91,0.66,0.69,1.6055167687128602e7
0.69,0.6,0.44,0.16,0.35,0.52,0.14,0.48,1.6051890740347117e7
0.91,0.18,0.47,0.72,0.51,0.84,0.26,0.46,1.6042722366491422e7
0.32,0.43,0.02,0.48,0.5,1.0,0.66,0.01,1.6066216359567907e7
0.66,0.96,0.36,0.4,0.85,0.87,0.97,0.96,1.6061764216033045e7
0.95,0.7,0.66,0.57,0.22,0.78,0.66,0.64,1.604676434914068e7
0.51,0.9,0.31,0.54,0.68,0.83,0.51,0.97,1.6056289021191698e7
0.26,0.75,0.89,0.27,0.83,0.98,0.69,0.04,1.6080203585070364e7
0.05,0.42,0.79,0.25,0.64,0.92,0.1,0.24,1.6053777891287278e7
0.27,0.94,0.47,0.53,0.71,0.67,0.02,0.45,1.6044984722548822e7
0.75,0.08,0.5,0.8,0.89,0.97,0.82,0.73,1.607307010136731e7
0.18,0.81,0.57,0.75,0.68,0.98,0.07,0.47,1.6056793829945173e7
0.03,0.71,0.98,0.57,0.95,0.53,0.62,0.48,1.6029799374004968e7
0.13,0.25,0.94,0.34,0.96,0.29,0.46,0.11,1.6035587109595064e7
0.97,0.27,0.26,0.15,0.24,0.97,0.79,0.8,1.6056381939337514e7
