α_v,α_s,decay,MSE
0.1,0.93,0.86,2.998139226950941e7
0.53,0.74,0.48,2.9866034002449416e7
0.82,0.31,0.62,2.9749263605425544e7
0.36,0.68,0.2,2.9897583613824815e7
0.03,0.4,0.32,2.990182336269306e7
0.63,0.71,0.86,2.98391809814846e7
0.72,0.98,0.48,2.986204833682455e7
0.02,0.73,0.3,2.992823419005335e7
0.98,0.25,0.98,2.9690800751131732e7
0.53,0.91,0.11,2.9891602911396604e7
0.17,0.54,0.31,2.992321594666707e7
0.51,0.03,0.36,2.983765220904605e7
0.8,0.13,0.51,2.9700476917982828e7
0.15,0.63,0.23,2.9934170754029125e7
0.68,0.1,0.82,2.9721826680596992e7
0.62,0.15,0.95,2.975286228893891e7
0.38,0.57,0.05,2.9883668909420464e7
0.35,0.5,0.47,2.98846857613189e7
0.93,0.53,0.62,2.9742891019588914e7
0.38,0.97,0.6,2.9935678494767684e7
0.17,0.52,0.7,2.9921396667961087e7
0.16,0.71,0.43,2.994131631011492e7
0.49,0.36,0.51,2.9839489946503475e7
0.19,0.87,0.58,2.9958026540859114e7
0.5,0.35,0.72,2.9835780226735514e7
0.39,0.32,0.42,2.9854803596676823e7
0.67,0.68,0.03,2.9826220628203455e7
0.87,0.23,0.22,2.9716532848424997e7
0.17,0.47,0.65,2.9916608244633824e7
0.43,0.64,0.82,2.9878384073723525e7
0.68,0.23,0.4,2.9766749847406574e7
0.05,0.26,0.95,2.986920141073364e7
0.96,0.11,0.02,2.9651752715381276e7
0.05,0.3,0.65,2.988204792767613e7
0.59,0.41,0.52,2.982255252403063e7
0.12,0.87,0.13,2.996870010661238e7
0.06,0.9,0.09,2.997851520582304e7
0.48,0.58,0.71,2.9862255507096462e7
0.65,0.86,0.73,2.9855117628847215e7
0.12,0.46,0.65,2.991951168135839e7
0.62,0.58,0.34,2.982964162223414e7
0.93,0.6,0.02,2.9748538763498064e7
0.7,0.11,0.46,2.9719349356966946e7
0.61,0.79,0.72,2.9853860302730985e7
0.49,0.43,0.08,2.9847744895074166e7
0.66,0.02,0.47,2.987232872746317e7
0.45,0.1,0.87,2.977316045513481e7
0.5,0.02,0.16,2.9909560626885027e7
0.01,0.38,0.26,2.994076384716362e7
0.26,0.32,0.13,2.988127508204597e7
0.24,0.45,0.96,2.990302698881738e7
0.53,0.58,0.66,2.985087874470479e7
0.26,0.96,0.98,2.9959512689037114e7
0.98,0.26,0.04,2.969328947807223e7
0.2,0.43,0.05,2.9907996744351164e7
0.62,0.58,0.02,2.982964162223414e7
0.64,0.35,0.96,2.9802840977606077e7
0.25,0.3,0.61,2.9879017145806372e7
0.77,0.27,0.07,2.975425821212462e7
0.79,0.48,0.14,2.9778187868899558e7
0.48,0.24,0.67,2.9816629807894252e7
0.81,0.47,0.66,2.9771910314767193e7
0.01,0.5,0.26,2.99145135660696e7
0.48,0.41,0.98,2.9847926714466155e7
0.58,0.14,0.33,2.9758262323872317e7
0.2,0.11,0.6,2.9819335669006716e7
0.01,0.41,0.54,2.993421906834293e7
0.79,0.16,0.15,2.971423605348477e7
0.87,0.99,0.42,2.9825764565452885e7
0.02,0.01,0.8,3.009194562540087e7
0.34,0.54,0.8,2.989004902282622e7
0.76,0.54,0.48,2.9790999403110452e7
0.85,0.71,0.3,2.978213319573276e7
0.32,0.52,0.49,2.9892774063740008e7
0.34,0.46,0.33,2.9883400776526343e7
0.88,0.56,0.08,2.9759644236911602e7
0.29,0.02,0.96,2.9952922671849973e7
0.32,0.12,0.03,2.980461076846483e7
0.67,0.66,0.93,2.9824255575683232e7
0.9,0.53,0.96,2.9751567858674e7
0.76,0.86,0.4,2.9827793887476627e7
0.09,0.32,0.46,2.9895267948391173e7
0.79,0.18,0.6,2.9721682420112796e7
0.04,0.03,0.14,2.9851633429753073e7
0.18,0.04,0.36,2.9856035562794227e7
0.05,0.01,0.32,3.0088350012978874e7
0.42,0.64,0.37,2.9880604072066683e7
0.24,0.44,0.53,2.9902004990525447e7
0.89,0.95,0.73,2.9810911273077272e7
0.16,0.65,0.26,2.993488369381455e7
0.77,0.78,0.4,2.981262869107822e7
0.61,0.45,0.28,2.982167412177915e7
0.15,0.25,0.82,2.987881508747928e7
0.98,0.67,0.49,2.9740213214170832e7
0.28,0.28,0.48,2.9868783759594623e7
0.72,0.02,0.24,2.985733395860106e7
0.94,0.68,0.34,2.9753140953355014e7
0.95,0.29,0.88,2.9708726499785498e7
0.87,0.76,0.81,2.978275948253502e7
0.22,0.56,0.81,2.99166441733359e7
0.15,0.8,0.86,2.9954189434995748e7
0.13,0.37,0.37,2.990711993836757e7
1.0,0.81,0.64,2.9752068311209217e7
0.6,0.4,0.35,2.9819059312047623e7
0.69,0.13,0.99,2.972833915791149e7
0.65,0.92,0.5,2.9866104784819357e7
0.43,0.57,0.68,2.9872641516492724e7
0.32,0.18,0.84,2.982904115715808e7
0.96,0.27,0.96,2.970147020281596e7
0.96,0.25,0.48,2.969659909252767e7
0.33,0.74,0.06,2.9910589922459383e7
0.71,0.43,0.87,2.979482774487578e7
0.05,0.27,0.12,2.9872687516707078e7
0.28,0.81,0.22,2.9930463744585045e7
0.2,0.04,0.56,2.9854819858692437e7
0.66,0.68,0.11,2.982869730078723e7
0.89,0.82,0.21,2.978595872736427e7
0.25,0.03,0.89,2.98879804614355e7
0.35,0.73,0.87,2.9905034425490927e7
0.19,0.9,0.22,2.996297847808217e7
0.66,0.26,0.19,2.978007046827328e7
0.32,0.11,0.96,2.9801183224183027e7
0.36,1.0,0.67,2.9946110252899908e7
0.55,0.79,0.25,2.9867809179040056e7
0.59,0.6,0.62,2.983844502540637e7
0.87,0.02,0.9,2.981768093889204e7
0.94,0.01,0.5,2.9911161285564955e7
0.73,0.24,0.3,2.97569302988559e7
0.66,0.26,0.95,2.978007046827328e7
0.13,0.48,0.95,2.9921349021045096e7
0.46,0.97,0.89,2.9918585100847643e7
0.41,0.94,0.24,2.992336273647884e7
0.73,0.68,0.85,2.9811022541957058e7
0.58,0.33,0.35,2.9814145001808837e7
0.58,0.18,0.44,2.977388718857897e7
0.97,0.21,0.47,2.9682342468710728e7
0.28,0.85,0.27,2.993629166078797e7
0.48,0.11,0.35,2.9769533949187275e7
0.25,0.95,0.29,2.995974644379937e7
0.52,0.31,0.16,2.982444209524738e7
0.15,0.93,0.2,2.9975127556160286e7
0.3,0.88,0.72,2.9936670002576526e7
0.35,0.38,0.55,2.987261653868455e7
0.19,0.24,0.16,2.9872326579781033e7
0.78,0.08,0.99,2.9696000579060856e7
0.68,0.32,0.74,2.9787960075263754e7
0.07,0.89,0.6,2.997621396759547e7
0.96,0.96,0.84,2.9793205903789245e7
0.93,0.26,0.76,2.9707720968533017e7
0.45,0.22,0.46,2.9816963563351966e7
0.8,0.38,0.06,2.976546923837417e7
0.83,0.89,0.62,2.9814854423330743e7
0.26,0.96,0.84,2.9959512689037114e7
0.08,0.65,0.57,2.9939838498322703e7
0.52,0.42,0.27,2.983993798044953e7
0.64,0.28,0.57,2.9789837446310364e7
0.57,0.06,0.5,2.975434643603706e7
0.55,0.92,0.02,2.9889033423985083e7
0.87,0.37,0.85,2.974483386019496e7
0.27,0.98,0.46,2.9961267728476573e7
0.57,0.28,0.84,2.9806618191505626e7
0.59,0.28,0.17,2.980190554510873e7
0.08,0.98,0.24,2.9993156086348716e7
0.87,0.74,0.26,2.9780158595119707e7
0.43,0.29,0.33,2.984021136713337e7
0.83,0.56,0.36,2.9773636235042155e7
0.08,0.59,0.77,2.9932905328222368e7
0.58,0.03,0.14,2.982217297396588e7
0.94,0.06,0.9,2.9663287705045596e7
0.98,0.26,0.23,2.969328947807223e7
0.75,0.57,0.97,2.9796001229217935e7
0.61,0.4,0.18,2.9816650860106494e7
0.61,0.98,0.47,2.9887882528358825e7
0.08,0.57,0.17,2.9930669871947736e7
0.99,0.86,0.77,2.976358426729615e7
0.64,0.6,0.12,2.9826376375051875e7
0.69,0.85,0.27,2.9843720466507297e7
0.84,1.0,0.23,2.98362718099209e7
0.3,0.09,0.61,2.9800257745175567e7
