α_v,α_s,decay,MSE
0.37,0.95,0.24,3.1797172806396566e7
0.84,0.61,0.03,3.1822589026280425e7
0.78,0.81,0.6,3.1850901948651023e7
0.07,0.87,0.33,3.1557253440327164e7
0.41,0.2,0.34,3.165577721739444e7
0.76,0.87,0.14,3.1862290691540185e7
0.42,0.1,0.15,3.169987054985274e7
0.24,0.5,0.51,3.153451251120968e7
0.65,0.37,0.23,3.175360665145681e7
0.32,0.7,0.51,3.166948842161264e7
0.76,0.3,0.04,3.178774856896423e7
0.5,0.57,0.61,3.1720826217573255e7
0.54,0.53,0.73,3.1729015419716727e7
0.41,0.29,0.63,3.164581312550817e7
0.28,0.13,0.66,3.1571404009646595e7
0.56,0.01,0.53,3.2022114541845046e7
0.07,0.28,0.43,3.1195352868210778e7
0.68,0.37,0.68,3.176301602680506e7
0.13,0.33,0.91,3.1339451569561653e7
0.14,0.96,0.95,3.1677421973370694e7
0.71,0.99,0.28,3.188640963692283e7
0.8,0.55,0.23,3.1806296918009542e7
0.16,0.55,0.35,3.1459284311747693e7
0.23,0.88,0.05,3.1696023118089754e7
0.15,0.06,0.04,3.149499424381151e7
0.44,0.55,0.44,3.1689238986129474e7
0.09,0.07,0.72,3.1322969323079288e7
0.22,0.78,0.61,3.1636428886670493e7
0.23,0.98,0.99,3.174818797731584e7
0.55,0.24,0.03,3.172307989837369e7
0.33,0.1,0.6,3.163624891332293e7
0.39,0.81,0.84,3.1748826216422617e7
0.59,0.46,0.59,3.1738047027319595e7
0.8,0.65,0.77,3.18212244104684e7
0.28,0.19,0.65,3.1553042601411927e7
0.72,0.54,0.74,3.1786324601657715e7
0.12,0.98,0.88,3.1674889062304404e7
0.24,0.2,0.32,3.150741667704256e7
0.42,0.79,0.68,3.1753688640362184e7
0.01,0.85,0.94,3.1668758864701226e7
0.85,0.72,0.97,3.1843184431893658e7
0.93,0.94,0.15,3.1899698186343595e7
0.82,0.17,0.48,3.1819607551690582e7
0.21,0.5,0.25,3.150237456749185e7
0.56,0.22,0.23,3.173003245155192e7
0.59,0.29,0.84,3.1734595807192743e7
0.56,0.53,0.71,3.17364976784105e7
0.19,0.03,0.01,3.1778719193832044e7
0.56,0.83,0.62,3.181204228015152e7
0.96,0.1,0.52,3.187090122703537e7
0.03,0.93,0.33,3.1633769950944018e7
0.93,0.18,0.89,3.1841393690181557e7
0.35,0.54,0.29,3.1635260173505876e7
0.62,0.48,0.36,3.175037447499546e7
0.57,0.9,0.71,3.1836187514746092e7
0.62,0.95,0.14,3.1861326243264012e7
0.06,0.96,0.36,3.1624992924696174e7
0.08,0.87,0.97,3.1564046185180325e7
0.5,0.47,0.99,3.1703273012470063e7
0.16,0.58,0.53,3.1473107980034612e7
0.35,0.87,0.47,3.1755799531016458e7
0.33,0.02,0.8,3.1970539071748078e7
0.45,0.17,0.36,3.168648167015899e7
0.7,0.95,0.34,3.1874222080760248e7
0.84,0.26,0.47,3.1810826994685944e7
0.82,0.27,0.76,3.180515558405511e7
0.32,0.7,0.95,3.166948842161264e7
0.19,0.78,0.39,3.16113377088289e7
0.57,0.34,0.38,3.1724915555553753e7
0.9,0.89,0.77,3.1885599864278536e7
0.3,0.15,0.24,3.1582977640708264e7
0.48,0.25,0.18,3.168899264583085e7
0.09,0.84,0.75,3.1550180642749116e7
0.89,0.21,0.09,3.1828155852539394e7
0.31,0.46,0.35,3.158745952000488e7
0.93,0.87,0.39,3.1884911474205256e7
0.13,0.32,0.7,3.1337844245135218e7
0.41,0.93,0.98,3.1803121975589428e7
0.57,0.82,0.68,3.1811521063746747e7
0.95,0.91,0.53,3.189548031697692e7
0.51,0.32,0.93,3.1699340843732025e7
0.49,0.6,0.35,3.1723553985616162e7
0.39,0.14,0.81,3.1658516857037265e7
0.82,0.67,0.03,3.182859417841103e7
0.31,0.16,0.48,3.158902099209108e7
0.17,0.8,0.84,3.160461721771294e7
0.92,0.76,0.73,3.186167705071046e7
0.09,0.64,0.34,3.1405534327020567e7
0.58,0.07,0.31,3.1810726019959312e7
0.08,0.44,0.03,3.1271068027349215e7
0.79,0.82,0.47,3.1854831771534733e7
0.71,0.03,0.77,3.1978450268022396e7
0.41,0.74,0.77,3.1731445422694687e7
0.33,0.01,0.87,3.2024288706992168e7
0.32,0.31,0.67,3.157962878805238e7
0.56,0.36,0.97,3.1720919927904695e7
0.62,0.6,0.98,3.1768872903651904e7
0.87,0.31,0.95,3.181372496979626e7
0.15,0.15,0.67,3.138410108067279e7
0.89,0.58,0.87,3.182809570324064e7
0.34,0.07,0.08,3.1686905602111623e7
0.75,0.19,0.33,3.179816322631206e7
0.42,0.14,0.07,3.1677979947106022e7
0.98,0.91,0.22,3.1898646681279834e7
0.79,0.59,1.0,3.180949983237817e7
0.69,0.67,0.68,3.1801609610949136e7
0.87,0.8,0.31,3.1862409042400964e7
0.03,0.68,0.97,3.1423375429356184e7
0.98,0.91,0.98,3.1898646681279834e7
0.13,0.02,0.95,3.184168409189223e7
0.16,0.73,0.77,3.1553499894884262e7
0.69,0.42,0.44,3.1767295169597678e7
0.42,0.19,0.73,3.166406245218468e7
0.34,0.32,0.27,3.159597910093329e7
0.97,0.4,0.38,3.1832088856972385e7
1.0,0.83,0.26,3.188531812248362e7
0.36,0.88,0.77,3.1764299838521194e7
0.85,0.24,0.84,3.181531665095097e7
0.21,0.13,0.67,3.148883074853456e7
0.79,0.99,0.8,3.189618510720363e7
0.14,0.86,0.35,3.161349571935472e7
0.57,0.91,0.3,3.1839314313374035e7
0.34,0.03,0.43,3.18882184512142e7
0.68,0.62,0.48,3.1789098713034283e7
0.53,0.54,0.57,3.17269074407511e7
0.02,0.8,0.62,3.156693191210523e7
0.57,0.36,0.78,3.172491615326773e7
0.54,0.38,0.89,3.171311506130372e7
0.86,0.2,0.49,3.1823156517204903e7
0.67,0.95,0.26,3.1869669001078803e7
0.1,0.36,0.31,3.1283897488840993e7
0.96,0.38,1.0,3.1830218183849137e7
0.64,0.43,0.17,3.1752548384580802e7
0.35,0.59,0.11,3.1649414976927213e7
0.26,0.64,0.36,3.1602879498484362e7
0.34,0.68,0.19,3.167384981958813e7
0.09,0.34,0.97,3.1256044008588426e7
0.86,0.84,0.12,3.186959012702128e7
0.26,0.37,0.53,3.1527548364167444e7
0.35,0.51,0.86,3.1627844296655722e7
0.71,0.86,0.31,3.185172988023264e7
0.36,0.03,0.61,3.1897555151229642e7
0.37,0.27,0.37,3.1619869375199027e7
0.56,0.57,0.73,3.1743689130264238e7
0.5,0.53,0.21,3.1712813639564488e7
0.57,0.75,0.01,3.1790931661603313e7
0.74,0.73,0.45,3.182541571449446e7
0.01,0.58,0.27,3.146622641676726e7
0.5,0.63,0.76,3.1735014186995216e7
0.67,0.58,0.14,3.177930789204192e7
