α_v,α_s,α_v_error,α_s_error,decay,MSE
0.5,0.93,0.88,0.06,0.2,3.1356369294131175e7
0.41,0.4,1.0,0.76,0.71,3.1399967719361827e7
0.17,0.88,0.23,1.0,0.61,3.1339880605046153e7
0.61,0.5,0.4,0.03,0.96,3.1373265463435438e7
0.9,0.93,0.7,0.12,0.65,3.1411266800741035e7
0.11,0.97,0.43,0.74,0.28,3.1343449277939856e7
0.09,0.05,0.95,0.72,1.0,3.1555474326104116e7
0.48,0.82,0.88,0.27,0.9,3.1359213138099946e7
0.55,0.41,0.08,0.27,0.15,3.1366115930857982e7
0.48,0.81,0.45,0.38,0.22,3.1344781285300143e7
0.65,0.8,0.01,0.02,0.58,3.1345366287801992e7
0.25,0.28,0.9,0.93,0.22,3.1412411780432913e7
0.19,0.68,0.51,0.25,0.5,3.132562970973623e7
0.21,0.39,0.44,0.92,0.36,3.1369104220121913e7
0.98,0.82,0.55,0.03,0.97,3.141898532020991e7
0.65,0.21,0.09,0.07,0.33,3.1424296457115334e7
0.47,0.35,0.94,0.81,0.66,3.1412535464948393e7
0.76,0.57,0.7,0.87,0.3,3.142450407441518e7
0.14,0.92,0.14,0.86,0.31,3.133342964789896e7
0.54,0.58,0.81,0.56,0.6,3.1384466787926424e7
0.6,0.85,0.34,0.74,0.9,3.1368521840231586e7
0.96,0.58,0.3,0.11,0.43,3.1424722842012767e7
0.55,0.63,0.4,0.44,0.85,3.1362218645190723e7
0.93,0.67,0.09,0.4,0.78,3.1412274400443893e7
0.54,0.78,0.08,0.36,0.96,3.1339144930056702e7
0.67,0.03,0.87,0.47,0.46,3.1568847578103162e7
0.87,0.4,0.18,0.01,0.24,3.142312543247136e7
0.25,0.47,0.66,0.16,0.28,3.1347773840333596e7
0.16,0.34,0.33,0.97,0.53,3.137175178618339e7
1.0,0.65,0.42,0.33,0.72,3.1433465691042338e7
0.61,0.2,0.49,0.15,0.76,3.143727056429142e7
0.79,0.68,0.26,0.33,0.25,3.139283755945897e7
0.79,0.84,0.92,0.71,0.99,3.1418145488132305e7
0.13,0.86,0.65,0.28,0.59,3.133029117136457e7
0.23,0.95,0.77,0.55,0.42,3.1350233234138127e7
0.38,1.0,0.54,0.63,0.82,3.135099322686363e7
0.74,0.15,0.49,0.25,0.45,3.1478880196345042e7
0.79,0.93,0.51,0.24,0.89,3.1390975612558033e7
0.3,0.87,0.47,0.65,0.45,3.1339013527861305e7
0.24,0.97,0.25,0.99,0.23,3.134513831131856e7
0.97,0.91,0.3,0.61,0.15,3.1419080589984432e7
0.81,0.83,0.71,0.55,0.35,3.1410263900571994e7
0.91,0.32,0.53,0.11,0.48,3.145414710855455e7
0.22,0.49,0.1,0.95,0.16,3.1343978471829023e7
0.3,0.1,0.68,0.06,0.64,3.1480685109282322e7
0.5,0.71,0.23,0.49,0.63,3.134478229294487e7
0.76,0.4,0.23,0.42,0.87,3.141441782468315e7
0.65,0.04,0.54,0.32,0.18,3.1558385514456984e7
0.61,0.15,0.73,0.81,0.41,3.1476438689806502e7
0.38,0.46,0.12,0.21,0.25,3.13343138332004e7
0.11,0.92,0.56,0.9,0.99,3.135047660385906e7
0.94,0.85,0.12,0.73,0.23,3.1413436576364398e7
0.71,0.75,0.36,0.8,0.6,3.1391314048836e7
0.61,0.78,0.61,0.62,0.6,3.1378191925819617e7
0.14,0.67,0.85,0.85,0.23,3.1360939588685736e7
0.06,0.5,0.11,0.29,0.73,3.1327337979294546e7
0.42,0.95,0.07,0.93,0.9,3.134350895653192e7
0.26,0.69,0.46,0.91,0.57,3.1347529615258712e7
0.02,0.04,0.18,0.23,0.97,3.1568265588408977e7
0.69,0.16,0.08,0.33,0.97,3.1455051347491626e7
0.53,0.9,0.63,0.61,0.25,3.136541051772168e7
0.28,1.0,0.09,0.64,0.8,3.1330343636946727e7
0.83,0.97,0.68,0.84,0.38,3.1416924299104877e7
0.76,0.06,0.87,0.28,0.1,3.154968005027789e7
0.56,0.35,0.24,0.58,0.47,3.1390896178724576e7
0.24,0.8,0.33,0.79,0.13,3.133554128328887e7
0.86,0.4,0.15,0.98,0.93,3.1439892449446e7
0.43,0.3,0.13,0.11,0.7,3.1364520215194345e7
0.08,0.86,0.41,0.9,0.13,3.1345031938391592e7
0.19,0.6,0.26,0.88,0.57,3.133959037929447e7
0.25,0.83,0.74,0.6,0.45,3.1347286819480237e7
0.16,0.37,0.36,0.86,0.48,3.1364193260590263e7
0.56,0.68,0.76,0.6,0.58,3.138000471328491e7
0.23,0.64,0.45,0.04,0.5,3.131934470656465e7
0.73,0.66,0.74,0.93,0.21,3.1416415711286187e7
0.73,0.73,0.03,0.36,0.06,3.1372068600611247e7
0.32,0.13,0.45,0.49,0.69,3.144778459898233e7
0.84,0.92,0.56,0.62,0.35,3.1409318781787425e7
0.04,0.78,0.87,0.14,0.6,3.133734254653633e7
0.26,0.74,0.87,0.56,0.02,3.1353135046948534e7
0.34,0.13,0.27,0.11,0.29,3.143878071419654e7
0.09,0.72,0.92,0.82,0.48,3.1359855008183256e7
0.51,0.33,1.0,0.46,0.11,3.1414975151516065e7
0.75,0.62,0.06,0.97,0.43,3.1399116554536283e7
0.52,0.99,0.63,0.52,0.58,3.136413887021398e7
0.78,0.91,0.25,0.7,0.92,3.139204491127865e7
0.75,0.87,0.38,0.99,0.23,3.139989882311379e7
0.73,0.19,0.54,0.58,0.6,3.1466405475186586e7
0.71,0.39,0.44,0.29,0.04,3.1412003405444197e7
0.78,0.38,0.24,0.15,0.84,3.1415390783390563e7
0.66,0.98,0.36,0.73,0.77,3.137928839191047e7
0.26,0.39,0.26,0.28,0.15,3.1342350382843897e7
0.98,1.0,0.52,0.95,0.69,3.143367005368122e7
0.49,0.83,1.0,0.83,0.92,3.1381595258059956e7
0.92,0.03,0.29,0.16,0.37,3.156697427681372e7
0.96,0.31,0.86,0.87,0.44,3.1484347019727726e7
0.27,0.8,0.07,0.34,0.61,3.13100625074598e7
0.23,0.93,0.45,0.61,0.56,3.1337643459558617e7
0.6,0.91,0.96,0.71,0.53,3.139050261876669e7
0.59,0.64,0.18,0.44,0.06,3.135974939150513e7
0.08,0.16,0.43,0.67,0.46,3.142600303724844e7
0.65,0.01,0.48,0.98,0.2,3.154961803403254e7
0.16,0.54,0.74,0.93,0.01,3.1366468613794513e7
0.76,0.26,0.16,0.7,0.17,3.144120333384083e7
0.96,0.39,0.24,0.74,0.81,3.1453269895611115e7
0.83,0.73,0.62,0.69,0.81,3.141783741873888e7
0.3,0.91,0.36,0.59,0.48,3.1333782027952965e7
0.5,0.99,0.56,0.8,0.34,3.1367255269976433e7
0.98,0.41,0.66,0.92,0.43,3.1469742993555374e7
1.0,0.74,0.3,0.59,0.84,3.1429305539181244e7
0.28,0.75,0.43,0.24,0.09,3.132270044004901e7
0.77,0.95,0.41,0.49,0.1,3.1390664218338925e7
0.65,0.9,0.82,0.71,0.82,3.1392553383058436e7
0.73,0.17,0.31,0.33,0.37,3.146339006260487e7
0.01,0.28,0.97,0.16,0.8,3.124996010138267e7
0.99,0.6,0.5,0.28,0.93,3.1437380918613404e7
