α_v,α_s,α_v_error,α_s_error,decay,MSE
0.9,0.66,0.62,0.26,0.52,2.0703494003226586e7
0.08,1.0,0.94,0.06,0.59,2.1368932812947556e7
0.67,0.99,0.12,0.07,0.42,2.0882507732225336e7
0.6,0.06,0.2,0.38,0.63,2.076746485869925e7
0.88,0.54,0.24,0.52,0.66,2.0656971523043837e7
0.7,0.06,0.2,0.83,0.49,2.0940354980295725e7
0.56,0.88,0.47,0.9,0.63,2.0876021797594927e7
0.69,0.74,0.14,0.12,0.38,2.0744700433468774e7
0.1,0.18,0.13,0.14,0.69,2.1268519989545707e7
0.81,0.13,0.35,0.24,0.88,2.059148034037351e7
0.8,0.85,0.61,0.54,0.07,2.0795510822075866e7
1.0,0.38,0.01,0.27,0.96,2.06239518901811e7
0.14,0.23,0.4,0.65,0.3,2.0995052174809754e7
0.83,0.23,0.27,0.68,0.74,2.0601822086737722e7
0.68,0.23,0.44,0.4,0.25,2.0535431059427742e7
0.51,0.79,0.06,0.67,0.93,2.089510376458852e7
0.59,0.99,0.75,0.5,0.82,2.0873596965530165e7
0.83,0.05,0.83,0.85,0.37,2.1006534921053454e7
0.9,0.64,0.15,0.68,0.48,2.0716036233028814e7
0.24,1.0,0.4,0.09,0.6,2.1129164392289393e7
0.33,0.87,0.91,0.42,0.76,2.088080935610676e7
0.58,0.68,0.68,0.73,0.61,2.0713563334258147e7
0.05,0.65,0.24,0.94,0.75,2.1559769616738267e7
0.17,0.61,0.53,0.47,0.52,2.1007232468916148e7
0.42,0.56,0.98,0.37,0.1,2.0624317213609766e7
0.68,0.59,0.11,0.07,0.07,2.067449258612358e7
0.13,0.37,0.92,0.57,0.98,2.0901318749863524e7
0.87,0.17,0.81,0.42,0.49,2.0614175465831824e7
0.34,0.73,0.78,0.73,0.04,2.0823380940074448e7
0.44,0.75,0.5,0.28,0.73,2.078565513263274e7
0.38,0.08,0.7,0.48,0.62,2.0676929915062565e7
0.76,0.65,0.51,0.24,0.65,2.067104646393831e7
0.22,0.45,0.28,0.04,0.66,2.0910875432181194e7
0.34,0.56,0.17,0.4,0.23,2.0852028621886075e7
0.38,0.67,0.5,0.12,0.58,2.0766321326869994e7
0.06,0.25,0.53,0.55,0.84,2.1171113866582256e7
0.05,0.15,0.93,1.0,0.66,2.126658463599421e7
0.85,0.32,0.63,0.86,0.11,2.06207302416471e7
0.42,0.16,1.0,0.42,0.06,2.0508753200366583e7
0.5,0.8,0.55,0.35,0.5,2.0787130403316416e7
0.59,0.07,0.4,0.56,0.47,2.075602948835936e7
0.25,0.82,0.54,0.7,0.49,2.101672199361094e7
0.59,0.77,0.37,0.79,0.06,2.0803452357539497e7
0.53,0.35,0.92,0.17,0.1,2.050099316494232e7
0.35,0.57,0.93,0.44,0.29,2.067332682910219e7
0.34,0.33,0.05,0.77,0.44,2.0846680367883053e7
0.4,0.44,0.37,0.8,0.14,2.0705145620086763e7
0.28,0.49,0.76,0.04,0.46,2.0697252498515636e7
0.15,0.22,0.88,0.9,0.23,2.0869353302910395e7
0.89,0.24,0.74,0.09,0.16,2.05837293843354e7
0.51,0.04,0.67,0.68,0.93,2.096305694632912e7
0.2,0.19,0.92,0.07,0.13,2.069657879943402e7
0.05,0.66,0.67,0.71,0.89,2.1383598886901695e7
0.69,0.58,0.64,0.79,0.32,2.0664612476149797e7
0.38,0.22,0.18,0.26,0.04,2.0686602103069633e7
0.61,0.11,0.8,0.83,0.01,2.06826560438725e7
0.06,0.73,0.2,0.84,0.49,2.157009495794385e7
0.81,0.74,0.64,0.47,0.61,2.0734669461455785e7
0.76,0.09,0.91,0.77,0.2,2.0762623322620865e7
0.82,0.52,0.25,0.39,0.63,2.0632909684006557e7
0.17,0.7,0.41,0.13,0.31,2.1083324461862244e7
0.94,0.95,0.15,0.06,0.95,2.0823819029018156e7
0.02,0.48,0.08,0.62,0.66,2.16775161360753e7
0.93,0.53,0.39,0.86,0.32,2.0693072820659008e7
0.82,0.72,0.97,0.9,0.18,2.0773191718771443e7
0.57,0.38,0.17,0.68,0.86,2.0639462945389234e7
0.46,0.2,0.54,0.14,0.29,2.0528648440618634e7
0.17,0.75,0.46,0.67,0.81,2.1127590129555956e7
0.32,0.88,0.24,0.7,0.27,2.105265753159079e7
0.39,0.75,0.01,0.7,0.69,2.0984549227684524e7
0.16,0.35,0.67,0.7,0.42,2.087220416465449e7
0.09,0.24,0.35,0.51,0.51,2.1151018890248038e7
0.15,0.7,0.2,0.4,0.96,2.1233638084324915e7
0.2,0.91,0.72,0.21,0.31,2.1071216120483667e7
0.07,0.55,0.86,0.86,0.36,2.1216519043131877e7
0.22,0.86,0.71,0.43,0.05,2.102521527660978e7
0.55,0.69,0.69,0.08,0.37,2.0681146982905865e7
0.14,0.07,0.6,0.19,0.72,2.0964327801801942e7
0.89,0.14,0.03,0.31,0.47,2.0624170323323175e7
0.47,0.51,0.6,0.65,0.42,2.0639946092820562e7
0.17,0.88,0.99,0.11,0.77,2.1071247784145705e7
0.98,0.33,0.17,0.93,0.05,2.066682313396316e7
0.61,0.16,0.98,0.64,0.95,2.055601193187414e7
0.87,0.85,0.39,0.3,0.9,2.078472271363417e7
0.25,0.65,0.87,0.06,0.43,2.0811275101416446e7
0.96,0.11,0.41,0.38,0.3,2.0690846186897784e7
0.77,0.19,0.27,0.29,0.24,2.0559950113910735e7
0.47,0.47,0.77,0.29,0.8,2.0572495648715235e7
0.59,0.65,0.57,0.83,0.84,2.0714395215880074e7
0.69,0.59,0.86,0.73,1.0,2.0659727612113796e7
0.81,0.95,0.95,0.85,0.19,2.0884071760987572e7
0.02,0.86,0.28,0.82,0.95,2.1751148907530148e7
0.16,0.39,0.63,0.55,0.37,2.0885243537734255e7
0.43,0.44,1.0,0.01,0.49,2.054888210276357e7
0.46,0.25,0.04,0.48,0.29,2.0694305207189605e7
0.52,0.86,0.65,0.73,0.6,2.0837187615502268e7
0.49,0.27,0.29,0.87,0.15,2.064665129036598e7
0.9,0.2,0.4,0.04,0.3,2.0580710643434986e7
0.98,0.69,0.91,0.76,0.64,2.0797963874457944e7
0.26,0.72,0.98,0.45,0.16,2.0850037940896273e7
0.99,0.33,0.68,0.22,0.46,2.0639272129343797e7
0.95,0.5,0.29,0.74,0.37,2.067528644687614e7
0.43,0.11,0.42,0.3,0.96,2.0623039145507246e7
0.34,0.42,0.49,0.52,0.17,2.067995499461825e7
0.78,0.15,0.7,0.55,0.36,2.0602552226734873e7
0.43,0.93,0.67,0.91,0.25,2.093111742872125e7
0.48,0.66,0.79,0.28,0.69,2.067604014526941e7
0.2,0.1,0.01,0.18,0.7,2.1125267014932e7
0.75,0.29,0.82,0.47,0.31,2.0545537962271146e7
0.96,0.24,0.2,0.04,0.04,2.0595272988189958e7
0.06,0.57,0.63,0.49,0.93,2.1277970460160878e7
0.54,0.09,0.17,0.73,0.68,2.081060393586089e7
0.8,0.16,0.34,0.54,0.3,2.060567095379193e7
0.84,0.54,0.23,0.29,0.69,2.063889530302457e7
0.24,0.19,0.19,0.93,0.05,2.0969570093092773e7
0.56,0.17,0.54,0.31,0.97,2.052543671558491e7
0.57,0.01,0.25,0.7,0.05,2.1487481919227608e7
0.49,0.62,0.05,0.45,1.0,2.080013083095647e7
0.53,0.74,0.47,0.35,0.23,2.075273498575871e7
0.26,0.03,0.24,0.15,0.17,2.107720881506375e7
0.64,0.13,0.99,0.6,0.21,2.058842974763348e7
0.33,0.54,0.66,0.61,0.97,2.0719993340865776e7
0.81,0.48,0.3,0.31,0.44,2.060963487792781e7
0.85,0.19,0.1,0.52,0.05,2.060762162864981e7
0.32,0.36,0.66,0.17,0.93,2.0613275413681783e7
0.55,0.84,0.93,0.18,0.19,2.0758796823906578e7
0.09,0.69,0.76,0.65,0.78,2.1216963728260815e7
0.65,0.8,1.0,0.76,0.83,2.077547620187293e7
0.73,0.28,0.59,0.58,0.21,2.0550420372438315e7
0.71,0.39,0.69,0.79,0.56,2.0586063694989394e7
0.34,0.41,0.18,0.24,0.75,2.0769651238754652e7
0.06,0.24,0.88,0.17,0.56,2.110665743891125e7
0.86,0.46,0.49,0.47,0.7,2.061797860419105e7
0.49,0.99,0.83,0.27,0.91,2.087285176341086e7
0.16,0.86,0.66,0.43,0.15,2.1140310952568717e7
0.99,0.96,0.87,0.59,0.29,2.0901634656425476e7
0.68,0.47,0.42,0.85,0.62,2.0633373302289642e7
0.06,0.84,0.73,0.82,0.69,2.1433918762422286e7
0.59,0.42,0.48,0.08,0.79,2.056195264207851e7
0.09,0.31,0.96,0.75,0.04,2.101817439208936e7
0.08,0.36,0.18,0.14,0.46,2.1314427909819946e7
0.61,0.92,0.27,0.53,0.85,2.0873806207661092e7
0.03,1.0,0.18,0.87,0.03,2.1806867365243338e7
0.39,0.45,0.6,0.53,0.08,2.0633394456012286e7
0.21,0.55,0.74,0.15,0.42,2.0831543551663637e7
0.2,0.11,0.05,0.87,0.79,2.1240323005546004e7
0.46,0.86,0.69,0.32,0.64,2.0818633755461942e7
0.98,0.37,0.39,0.72,0.92,2.0654570977894858e7
0.77,0.81,0.74,0.03,0.54,2.0742799312754553e7
0.84,0.69,0.71,0.42,0.72,2.071363092612891e7
0.63,0.26,0.18,0.26,0.6,2.056568121280075e7
0.24,0.32,1.0,0.49,0.24,2.065419271352593e7
0.02,0.58,0.88,0.93,0.51,2.157152583373435e7
0.84,0.88,0.87,0.04,0.73,2.0792528827765755e7
0.73,0.61,0.96,0.87,0.69,2.0692411576192696e7
0.63,0.94,0.5,0.53,0.03,2.0856716219536982e7
0.31,0.36,0.89,0.95,0.53,2.0651060110872142e7
0.4,0.99,0.72,0.62,0.97,2.094854535439882e7
0.76,0.37,0.66,0.99,0.96,2.061702056989233e7
0.57,0.02,0.52,0.25,0.65,2.0958316318858895e7
0.19,0.68,0.46,0.18,0.65,2.101647005040686e7
0.89,0.87,0.45,0.46,0.38,2.0807567811651506e7
0.08,0.97,0.7,0.67,0.4,2.1418452284454927e7
0.76,0.39,0.08,0.77,0.95,2.0629707013923153e7
0.36,0.13,0.19,1.0,0.32,2.090479562387485e7
0.95,0.99,0.65,0.69,0.39,2.090012721885265e7
0.1,0.84,0.79,0.18,0.03,2.123919532863186e7
0.99,0.49,0.25,0.22,0.32,2.065203766129186e7
0.31,0.39,0.59,0.22,0.08,2.0651881776544616e7
0.84,0.4,0.61,0.35,0.27,2.0587496860088397e7
0.27,0.07,0.76,0.76,0.91,2.0896369437819965e7
0.03,0.23,0.85,0.84,0.23,2.1354738289090067e7
0.47,0.71,0.08,0.47,0.5,2.0855087093564056e7
0.38,0.25,0.59,0.36,0.61,2.0559315565323442e7
0.71,0.89,0.19,0.08,0.59,2.0811654056078658e7
0.08,0.02,0.61,0.89,0.87,2.1784148820279457e7
0.28,0.05,0.36,0.1,0.12,2.086338062984952e7
0.42,0.32,0.07,0.41,0.74,2.0716523616912566e7
0.52,0.17,0.46,0.08,0.12,2.0536686142654613e7
0.46,0.13,0.68,0.1,0.39,2.0527675283857986e7
0.33,0.05,0.64,0.57,0.55,2.089338993781645e7
0.35,0.97,0.68,0.38,0.98,2.0954046529261507e7
0.99,0.48,0.32,0.12,0.36,2.0648547163686886e7
0.98,0.58,0.49,0.62,0.16,2.0712480215299986e7
0.53,0.23,0.62,0.68,0.15,2.0544748464105327e7
0.92,0.68,0.1,0.77,0.88,2.0744400668788902e7
0.85,0.5,0.07,0.56,0.54,2.064699174723917e7
0.4,0.43,0.21,0.01,0.55,2.07074400594991e7
0.85,0.06,0.72,0.8,0.22,2.092900621606484e7
0.09,0.79,0.47,0.26,0.91,2.132344969064734e7
0.22,0.58,0.19,0.32,0.1,2.102306192494116e7
0.37,0.79,0.92,0.14,0.5,2.0784838947683297e7
0.02,0.72,0.05,0.72,0.64,2.1798832379381027e7
0.79,0.31,0.64,0.4,0.73,2.055402283772452e7
0.29,0.26,0.42,0.17,0.99,2.0683443726748936e7
0.02,1.0,0.18,0.43,0.15,2.1816942482363924e7
0.75,0.98,0.2,0.94,0.39,2.0919385194389194e7
0.65,0.58,0.67,0.91,0.42,2.0673804494677067e7
0.83,0.62,0.38,0.76,0.89,2.070205547359524e7
0.11,0.23,0.41,0.63,0.28,2.10675869619175e7
0.07,0.86,0.28,0.93,0.15,2.1553537296581417e7
0.75,0.35,0.43,0.07,0.25,2.0547940712600492e7
0.48,0.16,0.15,0.73,0.36,2.0714872289631337e7
0.4,0.38,0.74,0.82,0.16,2.0601961099589076e7
0.63,0.31,0.91,0.87,0.84,2.0559844753144212e7
0.12,0.98,0.81,0.79,0.54,2.130184303608302e7
0.31,0.88,0.93,0.22,0.61,2.088939146048575e7
0.75,0.76,0.41,0.87,0.21,2.0779959030083206e7
0.7,0.61,0.21,0.54,0.15,2.0690829864725895e7
0.55,0.6,0.93,0.9,0.93,2.0672230903607674e7
0.4,0.33,0.67,0.24,0.43,2.0547539233385257e7
0.61,0.95,0.09,0.27,0.92,2.089731176718408e7
0.32,0.96,0.6,0.62,0.69,2.1005482793861695e7
1.0,0.85,0.88,0.7,0.78,2.086660196398872e7
0.11,0.52,0.98,0.4,0.1,2.1021551018729992e7
0.48,0.53,0.49,0.83,0.54,2.0684205487093642e7
0.32,0.15,0.4,0.71,0.47,2.0745659337108176e7
0.87,0.26,0.45,0.49,0.95,2.058399714211746e7
1.0,0.29,0.54,0.33,0.99,2.0635941156764522e7
0.02,0.11,0.26,0.91,0.52,2.16309322197042e7
0.55,0.84,0.14,0.49,0.89,2.0869247894670118e7
0.56,0.41,0.75,0.43,0.66,2.054286381689772e7
0.09,0.77,0.5,0.03,0.92,2.129365613680713e7
0.24,0.21,0.22,0.15,0.82,2.0845148297498107e7
0.59,0.74,0.26,0.88,0.66,2.0811050260189902e7
0.72,0.82,0.36,0.54,0.13,2.0787507597617112e7
0.76,0.71,0.92,0.8,0.87,2.0742524867727995e7
0.43,0.93,0.1,0.26,0.69,2.0986238703575e7
0.82,0.3,0.31,0.1,0.96,2.0555692256659817e7
0.43,0.52,0.89,0.36,0.27,2.060296382978641e7
0.29,0.32,0.57,0.28,0.86,2.0651574564901255e7
0.37,0.6,0.17,0.64,0.05,2.0860122905076355e7
0.6,0.52,0.26,0.84,0.24,2.068553973512973e7
0.73,0.6,0.25,0.35,0.51,2.066640339236024e7
0.61,0.69,0.28,0.43,0.9,2.073464145125836e7
0.2,0.86,0.96,0.57,0.5,2.1035620075497836e7
0.56,0.28,0.85,0.03,0.34,2.04894698513751e7
0.19,0.44,0.96,0.14,0.58,2.07808616822715e7
0.59,0.82,0.73,0.11,0.19,2.0749222516434282e7
0.21,0.98,0.14,0.21,0.29,2.1258289852765277e7
0.74,0.88,0.26,0.93,0.35,2.0861237664423577e7
0.03,0.09,0.88,0.22,0.2,2.1374906790618394e7
0.39,0.15,0.4,0.85,0.11,2.072453001319999e7
0.16,0.89,0.79,0.58,0.35,2.1146223014761757e7
0.08,0.33,0.3,0.38,0.73,2.1225467427221164e7
0.98,0.4,0.64,0.16,0.76,2.0641419518816035e7
0.18,0.72,0.47,0.42,0.93,2.1067995226092756e7
0.15,0.07,0.2,0.47,0.55,2.124221116271727e7
0.98,0.35,0.37,0.07,0.45,2.0614557328550823e7
0.6,0.12,0.83,0.77,0.42,2.0640062769287817e7
0.6,0.2,0.11,0.56,0.52,2.0621321371669516e7
0.89,0.85,0.71,0.42,0.43,2.080237430761568e7
0.31,0.39,0.56,0.27,0.15,2.0660768504671328e7
0.41,0.99,0.53,0.22,0.37,2.0939592215393562e7
1.0,0.71,0.11,0.68,0.08,2.0762637015162565e7
0.93,0.63,0.51,0.64,0.31,2.0718450090108164e7
0.6,0.41,0.28,0.79,0.35,2.063075875173378e7
0.6,1.0,0.49,0.71,0.8,2.0915512989983287e7
0.06,0.21,0.1,0.67,0.01,2.149589138248195e7
0.75,0.33,0.65,0.58,0.94,2.0559957485766016e7
0.86,0.37,0.76,0.67,0.96,2.061579089488281e7
0.12,0.03,0.51,0.9,0.61,2.160499031028639e7
0.83,0.74,0.95,0.76,0.17,2.0771620266712323e7
0.86,0.57,0.27,0.39,0.09,2.0657917932723723e7
0.83,0.24,0.84,1.0,0.64,2.0650786856012702e7
0.89,0.66,0.72,0.21,0.98,2.0702700344222154e7
0.92,0.85,0.08,0.09,0.35,2.077851001966817e7
0.54,0.05,0.85,0.42,0.8,2.0734962657233477e7
0.04,0.76,0.32,0.71,0.66,2.159573227899143e7
