α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.86,0.32,0.87,0.63,0.28,0.32,0.52,0.22,3.765114265450764e7
0.3,0.46,0.77,0.53,0.53,0.06,0.35,0.61,3.7630252193712816e7
0.28,0.68,0.33,0.87,0.5,0.33,0.87,0.63,3.740510338872454e7
0.95,0.85,0.37,0.45,0.49,0.02,0.8,0.8,3.799640543797161e7
0.47,0.57,0.42,0.79,0.12,0.66,0.44,0.06,3.746630600863656e7
0.94,0.94,0.26,0.3,0.82,0.79,0.51,0.32,3.682807873215792e7
0.19,0.91,0.89,1.0,0.51,0.56,0.69,0.36,3.7273917410288125e7
0.57,0.36,0.06,0.31,0.34,0.25,0.64,0.75,3.769779768589599e7
0.87,0.74,0.8,0.41,0.63,0.6,0.05,0.85,3.7037493205362156e7
0.03,0.55,0.05,0.23,0.39,0.82,0.41,0.92,3.735798047043405e7
0.41,0.38,0.93,0.27,0.12,0.06,0.02,0.42,3.797132125234463e7
0.38,0.48,0.09,0.88,0.28,0.21,0.28,0.56,3.770245210835314e7
0.44,0.7,0.72,0.5,0.08,0.93,0.98,0.26,3.735305038295742e7
0.92,0.05,0.05,0.82,0.24,0.3,0.86,0.74,3.836730549826684e7
0.01,0.92,0.99,0.05,0.77,0.38,0.32,0.36,3.734982752030336e7
0.55,0.87,0.2,0.36,1.0,0.2,0.29,0.81,3.732359734848481e7
0.09,0.59,0.5,0.77,0.07,0.19,0.42,0.64,3.780434476789604e7
0.74,0.37,0.27,0.07,0.42,0.63,0.38,0.79,3.731469413669256e7
0.51,0.58,0.44,0.83,0.12,0.85,0.26,0.9,3.741100452777742e7
0.88,0.25,0.57,0.39,0.08,0.88,0.43,0.72,3.7539309177812025e7
0.22,0.93,0.1,0.62,0.54,0.96,0.02,0.19,3.70548090427805e7
0.84,0.51,0.77,0.84,0.98,0.68,0.68,0.6,3.679910996311979e7
0.51,0.54,0.12,0.39,0.88,0.22,0.95,0.64,3.7326242650794275e7
0.7,0.11,0.42,0.19,0.98,0.68,0.02,0.22,3.6775146162728846e7
0.04,0.53,0.57,0.31,0.44,0.62,0.92,0.9,3.719083842115418e7
0.61,0.25,0.94,0.34,0.37,0.77,0.83,0.73,3.750194949442453e7
0.34,0.93,0.76,0.22,0.35,0.52,0.13,0.54,3.73348233090198e7
0.93,0.98,0.14,0.46,0.86,0.24,0.96,0.12,3.73166738473272e7
0.53,0.54,0.5,0.51,0.96,0.12,0.95,0.37,3.756986993618632e7
0.09,0.69,0.65,0.68,0.27,0.28,0.98,0.05,3.737060825559559e7
0.81,0.83,0.32,0.9,0.8,0.19,0.88,0.09,3.7416126398017764e7
0.97,0.83,0.74,0.3,0.15,0.85,0.25,0.25,3.753975464188902e7
0.35,0.41,0.12,0.01,0.84,0.72,0.9,0.4,3.721848966172962e7
0.96,0.81,0.19,0.12,0.78,0.52,0.77,0.12,3.695524368743896e7
0.61,0.73,0.86,0.22,0.48,0.59,0.37,0.52,3.7138726852076426e7
0.89,0.71,0.8,0.16,0.84,0.64,0.68,0.2,3.689647138464399e7
0.25,0.47,0.08,0.65,0.95,0.67,0.92,0.85,3.754668513595018e7
0.18,0.14,0.15,0.25,0.23,0.76,0.24,0.74,3.725729950793139e7
0.35,0.37,0.47,0.41,0.88,0.56,0.63,0.33,3.689140076820088e7
0.33,0.61,0.29,0.06,0.6,0.23,0.55,0.69,3.753971181237931e7
0.3,0.42,0.04,0.01,0.95,0.03,0.89,0.47,3.757430377040708e7
0.74,0.91,0.92,0.23,0.83,0.27,0.47,0.85,3.7312666770689845e7
0.44,0.87,0.89,0.23,0.03,0.78,0.04,0.82,3.747519971398606e7
0.72,0.7,0.57,0.32,0.04,0.11,0.87,0.68,3.829434758499149e7
0.48,0.63,0.43,0.88,0.63,0.86,0.81,0.61,3.698071685334897e7
0.04,0.72,0.13,0.53,1.0,0.83,0.49,0.55,3.694296954904227e7
0.63,0.01,0.45,0.85,0.88,0.14,0.23,0.58,3.840523259313472e7
0.27,0.39,0.79,0.6,0.15,0.5,0.17,0.5,3.72567194604692e7
0.43,0.18,0.54,0.24,0.69,0.28,0.95,0.31,3.7496766244503245e7
0.33,0.84,0.42,0.33,0.58,0.18,0.95,0.47,3.776060399050846e7
0.89,0.3,0.27,0.61,0.14,0.93,0.35,0.57,3.7628546577126995e7
0.49,0.43,0.82,0.33,0.77,0.9,0.04,0.83,3.6867982538896054e7
0.58,0.67,0.99,0.61,0.19,0.58,0.84,0.54,3.751166279026489e7
0.4,0.28,0.23,0.39,0.62,0.52,0.76,0.05,3.721593828309911e7
0.65,0.61,0.47,0.13,0.14,0.6,0.13,0.14,3.739677373096113e7
0.08,0.66,0.62,0.17,0.86,0.21,0.18,0.94,3.7361560106109716e7
0.44,0.04,0.67,0.63,0.34,0.01,0.06,0.19,3.917328968916944e7
0.47,0.02,0.64,0.14,0.4,0.6,0.83,0.97,3.829511352125364e7
0.09,0.63,0.04,0.45,0.32,0.3,0.38,0.25,3.762272881490406e7
0.97,0.24,0.85,0.14,0.73,0.93,0.51,0.14,3.686229381831743e7
0.4,0.55,0.67,0.5,0.94,1.0,0.34,0.96,3.67558054251578e7
0.22,0.98,0.84,0.57,0.76,0.92,0.9,0.44,3.728998700320397e7
0.11,0.46,0.69,0.11,0.4,0.76,0.56,0.82,3.720235784789386e7
0.06,0.46,0.77,0.62,0.49,0.21,0.5,0.25,3.7861419383030586e7
0.87,0.64,0.95,0.39,0.36,0.91,0.77,0.37,3.7225664233984e7
0.66,0.97,0.71,0.06,0.79,0.69,0.6,1.0,3.693781890251863e7
0.12,0.89,0.63,0.4,0.26,0.94,0.02,0.62,3.7171937396776944e7
0.51,0.02,0.38,0.31,0.38,0.26,0.17,0.1,3.8036858468815744e7
0.37,1.0,0.64,0.58,0.69,0.1,0.48,0.5,3.7743513026866935e7
0.05,0.72,0.95,0.22,0.69,0.88,0.01,0.95,3.692203185733361e7
0.85,0.86,0.68,0.43,0.41,0.95,0.22,0.05,3.716066084330213e7
0.96,0.14,0.66,0.72,0.33,0.3,0.15,0.01,3.769365958530639e7
0.5,0.06,0.37,0.3,0.14,0.08,0.99,0.05,3.809105016039911e7
0.95,0.82,0.85,0.75,0.88,0.98,0.71,0.22,3.681072475768581e7
0.62,0.68,0.34,0.34,0.19,0.23,0.69,0.31,3.786834043157051e7
0.16,0.88,0.42,0.92,0.06,0.89,0.71,0.25,3.723718094035646e7
1.0,0.87,0.28,0.62,0.13,0.95,0.5,0.98,3.743818358570752e7
0.77,0.07,0.7,0.02,0.62,0.48,0.17,0.49,3.733125722857249e7
0.64,0.24,0.82,0.33,0.34,0.32,0.97,1.0,3.765946990934729e7
0.3,0.4,0.12,0.63,0.85,0.66,0.94,0.72,3.741711214019694e7
0.16,0.57,0.75,0.46,0.26,0.14,0.32,0.65,3.778847298575961e7
0.73,0.78,0.78,0.06,0.02,0.2,0.47,0.36,3.8070433749432065e7
0.94,0.88,0.5,0.6,0.05,0.94,0.8,0.77,3.770370997408758e7
0.69,0.71,0.72,0.5,0.05,0.57,0.23,0.18,3.742259381562407e7
0.06,0.93,0.1,0.61,0.76,0.42,0.86,0.32,3.767392177255001e7
0.58,0.36,0.99,0.29,0.82,0.11,0.11,0.56,3.7534693508132875e7
0.46,0.39,0.47,0.46,0.66,0.84,0.62,0.12,3.699523005334403e7
0.38,0.64,0.11,0.8,0.69,0.08,0.7,0.02,3.7661456460927434e7
0.67,0.47,0.01,0.26,0.11,0.02,0.75,0.47,3.843756799220167e7
0.52,0.76,0.06,0.03,0.96,0.77,0.97,0.78,3.7086222267720744e7
0.13,0.39,0.29,0.62,0.66,0.47,0.92,0.59,3.731447535014927e7
0.85,0.51,0.74,0.06,0.2,0.92,0.76,0.45,3.7416429926467896e7
0.03,0.2,0.2,0.76,0.49,0.38,0.66,0.74,3.7539899282596804e7
0.69,0.32,0.68,0.39,0.84,0.26,0.78,0.29,3.7228274243148625e7
0.32,0.95,0.81,0.56,0.38,0.04,0.86,0.25,3.803318278830202e7
0.05,1.0,0.62,0.83,0.97,0.32,0.25,0.59,3.7167633278879866e7
0.46,0.1,0.56,0.24,0.96,0.67,0.72,0.94,3.73894275438585e7
0.66,0.46,0.2,0.14,0.97,0.69,0.54,0.13,3.676233655528791e7
0.59,0.84,0.95,0.92,0.76,0.82,0.17,0.72,3.688246682375706e7
0.66,0.08,0.27,0.71,0.43,0.67,0.03,0.99,3.716731963988962e7
0.03,0.47,0.94,0.11,0.97,0.84,0.2,0.17,3.686723963480358e7
0.2,0.34,0.33,0.39,0.26,0.58,0.14,0.88,3.726001088959946e7
0.5,0.29,0.96,0.74,0.68,0.08,0.22,0.58,3.756880000663467e7
0.15,0.26,0.18,0.8,0.02,0.95,0.57,0.07,3.7322538532873355e7
0.04,0.29,0.8,0.78,0.46,0.88,0.86,0.12,3.685323954296875e7
0.16,0.37,0.56,0.41,0.34,0.59,0.03,0.93,3.723693320602526e7
0.29,0.72,0.71,0.27,0.75,0.8,0.47,0.4,3.6882020037696615e7
0.79,0.09,0.35,0.17,0.59,1.0,0.1,0.89,3.703311708147158e7
0.54,0.78,0.43,0.76,0.22,0.82,0.27,0.49,3.7332115405660786e7
0.45,0.5,0.39,0.48,0.19,0.34,0.25,0.11,3.7612345042903416e7
0.29,0.66,0.59,0.33,0.15,0.52,0.13,0.98,3.736999453485359e7
0.06,0.9,0.69,0.14,0.17,0.46,0.05,0.69,3.7484365120152056e7
0.07,0.09,0.29,0.71,0.58,0.74,0.72,0.7,3.749695372335675e7
0.45,0.95,0.9,0.57,0.45,0.66,0.93,0.59,3.7169287885078095e7
0.27,0.78,0.28,0.33,0.78,0.5,0.06,0.07,3.695244535458488e7
0.94,0.95,0.13,0.45,0.16,0.32,0.6,0.97,3.816678343559965e7
0.19,0.18,0.86,0.05,0.96,0.76,0.59,0.1,3.705484847457475e7
0.21,0.05,0.57,0.33,0.95,0.09,0.18,0.77,3.7530772128902435e7
0.18,0.05,0.37,0.75,0.84,0.83,0.3,0.74,3.682401197313546e7
0.87,0.9,0.27,0.07,0.82,0.2,0.42,0.11,3.739491325653319e7
0.45,0.83,0.97,0.01,0.73,0.96,0.61,0.6,3.702080433495074e7
0.82,0.75,0.76,0.28,0.53,0.77,0.64,0.62,3.702365746197118e7
0.54,0.46,0.67,0.85,0.08,0.61,0.39,0.76,3.763007439832807e7
0.83,0.02,0.48,0.13,0.04,0.37,0.62,0.48,3.890765657566398e7
0.56,0.73,0.24,0.21,0.51,0.69,0.86,0.77,3.7114399672496684e7
0.43,0.93,0.68,0.79,0.57,0.87,0.22,0.98,3.704081142529058e7
0.8,0.59,0.75,0.72,0.65,0.96,0.89,0.27,3.6883241902105056e7
0.37,0.25,0.64,0.77,0.1,0.84,0.13,0.05,3.718839327279237e7
0.55,0.8,0.86,0.11,0.18,0.76,0.16,0.77,3.72804882063916e7
0.1,0.65,0.67,0.05,0.8,0.25,0.65,0.9,3.740678681550831e7
0.04,0.84,0.46,0.24,0.61,0.34,0.07,0.41,3.7122205298856735e7
0.48,0.85,0.35,0.81,0.27,0.74,0.23,0.65,3.728217022697664e7
0.33,0.38,0.93,0.3,0.3,0.27,0.86,0.53,3.7463678781641364e7
0.03,0.91,0.84,0.73,0.8,0.57,0.07,0.54,3.692272510956532e7
0.06,0.94,0.97,0.94,0.75,0.56,0.6,0.78,3.735212979750238e7
0.62,0.73,0.03,0.89,0.56,0.62,0.72,0.56,3.7106330238661885e7
