α_v,α_s,α_v_error,α_s_error,decay,MSE
0.28,0.79,0.18,0.62,0.41,4.446667264056734e6
0.75,0.98,0.75,0.45,0.99,4.423289477053959e6
0.42,0.18,0.41,0.62,0.82,4.454519603156519e6
0.07,0.76,0.42,0.85,0.08,4.456496043418369e6
0.1,0.56,0.12,0.09,0.78,4.456584627672652e6
0.87,0.21,0.85,0.08,0.44,4.425247455056974e6
0.96,0.23,0.53,0.19,0.56,4.4196423940335205e6
0.66,0.06,0.81,0.3,0.39,4.450185232768617e6
0.09,0.12,0.53,0.3,0.07,4.465993383981871e6
0.54,0.34,0.37,0.81,0.95,4.443809758596619e6
0.75,0.03,0.26,0.53,0.6,4.453640341220619e6
0.01,0.43,0.02,0.36,0.48,4.4506977638353305e6
0.43,0.24,0.73,0.58,0.76,4.451019570655441e6
0.67,0.54,0.08,0.78,0.74,4.431568423713679e6
0.74,0.28,0.96,0.45,0.91,4.432326335935071e6
0.74,0.89,0.36,0.69,0.97,4.423568250930175e6
0.02,0.33,0.79,0.55,0.43,4.45411600805951e6
0.81,0.53,0.14,0.17,0.47,4.4217909215773195e6
0.74,0.54,0.46,0.4,0.48,4.426251609073325e6
0.87,0.24,0.38,0.83,0.84,4.42678237375677e6
0.01,0.93,0.05,0.16,0.08,4.45206078480421e6
0.95,0.89,0.27,0.66,0.18,4.410877526476642e6
0.31,0.27,0.56,0.92,0.98,4.455121387620717e6
0.57,0.78,0.2,0.33,0.22,4.434206930324015e6
1.0,0.26,0.72,0.18,0.51,4.41653488689632e6
0.63,0.65,0.92,0.41,0.68,4.431137648327711e6
0.13,0.22,0.24,0.64,0.11,4.462372283636085e6
0.23,0.38,0.18,0.23,0.37,4.45439029764836e6
0.77,0.73,0.28,0.87,0.7,4.422177996716486e6
0.4,0.65,0.62,0.58,0.64,4.44286497870932e6
0.25,0.2,1.0,0.9,0.18,4.458360502017567e6
0.61,0.47,0.91,0.12,0.37,4.4350839435182465e6
0.46,0.06,0.75,0.73,0.84,4.46178244497965e6
0.58,0.01,0.41,0.39,0.91,4.46471753181168e6
0.53,0.28,0.16,0.58,0.23,4.446128625749169e6
0.76,0.68,0.97,0.31,0.51,4.422587581528843e6
0.04,0.58,0.52,0.98,0.81,4.457729307266982e6
0.63,0.46,0.38,0.84,0.89,4.435467646053248e6
