α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.1,0.47,0.51,0.74,0.98,0.19,0.51,0.95,3.434966009869804e7
0.23,0.67,0.78,0.86,0.33,0.87,0.83,0.99,3.434175099925824e7
0.98,0.94,0.35,0.9,0.79,0.1,0.34,0.39,3.438351927186199e7
0.3,0.29,0.1,0.5,0.72,0.71,0.54,0.42,3.442244873500537e7
0.03,0.66,0.02,0.97,0.07,0.63,0.56,0.69,3.404365946056633e7
0.6,0.08,0.96,1.0,0.66,0.17,0.56,0.64,3.436342251577991e7
0.18,0.7,0.61,0.53,0.22,0.35,0.41,0.72,3.416753985532256e7
0.61,0.66,0.84,0.73,0.13,0.76,0.7,0.32,3.4355276873097e7
0.19,0.54,0.59,0.03,0.79,0.43,0.32,0.56,3.432520120634401e7
0.61,0.81,0.21,0.44,0.52,1.0,0.65,0.46,3.433086404191002e7
0.36,1.0,0.2,0.75,0.58,0.95,0.95,0.38,3.4294827407334745e7
0.88,0.95,0.18,0.85,0.53,0.76,0.08,0.16,3.432195939294297e7
0.12,0.79,0.56,0.82,0.02,0.3,0.68,0.66,3.410427387832073e7
0.46,0.21,0.59,0.43,0.01,0.43,0.36,0.04,3.357236451180339e7
0.48,0.24,0.09,0.28,0.87,0.2,0.39,0.09,3.436222426019354e7
0.91,0.19,0.16,0.83,0.63,0.4,0.14,0.71,3.436265574819442e7
0.94,0.29,0.83,0.96,0.8,0.89,0.89,0.66,3.438761081334639e7
0.75,0.75,0.8,0.09,0.55,0.69,0.15,0.32,3.431719010703001e7
0.85,0.72,0.99,0.09,0.18,0.56,0.78,0.22,3.433934321285683e7
0.18,0.59,0.97,0.41,0.4,0.35,0.82,0.98,3.42084344268104e7
0.55,0.37,0.52,0.74,0.54,0.9,0.34,0.61,3.43205150331018e7
0.14,0.12,0.99,0.97,0.18,0.78,0.99,0.02,3.425178803322548e7
0.68,0.65,0.02,0.37,0.34,0.02,0.38,0.57,3.436819657722725e7
0.67,0.69,0.16,0.87,0.6,0.05,0.13,0.67,3.436428862081457e7
0.8,0.91,0.76,0.95,0.75,0.73,0.04,0.37,3.432836647709944e7
0.04,0.45,0.53,0.54,0.88,0.31,0.09,0.84,3.436332512258274e7
0.36,0.61,0.59,0.93,0.61,0.84,0.96,0.47,3.4325567700758055e7
0.81,0.86,0.62,0.82,0.46,0.62,0.87,0.08,3.428474536021472e7
0.49,0.74,0.17,0.8,0.19,0.43,0.64,0.99,3.427089428518648e7
0.57,0.32,0.7,0.79,0.23,0.22,0.73,0.93,3.433140477183309e7
0.45,0.94,0.56,0.58,0.46,0.01,0.83,0.98,3.4226925977465e7
0.66,0.34,0.46,0.53,0.29,0.22,0.66,0.84,3.433823929287105e7
0.54,0.51,0.04,0.72,0.37,0.23,0.89,0.12,3.4244335918952465e7
0.65,0.24,0.1,0.86,0.81,0.5,0.19,0.14,3.435973362363774e7
0.84,0.54,0.1,0.11,1.0,0.18,0.89,0.34,3.427438193267359e7
0.78,0.18,0.04,0.31,0.3,0.27,0.72,0.45,3.4381338280378565e7
0.26,0.57,0.16,0.85,0.56,0.77,0.62,0.24,3.432185013036686e7
0.01,0.61,0.89,0.33,0.65,0.51,0.07,0.08,3.432026626569076e7
0.85,0.33,0.15,0.65,0.48,0.81,0.73,0.71,3.442911844851403e7
0.9,0.29,0.36,0.89,0.14,0.82,0.55,0.04,3.4313589215036675e7
0.76,0.36,0.08,0.22,0.61,1.0,0.75,0.34,3.433680074394369e7
0.13,0.17,0.8,0.19,0.09,0.91,0.12,0.97,3.423343750986531e7
0.19,0.12,0.69,0.24,0.08,0.45,0.19,0.94,3.4317815222909845e7
0.96,0.24,0.85,0.13,0.5,0.2,0.84,0.24,3.4368469357010074e7
0.73,0.63,0.25,0.09,0.56,0.38,0.02,0.03,3.430882241818122e7
0.91,0.26,0.79,0.48,0.71,0.02,0.61,0.9,3.435957029683545e7
0.78,0.98,0.97,0.65,0.09,0.85,0.84,0.17,3.435004457308311e7
0.92,0.31,0.4,0.08,0.95,0.68,0.71,0.8,3.439762607388964e7
0.84,0.85,0.92,0.14,0.53,0.79,0.2,0.39,3.433845005277366e7
0.33,0.39,0.28,0.82,0.03,0.25,0.65,0.56,3.426496379283771e7
0.68,0.44,0.92,0.94,0.07,0.44,0.75,0.03,3.434811111815981e7
0.95,0.58,0.69,0.2,0.94,0.45,0.46,0.69,3.4323285987970605e7
0.14,0.17,0.94,0.83,0.55,0.03,0.5,0.25,3.43038576962188e7
0.49,0.22,0.22,0.92,0.96,0.52,0.66,0.14,3.43916510121199e7
0.84,0.12,0.46,0.29,0.46,0.52,0.59,0.94,3.44046913852496e7
0.92,0.19,0.2,0.5,0.59,0.9,0.24,0.58,3.434462765545636e7
0.39,0.61,1.0,0.44,0.89,0.41,0.75,0.86,3.4305182205737814e7
0.17,0.8,0.81,0.48,0.93,0.45,0.98,0.88,3.414621372449627e7
0.63,0.63,0.44,0.19,0.06,0.16,0.14,0.72,3.434964432471336e7
0.76,0.44,0.77,0.7,0.87,0.65,0.75,0.39,3.4382817798691794e7
0.03,0.45,0.41,0.17,0.01,0.62,0.37,0.37,3.408634924517112e7
0.69,0.97,0.66,0.51,0.89,0.14,0.06,0.47,3.437700709033577e7
0.65,0.75,0.96,0.88,0.04,0.24,0.6,0.54,3.428494736023877e7
0.52,0.02,0.21,0.83,0.92,0.46,0.77,0.96,3.4409296496703915e7
0.56,0.52,0.5,0.55,0.97,0.7,0.16,0.65,3.434807115150146e7
0.68,0.41,0.42,0.54,0.32,0.25,0.25,0.1,3.4342606230754055e7
0.07,0.53,0.05,0.81,0.05,0.12,0.08,0.69,3.4205421487385325e7
0.16,0.58,0.48,0.05,0.9,1.0,0.58,0.2,3.4354246234284304e7
0.43,0.04,0.36,0.4,0.42,0.47,0.88,0.72,3.432554512098962e7
0.74,0.46,0.61,0.41,0.17,0.21,0.93,0.34,3.4343394266638644e7
0.01,0.85,0.64,0.16,0.04,0.81,0.97,0.73,3.407604573949485e7
0.32,0.3,0.27,0.58,0.83,0.95,0.57,0.97,3.4344658695034735e7
0.44,0.45,0.18,0.95,0.19,0.7,0.87,0.63,3.435004944147014e7
0.29,0.43,0.21,0.56,0.71,0.42,0.8,0.52,3.429255864368215e7
0.63,0.73,0.81,0.32,0.76,0.06,0.53,0.47,3.435838400260131e7
0.86,0.5,0.97,0.42,0.76,0.6,0.94,0.52,3.434421557957551e7
0.14,0.79,0.42,0.27,0.97,0.02,0.66,0.34,3.4324349830322586e7
0.88,0.89,0.97,0.31,0.1,0.65,0.9,0.14,3.433263179283173e7
0.97,0.3,0.17,0.73,0.62,0.89,0.36,0.2,3.43467719571274e7
0.79,0.89,0.08,0.22,0.63,0.18,0.87,0.65,3.423916871452983e7
0.15,0.32,0.32,0.42,0.59,0.78,0.2,0.21,3.429868870269341e7
0.85,0.16,0.01,0.15,0.66,0.64,0.38,0.8,3.445215704000131e7
0.24,0.05,0.38,0.48,0.24,0.06,0.18,0.53,3.426505636622536e7
0.08,0.21,0.09,0.25,0.41,0.57,0.9,0.34,3.4165076400252484e7
0.14,0.26,0.12,0.41,0.95,0.56,0.19,0.49,3.44050619285776e7
0.88,0.77,0.77,0.62,0.23,0.69,0.42,0.33,3.430361384019484e7
0.4,0.2,0.03,0.19,0.47,0.57,0.31,0.75,3.4409892948944494e7
0.22,0.37,0.94,0.62,0.11,0.28,0.63,0.19,3.426190722024296e7
0.37,0.96,0.22,0.58,0.65,0.81,0.96,0.95,3.4258433066194974e7
0.36,0.73,0.06,0.38,0.39,0.85,0.19,0.09,3.430253823866936e7
0.61,0.49,0.44,0.17,0.44,0.5,0.15,0.74,3.432237004083052e7
0.21,0.74,0.23,0.88,0.78,0.24,0.71,0.86,3.416170311589899e7
0.2,0.32,0.53,0.28,0.08,0.08,0.21,0.97,3.426273396984649e7
0.59,0.3,0.19,0.94,0.85,0.2,0.87,0.65,3.433686580704811e7
0.18,0.09,0.65,0.84,0.73,0.92,0.98,0.18,3.426991504606495e7
0.75,0.44,0.02,0.2,0.73,0.1,0.25,0.01,3.435894976830131e7
0.48,0.65,0.04,0.5,0.8,0.65,0.36,0.26,3.433627564359229e7
0.78,0.72,0.61,0.61,0.85,0.46,0.89,0.55,3.42727716805759e7
0.76,0.18,0.69,0.78,0.37,0.41,0.33,0.69,3.442114240113519e7
0.99,0.24,0.91,0.39,0.09,0.82,0.48,0.8,3.427476775043304e7
0.16,0.74,0.44,0.83,0.66,0.61,0.06,0.43,3.43296149574091e7
0.07,0.89,0.31,0.93,0.78,0.25,0.78,0.49,3.3971115319163285e7
0.43,0.66,0.2,0.09,0.55,0.08,0.34,0.05,3.433600906752426e7
0.06,0.79,0.73,0.26,0.94,0.16,0.06,0.1,3.4384078506106675e7
0.91,0.15,0.5,0.39,0.77,0.88,0.87,0.03,3.432850542569419e7
0.1,0.07,0.1,0.01,0.9,0.99,0.42,0.66,3.435290952417644e7
0.77,0.76,0.97,0.07,0.31,0.02,0.5,0.74,3.439011716805136e7
0.15,0.9,0.02,0.48,0.31,0.48,0.28,0.2,3.414916594655726e7
0.23,0.12,0.6,0.64,0.63,0.72,0.89,0.96,3.43228487910306e7
0.6,0.73,0.5,0.67,0.85,0.6,0.91,0.06,3.4293640945467465e7
0.51,0.5,0.67,0.24,0.81,0.14,0.96,0.33,3.430842690844671e7
0.57,0.29,0.37,0.01,0.4,0.84,0.22,0.11,3.432109631818019e7
0.66,0.72,0.98,0.12,0.07,0.97,1.0,0.4,3.4322799238278784e7
0.95,0.12,0.97,0.61,0.26,0.5,0.09,0.07,3.4377710842419945e7
0.76,0.44,0.5,0.32,0.29,0.41,0.5,0.42,3.434175181512999e7
0.22,0.32,0.2,0.48,0.27,0.67,0.07,0.74,3.427976633888438e7
0.18,0.74,0.97,0.05,0.74,0.72,0.29,0.65,3.4336422001335554e7
0.87,0.36,0.95,0.89,0.67,0.36,0.49,0.18,3.434776225834638e7
0.57,0.16,0.85,0.27,0.36,0.14,0.08,0.76,3.432065857995398e7
0.42,0.02,0.07,0.49,0.11,0.81,0.69,0.51,3.4417299827145405e7
0.45,0.7,0.98,0.86,0.24,0.27,0.67,0.04,3.4264632819643825e7
0.95,0.04,0.87,0.83,0.6,0.43,0.63,0.01,3.436457315974986e7
0.56,0.51,0.02,0.44,0.25,0.95,0.65,0.88,3.4332390518887185e7
0.64,0.33,0.78,0.76,0.22,0.01,0.62,0.61,3.430563225828246e7
0.44,0.24,0.83,0.25,0.02,0.96,0.13,0.79,3.413798833998001e7
1.0,0.48,0.44,0.51,0.24,0.38,0.34,0.48,3.427533605026789e7
0.41,0.67,0.85,0.95,0.77,0.83,0.39,0.99,3.433725427150136e7
0.12,0.86,0.87,0.16,0.67,0.69,0.45,0.74,3.422218745650753e7
0.22,0.51,0.58,0.95,0.6,0.28,0.87,0.59,3.423270266422286e7
0.89,0.99,0.03,0.21,0.26,0.53,0.68,0.66,3.428241726897938e7
0.31,0.67,0.27,0.73,0.52,0.23,0.28,0.6,3.42951314469824e7
0.54,0.36,0.22,0.94,0.25,0.19,0.59,0.62,3.431062533774479e7
0.71,0.98,0.16,0.79,0.23,0.09,0.63,0.03,3.427908763885762e7
0.08,0.23,0.24,0.26,0.22,0.47,0.22,0.99,3.4269735482248515e7
0.32,0.85,0.55,0.96,0.57,0.1,0.38,0.93,3.4332812448629774e7
0.06,0.48,0.99,0.91,0.46,0.09,0.13,0.07,3.428206141248636e7
0.9,0.55,0.99,0.86,0.36,0.76,0.9,0.55,3.4396550894132085e7
0.6,0.41,0.58,0.98,0.21,0.7,0.83,0.3,3.43766761657016e7
0.33,0.99,0.79,0.07,0.43,0.46,0.53,0.71,3.418185918198019e7
0.6,0.68,0.41,0.9,0.08,0.13,0.72,0.61,3.426895290082475e7
0.11,0.4,0.27,0.72,0.63,0.19,0.73,0.43,3.427743574468735e7
0.89,0.68,0.53,0.95,0.53,0.37,0.72,0.43,3.4299669584024325e7
0.16,0.26,0.05,0.3,0.28,0.16,0.16,0.74,3.430955198386146e7
0.25,0.46,0.98,1.0,0.35,0.14,0.56,0.6,3.425030058479513e7
0.8,0.27,0.13,0.4,0.06,0.86,0.64,0.44,3.434360791904733e7
0.98,0.76,0.67,0.91,0.62,0.58,0.73,0.38,3.430145143408433e7
0.67,0.73,0.25,0.88,0.51,0.27,0.38,0.35,3.43165193080523e7
0.19,0.22,0.15,0.6,0.62,0.3,0.71,0.55,3.42833885738438e7
0.26,0.47,0.32,0.52,0.15,0.6,0.22,0.09,3.427769625984904e7
0.42,0.99,0.53,0.3,0.07,0.44,0.84,0.2,3.424210417503807e7
0.83,0.65,0.81,0.34,0.36,0.26,0.88,0.05,3.4263257890800275e7
0.86,0.73,0.59,0.81,0.46,0.5,0.98,0.95,3.430000517445773e7
0.7,0.24,0.17,0.36,0.96,0.15,0.08,0.49,3.437471429824151e7
0.33,0.61,0.15,0.31,0.75,0.52,0.27,0.63,3.432038600846952e7
0.75,0.03,0.61,0.92,0.27,0.99,0.49,0.26,3.434605540020928e7
0.52,0.59,0.93,0.54,0.76,0.34,0.12,0.09,3.433199642490706e7
0.35,0.11,0.33,0.15,0.99,0.29,0.14,0.68,3.4397752824793875e7
0.07,0.55,0.8,0.55,0.62,0.64,0.74,0.29,3.419565188853452e7
0.15,0.18,0.48,0.8,0.84,0.24,0.76,0.96,3.438170664582284e7
0.53,0.41,0.2,0.95,0.98,0.19,0.04,0.01,3.43744948912376e7
0.09,0.73,0.34,0.84,0.93,0.04,0.54,0.65,3.435127196027682e7
0.79,0.4,0.34,0.98,0.68,0.29,0.46,0.69,3.432605353026279e7
0.19,0.38,0.85,0.64,0.7,0.46,0.67,0.25,3.429587853568838e7
0.25,0.14,0.85,0.57,0.25,0.6,0.44,0.86,3.4396436380151786e7
0.67,0.91,0.02,0.4,0.13,0.94,0.5,0.92,3.4329592939233206e7
0.48,0.52,0.02,0.96,0.77,0.67,0.27,0.22,3.4333974665188625e7
0.73,0.19,0.21,0.9,0.24,0.98,0.79,0.06,3.43535287453761e7
0.34,0.91,0.72,0.7,0.74,0.59,0.89,0.51,3.425391317420505e7
0.62,0.24,0.3,0.03,0.66,0.39,0.78,0.31,3.4344050072459064e7
0.71,0.85,0.03,0.05,0.51,0.01,0.28,0.4,3.423565325653353e7
0.16,0.22,0.67,0.68,0.03,0.05,0.73,0.64,3.429961110161648e7
0.64,0.9,0.43,0.41,0.88,0.51,0.79,0.56,3.425966771269997e7
0.11,0.77,0.12,0.12,0.92,0.42,0.44,0.68,3.429754652447265e7
0.16,0.04,0.72,0.54,0.13,0.65,0.21,0.01,3.4242015267325506e7
0.54,0.81,0.63,0.56,0.42,0.01,0.1,0.34,3.4368321104208976e7
0.5,0.2,0.75,0.62,0.19,0.65,0.8,0.51,3.436737928058765e7
0.97,0.89,0.51,0.95,0.79,0.34,0.72,0.62,3.425605775453938e7
1.0,0.23,0.94,0.16,0.44,0.33,0.74,0.74,3.437965642289919e7
0.23,0.27,0.69,0.74,0.17,0.32,0.8,0.82,3.430053072153932e7
0.21,0.46,0.85,0.68,0.27,0.56,0.89,0.96,3.428948961602542e7
0.11,0.31,0.29,0.47,0.55,0.71,0.35,0.67,3.425119931714791e7
0.57,0.34,0.56,0.28,0.35,0.7,0.1,0.83,3.429547274173911e7
0.72,0.18,0.98,0.33,0.58,0.57,0.4,0.92,3.443466869716205e7
0.56,0.02,0.63,0.13,0.12,0.96,0.34,0.8,3.429433104825123e7
0.57,0.54,0.64,0.99,0.15,0.95,0.24,0.77,3.4254055887322076e7
0.5,0.45,0.13,0.84,0.02,0.92,0.68,0.57,3.433360517274235e7
0.39,0.58,0.93,0.41,0.31,0.51,0.36,0.09,3.4279942466245756e7
0.73,0.64,0.73,0.02,0.82,0.77,0.84,0.85,3.435490698914397e7
0.23,0.09,0.29,0.8,0.9,0.32,0.64,0.76,3.441188693888752e7
0.27,0.18,0.4,0.61,0.72,0.09,0.21,0.62,3.4363556461361334e7
0.25,0.94,0.89,0.54,0.42,0.91,0.89,0.78,3.428784387939979e7
0.99,0.7,0.02,0.19,0.13,0.35,0.98,0.36,3.430613176417307e7
0.62,0.96,0.05,0.41,0.41,0.84,0.81,0.95,3.431081487392992e7
0.95,0.6,0.15,0.75,0.81,0.31,0.99,0.04,3.4336427487704836e7
0.25,0.7,0.7,0.77,0.61,0.59,0.8,0.92,3.427413305142889e7
0.81,0.58,0.25,0.31,0.06,0.57,0.28,0.41,3.428030202729043e7
0.51,0.58,0.8,0.37,0.22,0.71,0.91,0.14,3.434592817744205e7
0.54,0.74,0.81,0.25,0.47,0.89,0.06,0.31,3.431589534326512e7
0.27,0.82,0.36,0.09,0.3,0.6,0.48,0.55,3.423183864515554e7
0.46,0.85,0.71,0.33,0.15,0.95,0.4,0.34,3.431771357738248e7
0.53,0.29,0.82,0.65,0.55,0.03,0.31,0.06,3.431233597503323e7
0.94,0.75,0.21,0.59,0.92,0.8,1.0,0.76,3.43411612513518e7
0.65,0.57,0.38,0.53,0.14,0.32,0.31,0.52,3.422722712196389e7
0.23,0.1,0.6,0.61,0.25,0.79,0.3,0.2,3.4283779733604714e7
0.29,0.47,0.21,0.93,0.26,0.76,0.61,0.85,3.43787450028234e7
0.18,1.0,0.65,0.62,0.24,0.05,0.99,0.99,3.4079973661462024e7
0.23,0.5,0.86,0.67,0.27,0.93,0.77,0.1,3.4291399608963735e7
0.15,0.02,0.67,0.21,0.47,0.2,0.45,0.38,3.433578239562725e7
0.11,1.0,0.32,0.71,0.92,0.61,0.06,0.43,3.435066439838324e7
0.82,0.67,0.12,0.36,0.59,0.93,0.29,0.81,3.433911031511252e7
0.37,0.65,0.73,0.63,0.67,0.79,0.51,0.04,3.429954127815879e7
0.7,0.84,0.85,0.99,0.01,0.43,0.44,0.65,3.433713846896861e7
0.93,0.97,0.3,0.67,0.34,0.74,0.97,0.55,3.431463269688123e7
0.28,0.8,0.83,0.53,0.15,0.21,0.28,0.03,3.429447797775914e7
0.78,0.67,0.93,0.07,0.1,0.13,0.83,0.62,3.4302762179111056e7
0.66,0.1,0.94,0.49,0.73,0.67,0.15,0.42,3.4328116434876345e7
0.24,0.55,0.97,0.21,0.05,0.8,0.21,0.43,3.4185268011049226e7
0.25,0.34,0.92,0.7,0.8,0.8,0.47,0.97,3.434028809051971e7
0.75,0.16,0.15,0.48,0.38,0.83,0.5,0.85,3.433727066302673e7
0.7,0.2,0.13,0.58,0.7,0.62,0.8,0.67,3.435517834594909e7
0.26,0.82,0.63,0.63,0.7,0.04,0.1,0.3,3.4308456005269624e7
0.74,0.9,0.73,0.22,0.71,0.58,0.29,0.65,3.427019618928634e7
0.51,0.11,0.87,0.3,0.51,0.93,0.91,0.5,3.4305627980962545e7
0.78,0.58,0.87,0.25,0.13,0.43,0.8,0.74,3.4335308877433665e7
0.49,0.12,0.09,0.75,0.13,0.45,0.08,0.2,3.428330636349673e7
0.42,0.25,0.75,0.09,0.36,0.25,0.17,0.51,3.431843727012586e7
0.62,0.16,0.66,0.47,0.37,0.11,0.62,0.65,3.434432523834314e7
0.46,0.28,0.05,0.77,0.66,1.0,0.24,0.34,3.4334041849300824e7
0.98,0.48,0.45,0.3,0.23,0.36,0.54,0.68,3.4352701977496855e7
0.55,0.31,0.83,0.97,0.11,0.59,0.32,0.41,3.434061863988983e7
0.21,0.37,0.24,0.12,0.98,0.3,0.41,0.74,3.435732944137492e7
0.9,0.39,0.87,0.98,0.15,0.34,0.94,0.17,3.438688730690613e7
0.74,0.45,0.87,0.7,0.01,1.0,0.14,0.95,3.378092042054799e7
0.32,0.02,0.54,0.78,0.48,0.59,0.89,0.76,3.43662320528678e7
0.63,0.55,0.67,0.16,0.03,0.9,0.45,0.89,3.43904170377201e7
0.58,0.51,0.54,0.28,0.43,0.37,0.61,0.17,3.430724568191802e7
0.32,0.82,0.26,0.43,0.01,0.06,0.74,0.85,3.43841837882484e7
0.09,0.86,0.56,0.26,0.62,0.93,1.0,0.41,3.422076940129965e7
0.24,0.19,0.71,0.6,0.13,0.28,0.63,0.57,3.434118295430687e7
0.18,0.36,0.54,0.74,0.33,0.01,0.85,0.66,3.4317816801695324e7
0.46,0.39,0.68,0.09,0.01,0.29,0.62,0.53,3.4334196624777354e7
0.05,0.77,0.85,0.99,0.05,0.43,0.12,0.83,3.401615241294809e7
0.26,0.68,0.85,0.11,0.42,0.19,0.76,0.46,3.419815596877714e7
0.35,0.37,0.68,0.24,0.19,0.19,0.41,0.03,3.428722505913914e7
0.76,0.77,0.35,0.58,0.83,0.07,0.11,0.58,3.4399828168185554e7
0.87,0.17,0.64,0.89,0.04,0.41,0.77,0.27,3.4388065286338955e7
0.16,0.99,0.24,0.9,0.12,0.91,0.95,0.6,3.425860883285401e7
0.84,0.29,0.28,0.54,0.85,0.44,0.5,0.21,3.4387765914374955e7
0.96,0.43,0.47,0.29,0.97,0.56,0.61,0.32,3.4373733837421484e7
0.52,0.36,0.72,0.5,0.55,0.72,0.55,0.77,3.4412272412779346e7
0.75,0.36,0.32,0.18,0.95,0.84,0.11,0.13,3.434538769523071e7
0.78,0.94,0.96,0.91,0.04,0.27,0.05,0.05,3.424981034520551e7
0.33,0.08,0.6,0.06,0.56,0.92,0.02,0.86,3.432518983965975e7
0.7,0.9,0.32,0.82,0.99,0.01,0.8,0.81,3.4357937439496405e7
0.36,0.11,0.08,0.39,0.27,0.44,0.9,0.94,3.431344641770063e7
0.92,0.99,0.76,0.89,0.9,0.15,0.72,0.63,3.4217774878025874e7
0.57,0.11,0.24,0.89,0.65,0.3,0.61,0.26,3.437326402954826e7
