α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.71,0.88,0.64,0.76,0.79,0.78,0.9,0.12,6.032250963242512e6
0.79,0.34,0.03,0.51,0.91,0.61,0.92,0.86,6.035283153651066e6
0.85,0.4,0.29,0.58,0.55,0.23,0.22,0.87,6.050975180525728e6
0.78,0.46,0.49,0.43,0.22,0.89,0.47,0.8,5.967058529812837e6
0.39,0.27,0.39,0.99,0.22,0.13,0.5,0.75,6.065672959925352e6
0.84,0.8,0.38,0.64,0.23,0.82,0.71,0.84,5.972608138327692e6
0.29,0.62,0.57,0.35,0.71,0.61,0.68,0.7,6.0420411095054075e6
0.14,0.11,0.9,0.48,0.32,0.12,0.42,0.05,6.076492610381734e6
0.64,0.8,0.4,0.55,0.85,0.93,0.23,0.03,6.012010496642059e6
0.9,0.69,0.06,0.09,0.7,0.54,0.4,0.2,6.004879274470775e6
0.93,0.84,0.87,0.97,0.51,0.3,0.73,0.12,6.075954038526641e6
0.42,0.04,0.78,0.43,0.68,0.03,0.08,0.17,6.1013138725499865e6
0.54,0.84,0.78,0.04,0.6,0.71,0.55,0.65,6.007395103595027e6
0.11,0.14,0.72,0.37,0.43,0.85,1.0,0.36,6.067141868123246e6
0.59,0.69,0.78,0.5,0.32,0.62,0.09,0.92,6.012913257282626e6
0.58,0.62,0.41,0.06,0.37,0.96,0.34,0.04,5.961787459270129e6
0.84,0.66,0.54,0.68,0.93,0.95,0.49,0.11,6.026051846424154e6
0.82,0.85,0.2,0.22,0.19,0.59,0.98,0.87,6.008572129071428e6
0.99,0.56,0.05,0.8,0.88,0.52,0.35,0.05,6.04237445168237e6
0.03,0.38,0.42,0.32,0.14,0.1,0.94,0.29,6.134700754150609e6
0.56,0.09,0.54,0.16,0.95,0.11,0.29,0.88,6.094897077274855e6
0.34,0.44,0.82,0.89,0.21,0.42,0.3,0.2,6.041582810030336e6
0.24,0.2,0.92,0.77,0.22,0.28,0.27,0.07,6.047887321262643e6
0.1,0.86,0.86,0.26,0.55,0.68,0.74,0.87,6.078800609405611e6
0.67,0.31,0.1,0.93,0.99,0.7,0.94,0.47,6.063291812201155e6
0.02,0.3,0.56,0.34,0.42,0.11,0.19,0.33,6.185532222124869e6
0.74,0.04,0.67,0.89,0.67,0.15,0.51,0.77,6.100033558771785e6
0.07,0.56,0.26,0.83,0.79,0.03,0.39,0.01,6.09625754718192e6
0.74,0.91,0.7,0.92,0.2,0.04,0.87,0.23,6.1203646160752615e6
0.06,0.89,0.26,0.56,0.87,0.48,0.71,0.93,6.083878588754513e6
0.88,0.31,0.18,0.45,0.75,0.38,0.13,0.09,6.033114125415162e6
0.25,0.14,0.9,0.04,0.54,0.41,0.07,0.14,6.030580625714537e6
0.8,0.43,0.69,0.91,0.55,0.84,0.92,0.52,6.042511144801538e6
0.42,0.23,0.17,0.06,0.9,0.4,0.07,0.47,6.03485892141103e6
0.38,0.68,0.23,0.62,0.59,0.45,0.45,0.81,6.046097672800465e6
0.03,0.35,0.96,0.55,0.24,0.85,0.29,0.18,6.102910891116483e6
0.88,0.92,0.83,0.82,0.84,0.83,0.27,0.72,6.039736629063581e6
0.97,0.51,0.68,0.25,0.83,0.64,0.96,0.16,6.032777720282076e6
0.02,0.6,0.05,0.76,0.6,0.87,0.2,0.43,6.002793866679127e6
0.12,0.53,0.03,0.28,0.02,0.14,0.62,0.79,6.089759658770373e6
0.76,0.34,0.5,0.23,0.9,0.72,0.66,0.9,6.016851231712268e6
0.52,0.23,0.68,0.01,0.77,0.89,0.02,0.74,6.010795450898172e6
0.95,0.97,0.94,0.91,0.07,0.37,0.85,0.85,6.094038945954153e6
0.5,0.95,0.34,0.11,0.77,0.65,0.43,0.68,6.0072005888310475e6
0.21,0.63,1.0,0.89,0.03,0.88,0.26,0.36,6.082723738720452e6
0.99,0.8,0.22,0.82,0.57,0.81,0.91,0.87,5.990703446767824e6
0.79,0.26,0.33,0.92,0.06,0.44,0.73,0.37,5.995401929661885e6
0.56,0.31,0.89,0.47,0.08,0.46,0.77,0.2,6.008900012376577e6
0.01,0.01,0.19,0.6,0.22,0.02,0.36,0.7,6.2378963036507005e6
0.16,0.03,0.53,0.55,0.95,0.73,0.36,0.78,6.058081232772633e6
0.38,0.4,0.17,0.73,0.63,0.91,0.54,0.06,6.020256792339664e6
0.9,0.45,0.2,0.53,0.99,0.19,0.68,0.4,6.083568951682425e6
0.89,0.27,0.91,0.48,0.55,0.43,0.29,0.78,6.026565300541088e6
0.74,0.08,0.11,0.99,0.84,0.54,0.41,0.43,6.05029458397496e6
0.39,0.69,1.0,0.69,0.36,0.95,0.33,0.8,6.011496474792747e6
0.92,0.17,0.45,0.25,0.05,0.76,0.91,0.62,5.983044266981197e6
0.02,0.96,0.64,0.96,0.2,0.93,0.65,0.35,6.097467031374925e6
0.81,0.94,0.69,0.2,0.87,0.7,0.79,0.86,6.034049583612841e6
0.45,0.65,0.73,0.73,0.63,0.81,0.25,0.33,6.023559966114115e6
0.85,0.84,0.17,0.73,0.9,0.4,0.74,0.16,6.071210934396846e6
0.08,0.02,0.07,0.22,0.58,0.07,0.29,0.04,6.169572644336542e6
0.7,0.56,0.82,0.42,0.58,0.9,0.63,0.74,5.99920705353542e6
0.16,0.13,0.69,0.38,0.91,0.64,0.87,0.53,6.098885420191707e6
0.24,0.74,0.62,0.59,0.13,0.52,0.47,0.86,6.026468093586599e6
0.62,0.89,0.16,0.98,0.05,0.82,0.41,0.11,6.019937285074272e6
0.46,0.24,0.72,0.08,0.29,0.24,0.06,0.58,6.033798576614078e6
0.28,0.4,0.43,0.53,0.54,0.71,0.99,0.99,6.007735124240071e6
0.09,0.8,0.02,0.14,0.32,0.82,0.02,0.01,5.967731095166375e6
0.15,0.19,0.72,0.65,0.25,0.1,0.76,0.82,6.078845179665165e6
0.49,0.74,0.08,0.67,0.65,0.59,0.37,0.87,6.0282559984504385e6
0.76,0.68,0.26,0.84,0.44,0.94,0.3,0.94,5.990703126842628e6
0.42,0.64,0.16,0.87,0.03,0.66,0.83,0.23,6.004266804057775e6
0.54,0.47,0.61,0.9,0.8,0.89,0.52,0.3,6.032103287721043e6
0.64,0.49,0.3,0.65,0.95,0.24,0.54,0.87,6.078768942695418e6
0.27,0.15,0.98,0.23,0.36,0.82,0.9,0.47,6.029106349719586e6
0.45,0.77,0.86,0.21,0.74,0.84,0.2,0.82,6.015538887349697e6
0.3,0.26,0.95,0.91,0.28,0.86,0.56,0.69,6.021454675822757e6
0.01,0.36,0.09,0.04,0.19,0.72,0.65,0.68,6.1380640218285695e6
0.12,0.03,0.85,0.92,0.9,0.09,0.63,0.3,6.131551398918718e6
0.93,0.37,0.23,0.58,0.78,0.93,0.46,0.93,6.006555585101161e6
0.6,0.5,0.87,0.41,0.24,0.38,0.14,0.19,6.019460561846168e6
0.95,0.13,0.2,0.86,0.62,0.73,0.53,0.76,5.997927745929638e6
0.22,0.55,0.68,0.28,0.55,0.27,0.39,0.65,6.076045767927691e6
0.77,0.88,0.71,0.95,0.07,0.69,0.36,0.56,6.047057872097187e6
0.63,0.93,0.81,0.11,0.11,0.79,0.19,0.37,6.01588847276938e6
0.11,0.95,0.11,0.88,0.66,0.89,0.27,0.61,6.006285389163124e6
0.63,0.79,0.96,0.17,0.49,0.68,0.88,0.66,6.016808675738805e6
0.26,0.9,0.13,1.0,0.43,0.76,0.55,0.45,6.012019139544707e6
0.26,0.16,0.75,0.58,0.62,0.82,0.46,0.69,6.0336346805935595e6
0.52,0.51,0.49,0.32,0.23,0.34,0.05,0.16,6.009721627027184e6
0.7,0.53,0.65,0.72,0.46,0.11,0.28,0.78,6.06233787692228e6
0.39,0.31,0.86,0.55,0.13,0.71,0.26,0.91,6.035273507208442e6
0.94,0.88,0.42,0.75,0.95,0.9,0.87,0.18,6.027402197726866e6
0.21,0.85,0.3,0.1,0.81,0.81,0.59,0.7,6.01551579866724e6
0.61,0.71,1.0,0.88,0.85,0.64,0.89,0.11,6.070533264677955e6
0.71,0.28,0.16,0.69,0.1,0.78,0.85,0.52,5.97911211194536e6
0.55,0.83,0.56,0.33,0.06,0.76,0.26,0.49,6.028897950048845e6
0.74,0.68,0.47,0.75,0.97,0.89,0.7,0.76,6.03422655456318e6
