α_v,α_s,α_v_error,α_s_error,decay,MSE
0.98,0.82,0.97,0.17,0.51,4.272272409266737e6
0.83,0.68,0.63,0.9,0.45,4.267986415128691e6
0.38,0.08,0.33,0.57,0.98,4.257792064044403e6
0.64,0.48,0.5,0.64,0.57,4.261907040625834e6
1.0,0.46,0.07,0.95,0.67,4.265304899759509e6
0.37,0.82,0.85,0.47,0.21,4.272210821995367e6
0.87,0.19,0.49,0.02,0.52,4.261085446796788e6
0.38,0.87,0.09,0.23,0.45,4.261466516842022e6
0.09,0.36,0.82,0.31,1.0,4.281852338153992e6
0.1,0.15,0.48,0.9,0.8,4.274618572417602e6
0.78,0.72,0.76,0.92,0.16,4.268959721117173e6
0.64,0.32,0.04,0.66,0.12,4.256793834624235e6
0.62,0.3,0.35,0.32,0.29,4.257265181941384e6
0.57,0.35,0.44,0.28,0.67,4.257942961627943e6
0.81,0.78,0.51,0.16,0.38,4.2674794479113575e6
0.74,0.97,0.7,0.46,0.14,4.271870456437159e6
0.1,0.97,0.02,0.65,0.13,4.262865087814779e6
0.75,0.91,0.01,0.83,0.55,4.267006061637199e6
0.88,0.5,0.94,0.28,0.06,4.267272186221903e6
0.81,0.96,0.71,0.32,0.11,4.27195830303601e6
0.85,0.74,0.17,0.3,0.88,4.265184907280499e6
0.4,0.79,0.51,0.15,0.54,4.266250753363717e6
0.98,0.59,0.61,0.72,0.66,4.268222366287165e6
0.33,0.93,0.24,0.92,0.15,4.266355229734944e6
0.7,0.84,0.13,0.99,0.59,4.266174273636297e6
0.54,0.96,0.63,0.26,0.62,4.270748694299232e6
0.54,0.58,0.93,0.85,1.0,4.267852790602721e6
0.21,0.05,0.03,0.8,0.43,4.255981408865236e6
0.86,0.71,0.81,0.28,0.85,4.268801682420587e6
0.46,0.19,0.34,0.21,0.85,4.253520425095402e6
0.2,0.58,0.28,0.87,0.18,4.260028303152833e6
0.18,0.22,0.27,0.31,0.21,4.251225492439174e6
0.85,0.73,0.61,0.41,0.87,4.267880181534487e6
0.58,0.63,0.1,0.76,0.27,4.259799568105246e6
0.86,0.58,0.81,0.32,0.96,4.267112795538462e6
0.74,0.24,0.02,0.1,0.21,4.255373926194813e6
0.7,0.9,0.1,0.07,0.44,4.265976663870912e6
0.04,0.9,0.89,0.15,0.24,4.291887718668849e6
0.99,1.0,0.2,0.31,0.41,4.271384231877885e6
0.54,0.65,0.63,0.68,0.34,4.265212517998046e6
0.28,0.32,0.12,0.78,0.91,4.251598449790396e6
0.11,0.95,0.7,0.06,0.8,4.281744244947575e6
0.51,0.9,0.53,0.1,0.6,4.268469347358157e6
0.25,0.72,0.31,0.53,0.69,4.2621028666174915e6
0.29,0.72,0.81,0.71,0.12,4.272343240559803e6
0.8,0.89,0.18,0.54,0.84,4.267690830116844e6
0.36,0.13,0.6,0.01,0.37,4.256591631288472e6
0.34,0.16,0.81,0.49,0.11,4.265963435928218e6
0.45,0.48,0.39,0.12,0.14,4.258050160694666e6
0.42,0.97,0.56,0.28,0.81,4.270827085754547e6
0.29,0.38,0.51,0.45,0.29,4.260264521315031e6
0.06,0.8,0.15,0.14,0.44,4.266467387615429e6
0.7,0.15,0.17,0.59,0.59,4.259733423836853e6
0.07,0.8,0.77,0.62,0.58,4.286500265058877e6
0.59,0.47,0.22,0.1,0.1,4.257157513305066e6
0.59,0.54,0.77,0.23,0.36,4.264178662112431e6
0.51,0.58,0.32,0.2,0.98,4.259387544361642e6
0.53,0.71,0.73,0.75,0.39,4.267459746451346e6
0.13,0.92,0.62,0.74,0.05,4.278693080084527e6
0.6,0.76,0.47,0.14,0.05,4.265173979537037e6
0.14,0.05,0.94,0.1,0.7,4.276602169233378e6
0.46,0.2,0.61,0.63,0.87,4.262125860861054e6
0.47,0.67,0.88,0.79,0.45,4.2689665143576665e6
0.11,0.74,0.61,0.72,0.68,4.277560521254396e6
0.6,0.69,0.89,0.02,0.29,4.267664527218762e6
0.56,0.93,0.92,0.59,0.77,4.272722550542219e6
0.72,0.11,0.72,0.77,0.1,4.268446840846443e6
0.69,0.65,0.62,0.19,0.44,4.265028130993035e6
0.57,0.59,0.45,0.29,0.86,4.261621746275334e6
0.42,0.85,0.2,0.82,0.15,4.263984731257694e6
0.4,0.1,0.73,0.91,0.3,4.271774652324917e6
0.65,0.7,0.37,0.67,0.01,4.264111111824545e6
0.34,0.49,0.66,0.35,0.34,4.263963008549992e6
0.67,0.92,0.55,0.82,0.93,4.270121928676028e6
0.15,0.41,0.19,0.93,0.46,4.2562252936216835e6
0.87,0.77,0.76,0.21,0.25,4.269440485733476e6
0.65,0.11,0.2,0.92,0.83,4.265906364494475e6
0.8,0.18,0.16,0.92,0.49,4.265362778576098e6
0.27,0.85,0.13,0.11,0.61,4.260504944161473e6
0.37,0.43,0.67,0.99,0.84,4.266089267159548e6
0.84,0.27,0.67,1.0,0.06,4.268412341950374e6
0.64,0.56,0.84,0.83,0.94,4.266563629618815e6
0.66,0.11,0.35,0.83,0.47,4.265646581834222e6
0.45,0.93,0.94,0.84,0.59,4.274291366411366e6
0.53,0.36,0.05,0.07,0.31,4.252225663710854e6
0.85,0.54,0.12,0.1,0.16,4.26169560851289e6
0.98,0.92,0.71,0.52,0.45,4.272726212744743e6
0.13,0.84,0.67,0.15,0.79,4.278219496961134e6
0.33,0.82,0.92,0.84,0.63,4.274627993164539e6
0.48,0.18,0.23,0.38,0.06,4.25339332773613e6
0.98,0.32,0.81,0.36,0.1,4.266924369247711e6
0.48,0.08,0.66,0.89,0.05,4.270616848478049e6
0.8,0.73,0.53,0.03,0.05,4.266668402347455e6
0.39,0.03,0.18,0.02,0.7,4.243932696073705e6
0.5,0.52,0.28,0.86,0.69,4.259614386668721e6
0.28,0.29,1.0,0.05,0.91,4.269721334343111e6
0.33,0.57,0.62,0.35,0.41,4.26468828922609e6
0.25,0.43,0.75,0.76,0.06,4.269334364790846e6
0.4,0.13,0.92,0.28,0.92,4.264358880512019e6
0.09,0.85,0.34,0.88,0.56,4.272816170049582e6
0.52,0.06,0.26,0.27,0.92,4.25222968324778e6
0.58,0.07,0.46,0.03,0.42,4.253443790239145e6
0.38,0.3,0.92,0.02,0.97,4.264854035290062e6
0.1,0.1,0.6,0.74,0.25,4.27840147195813e6
0.62,0.51,0.32,0.35,0.07,4.259485441517488e6
0.75,0.25,0.99,0.02,0.41,4.263708739990842e6
0.5,0.99,0.59,0.28,0.96,4.271177080452686e6
0.14,0.45,0.66,0.12,0.6,4.271558331346111e6
0.66,0.23,0.07,0.15,0.37,4.254012705433587e6
0.51,0.9,0.77,0.89,0.75,4.271691802741617e6
0.08,0.84,0.34,0.5,0.32,4.272933085578779e6
0.52,0.04,0.46,0.12,0.53,4.252650282286532e6
0.31,0.56,0.39,0.89,0.57,4.261629918995872e6
0.18,0.74,0.71,0.25,0.33,4.2745847592374915e6
0.17,0.01,0.36,0.66,0.82,4.268782046502889e6
0.3,0.16,0.76,1.0,0.22,4.273479128907515e6
0.25,0.82,0.87,0.19,0.95,4.275720872043338e6
0.4,0.95,0.16,0.29,0.02,4.264987660331639e6
0.03,0.38,0.71,0.93,0.8,4.291214667535589e6
0.88,0.07,0.34,0.48,0.44,4.264141662286993e6
0.72,0.52,0.62,0.14,0.77,4.263279357462952e6
0.98,0.85,0.33,0.31,0.22,4.26945114772385e6
0.98,0.38,0.83,0.87,0.93,4.269309553361747e6
0.73,0.59,0.63,0.89,0.1,4.26593449516674e6
0.92,0.53,0.68,0.84,0.87,4.267716973001643e6
0.87,0.54,0.07,0.82,0.53,4.263107309352228e6
0.74,0.26,0.46,0.8,0.17,4.263706705880695e6
0.96,0.2,0.41,0.09,0.38,4.26256092458513e6
0.02,0.24,0.62,0.7,0.31,4.291629307599901e6
0.37,0.3,0.35,0.06,0.6,4.253708334112732e6
0.22,0.3,0.97,0.97,0.9,4.277369146943487e6
0.09,0.5,0.41,0.59,0.19,4.268750494640177e6
0.38,0.18,0.19,0.18,0.59,4.24893304555394e6
0.55,0.65,0.18,0.32,0.81,4.259653137759693e6
0.16,0.81,0.78,0.46,0.01,4.278541020731459e6
0.2,0.29,0.36,0.57,0.07,4.257324060991681e6
0.14,0.44,0.09,0.63,0.28,4.250100587996339e6
0.69,0.14,0.94,0.86,0.63,4.270447480106683e6
0.33,0.47,0.39,0.25,0.73,4.2577811813667575e6
0.52,0.39,0.55,0.25,0.07,4.259378401259722e6
0.21,0.27,0.01,0.09,0.34,4.240575591415985e6
0.32,0.58,0.63,0.43,0.15,4.2653740977994865e6
0.81,0.46,0.97,0.17,0.49,4.26616228418118e6
0.52,0.08,0.44,0.06,0.32,4.252817733037291e6
0.15,0.73,0.34,0.05,0.98,4.265294158194917e6
0.71,0.34,0.96,0.92,0.18,4.267772664360395e6
0.1,0.64,0.72,0.32,0.64,4.280044179118993e6
0.52,0.89,0.43,0.53,0.24,4.267616211987252e6
