α_v,α_s,α_v_error,α_s_error,decay,MSE
0.83,0.02,0.3,0.13,0.36,2.545678755463452e7
0.22,0.81,0.55,0.27,0.64,2.5187883580940448e7
0.67,0.72,0.74,0.38,0.56,2.5334455062891312e7
0.71,0.48,0.9,1.0,0.73,2.5388324917127173e7
0.76,0.43,0.31,0.1,0.83,2.5341293646719974e7
0.91,0.53,0.7,0.75,0.29,2.5442192261294384e7
0.45,0.19,0.3,0.99,0.1,2.520145934694193e7
0.9,0.98,0.38,0.57,0.13,2.5408652095698144e7
0.75,0.88,0.24,0.18,0.36,2.5329206481721666e7
0.42,0.2,0.23,0.04,0.68,2.5173067609889288e7
0.16,0.64,0.67,0.26,0.61,2.5198182495928604e7
0.63,0.49,0.93,0.2,0.31,2.5317434661479387e7
0.69,0.33,0.78,0.37,0.31,2.5335616365899786e7
0.8,0.59,0.54,0.54,0.84,2.538725513586287e7
0.47,0.43,0.34,0.88,0.77,2.525800812901429e7
0.57,0.3,0.38,0.2,0.28,2.5256288434454348e7
0.55,0.32,0.17,0.92,0.75,2.526816292326842e7
0.01,0.98,0.81,0.99,0.36,2.548706422954779e7
0.96,0.22,0.24,0.61,0.29,2.543045687426047e7
0.42,0.85,0.39,0.11,0.15,2.520716326658999e7
0.93,0.53,0.76,0.08,0.54,2.5424327946839515e7
0.68,0.88,0.28,0.95,0.53,2.5357659627758358e7
0.46,0.02,0.41,0.36,0.59,2.520445331912186e7
0.09,0.82,0.99,0.19,0.7,2.5266760988652967e7
0.85,0.73,0.19,0.87,0.9,2.5410296962713603e7
0.09,0.82,0.26,0.83,0.34,2.531438749213475e7
0.46,0.6,0.76,0.86,0.6,2.5290824365508795e7
0.8,0.38,0.46,0.92,0.19,2.5393668842929758e7
0.44,0.5,0.53,0.31,0.29,2.5225515847359303e7
0.01,0.32,0.32,0.12,0.62,2.542961989131434e7
0.3,0.29,0.7,0.8,0.34,2.51770504299562e7
0.53,0.73,0.47,0.81,0.52,2.5303024640450098e7
0.69,0.5,0.14,0.7,0.59,2.5336993545191053e7
0.59,0.91,0.66,0.8,0.61,2.5330507932890806e7
0.23,0.72,0.51,0.48,0.62,2.5199820130675014e7
0.54,0.53,0.71,0.03,0.26,2.5261389335431222e7
0.83,0.18,0.4,0.78,0.43,2.538173028338591e7
0.13,0.63,0.05,0.63,0.43,2.523681058244206e7
0.67,0.58,0.79,0.39,0.08,2.533861603694222e7
0.54,0.85,0.19,0.79,0.18,2.529556355889497e7
0.93,0.01,0.45,0.6,0.63,2.543071470060446e7
0.48,0.56,0.28,0.16,0.02,2.52242813954732e7
0.65,0.17,0.99,0.23,0.66,2.5321886280618913e7
0.87,0.01,0.87,0.98,0.22,2.539088301383282e7
0.69,0.99,0.95,0.2,0.73,2.533411356717563e7
0.24,0.42,0.78,0.81,0.47,2.520473553805693e7
0.39,0.7,0.01,0.05,0.53,2.5174358861580644e7
0.44,0.44,0.39,0.65,0.25,2.523393801599857e7
0.55,0.57,0.4,0.43,0.07,2.5276296109683372e7
