α_v,α_s,α_v_error,α_s_error,decay,MSE
0.58,0.76,0.88,0.62,0.27,3.917350863756036e7
0.53,0.49,0.44,0.75,0.53,3.9196400921654664e7
0.8,0.18,0.04,0.58,0.05,3.920527839358773e7
0.63,0.26,0.68,0.16,0.61,3.9212354660783075e7
0.18,0.37,0.48,0.27,0.85,3.920218357077494e7
0.62,0.61,0.73,0.78,0.7,3.918943259482301e7
0.56,0.87,0.68,0.68,0.01,3.916588963843933e7
0.25,0.22,0.52,1.0,0.75,3.92345307219756e7
0.61,0.6,0.07,0.07,0.18,3.914745328139607e7
0.33,0.95,0.45,0.26,0.79,3.914278160333125e7
0.69,0.68,0.23,0.47,0.04,3.915593426480998e7
0.42,0.64,0.57,0.65,0.28,3.918050874876079e7
0.79,0.85,0.48,0.44,0.26,3.914707965144259e7
0.68,0.26,0.68,0.33,0.3,3.921401695148305e7
0.72,0.61,0.01,0.87,0.62,3.917170291914108e7
0.4,0.19,0.11,0.82,0.05,3.922660711282088e7
0.88,0.83,0.28,0.01,0.48,3.9119973369482964e7
0.21,0.19,0.11,0.09,0.29,3.922594506541424e7
0.81,0.61,0.95,0.35,0.07,3.917930748290573e7
0.98,0.55,0.78,0.56,0.37,3.9186538236797e7
0.99,0.98,0.79,0.09,0.93,3.913948817091807e7
0.85,0.17,0.46,0.43,0.35,3.92141296473156e7
0.68,0.65,0.48,0.72,0.47,3.9176187538990736e7
0.93,0.93,0.28,0.33,0.29,3.912953092606412e7
0.92,0.61,0.52,0.64,0.18,3.91737705393033e7
0.38,0.91,0.13,0.08,0.38,3.9128861656913355e7
0.53,0.47,0.36,0.26,0.6,3.91816935464069e7
0.21,0.29,0.51,0.75,0.95,3.922356996351615e7
0.99,0.84,0.11,0.71,0.92,3.914086695970959e7
0.25,0.36,0.89,0.73,0.22,3.921642477778768e7
0.42,0.39,0.83,0.67,0.74,3.92124797869419e7
0.47,0.5,0.06,0.29,0.25,3.917436819632179e7
0.03,0.76,1.0,0.86,0.8,3.901195984979316e7
0.97,0.05,0.78,0.86,0.82,3.9203486395280294e7
0.21,0.48,0.33,0.22,0.07,3.918577146202124e7
0.65,0.2,0.49,0.52,0.53,3.921950411734675e7
0.67,0.61,0.05,0.97,0.88,3.917886565914045e7
0.14,0.61,0.06,0.65,0.98,3.919200691224126e7
0.94,0.83,0.43,0.26,0.16,3.9136294181083195e7
0.93,0.31,0.6,0.55,0.12,3.920529719790128e7
0.11,0.49,0.01,1.0,0.79,3.922170713249204e7
0.94,0.15,0.3,0.67,0.35,3.921016324045168e7
0.99,0.81,0.78,0.69,0.95,3.916895403394774e7
0.46,0.79,0.41,0.57,0.53,3.916076189566395e7
0.41,0.79,0.01,0.3,0.88,3.9142517762341484e7
0.3,0.38,0.24,0.64,0.6,3.9208698863449596e7
0.37,0.52,0.58,0.35,0.82,3.91840291975334e7
0.81,0.25,0.63,0.64,0.13,3.921602661360478e7
0.72,0.68,0.51,0.91,0.72,3.9180766628195964e7
0.71,0.11,0.59,0.72,0.82,3.922556657376912e7
0.47,0.61,0.78,0.13,0.25,3.916689681676759e7
0.92,0.46,0.49,0.48,0.03,3.918404105657549e7
0.18,0.76,0.5,0.64,0.21,3.916907267356869e7
0.79,0.09,0.74,0.1,0.11,3.922759740255321e7
0.34,0.9,0.14,0.37,0.65,3.9145221111572996e7
0.87,0.92,0.07,0.48,0.29,3.912996448116521e7
0.97,0.09,0.44,0.95,0.33,3.921436178311714e7
0.09,0.46,0.64,0.87,0.69,3.9190650479116425e7
0.66,0.09,0.9,0.46,0.43,3.922978640597476e7
0.82,0.18,0.17,0.97,0.86,3.921453434424446e7
0.65,0.88,0.64,0.96,0.43,3.9176029326400496e7
0.7,0.95,0.6,0.2,0.14,3.9138466359765165e7
0.8,0.43,0.62,0.33,0.55,3.919002110059451e7
0.81,0.94,0.16,0.33,0.43,3.9127954627594426e7
0.17,0.85,0.91,0.34,0.8,3.914278267146228e7
0.4,0.14,0.88,0.88,0.88,3.9237886120991126e7
0.1,0.47,0.56,0.44,0.87,3.9180493779419795e7
0.42,0.98,0.1,0.44,0.32,3.914537151864706e7
0.54,0.41,0.03,0.48,0.83,3.918923513087264e7
0.64,0.77,0.95,0.36,0.13,3.9163616152006775e7
0.67,0.35,0.77,0.51,0.54,3.9209622693848945e7
0.49,0.01,0.41,0.31,0.4,3.922371387385661e7
0.13,0.05,0.06,0.14,0.49,3.924464594298564e7
0.9,0.51,0.49,0.18,0.47,3.916958612088297e7
0.09,0.13,0.96,0.36,0.61,3.919702927726492e7
0.33,0.45,0.73,0.38,0.04,3.919611573395212e7
0.29,0.29,0.62,0.09,0.4,3.9210324664133735e7
0.37,0.83,0.15,0.72,0.93,3.916391118799739e7
0.62,0.39,0.34,0.82,0.55,3.9204573703194186e7
0.23,0.74,0.62,0.81,0.65,3.917928023329149e7
0.69,0.53,0.57,0.9,0.39,3.919646816879506e7
0.11,0.09,0.28,0.8,0.69,3.9234423005334795e7
0.52,0.2,0.99,0.8,0.44,3.923428881431193e7
0.07,0.28,0.05,0.68,0.93,3.9235085177649066e7
0.95,0.8,0.62,0.59,0.12,3.915941252891616e7
0.33,0.45,0.29,0.48,0.23,3.9194980489443436e7
0.42,0.6,0.59,0.69,0.96,3.918660336520421e7
0.96,0.54,0.88,0.78,0.82,3.9197470993795864e7
0.84,0.76,0.81,0.24,0.5,3.915556046796134e7
0.24,0.87,0.12,0.95,0.77,3.917898634025721e7
0.72,0.45,0.13,0.18,0.95,3.9170547363490075e7
0.03,0.41,0.9,0.16,0.84,3.902104260012272e7
0.55,0.3,0.13,0.87,0.45,3.921283259396561e7
0.65,0.96,0.74,0.77,0.76,3.91691055673464e7
0.11,0.88,0.11,0.01,0.25,3.913897175960551e7
0.89,0.75,0.96,0.67,0.56,3.917830364930108e7
0.89,0.77,0.81,0.73,0.92,3.9174037200437516e7
0.94,0.66,0.13,0.37,0.19,3.9142741709393546e7
0.86,0.46,0.1,0.82,0.61,3.918205988068564e7
0.19,0.04,0.82,0.48,0.7,3.9200298296727665e7
0.75,0.61,0.2,0.6,1.0,3.91656997859424e7
0.6,0.65,0.68,1.0,0.06,3.919297670510769e7
0.66,0.34,0.98,0.88,0.03,3.922300357736916e7
0.12,0.78,0.33,0.23,0.24,3.91471291127414e7
0.63,0.93,0.81,0.11,0.14,3.9140837314929165e7
0.74,0.57,0.6,0.45,0.5,3.9177057546070494e7
0.8,0.49,0.57,0.18,0.31,3.9176562203353316e7
0.63,0.38,0.72,0.75,0.17,3.921153505226465e7
0.68,0.39,0.23,0.7,0.06,3.919688901793065e7
0.99,0.03,0.15,0.68,0.96,3.915310625217091e7
0.05,0.79,0.68,0.66,0.68,3.910350056694419e7
0.86,0.06,0.63,0.69,0.02,3.9208689279029846e7
0.96,0.91,0.31,0.05,0.36,3.9118152358021945e7
0.51,0.9,0.6,0.47,0.79,3.915409265775413e7
0.27,0.16,0.58,0.57,0.13,3.9231812743280865e7
0.35,0.67,0.92,0.26,0.02,3.916587131470629e7
0.98,0.42,0.16,0.6,0.57,3.917792368924822e7
0.89,0.69,0.1,0.36,0.86,3.913935520853127e7
0.68,0.92,0.04,0.65,0.16,3.914476499818329e7
0.71,0.07,0.47,0.11,0.61,3.922504054632414e7
0.45,0.29,0.04,0.92,0.48,3.921724196254683e7
0.25,0.45,0.62,0.05,0.49,3.918469148305763e7
0.19,0.23,0.82,0.32,0.49,3.921976535153586e7
0.74,0.06,0.75,0.67,0.18,3.9214734896983586e7
0.49,0.17,0.97,0.3,0.16,3.9230569041862406e7
0.8,0.82,0.85,0.29,0.96,3.9154535426279575e7
0.22,0.84,0.28,0.95,0.17,3.918064939673861e7
0.17,0.58,0.56,0.19,0.79,3.9167091666520745e7
0.04,0.6,0.85,0.5,0.7,3.9061375381174855e7
0.05,0.38,0.08,0.12,0.3,3.920232948984377e7
0.18,0.36,0.11,0.62,0.1,3.921641793706698e7
0.1,0.68,0.94,0.07,0.66,3.911313455875332e7
0.83,0.87,0.07,0.84,1.0,3.914944207328276e7
0.86,0.94,0.12,0.9,0.91,3.915179388287177e7
0.58,0.39,0.51,0.16,0.01,3.919221738297034e7
0.5,0.92,0.5,0.88,0.69,3.91713437220071e7
0.82,0.8,0.32,0.62,0.85,3.915162265933883e7
0.55,0.64,0.4,0.89,0.45,3.9184834132395096e7
0.83,0.37,0.51,0.84,0.22,3.9205170525023535e7
0.44,0.34,0.47,0.37,0.9,3.920572139581958e7
0.96,0.26,0.94,0.76,0.81,3.922329783722426e7
0.49,0.82,0.11,0.23,0.87,3.9136282943614766e7
0.53,0.63,0.39,0.86,0.2,3.918486623134785e7
0.08,0.41,0.35,0.05,0.36,3.9181702638561755e7
0.09,0.12,0.93,0.29,0.55,3.919863387737232e7
0.3,0.12,0.5,0.62,0.93,3.9232602975028984e7
0.98,0.78,0.88,0.68,0.27,3.9174170587771945e7
0.47,0.07,0.1,0.55,0.65,3.921459577807179e7
0.12,0.39,0.75,0.32,0.85,3.918703083882097e7
0.5,0.54,0.55,0.69,0.11,3.919148747928036e7
0.84,0.62,0.13,0.86,0.38,3.916902407846337e7
0.16,0.93,0.54,0.14,0.2,3.913451375101596e7
0.64,0.31,0.36,0.27,0.11,3.92005973494387e7
0.66,0.87,0.73,0.99,0.57,3.917956887797641e7
0.61,0.51,0.75,0.86,0.34,3.920258857257862e7
0.45,0.43,0.11,0.15,0.22,3.918160402479424e7
0.25,0.25,0.68,0.28,0.81,3.921912591141434e7
