α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.36,0.71,0.08,0.58,0.19,0.96,0.38,0.25,1.6415552474789739e7
0.69,0.86,0.34,0.7,0.55,0.55,0.74,0.16,1.6387846449442776e7
0.66,0.84,0.26,0.49,0.15,0.16,0.39,0.13,1.647790538538611e7
1.0,0.68,0.52,0.7,0.36,0.69,0.63,0.13,1.6391327235131435e7
0.42,0.34,0.32,0.5,0.74,0.55,0.73,0.03,1.6413430958797775e7
0.72,0.3,0.56,0.06,0.45,0.97,0.94,0.21,1.6375743969818048e7
0.61,0.41,0.92,0.03,0.03,0.18,0.46,0.36,1.6395956383611226e7
0.43,0.49,0.18,0.1,0.85,0.41,0.49,0.78,1.6368362027180815e7
0.82,0.8,0.2,0.3,0.42,0.48,0.63,0.91,1.6384294984669464e7
0.96,0.47,0.83,0.18,0.71,0.73,0.29,0.53,1.6357419709661528e7
0.46,0.98,0.49,0.92,0.52,0.31,0.15,0.64,1.6443002275835535e7
0.01,0.54,0.63,0.91,0.12,0.65,1.0,0.17,1.651600525007128e7
0.3,0.7,0.91,0.81,0.73,0.15,0.31,0.59,1.6470388818211988e7
0.65,0.24,0.03,0.76,0.37,0.18,0.08,0.86,1.6463606970375355e7
0.32,0.56,0.05,0.99,0.1,0.94,0.29,0.14,1.6418127244922578e7
0.36,0.67,0.1,0.8,0.08,0.72,0.07,0.12,1.6389239641998807e7
0.02,0.43,0.5,0.67,0.78,0.21,0.64,0.48,1.6412839642732786e7
0.48,0.72,0.63,0.41,0.1,0.33,0.61,0.87,1.6409545587753622e7
0.98,0.36,0.18,0.66,0.65,0.68,0.28,0.4,1.6373696334065562e7
0.83,0.8,0.12,0.76,0.06,0.02,0.81,0.53,1.6480759146124307e7
0.27,0.04,0.59,1.0,0.28,0.04,0.43,0.84,1.6543615754936865e7
0.83,0.02,0.69,0.56,0.08,0.25,0.5,0.39,1.6549567151600325e7
0.72,0.72,0.75,0.29,0.58,0.44,0.94,0.15,1.6407926312656809e7
0.08,0.74,0.6,0.05,0.65,0.86,0.39,0.2,1.6411842573289458e7
0.39,0.31,0.89,0.98,0.95,0.82,0.05,0.48,1.635956762038892e7
0.48,0.5,0.75,0.29,0.55,0.86,0.56,0.02,1.6386234940008026e7
0.07,0.45,0.3,0.6,0.36,0.37,0.31,0.27,1.646347723384277e7
0.57,0.11,0.72,0.62,0.12,0.01,0.38,0.57,1.6555850836477607e7
0.18,0.5,0.13,0.86,0.96,0.4,0.07,0.66,1.6374816648796452e7
0.7,0.59,0.18,0.02,0.28,0.54,0.81,0.6,1.6397847999750456e7
0.08,0.89,0.7,0.05,0.64,0.76,0.29,0.04,1.6382627248330666e7
0.68,0.98,0.64,0.69,0.18,0.69,0.77,0.47,1.6414721815113952e7
0.11,0.48,0.21,0.05,0.45,0.03,0.4,0.88,1.6506170153723799e7
0.77,0.78,0.38,0.13,0.3,0.03,0.43,0.6,1.6533347644042414e7
0.99,0.34,0.59,0.62,0.58,0.3,0.74,0.4,1.6404262187842757e7
0.25,0.93,0.44,0.33,0.95,0.6,0.38,0.74,1.6346259074265217e7
0.83,0.31,0.89,0.58,0.19,0.96,0.18,0.36,1.6441931813478338e7
0.76,0.5,0.99,0.8,0.07,0.19,0.5,0.52,1.6486927224391555e7
0.93,0.99,0.43,0.91,0.9,0.46,0.86,0.55,1.6362100347683944e7
0.47,0.04,0.72,0.68,0.56,0.54,0.71,0.81,1.6516182705190513e7
0.26,0.57,0.05,0.9,0.02,0.77,0.03,0.3,1.6444666536790224e7
0.13,0.07,0.06,0.73,0.61,0.2,0.33,0.59,1.6505051157231832e7
0.28,0.38,0.62,0.02,0.7,0.75,0.83,0.66,1.6389548636164598e7
0.4,0.18,0.35,0.2,0.4,0.3,0.31,0.33,1.6450647972870907e7
0.87,1.0,0.18,0.92,0.38,0.78,0.13,0.41,1.6404111024578733e7
0.13,0.44,0.15,0.87,0.12,0.31,0.76,0.44,1.6460156447390359e7
0.66,0.86,0.39,0.63,0.63,0.98,0.87,0.25,1.638233562815645e7
0.36,0.14,0.14,0.82,0.09,0.39,0.99,0.7,1.6482105316380851e7
0.14,0.47,0.29,0.79,0.02,0.27,0.06,0.26,1.6480129057257047e7
0.26,0.8,0.78,0.75,0.18,0.69,0.93,0.39,1.6428069349722452e7
0.65,0.22,0.16,0.41,0.03,0.27,0.6,0.35,1.6469091057625312e7
0.52,0.97,0.34,0.35,0.94,0.97,0.56,0.51,1.6342705913305178e7
0.01,0.04,0.11,0.25,0.29,0.02,0.25,0.11,1.6561158129939225e7
0.68,0.33,0.45,0.87,0.67,0.95,0.41,0.12,1.6382824673223438e7
0.31,0.31,0.05,0.21,0.12,0.02,0.08,0.72,1.654913369982575e7
0.03,0.95,0.65,0.3,0.75,0.44,0.24,0.49,1.6365669856238889e7
0.13,0.21,0.94,0.11,0.48,0.51,0.13,0.46,1.6419676747259926e7
0.84,0.52,0.63,0.9,0.96,0.59,0.17,0.97,1.6355017503787955e7
0.11,0.06,0.96,0.48,0.66,0.29,0.39,0.15,1.6517307971044343e7
0.36,0.79,0.85,0.8,0.72,0.06,0.16,0.47,1.645050412315864e7
0.56,0.62,0.01,0.51,0.65,0.49,0.17,0.13,1.638682559595718e7
0.59,0.36,0.32,0.2,0.16,0.82,0.86,0.05,1.642566147961528e7
0.46,0.41,0.56,0.15,0.66,0.11,0.69,0.7,1.6425599966875106e7
0.26,1.0,0.25,0.43,0.24,0.48,0.94,0.25,1.6413814024199339e7
0.49,0.28,0.8,0.64,0.19,0.49,0.52,0.18,1.644026831431597e7
0.53,0.04,0.53,0.5,0.49,0.84,0.81,0.61,1.6544060911007334e7
0.17,0.65,0.12,0.61,0.35,0.04,0.93,0.53,1.6477281898750681e7
0.79,0.15,0.35,0.15,0.05,0.92,0.06,0.43,1.6463671447892556e7
0.5,0.6,0.08,0.31,0.83,0.13,0.34,0.62,1.6445037407585708e7
0.57,0.99,0.61,0.94,0.96,0.58,0.57,0.44,1.6361225771650689e7
0.3,0.69,0.93,0.39,0.49,0.58,0.15,0.6,1.6407045090826567e7
0.56,0.48,1.0,0.41,0.09,0.95,0.4,0.98,1.6429908027034681e7
0.87,0.44,0.17,1.0,0.12,0.69,0.21,0.8,1.638834338299255e7
0.08,0.01,0.14,0.91,0.94,0.06,1.0,0.58,1.6546626016516857e7
0.38,0.28,0.06,0.92,0.96,0.35,0.26,0.74,1.6393651935028128e7
0.25,0.02,0.81,0.06,0.61,0.75,0.04,0.52,1.6373797151739357e7
0.92,0.54,0.73,0.6,0.65,0.61,0.71,0.69,1.6358961586955875e7
0.01,0.22,0.37,0.63,0.27,0.71,0.86,0.2,1.6498888551871317e7
0.51,0.42,0.59,0.78,0.52,0.03,0.24,0.3,1.6529038368340949e7
0.25,0.29,0.79,0.42,0.8,0.59,0.37,0.26,1.6360835585429553e7
0.86,0.76,0.43,0.66,0.67,0.21,0.37,0.92,1.640609870551555e7
0.47,0.64,0.21,0.21,0.58,0.89,1.0,0.6,1.6385907377946595e7
0.82,0.76,0.2,0.5,0.75,0.39,0.81,0.49,1.6400483124768913e7
0.38,0.36,0.19,0.82,0.27,0.32,0.41,0.8,1.6445000774643436e7
0.34,0.75,0.68,0.05,0.63,0.57,0.89,0.65,1.6403669648098147e7
0.7,0.4,0.19,0.11,0.18,0.85,0.08,0.31,1.6414029924051473e7
0.53,0.62,0.85,0.29,0.47,0.02,0.52,0.53,1.644915282749102e7
0.69,0.39,0.12,0.85,0.73,0.56,0.93,0.49,1.6387298923651492e7
0.45,0.79,0.79,0.24,0.39,0.79,0.92,0.51,1.638802624029033e7
0.98,0.36,0.88,0.48,0.27,0.42,0.67,0.56,1.6432769057063865e7
0.35,0.95,0.59,0.11,0.65,0.51,0.95,0.18,1.6424145368552344e7
0.78,0.73,0.37,0.76,0.16,0.54,0.91,0.65,1.6435549035718193e7
0.13,0.9,0.76,0.55,0.24,0.64,0.66,0.74,1.6407814254605418e7
0.95,0.16,0.09,0.48,0.46,0.34,0.6,0.02,1.6434836377557697e7
0.41,0.29,0.34,0.97,0.74,0.46,0.88,0.36,1.64526505140159e7
0.15,0.4,0.92,0.67,0.65,0.46,0.04,0.9,1.6407451693901427e7
0.5,0.73,0.08,0.43,0.46,0.73,0.34,0.22,1.6386970945305794e7
0.15,0.55,0.76,0.44,0.53,0.09,0.34,0.72,1.6537983401841108e7
0.6,0.15,0.37,0.53,0.33,0.32,0.28,0.93,1.6452523809138613e7
0.6,0.77,0.92,0.3,0.87,0.79,0.08,0.86,1.6348365512176028e7
0.7,0.65,0.85,0.25,0.32,0.03,0.39,0.29,1.6447322527639123e7
0.67,0.35,0.33,0.95,0.53,0.34,0.57,0.81,1.6425757625712268e7
0.58,0.73,0.53,0.46,0.78,0.77,0.28,0.4,1.6359869249248521e7
0.76,0.75,0.52,0.32,0.4,0.03,0.63,0.09,1.6433812624715298e7
0.78,0.1,0.41,1.0,0.97,0.55,0.7,0.84,1.6420877759136086e7
0.4,0.7,0.41,0.22,0.28,0.04,0.85,0.98,1.6464488777592383e7
0.85,0.7,0.4,0.84,1.0,0.64,0.16,0.21,1.6344258398615148e7
0.46,0.64,0.24,0.71,0.92,0.1,0.44,0.96,1.6449457736475108e7
0.18,0.53,0.23,0.02,0.09,0.37,0.79,0.35,1.6432144842988111e7
0.83,0.69,0.24,0.24,0.57,0.28,0.34,0.69,1.6378996314871501e7
0.6,0.1,0.87,0.8,0.96,0.41,0.52,0.91,1.6421732119612409e7
0.21,0.2,0.86,0.01,0.11,0.63,0.9,0.8,1.6443570525573608e7
0.27,0.43,0.85,0.18,0.33,0.51,0.85,0.68,1.6416958255777402e7
0.31,0.26,0.03,0.57,0.4,0.61,0.08,0.2,1.6403736077068865e7
