α_v,α_s,α_v_error,α_s_error,decay,MSE
0.54,0.38,0.8,0.7,0.52,1.6048439748021105e7
0.14,0.33,0.72,0.89,0.16,1.6068383803926658e7
0.07,0.23,0.76,0.28,0.71,1.6084807166580737e7
0.46,0.75,0.41,0.25,0.02,1.6050154362307323e7
0.58,0.2,0.07,0.73,0.48,1.6046247675139323e7
0.43,0.96,0.3,0.67,0.85,1.6059941589741949e7
0.68,0.84,0.84,0.29,0.45,1.6051353576034337e7
0.86,0.56,0.08,0.01,0.7,1.6035427194257054e7
0.03,0.01,0.08,0.84,0.35,1.6098361138726695e7
0.96,0.98,0.87,0.98,0.14,1.6048682781131838e7
0.79,0.01,0.07,0.71,0.5,1.6043199721215352e7
0.59,0.58,0.4,0.28,0.93,1.6044800465753768e7
0.76,0.42,0.37,0.58,0.61,1.60408474011842e7
0.84,0.39,0.02,0.74,0.55,1.6036725634138424e7
0.26,0.49,0.48,0.56,0.24,1.6051859728149863e7
0.73,0.28,0.57,0.47,0.93,1.6044927623543505e7
0.95,0.68,0.64,0.89,0.82,1.6035734712838594e7
0.26,0.11,0.18,0.29,0.75,1.604752887078671e7
0.69,0.76,0.43,0.1,0.41,1.6046286127360098e7
0.93,0.83,0.99,0.58,0.73,1.6042805530329466e7
0.61,0.81,0.27,0.17,0.52,1.6049214290382683e7
0.56,0.23,0.29,0.69,0.86,1.6047677839862004e7
0.8,0.13,0.83,0.9,0.25,1.6042058576920765e7
0.77,0.1,0.18,0.6,0.27,1.6035560557145674e7
0.87,0.76,0.95,0.22,0.35,1.6042689402482029e7
0.41,0.41,0.07,0.7,0.06,1.6045849134442754e7
0.07,0.6,0.18,0.86,0.86,1.6082963588816304e7
0.06,0.57,0.85,0.03,0.54,1.6081974304631552e7
0.38,0.28,0.39,0.38,0.42,1.6049907169853434e7
0.52,0.98,0.24,0.24,0.57,1.6059498306880366e7
0.91,0.18,0.97,0.49,0.33,1.6041030556570083e7
0.88,0.16,0.9,0.82,0.48,1.604131679554677e7
0.66,0.66,0.45,0.78,0.49,1.604464415779934e7
0.18,0.04,0.85,0.63,0.66,1.6036974458559908e7
0.72,0.12,0.48,0.8,0.01,1.6041499098262299e7
0.44,0.55,0.67,0.03,0.12,1.604810948666818e7
0.69,0.97,0.34,0.04,0.59,1.605572074105563e7
0.43,0.96,0.37,0.97,0.16,1.6060211695196692e7
0.52,0.53,0.65,0.78,0.56,1.6046907767640054e7
0.52,0.66,0.21,0.33,0.57,1.60460733142818e7
0.9,0.82,0.99,0.01,0.09,1.6043709699299466e7
0.79,0.58,0.59,0.62,0.55,1.604060855447403e7
0.36,0.09,0.63,0.4,0.35,1.6042506979371767e7
0.26,0.42,0.83,0.01,0.74,1.6054098593317516e7
0.48,0.81,0.4,0.13,0.35,1.605198351368645e7
0.52,0.55,0.67,0.95,0.66,1.6047072115500052e7
0.78,0.06,0.66,0.63,0.15,1.602757437343608e7
0.2,0.87,0.46,0.02,0.7,1.6064822057303838e7
0.89,0.05,0.06,0.41,0.43,1.6016581735358443e7
0.89,0.35,0.7,0.5,0.69,1.603876212479408e7
0.18,0.17,0.37,0.77,0.23,1.6061729857233465e7
0.39,0.1,0.54,0.34,0.38,1.6043638001447294e7
0.21,0.1,0.12,0.37,0.52,1.6049982497305637e7
0.53,0.55,0.92,0.43,0.4,1.6048249413627155e7
0.67,0.81,0.95,0.7,0.92,1.605091891126221e7
