α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.71,0.97,0.4,0.37,0.59,0.61,0.05,0.88,3.13692179859022e7
0.85,0.1,0.38,0.99,0.08,0.69,0.05,0.75,3.1279521311719995e7
0.5,0.88,0.94,0.81,0.82,0.8,0.56,0.07,3.1424314626030385e7
0.05,0.45,0.56,0.46,0.26,0.83,0.76,0.21,3.134737872433491e7
0.14,0.54,0.91,0.16,0.26,0.88,0.04,0.15,3.1334744899251215e7
0.51,0.87,0.63,0.07,0.78,0.68,0.36,0.78,3.1397110014258288e7
0.03,0.31,0.38,0.75,0.2,0.23,0.43,0.61,3.1370970850662794e7
0.98,0.92,0.15,0.06,0.11,0.16,0.57,0.08,3.1405462134718962e7
0.13,0.39,1.0,0.47,0.99,0.18,0.58,0.31,3.146294381470311e7
0.65,0.62,0.31,0.42,0.38,0.24,0.96,0.46,3.1379462052769322e7
0.97,0.98,0.87,0.01,0.11,0.27,0.9,0.18,3.135632327272558e7
0.12,0.65,0.9,0.5,0.6,0.94,0.29,0.88,3.1382646526336685e7
0.35,0.09,0.57,0.8,0.57,0.96,0.21,0.3,3.1378044185173634e7
0.12,0.61,0.56,0.97,0.5,0.07,0.38,0.05,3.146915457701827e7
0.18,0.96,0.46,0.38,0.06,0.28,0.11,0.66,3.1318627373699963e7
0.49,0.92,0.44,0.2,0.7,0.96,0.68,0.35,3.1345853325327005e7
0.63,0.03,0.45,0.74,0.36,0.98,0.91,0.73,3.1402612402136736e7
0.16,0.47,0.95,0.37,0.15,0.81,0.28,0.67,3.1348514962928448e7
0.71,0.32,0.94,0.31,0.69,0.85,0.77,0.63,3.1443921830769222e7
0.11,0.14,0.49,0.05,0.85,0.69,0.84,0.75,3.1266930192793537e7
0.47,0.55,0.61,0.17,0.92,0.64,0.8,0.67,3.143111528535777e7
0.8,0.18,0.59,0.04,0.47,0.04,0.42,0.25,3.150956913839588e7
0.65,0.95,0.15,0.09,0.9,0.05,0.55,0.85,3.150433381452057e7
0.33,0.86,0.95,0.66,0.9,0.14,0.98,0.7,3.1327729164532784e7
0.26,0.69,0.02,0.34,0.43,0.32,0.47,0.42,3.1284571491728794e7
0.79,0.11,0.15,0.5,0.27,0.65,0.27,0.32,3.139344720470366e7
1.0,0.19,0.66,0.15,0.74,0.15,0.12,0.1,3.147989895899719e7
0.03,0.54,0.65,0.75,0.22,0.91,0.27,0.43,3.137549207543938e7
0.31,0.06,0.3,0.6,0.51,0.58,0.58,0.96,3.1465057432012916e7
0.95,0.29,0.74,0.02,0.66,0.07,0.06,0.12,3.153782680646862e7
0.51,0.52,0.69,0.92,0.1,0.8,0.68,0.48,3.141418992472844e7
0.03,0.92,0.92,0.58,0.9,0.01,0.01,0.76,3.144738128636502e7
0.03,0.49,0.82,0.72,0.35,0.08,0.4,0.44,3.149484654075846e7
0.9,0.08,0.32,0.69,0.84,0.86,0.12,0.39,3.1404578172450766e7
0.11,0.72,0.6,0.21,0.33,0.86,0.35,0.97,3.1335986194627967e7
0.16,0.67,0.1,0.09,0.54,0.7,0.87,0.66,3.1240677284107905e7
0.51,0.82,0.83,0.75,0.32,0.45,0.23,0.24,3.1358658859922025e7
0.84,0.6,0.05,0.99,0.54,0.99,0.81,0.61,3.137303121894803e7
0.69,0.92,0.79,0.43,0.89,1.0,0.76,0.59,3.141867103513866e7
0.6,0.06,0.36,0.53,0.68,0.23,0.31,0.41,3.148514316259902e7
0.52,0.22,0.97,0.55,0.83,0.69,0.96,0.46,3.145666487162381e7
0.13,0.33,0.73,0.8,0.04,0.76,0.9,0.41,3.1375439954115383e7
0.39,0.68,0.57,0.88,0.12,0.43,0.48,0.82,3.138326893708059e7
0.96,0.9,0.52,0.93,0.05,0.51,0.72,0.7,3.1342328785633903e7
