α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.48,0.85,0.36,0.12,0.73,0.78,0.63,0.07,3.777763392501737e7
0.62,0.37,0.63,0.82,0.82,0.69,0.95,0.07,3.783153574701052e7
0.27,0.2,0.92,0.19,0.94,0.33,0.26,0.71,3.788408681964673e7
0.63,0.15,0.26,0.73,0.83,0.28,0.84,0.83,3.775416816790737e7
0.81,0.11,0.9,0.6,0.87,0.25,0.37,0.56,3.7918373629663974e7
0.9,0.49,0.8,0.22,0.05,0.11,0.26,0.05,3.805786493487712e7
0.23,0.49,0.95,0.4,0.81,0.26,0.78,0.66,3.796501010128251e7
0.47,0.83,0.97,0.75,0.29,0.68,0.05,0.21,3.788059457803043e7
0.18,0.98,0.24,0.01,0.83,0.9,0.72,0.17,3.780213993940459e7
0.53,0.86,0.09,0.75,0.41,0.77,0.78,0.21,3.779427001221675e7
0.8,0.1,0.62,0.82,0.19,0.23,0.92,0.04,3.790469809682764e7
0.39,0.41,0.16,0.6,0.19,0.9,0.92,0.56,3.7882939022040136e7
0.8,0.43,0.76,0.92,0.17,0.7,0.41,0.14,3.797426342355604e7
0.12,0.28,0.15,0.87,1.0,0.55,0.83,0.24,3.78352536824538e7
0.28,0.29,0.16,0.04,0.68,0.55,0.12,0.66,3.770749651462725e7
0.56,0.27,0.01,0.29,0.37,0.02,0.48,1.0,3.777531729306733e7
0.18,0.88,0.49,0.33,0.73,0.47,0.95,0.03,3.786348718544472e7
0.43,0.44,0.74,0.71,0.05,0.79,0.1,0.22,3.802736876937534e7
0.29,0.72,0.07,0.18,0.09,0.7,0.27,0.69,3.780544916188771e7
0.17,0.01,0.05,0.42,0.95,0.89,0.9,0.91,3.774650176458712e7
0.68,0.44,0.34,0.59,0.76,0.98,0.7,0.84,3.7853399340605944e7
0.34,0.12,0.47,0.61,0.99,0.74,0.28,0.87,3.782871169883741e7
0.01,0.51,0.6,0.08,0.93,0.96,0.04,0.08,3.789410358334417e7
0.09,0.73,0.24,0.04,0.01,0.28,0.63,0.5,3.792729007014114e7
