α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.52,0.18,0.25,0.31,0.03,0.4,0.89,0.25,1.9349084191113785e7
0.14,0.33,0.5,0.35,0.17,0.59,0.76,0.62,1.9377548606538646e7
0.33,0.79,0.35,0.03,0.18,0.99,0.22,0.12,1.9453693988800965e7
0.41,0.13,0.02,0.36,0.23,0.19,0.69,0.39,1.941182529730023e7
0.65,0.4,1.0,0.79,0.04,0.79,0.58,0.38,1.9374873796173822e7
0.77,0.44,0.6,0.49,0.26,0.4,0.46,0.08,1.9409121840797395e7
0.4,0.64,0.43,0.34,0.19,0.16,0.59,0.06,1.944731083635024e7
0.28,0.43,0.79,0.44,0.13,0.56,0.43,0.83,1.9387392409118555e7
0.9,0.53,0.31,0.38,0.13,0.5,0.55,0.61,1.9397743257216245e7
0.69,0.43,0.98,0.51,0.87,0.27,0.87,0.49,1.9565637493930046e7
0.64,0.8,0.04,1.0,0.94,0.77,0.33,0.4,1.9563236317442946e7
0.68,0.83,0.65,0.22,0.63,0.86,0.24,0.82,1.9527814737755775e7
0.25,0.44,0.29,0.98,0.01,0.76,0.03,0.12,1.95865845216248e7
0.77,0.03,0.94,0.83,0.22,0.87,0.05,0.41,1.9437782599121045e7
0.18,0.06,0.95,0.04,0.69,0.38,0.45,0.73,1.9516608082166206e7
0.17,0.33,0.91,0.72,0.26,0.33,0.86,0.79,1.9427124502203275e7
0.41,0.64,0.07,0.42,0.9,0.86,0.47,0.96,1.9560514754607875e7
0.1,0.29,0.63,0.24,0.04,0.38,0.52,0.34,1.9399742834588964e7
0.26,0.99,0.37,0.41,0.36,0.05,0.42,0.25,1.94746065634196e7
0.18,0.63,0.11,0.16,0.56,0.54,0.24,0.8,1.952430802600341e7
0.78,0.87,0.45,0.63,0.27,0.03,0.71,0.09,1.950874454352531e7
0.45,0.43,0.12,0.23,0.62,0.71,0.23,0.34,1.9523544030152053e7
0.63,0.34,0.01,0.32,0.36,0.7,0.61,0.56,1.945582224572334e7
0.9,0.82,0.07,0.95,0.58,0.55,0.54,0.33,1.9504768441153515e7
0.61,0.27,0.57,0.58,0.19,0.67,0.66,0.58,1.938435912905578e7
0.16,0.85,0.5,0.18,0.01,0.24,0.48,0.07,1.9530624301612377e7
0.65,0.09,0.59,0.66,0.92,0.39,0.93,0.25,1.9567638118141294e7
0.15,0.15,0.9,0.06,0.74,0.14,0.06,0.71,1.95480977421423e7
0.31,0.35,0.11,0.77,0.95,0.11,0.15,0.09,1.9573329175642267e7
0.96,0.46,0.61,0.21,0.24,0.4,0.27,0.55,1.946127784030714e7
0.97,0.58,0.47,0.23,0.05,0.86,0.2,0.27,1.936846056843769e7
0.71,0.4,0.25,0.73,0.64,0.35,0.56,0.16,1.952683313144412e7
0.52,0.25,0.98,0.82,0.52,0.84,0.77,0.14,1.9484040019359693e7
1.0,0.88,0.78,0.71,0.95,0.37,0.71,0.87,1.9571380408020016e7
0.78,0.73,0.38,0.67,0.22,0.29,0.43,0.93,1.9438931173158932e7
0.66,0.09,0.74,0.44,0.26,0.68,0.98,0.87,1.9492811842041563e7
0.77,0.01,0.76,0.54,0.95,0.95,0.69,0.12,1.958317716146234e7
0.94,0.27,0.35,0.72,0.25,0.97,0.84,0.03,1.943060860603438e7
0.11,0.31,0.44,0.37,0.9,0.72,0.1,0.25,1.956017319472435e7
0.65,0.36,0.64,0.79,0.22,0.92,0.45,0.65,1.943329408104509e7
0.81,0.29,0.91,0.52,0.65,0.82,0.85,0.72,1.95103172171531e7
0.72,0.5,0.49,0.42,0.68,0.51,0.91,0.91,1.953521899894285e7
0.93,0.09,0.13,0.86,0.26,0.67,0.98,0.87,1.949309829512218e7
0.92,0.88,0.4,0.55,0.09,0.41,0.71,0.88,1.9430970263427943e7
0.09,0.37,0.13,0.81,0.81,0.16,0.57,0.58,1.9559298776511136e7
0.55,0.91,0.05,0.69,0.42,0.49,0.44,0.6,1.949020796522386e7
0.72,0.71,0.92,0.12,0.66,0.42,0.55,0.44,1.9532975448709656e7
0.42,0.68,0.98,0.87,0.21,0.86,0.15,0.06,1.944455216759345e7
0.19,0.76,0.43,0.86,0.75,0.72,0.86,0.99,1.9508931727171995e7
0.58,0.4,0.48,0.3,0.45,0.74,0.71,0.09,1.948938953479805e7
0.04,0.55,0.62,0.47,0.13,0.58,0.73,0.96,1.9480961273526132e7
0.64,0.29,0.11,0.48,0.13,0.57,0.78,0.67,1.9369012313135803e7
0.78,1.0,0.85,0.19,0.19,0.62,0.14,0.86,1.9448011855159856e7
0.82,0.01,0.94,0.3,0.86,0.46,0.98,0.73,1.95756085549305e7
0.34,1.0,0.1,0.52,0.13,0.18,0.11,0.85,1.939534609358726e7
0.37,0.03,0.35,0.52,0.39,0.46,0.96,0.79,1.9457988174896542e7
0.87,0.2,0.22,0.69,0.62,0.42,0.66,0.71,1.9505532819146566e7
0.57,0.62,0.56,0.38,0.65,0.85,0.1,0.82,1.9530892872779656e7
0.41,0.54,0.73,0.23,0.75,0.84,0.23,0.3,1.9544221008925732e7
0.81,0.22,0.05,0.1,0.4,0.86,0.44,0.41,1.9462514938660935e7
0.55,0.51,0.5,0.66,0.51,0.5,0.8,0.45,1.950499399522104e7
