α_v,α_s,α_v_error,α_s_error,decay,MSE
0.65,0.69,0.35,0.11,0.39,9.469762964773828e6
0.08,0.55,0.33,0.78,0.91,9.448586907494642e6
0.52,0.02,0.81,0.28,0.15,9.691932406374875e6
0.95,0.66,0.56,0.06,0.18,9.569814480269019e6
0.66,0.94,0.4,0.32,0.38,9.497192824739266e6
0.11,0.24,0.81,0.87,0.03,9.640208551767735e6
0.49,0.35,0.18,0.08,0.51,9.40529099555692e6
0.3,0.73,0.09,0.94,0.43,9.403566039226325e6
0.42,0.42,0.74,0.7,0.53,9.494013840422966e6
0.92,0.93,0.23,0.02,0.72,9.541967888519688e6
0.96,0.38,0.66,0.77,0.64,9.6145398433469e6
0.35,0.39,0.69,0.45,0.6,9.467983895688832e6
0.07,0.47,0.49,0.04,0.06,9.504952716465224e6
0.45,0.13,0.06,0.58,0.87,9.44766352118887e6
0.46,0.43,0.51,0.37,0.26,9.449327285355715e6
0.16,0.39,0.2,0.88,0.67,9.358137820827583e6
0.04,0.96,0.26,0.55,0.13,9.533769569175726e6
0.64,0.03,0.19,0.67,0.67,9.665585533173174e6
0.06,0.01,0.76,0.32,0.64,9.853406091590378e6
0.9,0.37,0.77,0.07,0.74,9.580510352377795e6
0.03,0.88,0.4,0.25,0.23,9.60275316658594e6
0.35,0.88,0.93,0.72,0.34,9.543186207617242e6
0.68,0.06,0.77,0.22,0.53,9.616674295501541e6
0.61,0.46,0.12,0.66,0.09,9.462699770138232e6
0.16,0.76,0.46,0.53,0.6,9.45188444425449e6
0.24,0.7,0.32,0.44,0.39,9.397005075126994e6
0.71,0.65,0.15,0.34,0.63,9.481758210015489e6
0.67,0.36,0.65,0.17,0.49,9.508498364114128e6
0.49,0.54,0.49,0.61,0.63,9.465944299610525e6
0.81,0.26,0.66,0.53,0.74,9.573322427948212e6
0.4,0.64,0.66,0.09,0.65,9.454056604735997e6
0.38,0.67,0.44,0.67,0.93,9.449358470765393e6
0.12,0.1,0.05,0.47,0.36,9.308194244118372e6
0.46,0.96,0.67,0.12,0.94,9.483001827913804e6
0.94,0.87,0.17,0.92,0.65,9.583548584511781e6
0.58,0.32,0.27,0.84,0.59,9.48178719244812e6
0.6,0.99,0.07,0.84,0.24,9.496588987124685e6
0.94,0.77,0.51,0.03,0.16,9.560720273325348e6
0.72,0.58,0.77,0.59,0.67,9.5405893750722e6
0.91,0.56,0.33,0.44,0.59,9.561562942358404e6
0.9,0.61,0.09,0.16,0.84,9.535774582630951e6
0.4,0.9,0.25,0.42,0.28,9.434159646773208e6
0.85,0.37,0.12,0.24,0.49,9.5321600189396e6
0.99,0.01,0.92,0.91,0.97,9.822312349126142e6
0.42,0.12,0.46,0.5,1.0,9.491106369896322e6
0.82,0.04,0.62,0.96,0.59,9.724735439908728e6
0.26,0.68,0.69,0.36,0.35,9.475347993159268e6
0.54,0.46,0.06,0.58,0.51,9.430996910003792e6
0.14,0.61,0.15,0.19,0.42,9.313803723116813e6
0.19,0.77,0.09,0.25,0.87,9.332228039655272e6
0.68,0.61,0.96,0.67,0.55,9.551981055950481e6
0.16,0.42,0.98,0.68,0.12,9.616796132257676e6
0.63,0.46,0.69,0.32,0.51,9.503689091506265e6
0.75,0.62,0.19,0.62,0.53,9.509113238365289e6
0.32,0.22,0.23,0.04,0.7,9.363744143129488e6
0.91,0.7,0.28,0.36,0.86,9.553293635041535e6
0.12,0.4,0.05,0.28,0.86,9.255258314861838e6
0.91,0.89,0.09,0.04,0.7,9.53307780179815e6
0.38,0.51,0.79,0.52,0.67,9.490943369961469e6
0.94,0.91,0.36,0.44,0.71,9.570085916592447e6
0.41,0.46,0.58,0.19,0.73,9.4426613817561e6
0.32,0.92,0.94,0.46,0.82,9.537430774002794e6
0.5,0.36,0.81,0.67,0.85,9.513104262294862e6
0.35,0.23,0.2,0.32,0.28,9.380680610819494e6
0.13,0.85,0.14,0.71,0.31,9.384400183820836e6
0.97,0.69,0.24,0.59,0.89,9.580546441612223e6
0.53,0.96,0.07,0.56,0.37,9.45973367852646e6
0.97,0.82,0.37,0.77,0.83,9.592438478341877e6
0.97,0.36,0.04,0.81,0.72,9.594887160156034e6
0.29,0.9,0.79,0.45,0.81,9.513011404566888e6
0.13,0.3,0.29,0.6,1.0,9.369215895024337e6
0.06,0.74,0.18,0.46,0.67,9.408078916103631e6
0.02,0.8,0.91,0.6,0.76,9.822338641856177e6
0.07,0.38,0.98,0.68,0.93,9.753021149937226e6
0.37,0.33,0.93,0.29,0.46,9.50930265133055e6
0.51,0.85,1.0,0.95,0.18,9.559352322520461e6
0.53,0.21,0.08,0.6,0.78,9.450309325575573e6
0.22,0.39,0.51,0.32,0.96,9.418902442463335e6
0.6,0.95,0.46,0.65,0.58,9.508944049446838e6
0.6,0.49,0.32,0.62,0.07,9.47454432501213e6
0.61,0.57,0.17,0.75,0.06,9.472325777442124e6
0.06,0.1,0.22,0.37,0.35,9.41497624134455e6
1.0,0.7,0.76,0.13,0.68,9.595972516463896e6
0.14,0.33,0.36,0.14,0.21,9.368580026155237e6
0.83,0.35,0.13,0.41,0.56,9.53273298625963e6
0.62,0.93,0.54,0.71,0.35,9.520384942865144e6
0.99,0.2,0.92,0.17,0.88,9.643468569890898e6
0.56,0.02,0.19,0.52,0.49,9.675557120796157e6
0.83,0.76,0.41,0.53,0.22,9.542432439765686e6
0.92,0.08,0.96,0.55,0.02,9.688411230586048e6
0.79,0.35,0.19,0.67,0.38,9.532145732048316e6
0.86,0.96,0.19,0.46,0.27,9.542597438667148e6
0.98,0.23,0.13,0.58,0.54,9.611530534812242e6
0.16,0.17,0.43,0.63,0.29,9.442661304527154e6
0.73,0.27,0.36,0.29,0.67,9.51594426533646e6
0.85,0.24,0.72,0.71,0.21,9.599883599075487e6
0.87,0.99,0.86,0.37,0.51,9.575855462893277e6
0.27,0.42,0.87,0.21,0.79,9.503218934473291e6
0.34,0.08,0.38,0.99,0.1,9.550952575447528e6
0.91,0.06,0.65,0.6,0.13,9.691785216029253e6
0.82,0.35,0.75,0.99,0.82,9.590212393991666e6
0.85,0.24,0.83,0.96,0.89,9.617409683189262e6
0.82,0.15,0.16,0.27,0.78,9.563987639400449e6
0.58,0.86,0.69,0.88,0.27,9.531422087149514e6
0.1,0.36,0.17,0.18,0.36,9.297188773102328e6
0.02,0.42,0.3,0.5,0.44,9.58290509214733e6
0.38,0.36,0.32,0.52,0.69,9.411342463703819e6
0.47,0.45,0.92,0.47,0.13,9.512991285874695e6
0.3,0.26,0.33,0.35,0.28,9.388190397403738e6
0.99,0.99,0.85,0.81,0.39,9.622408187342856e6
0.9,0.75,0.02,0.93,0.87,9.563766776328994e6
0.1,0.17,0.97,0.74,0.59,9.724404614235051e6
0.14,0.27,0.92,0.23,0.88,9.608473627569888e6
0.73,0.88,0.48,0.82,0.43,9.540082306196716e6
0.72,0.17,0.14,0.26,0.84,9.51785398008627e6
0.03,0.54,0.77,0.15,0.51,9.764454696317928e6
0.35,0.58,0.42,0.39,0.73,9.42000754609731e6
0.65,0.01,0.78,0.92,0.06,9.797222315208402e6
0.92,0.19,0.53,0.32,0.95,9.608113329603586e6
0.64,0.83,0.29,0.52,0.25,9.48751290024168e6
0.45,0.4,0.46,0.29,0.83,9.436889402323138e6
0.02,0.46,0.41,0.82,0.19,9.664205056676758e6
0.85,0.75,0.77,0.33,0.64,9.560298433061337e6
0.66,0.03,0.92,0.93,0.42,9.738473186359655e6
0.5,0.05,0.23,0.66,0.87,9.576146253273085e6
0.17,0.33,0.96,0.15,0.58,9.5833117294815e6
0.11,0.58,0.78,0.95,0.16,9.617825620007597e6
0.25,0.13,0.24,0.23,0.32,9.37576880128596e6
0.46,0.2,0.87,0.47,0.41,9.527697814876467e6
0.98,0.34,0.73,0.07,0.12,9.606923493806036e6
0.52,0.49,0.74,0.68,0.42,9.504467462492988e6
0.74,0.06,0.95,0.19,0.52,9.643609918765746e6
0.18,0.52,0.15,0.07,0.93,9.304392385758776e6
0.37,0.26,0.63,0.8,0.52,9.486908711620115e6
0.17,0.28,0.91,0.29,0.03,9.575316334771397e6
0.14,0.54,0.85,0.96,0.16,9.607074545437984e6
0.27,1.0,0.6,0.36,0.86,9.486653413797528e6
0.99,0.73,0.62,0.13,0.5,9.585620011990309e6
0.47,0.88,0.94,0.52,0.85,9.529352700225623e6
0.16,0.57,0.38,0.15,0.26,9.385643673161801e6
0.78,0.32,0.56,0.99,0.23,9.569701220156979e6
0.14,0.79,0.47,0.48,0.52,9.463613338942982e6
0.83,0.08,0.14,0.34,0.4,9.608183781364031e6
0.77,0.16,0.03,0.8,0.25,9.561537453172043e6
