α_v,α_s,α_v_error,α_s_error,decay,MSE
0.82,0.13,0.17,0.07,0.05,1.5219017951480968e7
0.63,0.01,0.34,0.52,0.33,1.5272542182667844e7
0.99,0.74,0.98,0.94,0.78,1.5238648842401594e7
0.67,0.62,0.72,0.22,1.0,1.5278078708773741e7
0.2,0.79,0.03,0.92,0.87,1.5324867975782527e7
0.23,0.19,0.53,0.61,0.43,1.533480334791677e7
0.58,0.48,0.32,0.7,0.51,1.5287220645926872e7
0.52,0.87,0.32,0.51,0.8,1.5282534759778745e7
0.27,0.98,0.13,0.14,0.23,1.5311788186398908e7
0.25,0.43,0.02,0.62,0.28,1.5329612234929703e7
0.96,0.9,0.39,0.97,0.98,1.5224643589769423e7
0.65,0.76,0.17,0.55,0.91,1.5263562344862988e7
0.66,0.07,0.63,0.16,0.74,1.5249545049395727e7
0.48,0.87,0.44,0.24,0.38,1.529113124762042e7
0.88,0.99,0.08,0.54,0.84,1.5225636706215706e7
0.53,0.24,0.5,0.82,0.57,1.5290513385036735e7
0.89,0.21,0.12,0.14,0.89,1.5222470916204846e7
0.12,0.99,0.42,0.27,0.91,1.5335579281722005e7
0.73,0.54,0.18,0.08,0.53,1.5260440624961173e7
0.88,0.78,0.6,0.55,0.93,1.5240789590461323e7
0.44,0.54,0.75,0.37,0.59,1.531607642115619e7
0.15,0.59,0.43,0.44,0.19,1.5344516987542778e7
0.3,0.99,0.66,0.63,0.73,1.5317847023829406e7
0.95,0.15,0.04,0.94,0.93,1.5204472788103871e7
0.18,0.26,0.1,0.61,0.9,1.5335848429153513e7
0.5,0.93,0.41,0.15,0.04,1.5285665577854019e7
0.5,0.21,0.56,0.02,0.03,1.5294074696752936e7
0.83,0.19,0.32,0.1,0.4,1.523149195042869e7
0.03,0.42,0.25,0.41,0.97,1.5352735169295391e7
0.6,0.64,0.84,0.73,0.59,1.5290418750373157e7
0.71,0.1,0.49,0.52,1.0,1.5239732955872057e7
0.25,0.41,0.87,1.0,0.97,1.5343890683693977e7
0.43,0.65,0.69,0.66,0.11,1.5312460039344816e7
0.17,0.41,0.8,0.89,0.57,1.5350135124066506e7
0.17,0.89,0.58,0.13,0.06,1.5335997319744034e7
0.99,0.83,0.19,0.22,0.46,1.5220037453515004e7
0.86,0.99,0.46,0.62,0.72,1.5235165277091429e7
0.11,0.04,0.05,0.16,0.53,1.5332874063992321e7
0.1,0.74,0.52,0.4,0.3,1.5346577588841343e7
0.43,0.74,0.14,0.7,0.4,1.5297487708028123e7
0.17,0.27,0.76,0.62,0.49,1.5348716738578388e7
0.38,0.63,0.5,0.96,0.7,1.5316649340343084e7
