α_v,α_s,α_v_error,α_s_error,decay,MSE
0.04,0.28,0.24,0.71,1.0,3.406360895637156e6
0.81,0.56,0.36,0.38,0.36,3.270983828156991e6
0.21,0.45,0.18,0.41,0.48,3.34102687950806e6
0.09,0.87,0.18,0.59,0.49,3.327182496833479e6
0.08,0.04,0.38,0.75,0.73,3.500503305340687e6
0.99,0.63,0.66,0.98,0.17,3.2705395928091872e6
0.67,0.72,0.99,0.83,0.72,3.252949952251012e6
0.65,0.56,0.13,0.13,0.78,3.2732630786944767e6
0.7,0.45,0.66,0.62,0.46,3.2849854112919252e6
0.99,0.11,0.64,0.42,0.77,3.356423202117025e6
0.91,0.21,0.42,0.15,0.83,3.3220306313809855e6
0.15,0.88,0.53,0.95,0.48,3.3068391825265335e6
0.44,0.68,0.56,0.62,0.03,3.275455659931275e6
0.01,0.67,0.75,0.09,0.46,3.378773260532015e6
0.25,0.22,0.69,0.1,0.14,3.364247973901772e6
0.36,0.93,0.8,0.97,0.95,3.2583497125821942e6
0.7,0.39,0.27,0.73,0.7,3.2923455718073323e6
0.5,0.25,0.48,0.88,0.86,3.3233192657865463e6
0.73,0.48,0.39,0.08,0.66,3.280782237948561e6
0.9,0.5,0.37,0.07,0.42,3.281144915067463e6
0.06,0.15,0.69,0.53,0.96,3.432272513600652e6
0.51,0.85,0.95,0.87,0.64,3.2484018655430865e6
0.37,0.18,0.86,0.73,0.49,3.3530456796992053e6
0.68,0.51,0.47,0.08,0.57,3.278243309179861e6
0.86,0.11,0.11,0.12,0.5,3.3509305255990187e6
0.08,0.41,0.05,0.65,0.83,3.383248859783285e6
0.99,0.73,0.03,0.91,0.78,3.2577229673423753e6
0.47,0.88,0.77,0.23,0.07,3.249225305329947e6
0.07,0.81,0.41,0.14,0.54,3.3401635783612137e6
0.92,0.17,0.28,0.24,0.92,3.3318163916571205e6
0.81,0.23,0.39,0.96,0.7,3.3150690467117187e6
0.95,0.15,0.48,0.57,0.65,3.3391187732382715e6
0.92,0.83,0.18,0.55,0.53,3.2405745641474575e6
0.7,0.51,0.15,0.29,0.46,3.277692442684501e6
0.21,0.28,0.77,0.79,0.32,3.362607860746526e6
0.76,0.53,0.86,0.01,0.41,3.2744203866185993e6
0.66,0.92,0.28,0.89,0.8,3.2301995322179953e6
0.07,0.66,0.59,0.62,0.35,3.3571951310029677e6
0.64,0.73,0.32,0.03,0.01,3.253036623187232e6
0.46,0.16,0.87,0.39,0.67,3.347722686583949e6
0.49,0.43,0.45,0.7,0.03,3.299868943989221e6
0.18,0.97,0.47,0.72,0.92,3.289667882460667e6
0.57,0.27,0.12,0.17,0.73,3.3145092667181203e6
0.35,0.42,0.47,0.46,0.21,3.3182617184656607e6
0.9,0.71,0.68,0.3,0.56,3.2547771201878786e6
0.5,0.6,0.29,0.61,0.93,3.278635716858626e6
0.7,0.22,0.67,0.43,0.56,3.317543830437348e6
0.56,0.83,0.33,0.99,0.83,3.246330128777296e6
0.01,0.53,0.14,0.82,0.08,3.393276018308089e6
0.54,0.89,0.02,0.57,0.86,3.2413427375608697e6
0.39,0.26,0.79,0.14,0.58,3.333902058096987e6
0.91,0.9,0.82,0.58,0.63,3.2315914620923274e6
0.47,0.68,0.71,0.05,0.84,3.2721029868616434e6
0.79,0.25,0.04,0.86,0.27,3.311290593530859e6
0.95,0.58,0.79,0.45,0.45,3.27398053049254e6
0.67,0.16,0.31,0.89,0.06,3.333148014452343e6
0.29,0.38,0.62,0.91,0.49,3.3330138687524395e6
0.68,0.12,0.62,0.56,0.76,3.3474865596559523e6
1.0,0.79,0.44,0.33,0.84,3.2508016094638216e6
0.14,0.29,0.41,0.51,0.6,3.3796059547558576e6
0.61,0.24,0.82,0.91,0.79,3.3171845259636864e6
0.34,0.95,0.21,0.43,0.63,3.259516809363058e6
0.33,0.61,0.07,0.49,0.01,3.298997240899544e6
0.97,0.09,0.44,1.0,0.06,3.3654912652501552e6
0.53,0.85,0.83,0.8,0.97,3.2465710531072803e6
0.13,0.68,0.14,0.71,0.33,3.3356059993541082e6
0.87,0.41,0.9,0.12,0.4,3.2909743432001714e6
0.03,0.02,0.52,0.16,0.17,3.5426233569091265e6
0.67,0.77,0.96,0.55,0.77,3.246909702203829e6
0.21,0.68,0.68,0.42,0.47,3.3140173832603404e6
0.37,0.58,0.17,0.55,0.49,3.2964215497369966e6
0.2,0.26,0.81,0.04,0.55,3.3680799595289724e6
0.96,0.97,0.3,0.61,0.64,3.2260203724854877e6
0.11,0.9,0.72,0.06,0.86,3.317238277490829e6
0.59,0.04,0.46,0.1,0.3,3.4164116882482083e6
0.55,0.49,0.85,0.28,0.39,3.287557580646647e6
0.19,0.87,0.69,0.7,0.13,3.2972066879533967e6
0.43,0.69,0.78,0.02,0.74,3.2754668138166554e6
0.24,0.66,0.87,0.47,0.9,3.3097413362539876e6
0.49,0.79,0.15,0.59,0.12,3.2571380997764287e6
0.65,0.01,0.6,0.34,0.74,3.4724711778392224e6
0.94,0.18,0.11,0.22,0.16,3.3302909362097303e6
0.37,0.49,0.33,0.17,0.71,3.3070361820327058e6
0.88,0.88,0.38,0.49,0.76,3.2328607278848807e6
0.67,0.12,0.81,0.82,0.05,3.347843539353916e6
0.18,0.37,0.27,0.21,0.67,3.3579254456622307e6
0.3,0.61,0.24,0.91,0.43,3.304067337963983e6
0.79,0.85,0.64,0.17,0.14,3.235001417333967e6
0.17,0.53,0.46,0.01,0.67,3.3416302282683738e6
0.71,0.77,0.58,0.96,0.14,3.245614816388239e6
0.9,0.63,0.46,0.62,0.48,3.264911419335509e6
0.69,0.37,0.34,0.68,0.46,3.29509843542582e6
0.81,0.9,0.02,0.54,0.02,3.229226599972875e6
0.01,0.27,0.16,0.39,0.78,3.4222146437799362e6
0.46,0.1,0.46,0.97,0.68,3.372746351210601e6
0.62,0.4,0.83,0.89,0.69,3.2940388085851115e6
0.7,0.5,0.53,0.84,0.29,3.2789087215821957e6
0.78,0.73,0.82,0.08,0.62,3.249620296915395e6
0.14,0.9,0.75,0.74,0.7,3.3076816297940654e6
0.38,0.92,0.25,0.83,0.87,3.2564077726267977e6
0.63,0.38,0.85,0.8,0.96,3.2960307892632587e6
0.57,0.33,0.38,0.51,0.28,3.305859592160643e6
0.31,0.01,0.82,0.21,0.22,3.506201280436809e6
0.19,0.16,0.45,0.91,0.58,3.3922797557892934e6
0.83,0.21,0.47,0.77,0.07,3.31934800258272e6
0.92,0.29,0.37,0.53,0.31,3.3089546412516646e6
0.18,0.13,0.03,0.9,0.57,3.4051566344259465e6
0.11,0.1,0.81,0.69,0.44,3.4393490100069693e6
0.3,0.18,0.31,0.63,0.09,3.363988689601442e6
0.62,0.8,0.8,0.38,0.18,3.245755671768894e6
0.95,0.78,0.04,0.68,0.75,3.248527430766123e6
