α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.88,0.37,0.88,0.65,0.53,0.75,0.01,0.37,5.436392486227988e6
0.21,0.2,0.05,0.92,0.36,0.71,0.91,0.32,5.422484392610479e6
0.9,0.09,0.69,0.82,0.39,0.29,0.71,0.57,5.436347449149107e6
0.73,0.11,0.42,0.94,0.13,0.63,0.91,0.18,5.423062364407722e6
0.95,0.27,0.12,0.03,0.38,0.67,0.55,0.8,5.439960258162739e6
0.57,0.56,0.18,0.38,0.42,0.79,0.32,0.23,5.429524005716544e6
0.27,0.42,0.66,0.72,0.93,0.28,0.59,0.9,5.440940709144827e6
0.81,0.21,0.1,0.45,0.66,0.78,0.38,0.03,5.432493326573053e6
0.62,0.52,0.58,0.59,0.88,0.19,0.16,0.11,5.441972276117649e6
0.51,0.27,0.83,0.27,0.71,0.44,0.46,0.91,5.448178602231849e6
0.7,0.99,0.12,0.88,0.34,0.74,0.5,0.36,5.426693930946454e6
0.91,0.33,0.19,0.63,0.41,0.32,0.54,0.36,5.421554015959533e6
0.75,0.05,0.35,0.61,0.22,0.11,0.09,0.07,5.43623938005146e6
0.47,0.66,0.68,0.14,0.66,0.17,0.23,0.48,5.426247870458572e6
0.05,0.11,0.13,0.01,0.25,0.86,0.32,0.64,5.448249025588501e6
0.88,0.65,0.05,0.71,0.41,0.92,0.75,0.09,5.431692219000358e6
0.02,0.41,0.27,0.17,0.16,0.94,0.52,0.61,5.48379315686348e6
0.41,0.16,0.91,0.92,0.79,0.11,0.3,0.28,5.438411382197141e6
0.96,0.79,0.09,0.96,0.45,0.76,0.7,0.25,5.428225910805915e6
0.23,0.47,0.66,1.0,0.54,0.47,0.79,0.21,5.438197191446882e6
0.24,0.3,0.84,0.86,0.33,0.2,0.71,0.74,5.4180625546033345e6
0.43,0.44,0.4,0.7,0.67,0.51,0.75,0.19,5.4351723478598e6
0.47,0.15,0.39,0.74,0.1,0.56,0.29,0.33,5.44128054087534e6
0.63,0.89,0.38,0.43,0.33,0.2,0.5,0.56,5.450028941156195e6
0.17,0.18,0.2,0.73,0.05,0.86,0.74,0.74,5.436603067033652e6
0.73,0.41,0.56,0.56,0.09,0.4,0.55,0.08,5.42509628454325e6
0.08,0.12,0.27,0.22,0.14,0.53,0.08,0.29,5.42950730206454e6
0.22,1.0,0.37,0.17,0.17,0.11,0.38,0.59,5.435871022859365e6
0.88,0.1,0.44,0.39,0.36,0.03,0.65,0.34,5.43627908244832e6
0.68,0.16,0.93,0.68,1.0,0.92,0.91,0.76,5.464314620565768e6
0.86,0.27,0.81,0.29,0.17,0.66,0.15,0.62,5.439302206492709e6
0.76,0.4,0.45,0.14,0.83,0.97,0.77,0.98,5.4491241649566535e6
0.26,0.09,0.81,0.8,0.83,0.63,0.72,0.36,5.497488870301224e6
0.24,0.76,0.81,0.22,0.01,0.98,1.0,0.96,5.432934473860225e6
0.38,0.08,0.4,0.73,0.37,0.29,0.65,0.35,5.419984186015711e6
0.65,0.27,0.68,0.9,0.1,0.39,0.2,0.2,5.428056406566009e6
0.46,0.75,0.3,0.28,0.91,0.83,0.36,0.54,5.44536195392715e6
0.34,0.59,0.15,0.1,0.42,0.98,0.99,0.64,5.429357831508454e6
0.75,0.33,0.63,0.99,0.22,0.11,0.47,0.36,5.42370615620203e6
0.46,0.36,0.26,0.51,0.1,0.34,0.37,0.94,5.437197998140215e6
0.87,0.14,0.05,0.39,0.26,0.96,1.0,0.56,5.444353151013939e6
0.87,0.87,0.5,0.37,0.13,0.08,0.89,0.47,5.422712046201779e6
0.74,0.39,0.46,0.75,0.03,0.8,0.12,0.01,5.465036003272876e6
0.33,0.74,0.44,0.45,0.55,0.67,0.39,0.78,5.439963075570675e6
0.87,0.46,0.82,0.83,0.64,0.05,0.01,0.55,5.442901301136906e6
0.84,0.05,0.85,0.33,0.14,0.87,0.04,0.42,5.45138273800672e6
0.8,0.17,0.27,0.55,0.37,0.33,0.56,0.52,5.428836697318073e6
0.97,0.07,0.36,0.45,0.14,0.93,0.89,0.84,5.456283562106118e6
0.81,0.87,0.2,0.85,0.94,0.23,0.14,0.96,5.436027080276398e6
0.6,0.33,0.23,0.36,0.93,0.66,0.16,0.16,5.444923270931777e6
0.86,0.47,0.21,0.72,0.47,0.17,0.94,0.15,5.408032911785638e6
0.64,0.83,0.95,0.12,0.42,1.0,0.12,0.99,5.441981175780132e6
0.99,0.17,0.9,0.77,0.28,0.6,0.79,0.6,5.4359686220156625e6
