α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.77,0.93,0.86,0.33,0.3,0.03,0.59,0.58,2.857703473039429e7
0.41,0.13,0.5,0.85,0.26,0.79,0.72,0.06,2.8559864596275106e7
0.46,0.69,0.28,0.5,0.29,0.05,0.61,0.03,2.8557170944362503e7
0.64,0.1,0.29,0.5,0.76,0.32,0.27,0.63,2.861225874711351e7
0.6,0.77,0.76,0.44,0.28,0.47,0.08,0.02,2.8554794289362885e7
0.38,0.71,1.0,0.14,0.3,0.62,0.92,0.08,2.8525012232818555e7
0.92,0.73,0.56,0.85,0.61,0.11,0.78,0.89,2.861615640111518e7
0.35,0.86,0.3,0.2,0.39,0.15,0.25,0.89,2.8562668699191798e7
0.43,0.67,0.24,0.75,0.83,0.59,0.28,0.39,2.8593537921301942e7
0.22,0.22,0.9,0.63,0.2,0.05,0.52,0.65,2.8582957037397414e7
0.51,0.46,0.23,0.88,0.2,0.88,0.76,0.95,2.8535965930535674e7
0.3,0.89,0.44,0.73,0.14,0.56,0.79,0.71,2.8554737988167252e7
0.87,0.86,0.02,0.09,0.08,0.81,0.76,0.26,2.853559307182204e7
0.73,0.14,0.89,0.83,0.37,0.8,0.26,0.11,2.855287378917145e7
0.06,0.99,0.02,0.99,0.54,0.16,0.99,0.38,2.8607354091947958e7
0.6,0.32,0.5,0.17,0.31,0.12,0.59,0.36,2.8559074556742232e7
0.36,0.39,0.6,0.9,0.56,0.52,1.0,0.69,2.8552095859724034e7
0.12,0.72,0.64,0.33,0.38,0.02,0.01,0.28,2.856757319346191e7
0.25,0.57,0.98,0.1,0.6,0.03,0.87,0.72,2.8531398290322788e7
0.96,0.56,0.3,0.16,0.37,0.62,0.7,0.56,2.8559008811702274e7
0.8,0.23,0.23,0.71,0.24,0.49,0.57,0.41,2.856638380677812e7
0.53,0.89,0.22,0.98,0.45,0.27,0.77,0.13,2.857934143498721e7
0.84,0.72,0.12,0.11,0.72,0.05,0.79,0.89,2.860115186354711e7
0.22,0.34,0.23,0.25,0.15,0.56,0.29,0.83,2.8535373674498748e7
0.16,0.35,0.22,0.96,0.07,0.08,0.5,0.15,2.8621289263784464e7
0.12,0.61,0.25,0.56,0.75,0.56,0.83,0.27,2.852680001445999e7
0.28,0.41,0.23,0.66,0.62,0.77,0.48,0.05,2.853758877605714e7
0.8,0.95,0.24,0.23,0.37,0.17,0.55,0.02,2.8558061891846076e7
0.46,0.77,0.6,0.3,0.53,0.77,0.83,0.86,2.8521739257250573e7
0.4,0.35,0.4,0.55,0.71,0.63,0.52,0.26,2.8550440865175765e7
0.73,0.53,0.07,0.73,0.7,0.45,0.83,0.81,2.858204257565661e7
0.58,0.92,0.73,0.95,0.49,0.19,0.35,0.14,2.858983316524124e7
0.64,0.88,0.2,0.75,0.66,0.85,0.2,0.58,2.8557753192340974e7
0.63,0.93,0.48,0.74,0.69,0.24,0.63,0.99,2.859239344937703e7
0.46,0.3,0.28,0.89,0.17,0.69,0.52,0.69,2.8502772518802516e7
0.74,0.73,0.85,0.54,0.69,0.83,0.78,0.23,2.8558632921020877e7
0.54,0.67,0.08,0.26,0.55,0.53,0.32,0.3,2.8541451503927037e7
0.38,0.77,0.81,0.57,0.86,0.61,0.52,0.33,2.8595913478442755e7
0.15,0.57,0.48,0.67,0.24,0.24,0.19,0.24,2.8571337409964755e7
0.97,0.34,0.9,0.85,0.34,0.09,0.46,0.28,2.8604269772382844e7
0.95,0.12,0.34,0.21,0.4,0.37,0.28,0.92,2.8589761654248647e7
0.28,0.41,0.88,0.09,0.61,0.4,0.4,0.59,2.8558910012661695e7
0.4,0.39,0.85,0.6,0.54,0.28,1.0,0.31,2.854452415499605e7
0.06,0.95,0.44,0.18,0.68,0.65,0.07,0.07,2.8562709549869362e7
0.87,0.61,0.73,0.69,0.31,0.13,0.23,0.53,2.856070912052668e7
0.66,0.3,0.48,0.96,0.79,0.34,0.56,0.71,2.860753714461145e7
