α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.98,0.63,0.8,0.55,0.57,0.67,0.84,0.57,1.2143507353088815e7
0.23,0.15,0.68,0.67,0.08,0.53,0.64,0.31,1.2319940219884327e7
0.53,0.82,0.02,0.69,0.08,0.46,0.58,0.87,1.2321641145480135e7
0.12,0.14,0.77,0.14,0.51,0.17,0.86,0.23,1.2377383002141142e7
0.87,0.57,0.26,0.54,0.75,0.76,0.57,0.01,1.2082030840125484e7
0.92,0.25,0.6,0.47,0.9,0.95,0.67,0.72,1.2088362535389908e7
0.37,0.31,0.83,0.49,0.82,0.42,0.95,0.72,1.2231993848243803e7
0.19,0.41,0.95,0.81,0.2,0.54,0.65,0.59,1.2258790456516093e7
0.54,0.18,0.86,1.0,0.18,0.36,0.99,0.06,1.227536532713053e7
0.93,0.41,0.06,0.4,0.62,0.15,0.78,0.64,1.2212779146593854e7
0.37,0.14,0.45,0.09,0.37,0.6,0.83,0.03,1.231023168472059e7
0.4,0.23,0.34,0.83,0.52,0.26,0.53,0.62,1.2219547335496776e7
0.2,0.57,0.04,0.82,0.82,0.11,0.62,0.64,1.2166346151789518e7
0.56,0.06,0.56,0.72,0.61,0.8,0.05,0.97,1.2128742093998842e7
0.52,0.69,0.47,0.59,0.4,0.87,0.34,0.81,1.2169520567623831e7
0.22,0.47,0.63,0.22,0.43,0.44,0.17,0.35,1.2248350807383062e7
0.03,0.61,0.4,0.21,0.18,0.4,0.67,0.37,1.235185364934004e7
0.99,0.92,0.66,0.12,0.74,0.18,0.84,0.28,1.222223471136655e7
0.03,0.76,0.49,0.9,0.05,0.94,0.62,0.37,1.2284979639231207e7
0.8,0.59,0.47,0.15,0.82,0.77,0.33,0.05,1.2070235970228955e7
0.02,0.75,0.43,0.79,0.12,0.9,0.45,0.06,1.2285550761925004e7
0.77,0.41,0.94,0.17,0.62,0.23,0.45,0.16,1.2230499241747888e7
0.09,0.65,0.37,0.07,0.91,0.3,0.83,0.47,1.236882263474465e7
0.01,0.67,0.35,0.19,0.56,0.51,0.41,0.4,1.2329542086301932e7
0.72,0.09,0.11,0.73,0.91,0.84,0.25,0.68,1.2047422635892017e7
0.75,0.51,0.24,0.44,0.32,0.46,0.2,0.79,1.22180948870684e7
0.86,0.65,0.23,0.04,0.44,0.4,0.91,0.95,1.2208279695655571e7
0.47,0.73,0.59,0.99,0.42,0.14,0.38,0.11,1.2272316230746727e7
0.96,0.06,0.55,0.72,0.12,0.26,0.83,0.09,1.2343110985705933e7
0.67,0.95,0.61,0.45,0.05,0.77,0.7,0.15,1.2299125953314152e7
0.74,0.85,0.82,0.79,0.65,0.18,0.03,0.87,1.2167549900962906e7
0.87,0.9,0.33,0.34,0.53,0.21,0.73,0.87,1.2255446516822023e7
0.43,0.55,0.21,0.74,0.51,0.93,0.53,0.19,1.2148757517098563e7
0.77,0.07,0.44,0.75,0.96,0.56,0.3,0.38,1.2123546343706155e7
0.63,0.75,0.5,0.43,0.98,0.99,0.39,0.18,1.2020820208470322e7
0.1,0.55,0.81,0.62,0.46,0.51,0.43,0.61,1.2259780827217009e7
0.06,0.97,0.13,0.96,0.5,0.18,0.28,0.53,1.2354056658214739e7
0.17,0.09,0.55,0.31,0.15,0.92,0.16,0.07,1.2237913697164264e7
0.67,0.69,0.98,0.84,0.98,0.42,0.24,0.11,1.208509740280464e7
0.22,0.18,0.35,0.6,0.93,0.46,0.86,0.67,1.209996695822931e7
0.18,0.01,0.25,0.71,0.96,0.88,0.58,0.1,1.210649351764261e7
0.84,0.16,0.89,0.56,0.68,0.08,0.93,0.51,1.2194726911350178e7
0.87,0.07,0.73,0.39,0.35,0.96,0.83,0.36,1.2303802019391483e7
0.13,0.91,0.74,0.78,0.4,0.29,0.19,0.88,1.2239589925612709e7
0.77,0.17,0.79,1.0,0.68,0.3,0.21,0.8,1.2145924404704994e7
0.16,0.74,0.2,0.37,0.6,0.29,0.46,0.12,1.2291565906286288e7
