α_v,α_s,α_v_error,α_s_error,decay,MSE
0.69,0.47,0.84,0.59,0.33,2.8575062610785637e7
0.82,0.06,0.31,1.0,0.91,2.8635223903477214e7
0.67,0.86,0.24,0.04,0.95,2.8542161991695322e7
0.31,0.59,0.81,0.01,0.02,2.851144169463545e7
0.52,0.92,0.23,0.9,0.82,2.8541654287950814e7
0.27,0.32,0.55,0.93,0.56,2.8561480080438584e7
0.65,0.31,0.77,0.99,0.86,2.85905921163698e7
0.91,0.72,0.99,0.19,0.78,2.8590455431173213e7
0.17,0.06,0.34,0.2,0.53,2.8569333949931435e7
0.33,0.72,0.31,0.94,0.92,2.8533865141187403e7
0.29,0.14,0.11,0.88,0.28,2.857832240905745e7
0.27,0.02,0.44,0.18,0.19,2.8576898785527375e7
0.84,0.1,0.61,0.87,0.89,2.862834565970836e7
0.83,0.16,0.91,0.46,0.23,2.861497727002944e7
0.3,0.94,0.38,0.31,0.42,2.8512707172641266e7
0.37,0.59,0.66,0.17,0.43,2.851671291196562e7
0.59,0.66,0.96,0.17,0.96,2.8538882978154678e7
0.95,0.61,0.92,0.41,0.67,2.860423631959206e7
0.29,0.79,0.18,0.81,0.55,2.852916777469323e7
0.98,0.83,0.71,0.87,0.27,2.860711181410671e7
0.19,0.2,0.18,0.31,0.43,2.856036206806926e7
0.44,0.45,0.3,0.61,0.64,2.854253332749102e7
0.41,0.64,0.6,0.36,0.79,2.852255232812499e7
0.32,0.75,0.69,0.63,0.93,2.8524661199704107e7
0.09,0.52,0.96,0.43,0.18,2.8551857698401984e7
0.88,0.69,0.36,0.89,0.1,2.859869840954265e7
0.7,0.02,0.46,0.53,0.23,2.8634246264447115e7
0.61,0.76,0.66,0.64,0.13,2.8550018767025165e7
0.13,0.11,0.07,0.24,0.44,2.8572940791241568e7
0.39,0.83,0.11,0.16,0.2,2.851004564238247e7
0.77,0.59,0.55,0.97,0.03,2.8588549000025734e7
0.19,0.65,0.17,0.9,0.23,2.8545041487981796e7
0.79,1.0,0.66,0.12,0.8,2.8560133180497516e7
0.23,0.24,0.18,0.09,0.04,2.854330549188551e7
0.31,0.38,0.67,0.94,0.66,2.855443430116944e7
0.62,0.46,0.63,0.46,0.8,2.856144225886753e7
0.17,0.54,1.0,0.44,0.72,2.854167294560921e7
0.67,0.43,0.33,0.92,0.83,2.858225633410625e7
0.71,0.23,0.49,0.14,0.08,2.8586011192760836e7
0.31,0.31,0.03,0.69,0.78,2.8551505224714074e7
0.54,0.91,0.86,0.69,0.26,2.853865574077469e7
0.46,0.16,0.61,0.91,0.62,2.858201852293501e7
0.74,0.37,0.73,0.4,0.21,2.8585590212739285e7
0.18,0.29,0.55,0.52,0.12,2.8561008706958573e7
0.99,0.97,0.86,0.82,0.03,2.8603837496450745e7
0.26,0.93,0.02,0.05,0.89,2.8506259118281297e7
0.62,0.67,1.0,0.32,0.02,2.8546988540193085e7
0.43,0.36,0.39,0.2,0.92,2.853603666073283e7
0.44,0.07,0.98,0.63,0.75,2.858288840331476e7
0.08,0.22,0.35,0.35,0.84,2.8573257235459078e7
0.68,0.09,0.93,0.93,0.76,2.8614811940390483e7
0.65,0.39,0.54,0.97,1.0,2.858356562141653e7
0.87,0.41,0.68,0.61,0.57,2.8606315904651076e7
0.8,0.96,0.31,0.98,0.37,2.8581110187449887e7
0.12,0.13,0.37,0.07,0.99,2.85674319795852e7
0.77,0.66,0.12,0.37,0.88,2.8573402778669532e7
0.19,0.57,0.41,0.38,0.6,2.853333775760268e7
0.82,0.73,0.16,0.02,0.63,2.857221407959581e7
0.02,0.02,0.62,0.59,0.73,2.8649755749460313e7
0.23,0.76,0.13,0.17,0.45,2.8514893072930764e7
0.22,0.39,0.06,0.36,0.18,2.8539278681377377e7
0.97,0.66,1.0,0.4,0.26,2.8604831937245015e7
0.33,0.06,0.66,0.97,0.7,2.8600343556357548e7
0.04,0.23,0.53,0.57,0.76,2.858877459119441e7
0.31,0.45,0.45,0.74,0.59,2.8541704307789095e7
0.23,0.19,0.54,0.84,0.05,2.8576266791845627e7
0.15,0.94,0.05,0.08,0.92,2.8520515900212012e7
0.44,0.97,0.31,0.27,0.11,2.8515365155320216e7
0.19,0.42,0.38,0.86,0.04,2.855829024930809e7
0.91,0.46,0.39,0.51,0.09,2.860734339195502e7
0.04,0.88,0.88,0.98,0.27,2.8565692449169584e7
0.36,0.18,0.82,0.96,0.3,2.8576488833886594e7
0.15,0.12,0.86,0.73,0.34,2.8592057278315637e7
0.54,0.11,0.25,0.59,0.76,2.8584340451524064e7
1.0,0.92,0.26,0.44,0.87,2.860066754717114e7
0.78,0.48,0.41,0.12,0.33,2.857906910395414e7
0.55,0.35,0.96,0.27,0.65,2.855413459067649e7
0.13,0.46,0.26,0.44,0.42,2.8549997358146682e7
0.56,0.01,0.33,0.16,0.81,2.8581718005627528e7
0.86,0.15,0.46,0.68,0.48,2.862303182962785e7
0.23,0.7,0.28,0.95,0.99,2.854013107003687e7
0.63,0.66,0.73,0.99,0.46,2.8564982026779678e7
0.32,0.32,0.02,0.95,0.62,2.855911072648151e7
0.19,0.54,0.09,0.35,0.14,2.853292486447036e7
0.28,0.75,0.85,0.73,0.37,2.8529429241076186e7
0.15,0.39,0.29,0.67,0.22,2.856031185545791e7
0.79,0.07,0.24,0.93,0.16,2.8629157905332346e7
0.32,0.24,0.89,0.76,0.27,2.856275258258823e7
0.64,0.64,0.67,0.45,0.26,2.8554503595989518e7
0.6,0.91,0.57,0.77,0.89,2.8548419907566335e7
0.48,0.99,0.89,0.94,0.1,2.85388264427907e7
0.07,0.97,0.32,0.91,0.23,2.8553835332516313e7
0.63,0.63,0.94,0.84,0.42,2.8562788577406816e7
0.71,0.99,0.23,0.71,0.84,2.8561347432675943e7
0.38,0.45,0.92,0.4,0.94,2.853255459663765e7
0.7,0.77,0.18,0.45,0.69,2.855929599653865e7
0.02,0.83,0.07,0.72,1.0,2.8570054325159863e7
0.04,0.45,0.77,0.58,0.71,2.8569710606196877e7
0.77,0.22,0.27,0.79,0.35,2.8609432964469463e7
0.34,0.43,0.59,0.19,0.07,2.8525412682853553e7
0.64,0.76,0.24,0.56,0.13,2.8552539153752267e7
1.0,0.06,0.32,0.68,0.25,2.8641601381515555e7
0.5,0.36,0.6,0.71,0.19,2.8559306564525343e7
0.84,0.14,0.69,0.54,0.2,2.8618947437346306e7
0.13,0.43,0.1,0.88,0.56,2.8565909348635163e7
0.75,0.45,0.22,0.65,0.18,2.8587003811121617e7
0.59,0.88,0.27,0.7,0.98,2.8545657781026214e7
0.85,0.05,0.85,0.62,0.94,2.8631350821593773e7
0.07,0.89,0.89,0.38,0.43,2.8540041085020445e7
0.27,0.44,0.59,0.29,0.06,2.852979107061911e7
0.42,0.06,0.5,0.41,0.28,2.8572056818378482e7
0.25,0.56,0.09,0.52,0.61,2.8530145853572235e7
