α_v,α_s,decay,MSE
0.43,0.37,0.56,3.9201511953554034e7
0.18,0.62,0.77,3.918499688770218e7
0.88,0.48,0.55,3.9195509720549e7
0.21,0.17,0.22,3.922858722481616e7
0.46,0.74,0.14,3.9172869001375675e7
0.98,0.43,0.51,3.920286811306753e7
0.22,0.11,0.38,3.92342835019964e7
0.03,0.89,0.26,3.917681863658985e7
0.34,0.2,0.97,3.9221138919877045e7
0.74,0.88,0.12,3.917386543781407e7
0.04,0.83,0.85,3.91806587475927e7
0.5,0.58,0.47,3.918210826329053e7
0.07,0.24,0.34,3.9230293151050895e7
0.22,0.63,0.62,3.9182242340592995e7
0.97,0.01,0.71,3.9272194531415746e7
0.02,0.91,0.91,3.916942114986337e7
0.41,0.13,0.61,3.922745187109125e7
0.98,0.47,0.1,3.919964057076398e7
0.45,0.39,0.65,3.919938136593029e7
0.9,0.67,0.15,3.918274845648095e7
0.17,0.38,0.98,3.920750376927801e7
0.12,0.25,0.8,3.9225513090012446e7
0.03,0.23,0.81,3.922341785406885e7
0.04,0.32,0.53,3.92173123420359e7
0.17,0.84,0.52,3.917829701051146e7
0.18,0.61,0.85,3.9185703265225284e7
0.91,0.62,0.31,3.918605440993029e7
0.32,0.74,0.75,3.9173806518315405e7
0.57,0.18,0.99,3.9221209642494984e7
0.91,0.98,0.72,3.918089688126109e7
0.78,0.85,0.74,3.9174312947057724e7
0.03,0.01,0.8,3.927252812401767e7
0.75,0.86,0.15,3.917380288720005e7
0.64,0.09,0.29,3.922948805034094e7
0.81,0.87,0.85,3.917507971395286e7
0.61,0.49,0.04,3.919022234634819e7
0.82,0.87,0.85,3.917531266706808e7
0.78,0.06,0.8,3.923398716165206e7
0.16,0.86,0.64,3.917923650879682e7
0.66,0.81,0.63,3.917260171775741e7
0.25,0.76,0.87,3.917499598397579e7
0.34,0.74,0.53,3.917350691798809e7
0.38,0.52,0.11,3.91872834755017e7
0.11,0.83,0.95,3.918264231420885e7
0.27,0.86,0.47,3.917396734962351e7
0.31,0.99,0.32,3.917888421267815e7
0.77,0.71,0.31,3.917715766318961e7
0.63,0.65,0.28,3.917816526451676e7
0.88,0.61,0.37,3.918569667448496e7
0.56,0.06,0.81,3.923545759728361e7
0.49,0.73,0.15,3.917327139403533e7
1.0,0.34,0.13,3.921104032268281e7
0.48,0.99,0.8,3.9177039862987705e7
0.95,0.02,0.71,3.92621933071537e7
0.33,0.04,0.14,3.924714804455593e7
0.89,0.83,0.31,3.917725907193749e7
0.19,0.14,0.03,3.923277813164564e7
0.95,0.89,0.28,3.9179544267672464e7
1.0,0.74,0.42,3.918366202478663e7
0.34,0.45,0.09,3.919426211620884e7
0.06,0.63,0.3,3.919111163133432e7
0.25,0.99,0.66,3.9180633822580315e7
0.16,0.75,1.0,3.917980020876556e7
0.9,0.77,0.89,3.917863770507075e7
0.31,0.22,0.21,3.921951695465683e7
0.65,0.37,0.27,3.920175199662358e7
0.71,0.59,0.97,3.9183193069605164e7
0.83,0.18,0.09,3.922167204125506e7
0.87,0.48,0.59,3.919523168558888e7
0.18,0.11,0.03,3.923634176592956e7
0.39,0.66,0.95,3.9176714538171425e7
0.58,0.94,0.08,3.917420197396255e7
0.05,0.38,0.41,3.92131753281813e7
0.92,0.66,0.65,3.918401794812463e7
0.33,0.34,0.3,3.920575049158995e7
0.95,0.57,0.47,3.919091500369847e7
0.7,0.01,1.0,3.927128629884707e7
0.83,0.09,0.59,3.922904297204467e7
0.69,0.95,0.62,3.9175367180208795e7
0.25,0.54,0.33,3.918801861112835e7
0.49,0.67,0.02,3.917605561614937e7
0.97,0.86,0.88,3.918013531589615e7
0.73,0.04,0.2,3.924273338440529e7
0.9,0.8,0.74,3.917796828989203e7
0.96,0.59,0.39,3.918992166090484e7
0.67,0.51,0.79,3.9189022144080244e7
0.36,0.48,0.79,3.9191127669949e7
0.82,0.74,0.79,3.917713719787275e7
0.85,0.68,0.03,3.9180611391643256e7
0.4,0.42,0.17,3.919660592339958e7
0.4,0.53,0.25,3.9186276104301475e7
0.94,0.02,0.9,3.926199746848563e7
0.48,0.39,0.42,3.919931742788429e7
0.73,0.58,0.22,3.918424134741443e7
0.61,0.4,0.82,3.919860487206728e7
0.77,0.43,0.23,3.9197409092195876e7
0.8,0.58,0.16,3.918560599977021e7
0.36,0.73,0.13,3.917361703267823e7
0.59,0.97,0.39,3.9175782793159455e7
0.27,0.53,0.12,3.918825980218939e7
0.67,0.97,0.76,3.917620453981212e7
0.3,0.69,0.23,3.917622116369138e7
0.09,0.35,0.98,3.921669536062829e7
0.87,0.73,0.13,3.917895239458165e7
0.15,0.93,0.34,3.91822991553211e7
0.8,0.76,0.73,3.917599030518511e7
0.27,0.27,0.04,3.921493021955647e7
0.64,0.51,0.02,3.918872099675157e7
0.63,0.24,0.4,3.921488616560639e7
0.98,0.33,0.95,3.9211250349936895e7
0.89,0.87,0.61,3.917725482134928e7
0.6,0.82,0.46,3.917196037486142e7
0.3,0.04,0.49,3.924788278633173e7
0.19,0.26,0.01,3.921951572139973e7
0.51,0.22,0.14,3.9217221877561696e7
0.91,0.92,0.78,3.9178698874469474e7
0.28,0.03,0.8,3.925474611619206e7
0.63,0.67,0.56,3.9177006715380356e7
0.15,0.32,0.31,3.921535967774761e7
0.02,0.91,0.24,3.916942114986337e7
0.1,0.77,0.67,3.918379898917876e7
0.28,0.97,0.65,3.917824290133329e7
0.71,0.2,0.69,3.921909254376956e7
0.19,1.0,0.49,3.918421326674571e7
0.47,0.15,0.29,3.922484368187903e7
0.51,0.78,0.19,3.917193316783196e7
0.59,0.84,0.22,3.917186731472661e7
0.85,0.46,0.77,3.91963953147234e7
0.12,0.46,0.12,3.920292823970015e7
0.39,0.39,0.72,3.9199720624347456e7
0.28,0.63,0.26,3.918017648844176e7
0.06,0.39,0.15,3.921320837368552e7
0.02,0.08,0.26,3.923639246986442e7
0.84,0.41,0.8,3.9200518628921166e7
0.08,0.73,0.18,3.9186092340147115e7
0.27,0.45,0.8,3.919575210552549e7
0.97,0.92,0.57,3.918083754285633e7
0.59,0.46,0.3,3.919281196813703e7
0.97,0.48,0.05,3.919847135078445e7
0.67,0.96,0.57,3.917567573695887e7
0.76,0.56,0.31,3.9186276156549975e7
0.22,0.74,0.69,3.9176734542291135e7
0.24,0.96,0.88,3.917895863846751e7
0.56,0.09,0.28,3.923004812056708e7
0.15,0.17,1.0,3.923216519042484e7
0.54,0.21,0.39,3.921817762481949e7
0.83,0.24,0.46,3.921611201825299e7
0.59,0.45,0.43,3.9193740293308236e7
0.28,0.19,0.61,3.922367832867909e7
0.57,0.67,0.36,3.917647446840869e7
0.48,0.39,0.24,3.919931742788429e7
0.18,1.0,0.43,3.918480743036129e7
0.05,0.68,0.03,3.9186761110950604e7
0.86,0.62,0.13,3.9184424635385625e7
0.51,0.53,0.43,3.918620704561444e7
0.55,0.23,0.71,3.921601092672951e7
0.9,0.01,0.73,3.927269136032119e7
0.19,0.01,0.16,3.9272288292703904e7
0.13,0.3,0.97,3.921908107362376e7
0.85,1.0,0.39,3.918044153016244e7
0.3,0.68,0.57,3.917672859082886e7
0.36,0.45,0.48,3.919400470989173e7
0.84,0.18,0.47,3.922176928647085e7
0.5,0.7,0.62,3.917455546093578e7
0.21,0.61,0.87,3.918409036600165e7
0.56,0.9,0.24,3.917264872657619e7
0.24,0.47,0.42,3.919480639140941e7
0.83,0.1,0.83,3.922814658617175e7
0.27,0.77,0.78,3.917414188898062e7
0.67,0.08,0.58,3.923055681373287e7
0.32,0.54,0.34,3.918626336149404e7
0.5,0.45,0.1,3.919343407625554e7
0.08,0.19,0.92,3.923544196399126e7
0.12,0.8,0.55,3.9181876930939004e7
0.49,0.93,0.94,3.917361427476551e7
0.44,0.68,0.59,3.917545261285022e7
0.09,0.29,0.87,3.922337670515319e7
0.47,0.04,0.4,3.9244882834059395e7
0.45,0.98,0.55,3.917647243999907e7
0.63,0.16,0.37,3.9223005987812586e7
0.17,0.46,1.0,3.9199324789094254e7
0.34,0.22,0.14,3.9218897293369174e7
0.82,0.56,0.85,3.9187561843982995e7
0.84,0.48,0.82,3.9194459307531506e7
0.18,0.49,0.4,3.9195815669234894e7
0.62,0.87,0.64,3.9172347970399186e7
0.4,0.81,0.31,3.917161687276621e7
0.74,0.22,0.71,3.9217238318829104e7
0.67,0.88,0.18,3.917295874024618e7
0.58,0.9,0.57,3.9172735887534425e7
