α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.99,0.29,0.73,0.31,0.24,0.58,0.18,0.48,2.501479141857924e7
0.23,0.69,0.82,0.09,0.19,0.56,0.54,0.97,2.5046717402318165e7
0.08,0.69,0.79,0.1,0.64,0.33,0.71,1.0,2.5130746001752205e7
0.31,0.34,0.81,0.85,0.97,0.43,0.97,0.03,2.4993313116960187e7
0.27,0.35,0.32,0.44,0.84,0.09,0.24,0.08,2.5135037156351354e7
0.37,0.37,0.72,0.39,0.19,0.72,0.52,0.25,2.509963546616173e7
0.27,0.93,0.57,0.69,0.72,0.49,0.52,0.26,2.4957428097730678e7
0.81,0.54,0.72,0.21,0.98,0.98,0.1,0.22,2.5072328991632797e7
0.95,0.14,0.46,0.08,0.54,0.8,0.04,0.27,2.5026252656387016e7
0.45,0.98,0.86,0.56,0.11,0.81,0.44,0.89,2.506198788226033e7
0.52,0.02,0.95,0.77,0.9,0.58,1.0,0.27,2.4940803043430325e7
0.11,0.37,0.16,0.26,0.14,0.34,0.39,0.68,2.514638765793307e7
0.41,0.39,0.95,0.03,0.43,0.44,0.09,0.09,2.5002226013518244e7
0.27,0.39,0.84,0.17,0.47,0.77,0.15,0.32,2.4980357864412468e7
0.4,0.4,0.05,0.41,0.78,0.58,0.79,0.12,2.5069140464728042e7
0.57,0.88,0.64,0.57,0.84,0.46,0.32,0.49,2.5040821053743675e7
0.78,0.71,0.35,0.1,0.32,0.78,0.12,0.87,2.5058215900795016e7
0.47,0.07,0.86,0.69,0.2,0.91,0.58,0.01,2.508117913142804e7
0.4,0.86,0.17,0.26,0.48,0.77,0.78,0.98,2.5026398011787225e7
0.46,0.73,0.41,0.56,0.43,0.42,0.46,0.86,2.5023310999070913e7
0.99,0.05,0.85,0.59,0.77,0.73,0.01,0.98,2.502866070039483e7
0.21,0.78,0.44,0.21,0.49,0.4,0.22,0.6,2.5058508128536638e7
0.33,0.58,0.67,0.02,0.42,0.39,0.13,0.01,2.499008127469372e7
0.78,0.7,1.0,0.47,0.32,0.6,0.69,0.35,2.5038878889296785e7
0.16,0.16,0.94,0.49,0.69,0.28,0.41,0.87,2.5074772074373648e7
0.01,0.88,0.62,0.26,0.72,0.53,0.85,1.0,2.5109619485430583e7
0.29,0.73,0.13,0.57,0.95,0.35,0.21,0.65,2.5065981737729993e7
0.95,0.71,0.45,0.74,0.33,0.85,0.12,0.71,2.4975421028275132e7
0.09,0.69,0.49,0.59,0.36,0.39,0.81,0.97,2.5129275499992196e7
0.02,0.98,0.84,0.18,0.25,0.64,0.8,0.01,2.5211874770194426e7
0.21,0.9,0.82,0.77,0.35,0.58,1.0,0.87,2.505754182894657e7
0.47,0.94,0.41,0.05,0.32,0.34,0.51,0.52,2.505947781123647e7
0.65,0.53,0.84,0.12,0.25,0.17,0.64,0.4,2.5106247466282226e7
0.66,0.96,0.3,0.63,0.28,0.49,0.59,0.12,2.5095458919749126e7
0.45,0.74,0.1,0.11,0.25,0.37,0.21,0.4,2.5090699247376066e7
0.29,0.94,0.57,0.29,0.49,0.06,0.89,0.85,2.5119828565135255e7
0.44,0.73,0.8,0.78,0.35,0.18,0.04,0.22,2.5018023991577424e7
0.67,0.58,0.15,0.29,0.61,0.4,0.83,0.87,2.5048235080596913e7
0.96,0.68,0.81,0.02,0.98,0.83,0.94,0.84,2.505057551703026e7
0.73,0.67,0.06,0.05,0.83,0.88,0.33,0.76,2.5059276976916913e7
0.94,0.28,0.32,0.41,0.75,1.0,0.63,0.86,2.5080527499335855e7
0.52,0.79,0.88,0.73,0.26,0.05,0.3,0.11,2.493020763952688e7
0.61,0.87,0.56,0.96,0.72,0.19,0.92,0.5,2.508457500068666e7
0.09,0.14,0.11,0.82,0.31,1.0,0.94,0.08,2.5239141723407384e7
0.59,0.03,0.43,0.47,0.97,0.03,0.16,0.42,2.5102323370661132e7
0.13,0.07,0.92,0.36,0.64,0.99,0.32,0.71,2.5092638118550614e7
0.05,0.1,0.89,0.79,0.1,0.4,1.0,0.25,2.5257938363198996e7
0.08,0.04,0.6,0.82,0.21,0.13,0.17,0.72,2.5034086238886837e7
0.56,0.51,0.86,0.96,0.72,0.12,0.79,0.01,2.507087154850342e7
0.29,0.51,0.28,0.23,0.1,0.36,0.33,0.14,2.5148985032926533e7
0.19,0.31,0.67,0.94,0.33,0.62,0.08,0.29,2.5002397489019074e7
0.57,0.31,0.5,0.96,0.45,0.31,0.37,0.03,2.5041249445395082e7
0.35,0.34,0.61,0.99,0.51,0.93,0.28,0.85,2.50159711477117e7
0.54,0.14,0.82,0.46,0.06,0.91,0.19,0.91,2.5159853848978773e7
0.29,0.55,0.88,0.78,0.9,0.66,0.6,0.27,2.5054200694681704e7
0.41,0.35,0.63,0.11,0.23,0.97,0.8,0.73,2.5081854687644336e7
0.46,0.2,0.8,0.29,0.56,0.6,0.06,0.57,2.500767451327338e7
0.42,0.01,0.44,0.47,0.2,0.73,0.09,0.29,2.503593290007735e7
0.25,0.14,0.87,0.72,0.25,0.74,0.86,0.93,2.5146547532340765e7
0.45,0.93,0.87,0.22,0.37,0.51,0.55,0.91,2.5018148842109144e7
0.16,0.29,0.54,0.52,0.65,0.01,0.29,0.27,2.49461941719204e7
0.88,0.53,0.68,0.29,0.36,0.17,0.64,0.55,2.5120716332406282e7
0.39,0.1,0.08,0.19,0.44,0.19,0.01,0.93,2.5069966889680866e7
0.38,0.62,0.31,0.79,0.03,0.46,0.53,0.67,2.5179271283646382e7
0.93,0.73,0.25,0.54,0.27,0.97,1.0,0.71,2.5053898921641827e7
0.88,0.25,0.66,0.46,0.61,0.93,0.41,0.73,2.506464513556003e7
0.74,0.25,0.24,0.38,0.74,0.46,0.5,0.55,2.5073048159037024e7
0.59,0.86,0.18,0.18,0.85,0.74,0.39,0.52,2.504784801995323e7
0.97,0.69,0.53,0.62,0.52,0.48,0.71,0.04,2.506797866048429e7
0.47,0.15,0.37,0.03,0.83,0.96,0.86,0.37,2.5077904046373915e7
0.64,0.86,0.62,0.2,0.29,0.07,0.69,0.87,2.5120898213044792e7
0.63,0.3,0.94,0.48,0.07,0.88,0.37,0.88,2.5058565630728222e7
0.61,0.46,0.05,0.28,0.34,0.6,0.05,0.38,2.5063967103348732e7
0.47,0.28,0.76,0.93,0.06,0.81,0.28,0.47,2.5149878756445434e7
0.09,0.05,0.86,0.13,0.79,0.5,0.66,0.42,2.517042305491364e7
0.64,0.31,0.07,0.74,0.45,0.68,0.38,0.16,2.5100258458171032e7
0.84,0.58,0.45,0.82,1.0,0.58,0.42,0.68,2.5063828802853104e7
0.35,0.88,0.55,0.47,0.53,0.09,0.76,0.42,2.508716488634654e7
0.98,0.48,0.91,0.79,0.12,0.07,0.87,0.98,2.519302444731698e7
0.91,0.81,0.46,0.17,0.35,0.53,0.35,0.33,2.509184077817419e7
