α_v,α_s,α_v_error,α_s_error,decay,MSE
0.69,0.32,0.64,0.21,0.63,1.121645255742858e7
0.12,0.55,0.35,1.0,0.88,1.1184118213813912e7
0.65,0.34,0.7,0.47,0.41,1.1215710906240119e7
0.43,0.54,0.22,0.86,0.23,1.1185707206172107e7
0.41,0.26,0.66,0.98,0.54,1.12355919222473e7
0.06,0.53,0.83,0.38,0.95,1.12269527155746e7
0.06,0.92,0.27,0.11,0.11,1.1117576156682815e7
0.09,0.22,0.73,0.46,0.97,1.1249972795577316e7
0.91,0.14,0.72,0.45,0.72,1.123048741455008e7
0.48,0.55,0.21,0.89,0.04,1.1182967422493946e7
0.76,0.74,0.74,0.71,0.1,1.1152867210670603e7
0.78,0.58,0.05,0.63,1.0,1.1176644369260993e7
0.8,0.43,0.33,0.16,0.45,1.1202651856933396e7
0.45,0.81,0.96,0.14,0.65,1.1148333730909644e7
0.6,0.4,0.33,0.55,0.69,1.1205363967506729e7
0.83,0.24,0.96,0.31,0.13,1.1226290214584868e7
0.03,0.51,0.41,0.8,0.51,1.1234202076757558e7
0.21,0.77,0.8,0.26,0.77,1.1161785158348955e7
0.69,0.73,0.74,0.55,0.94,1.1152724774620846e7
0.05,0.45,0.95,0.14,0.71,1.125211308582802e7
0.46,0.35,0.83,0.62,0.09,1.1223038726036444e7
0.37,0.68,1.0,0.84,0.19,1.1177608785934646e7
0.16,0.42,0.68,0.58,0.43,1.1221319839922752e7
0.84,0.92,0.14,0.13,0.95,1.1124943755732182e7
0.4,0.64,0.12,0.99,0.98,1.1166215986724967e7
0.24,0.5,0.27,0.54,0.18,1.119306786460686e7
0.92,0.97,0.81,0.54,0.55,1.1128924206722904e7
0.63,0.78,0.34,0.26,0.14,1.1139220527119048e7
0.88,0.29,0.25,0.78,0.39,1.1222887839607287e7
0.16,0.73,0.75,0.8,0.48,1.1168636424713466e7
0.28,0.04,0.87,0.05,0.53,1.1228417846292853e7
0.75,0.07,0.15,0.43,0.69,1.1222334776793504e7
0.29,0.36,0.17,1.0,0.59,1.1217821720048897e7
0.92,0.24,0.38,0.34,0.45,1.1226190892773196e7
0.04,0.38,0.95,0.7,0.45,1.1268953194064306e7
0.99,0.42,0.82,0.47,0.72,1.1216310431265729e7
0.66,0.7,0.8,0.38,0.34,1.1158493083520703e7
0.3,0.61,0.87,0.22,0.47,1.1190127095050821e7
0.72,0.04,0.43,0.84,0.95,1.1253433984261012e7
0.38,0.12,0.96,0.15,0.1,1.1239724877325699e7
0.79,0.55,0.78,0.14,0.7,1.11871629821106e7
0.21,0.01,0.4,0.1,0.56,1.124529303148536e7
0.15,0.25,0.22,0.56,0.05,1.1220500201791968e7
0.23,0.12,0.78,0.35,0.16,1.124495026362286e7
0.76,0.3,0.5,0.25,0.53,1.1217557213001184e7
0.43,0.45,0.01,0.55,0.14,1.1196201199431939e7
0.49,0.18,0.52,0.18,0.64,1.122793278120256e7
0.55,0.76,0.05,0.86,0.39,1.11403412647415e7
0.01,0.56,0.54,0.86,0.35,1.1259826113326494e7
0.07,0.14,0.88,0.57,0.2,1.1267116072204906e7
0.86,0.24,0.05,0.61,0.84,1.1223500760605637e7
