α_v,α_s,α_v_error,α_s_error,decay,MSE
0.7,0.41,0.6,0.87,0.12,8.871305915866349e6
0.44,0.42,0.31,0.8,0.5,8.843584071025213e6
0.14,0.27,0.89,0.95,0.35,8.870880924890423e6
0.64,0.55,0.61,0.81,0.89,8.85349886870147e6
0.06,0.04,0.71,0.81,0.28,8.98411828990322e6
0.87,0.4,0.22,0.9,0.75,8.87856490770724e6
0.91,0.11,0.35,0.48,0.55,8.928453342830785e6
0.82,0.15,0.42,0.57,0.68,8.913668696383942e6
0.51,0.47,0.46,0.23,0.05,8.841564238975517e6
0.96,0.02,0.59,0.82,0.09,9.018146507746853e6
0.59,0.88,0.35,0.38,0.01,8.822718203263443e6
0.98,0.03,0.01,0.51,0.9,8.963947553994067e6
0.38,0.83,0.08,0.51,0.89,8.81431750203167e6
0.69,0.37,0.85,0.98,0.05,8.883097996671991e6
0.17,0.68,0.16,0.03,0.8,8.82015889082913e6
0.44,0.85,0.3,0.68,0.69,8.822635674826358e6
0.59,0.76,0.14,0.35,0.59,8.820734207938835e6
0.08,0.69,0.23,0.94,0.34,8.861867815373871e6
0.62,0.81,0.6,0.05,0.76,8.824958714137482e6
0.23,0.55,0.7,0.51,0.13,8.827178278841577e6
0.89,0.11,0.37,0.91,0.01,8.930011980796423e6
0.02,0.91,0.26,0.97,0.9,8.943742876803089e6
0.86,0.59,0.57,0.33,0.72,8.862088367864188e6
0.4,0.28,0.98,0.61,0.76,8.870031228569489e6
0.69,0.92,0.58,0.1,0.08,8.8274193668015e6
0.09,0.41,0.16,0.1,0.29,8.865642302503176e6
0.26,0.97,0.72,0.06,0.74,8.81228966688659e6
0.7,0.26,0.78,0.53,0.86,8.893716812981188e6
0.51,0.95,0.8,0.62,0.28,8.83517696098039e6
0.09,0.97,0.87,0.4,0.82,8.84293098169959e6
0.04,0.61,0.92,0.01,0.75,8.866029860091884e6
0.03,0.86,0.24,0.12,0.67,8.89682546001944e6
0.98,0.08,0.09,0.85,0.85,8.941128147394229e6
0.93,0.51,0.82,0.63,0.01,8.886607621997425e6
0.06,0.49,0.18,0.97,0.77,8.883373643620308e6
0.48,0.4,0.87,0.82,0.73,8.859760097085908e6
0.79,0.4,0.55,1.0,0.4,8.880757627090082e6
0.75,0.17,1.0,0.66,0.95,8.920022134684216e6
0.72,0.93,0.06,0.99,0.89,8.842745451070558e6
0.77,0.86,0.62,0.49,0.18,8.842969398284713e6
0.61,0.03,0.37,0.99,0.36,8.990446541988395e6
0.16,0.81,0.45,0.47,0.02,8.823357502459755e6
0.72,0.4,0.32,0.32,0.04,8.863812133391209e6
0.37,0.16,0.99,0.46,0.97,8.891495044329997e6
0.6,0.45,0.14,0.98,0.21,8.851642096702414e6
0.64,0.23,0.28,0.63,0.41,8.881494141591616e6
0.73,0.58,0.7,0.63,0.25,8.85818643643121e6
0.05,0.58,0.28,0.02,0.43,8.869346244998246e6
0.81,0.23,0.91,0.87,0.39,8.913176527449757e6
0.62,0.19,0.61,0.68,0.33,8.894572855989236e6
0.28,0.76,0.77,0.25,0.07,8.814742951171685e6
0.01,0.76,0.8,0.9,0.91,8.944968416110292e6
0.58,0.96,0.54,0.46,0.5,8.829134417310437e6
0.39,0.12,0.72,0.49,0.53,8.89619650855615e6
0.18,0.45,0.16,0.95,0.69,8.845307339956097e6
0.54,0.2,0.74,0.02,0.34,8.896715424088378e6
0.6,0.08,0.76,0.09,0.72,8.927899722641025e6
0.45,0.52,1.0,0.8,0.75,8.8498052355007e6
0.24,0.92,0.24,0.96,0.69,8.835412598184723e6
0.86,0.34,0.91,0.03,0.14,8.902610757221585e6
0.78,0.95,0.21,0.96,0.55,8.848219074549245e6
0.03,0.95,0.68,0.65,0.16,8.893024739330614e6
0.69,0.07,0.61,0.34,0.28,8.929546861486144e6
0.46,0.65,0.27,0.03,0.92,8.817670086678337e6
0.61,0.81,0.6,0.46,0.14,8.831694023885563e6
0.13,0.02,1.0,1.0,0.49,9.048391532992907e6
0.29,0.06,0.1,0.4,0.98,8.908274482286599e6
0.11,0.36,0.64,0.68,0.51,8.855796604594804e6
0.07,0.01,0.44,0.7,0.49,9.09767139950871e6
0.19,0.06,0.25,0.73,0.17,8.927028851967525e6
0.86,0.79,0.9,0.51,0.16,8.860401687790826e6
0.85,0.27,0.23,0.32,0.88,8.892128120230902e6
0.9,0.89,0.09,0.88,0.49,8.850296852438364e6
0.46,1.0,0.79,0.3,0.38,8.825287676251294e6
0.46,0.55,0.83,0.6,0.11,8.840959291365981e6
0.43,0.6,0.29,0.48,0.94,8.824125029337827e6
0.85,0.49,0.29,0.98,0.9,8.871000780022249e6
0.36,0.5,0.59,0.28,0.25,8.830776074814953e6
