,_1a,_1a1d,_1a1d1e,_1a1d1CCC,_1a1d1e1CCC,_2a,_2a1d,_2a1d1e,_2a1d1CCC,_2a1d1e1CCC
alpha,1.000048,1.002282,1.005725,2.863797,5.030869,1.001753,1.007770,1.013547,7.232485,22.841725,
exp_r,0.022728,0.022779,0.022857,0.065086,0.114338,0.022767,0.022904,0.023035,0.164375,0.519130,
xp,0.000000,0.000000,0.000001,0.000016,0.000158,0.000001,0.000000,0.000001,0.001547,0.998276,
pxp,0.000000,0.000000,0.000001,0.000016,0.000158,0.000001,0.000000,0.000001,0.001547,0.998276,
