subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_19,19802.7141823144,19715.216799581583,19693.49832939595,19531.904964149137,19582.05234853167
sub_20,8383.881954200777,8384.201455851013,8385.027083418181,8368.199312444316,8372.225280837109
sub_21,19453.54112940044,19446.291516530237,19429.33803654597,19425.868834177258,19341.66123127057
sub_22,23061.49868251126,22336.04198330879,22296.88480304788,22126.643401045087,22127.364700274902
sub_23,14657.604133615501,14588.643470387513,14588.082970744314,14545.104433471442,14560.691455376333
sub_24,10449.350542150623,10318.612866888569,10325.142292680204,10281.448851146972,10298.116225443404
sub_25,3495.2903444783196,3480.062772477432,3465.3056048485023,3448.467492187856,3448.00326393372
sub_26,7226.784994086338,7058.08289101309,7056.8061071965685,7022.3539125987845,7017.474333219586
sub_28,2408.0056329390445,2407.998318948481,2407.6138962225227,2387.018709440006,2389.989902627256
sub_29,7513.878079792999,7513.891811432214,7504.961985449686,7480.9587758784655,7480.5650370355015
sub_30,23139.37988158136,22942.45390108186,22942.45390084938,22877.612805915396,22870.62296904405
sub_31,6466.530150261133,6434.9316570877945,6433.52235421595,6390.146808738729,6398.738432498118
sub_32,7955.81717812832,7763.160845950815,7748.63157285348,7718.221990220643,7702.981455760311
sub_33,14051.634046556152,13876.999443978886,13867.917999287996,13743.336149023127,13680.648562420307
sub_34,2221.11847080331,2186.889674374703,2145.0986297517943,2161.432892881483,2118.5529047571736
sub_35,16046.973853894053,16046.981720258935,16010.709477367876,15916.56838784482,15920.591667672605
sub_36,2815.705969306331,2815.707113803108,2815.212407650433,2809.4393358479365,2804.1301981428837
