,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,0,735.9,1,1,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,1,1,1,486.9,1,2,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6229948199488787,0.3770051800511212,0.5,0.5,0.0,0.0,-0.5,0.5
2,1,1,1,573.8,1,3,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6229948199488787,0.5945954179123905,0.40540458208760954,0.3770051800511212,0.6229948199488787,0.0,0.0,-0.3770051800511212,0.37700518005112127
3,0,1,0,422.6,1,4,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5727534142798781,0.5727534142798781,0.4272465857201218,0.28426581157075664,0.7157341884292433,0.42724658572012186,-0.4272465857201218,0.0,0.0
4,1,1,1,795.6,1,5,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.665921343036534,0.6778516480487173,0.32214835195128266,0.3340786569634659,0.665921343036534,0.0,0.0,-0.3340786569634659,0.33407865696346595
5,0,1,0,458.7,1,6,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.636785849847729,0.636785849847729,0.363214150152271,0.25189876843949643,0.7481012315605036,0.363214150152271,-0.363214150152271,0.0,0.0
6,1,1,1,419.6,1,7,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6908148627218551,0.7261327678494562,0.2738672321505438,0.3091851372781449,0.6908148627218551,0.0,0.0,-0.3091851372781449,0.3091851372781449
7,1,1,1,416.6,1,8,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7668712033026447,0.6739188990828706,0.32608110091712944,0.2331287966973553,0.7668712033026447,0.0,0.0,-0.2331287966973553,0.2331287966973553
8,0,1,0,423.6,1,9,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6337611693601816,0.6337611693601816,0.3662388306398185,0.17578152794797536,0.8242184720520247,0.36623883063981844,-0.3662388306398185,0.0,0.0
9,0,1,1,484.5,0,10,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.27614787257415374,0.7238521274258463,0.27614787257415374,0.25064330456009953,0.7493566954399005,-0.7238521274258463,0.7238521274258463,0.0,0.0
10,0,1,0,537.8,1,11,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5457920032611366,0.5457920032611366,0.45420799673886336,0.30821955896846626,0.6917804410315337,0.45420799673886336,-0.45420799673886336,0.0,0.0
11,0,1,0,394.6,1,12,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6575224648176115,0.6575224648176115,0.34247753518238855,0.3525015039304843,0.6474984960695157,0.34247753518238855,-0.34247753518238855,0.0,0.0
12,0,1,0,367.6,1,13,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7417683903701988,0.7417683903701988,0.2582316096298012,0.3865587844842232,0.6134412155157768,0.2582316096298012,-0.2582316096298012,0.0,0.0
13,1,1,1,422.7,1,14,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5872477328286237,0.8052906910332519,0.1947093089667481,0.41275226717137625,0.5872477328286237,0.0,0.0,-0.41275226717137625,0.41275226717137625
14,1,1,1,451.6,1,15,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6887805143970936,0.7347993233784655,0.2652006766215344,0.3112194856029064,0.6887805143970936,0.0,0.0,-0.3112194856029064,0.31121948560290635
15,0,1,0,390.5,1,16,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6805843541196626,0.6805843541196626,0.31941564588033744,0.23466271641028214,0.7653372835897179,0.31941564588033744,-0.31941564588033744,0.0,0.0
16,0,1,0,723.5,1,17,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7591572938274764,0.7591572938274764,0.2408427061725236,0.2959288753840187,0.7040711246159813,0.24084270617252357,-0.2408427061725236,0.0,0.0
17,1,1,1,386.5,1,18,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6569512709959965,0.8184021043908569,0.18159789560914308,0.3430487290040035,0.6569512709959965,0.0,0.0,-0.3430487290040035,0.3430487290040035
18,0,1,0,387.5,1,19,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7448833222533796,0.7448833222533796,0.2551166777466204,0.2586622956889253,0.7413377043110747,0.2551166777466204,-0.2551166777466204,0.0,0.0
19,1,1,1,332.3,1,20,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6856130283113695,0.807639381944183,0.192360618055817,0.3143869716886305,0.6856130283113695,0.0,0.0,-0.3143869716886305,0.3143869716886305
20,1,0,1,377.3,0,21,0,80,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7629489662656022,0.7366057035037336,0.2633942964962665,0.2370510337343978,0.7629489662656022,0.0,0.0,0.7629489662656022,-0.7629489662656022
21,0,1,0,390.4,1,22,0,80,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6819736425704233,0.6819736425704233,0.31802635742957686,0.2707986421784097,0.7292013578215902,0.31802635742957674,-0.31802635742957686,0.0,0.0
22,0,1,0,587.3,1,23,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7602048317125204,0.7602048317125204,0.2397951682874797,0.32372104582752126,0.6762789541724787,0.2397951682874796,-0.2397951682874797,0.0,0.0
23,1,1,1,418.4,1,24,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6355762896846842,0.8191919588087797,0.1808080411912204,0.3644237103153159,0.6355762896846842,0.0,0.0,-0.3644237103153159,0.36442371031531584
24,0,1,1,573.3,0,25,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2545092000594755,0.7454907999405246,0.2545092000594755,0.2747792530446466,0.7252207469553534,-0.7454907999405246,0.7454907999405245,0.0,0.0
25,1,1,1,354.2,1,26,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6732174630576921,0.5621077865160637,0.43789221348393637,0.32678253694230797,0.6732174630576921,0.0,0.0,-0.32678253694230797,0.32678253694230786
26,0,1,0,431.3,1,27,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5477671500599984,0.5477671500599984,0.4522328499400017,0.24639741835499396,0.7536025816450062,0.45223284994000157,-0.4522328499400017,0.0,0.0
27,0,1,0,436.2,1,28,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.659011745966676,0.659011745966676,0.34098825403332406,0.30495404437079987,0.6950459556292002,0.340988254033324,-0.34098825403332406,0.0,0.0
28,1,1,1,593.3,1,29,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6500100060517545,0.7428913237856984,0.2571086762143016,0.34998999394824554,0.6500100060517545,0.0,0.0,-0.34998999394824554,0.3499899939482455
29,0,1,1,590.3,0,30,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.31319208166366896,0.686807918336331,0.31319208166366896,0.26389608136909826,0.7361039186309017,-0.686807918336331,0.686807918336331,0.0,0.0
30,1,1,1,445.3,1,31,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6815877194090464,0.5178602858258485,0.48213971417415147,0.3184122805909536,0.6815877194090464,0.0,0.0,-0.3184122805909536,0.3184122805909536
