subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_19,10656.950588846008,10659.977205249505,10665.784380683825,10665.624982303232,10674.497256809304
sub_20,10959.58489877534,10966.44657986331,10973.363915745429,10978.338253384458,10985.608269200533
sub_21,11455.900105410074,11462.367041061367,11468.384464204755,11475.026145313956,11477.918723657998
sub_22,11286.870690733691,11265.677379304605,11270.916299818062,11270.98407954105,11277.786826811223
sub_23,11524.395543703791,11526.853545865493,11533.648842224275,11537.747564198567,11545.570239608584
sub_24,11162.635833763616,11157.853948583821,11165.2637337009,11168.180324848508,11176.500324594224
sub_25,10405.91347817167,10408.638684626303,10411.474087053077,10413.722272236735,10420.446233900902
sub_26,9603.17668910203,9590.561743548342,9597.120619008832,9599.82412441546,9605.962390616773
sub_28,9979.4039768438,9986.24487774068,9992.938869568974,9991.72427351101,9999.734853975644
sub_29,10646.808854992334,10653.617336414467,10659.349175133271,10663.260097206667,10670.019345593844
sub_30,12076.07724369536,12074.914497378013,12081.756112864798,12085.948613699931,12092.50420778989
sub_31,10813.083340132769,10815.36297003056,10821.994454673431,10822.538240454114,10830.622980255785
sub_32,10994.016907860692,10978.077691904216,10983.171486140318,10986.352552650944,10991.350428161164
sub_33,9676.247996429991,9673.152658754829,9679.301334675642,9678.92186806518,9682.015202933626
sub_34,9523.975422572585,9516.771444580016,9506.172183991715,9519.819231441405,9508.549466592784
sub_35,11169.931684200346,11176.724465403591,11181.500533486746,11183.038439722757,11190.055976511892
sub_36,9953.592515987708,9960.419435975473,9967.083976015969,9972.017862147814,9977.100409556253
