P_diff,congruency,hand,postError,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,congruency.1,hand.1,postError.1,nblock_1.1,nblock_2.1,nblock_3.1,nblock_4.1,nblock_5.1,nblock_6.1,nblock_7.1,nblock_8.1,nblock_9.1,nblock_10.1,nblock_11.1,nblock_12.1,nblock_13.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,NBLOCK_1,NBLOCK_2,NBLOCK_3,NBLOCK_4,NBLOCK_5,NBLOCK_6,NBLOCK_7,NBLOCK_8,NBLOCK_9,NBLOCK_10,NBLOCK_11,NBLOCK_12,NBLOCK_13,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,NBLOCK_1.1,NBLOCK_2.1,NBLOCK_3.1,NBLOCK_4.1,NBLOCK_5.1,NBLOCK_6.1,NBLOCK_7.1,NBLOCK_8.1,NBLOCK_9.1,NBLOCK_10.1,NBLOCK_11.1,NBLOCK_12.1,NBLOCK_13.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,alpha_v,subject,nblock_14,nblock_14.1,NBLOCK_14,NBLOCK_14.1
-58.900899675379286,-17.102649808432506,7.084037756192645,2.623425200004972,221.31076477755101,232.13693204822286,211.80885705566243,225.88596612966668,224.84851195256698,225.91500093156964,221.7965940083696,233.78585892691052,224.43094227208198,237.3595011952808,228.34354300293217,234.75886302363284,218.57866362478316,-58.90089967537938,-17.102649808432222,7.084037756192352,2.6234252000048692,221.31076477755124,232.1369320482227,211.808857055662,225.88596612966703,224.8485119525673,225.91500093156966,221.7965940083696,233.78585892691063,224.43094227208184,237.35950119528056,228.34354300293236,234.75886302363256,218.57866362478316,9.041058255701893e-09,0.006834847688408436,0.1503931524759256,0.8169389090655376,9.197029373436892e-93,1.8016177012298404e-125,2.1948491915285352e-82,9.185156615469954e-131,2.6107331841859697e-52,3.776724847634562e-61,5.165779462616899e-75,1.0201774320733313e-55,1.748481838497738e-50,2.9516438630631476e-92,1.6403619347835696e-49,6.205867448733991e-56,3.488808938795776e-48,9.041058255700999e-09,0.00683484768840926,0.15039315247594287,0.8169389090655446,9.197029373434014e-93,1.8016177012302503e-125,2.1948491915289733e-82,9.185156615469954e-131,2.6107331841850757e-52,3.776724847634456e-61,5.165779462616603e-75,1.0201774320731567e-55,1.7484818384979375e-50,2.951643863063231e-92,1.6403619347833358e-49,6.205867448735762e-56,3.488808938796026e-48,0.07988256473843436,-5319.434933115742,10646.869866231484,10665.784380683825,19693.49832939595,SR_Q_D_E_V_WOB,0.456343958877489,0.19947593445811465,0.08339103269368267,0.466130170723281,sub_19,,,,
-783.7477293510103,0.8927293871965389,11.747115034772664,6.9308125377759995e-12,-142.39836262934932,-160.28612939817214,-161.29581218776582,-152.45929198557909,-132.02288554831742,-130.5731013615301,-125.61719883303041,-142.65346457900048,-101.92582703998272,-135.98059193500623,-118.63202090865278,-142.0852526292694,-127.89553119468023,-783.7477293510101,0.8927293872040281,11.747115034780949,0.0,-142.3983626293533,-160.2861293981623,-161.29581218777105,-152.4592919855521,-132.022885548291,-130.57310136154354,-125.6171988330239,-142.65346457898232,-101.92582703997816,-135.9805919350095,-118.6320209086535,-142.08525262926563,-127.89553119467483,0.035747962442624924,0.8158627921398058,0.0001557322385114988,0.2899401427751783,0.4441033620041504,0.3904917539546121,0.3860353589684795,0.4132968961677097,0.4820247863430651,0.4819105268105989,0.4997021985277133,0.4481163759351641,0.5822756848580931,0.4660652679780308,0.5273687597284838,0.44341897259430507,0.4956122921879689,0.03574796244262488,0.8158627921383139,0.00015573223850883045,,0.4441033620041467,0.3904917539546165,0.38603535896847785,0.41329689616772897,0.4820247863430944,0.4819105268105846,0.4997021985277207,0.44811637593517983,0.5822756848581019,0.4660652679780287,0.5273687597284833,0.4434189725943085,0.4956122921879749,0.12192418867094013,-5473.028867425601,10954.057734851202,10973.363915745429,8385.027083418181,SR_Q_D_E_V_WOB,0.0001,0.0001,0.33397018099844605,0.0018365340652960415,sub_20,,,,
-45.95695291345879,-10.79870906046217,24.54610453654056,-4.376700624614319,172.61010001815598,195.08686610956553,183.24309751359158,192.70699726704223,217.05957923341668,202.9433461404809,195.28375425717533,221.3801258533694,204.575742947156,214.1552171480284,222.96489255238453,230.22705941671558,238.31021107916618,-45.956952913458736,-10.798709060462134,24.54610453654102,-4.37670062461418,172.61010001815674,195.08686610956528,183.24309751359118,192.70699726704183,217.05957923341683,202.94334614048088,195.2837542571753,221.38012585336963,204.5757429471559,214.15521714802844,222.96489255238444,230.22705941671543,238.31021107916618,8.682536385094536e-12,0.07048733252101555,2.2232236712737886e-07,0.7905075050598801,4.06223236980975e-39,6.487596791346301e-51,9.89918839156386e-43,4.381335733340388e-84,5.31703163750641e-58,6.451400648655042e-57,8.165047349325469e-70,2.2726784388315907e-65,8.766712127496078e-47,1.0162254054306262e-57,2.884169415708712e-109,1.3713799088302332e-140,2.8362988289813274e-118,8.682536385095073e-12,0.0704873325210163,2.2232236712725453e-07,0.7905075050598869,4.062232369807428e-39,6.487596791347781e-51,9.899188391566691e-43,4.381335733341636e-84,5.317031637506409e-58,6.451400648653939e-57,8.165047349324768e-70,2.272678438831461e-65,8.766712127496078e-47,1.0162254054306262e-57,2.884169415708712e-109,1.3713799088302332e-140,2.836298828981004e-118,0.15248221441959353,-5720.58744257573,11449.17488515146,11468.384464204755,19429.33803654597,SR_Q_D_E_V_WOB,0.9322935852811298,0.0615224814881063,0.6788462111637328,0.3709847918161509,sub_21,241.7389925682809,241.73899256828037,1.8010002780806937e-143,1.801000278081923e-143
-116.86883505359944,-14.826733736287506,9.971122724748664,-7.024930785292662,210.5864768913434,212.72107854970506,223.00346250981468,223.2910798183712,213.1827172052496,249.19728895114739,224.43311528921944,267.4850954803814,281.42993864055086,244.55292630823223,266.37952872044275,283.3020199791498,241.69447734698542,-116.86883505359992,-14.82673373628709,9.971122724749202,-7.0249307852927485,210.5864768913434,212.72107854970483,223.0034625098148,223.29107981837097,213.18271720525001,249.19728895114758,224.4331152892197,267.4850954803813,281.429938640551,244.55292630823246,266.37952872044264,283.3020199791498,241.6944773469853,6.444430157849498e-17,0.023024980417504164,0.051143570577483866,0.740423087635674,3.7866595614886614e-47,6.789913645107409e-44,2.0960606402124074e-51,3.8429964833610925e-65,1.166259873936245e-46,2.171593020956039e-56,1.617727367917654e-75,6.586692909554939e-59,4.517206821298914e-71,1.8536019458546444e-52,4.7029630544278705e-122,4.1211913533545556e-108,1.6130557167751816e-98,6.44443015784671e-17,0.023024980417507862,0.051143570577470966,0.7404230876356706,3.786659561488769e-47,6.78991364510838e-44,2.0960606402121676e-51,3.842996483361969e-65,1.1662598739361117e-46,2.171593020955697e-56,1.6177273679174232e-75,6.586692909555314e-59,4.517206821298914e-71,1.853601945854644e-52,4.7029630544286723e-122,4.1211913533545556e-108,1.6130557167754112e-98,0.15380224504882878,-5621.909702136316,11251.819404272632,11270.916299818062,22296.88480304788,SR_Q_D_E_V_WOB,0.5649283639360969,0.5748166905599534,0.0001,0.2431215696905643,sub_22,227.98639445190915,227.98639445190952,4.964686251828865e-78,4.964686251828156e-78
-2272.1548474917818,-14.445405071325688,-12.299044817667092,2.306149088891793,-822.3855922869037,-845.5173213771475,-838.1022298951028,-807.8076913176732,-838.729193754188,-835.1146725570712,-830.8950287707307,-794.0776365174423,-804.2112585628117,-796.3786273414478,-806.4001844857504,-795.7854122645634,-781.3540730431747,-2272.154847491752,-14.445405071362309,-12.299044817660883,2.306149088872264,-822.3855922869592,-845.5173213772043,-838.1022298950902,-807.8076913176955,-838.7291937540159,-835.1146725569397,-830.8950287709523,-794.0776365175261,-804.2112585627208,-796.3786273415443,-806.4001844857941,-795.7854122644326,-781.3540730431033,0.0022858419006004157,0.003983756412038679,0.0022380068916969093,0.8856922987956225,0.02669430434617724,0.022547513830907067,0.023804726673933654,0.02936698737428669,0.02406260837495984,0.024717604344146386,0.025333366669712247,0.032617198680345016,0.030437242311265617,0.03202298548065871,0.03000276448453495,0.032253827065758245,0.03544763877493606,0.0022858419006003376,0.00398375641194928,0.0022380068917080683,0.8856922987965857,0.02669430434617645,0.02254751383090673,0.02380472667393385,0.029366987374286207,0.02406260837496169,0.02471760434414756,0.025333366669709687,0.03261719868034296,0.03043724231126752,0.032022985480656456,0.030002764484534438,0.03225382706576164,0.0354476387749382,0.12801620149579376,-5753.162672642846,11514.325345285692,11533.648842224275,14588.082970744314,SR_Q_D_E_V_WOB,0.0043623135278907455,0.4646526085167623,0.0009524312106222237,0.002280131229183663,sub_23,,,,
-84.6374487057292,-32.44448058199229,26.601873573496384,44.96902672236677,222.07065020868282,212.3945699653861,203.50623764102176,192.57945301052845,204.4458599276105,206.9543169113464,196.42022064981504,198.78192484990927,213.2227626608701,214.52894155645856,213.89709946484533,218.1194839009161,207.99379063686362,-84.63744870572917,-32.444480581992,26.601873573495922,44.96902672236713,222.0706502086819,212.3945699653867,203.50623764102215,192.57945301052845,204.4458599276104,206.95431691134635,196.42022064981515,198.78192484990916,213.22276266087002,214.52894155645825,213.89709946484527,218.119483900916,207.99379063686334,1.400889052691576e-20,1.9611842247510878e-13,1.0388128363464633e-14,0.0003923263344761463,2.449857690061169e-174,1.0440725070541902e-134,2.1690735883357377e-152,8.280077732504074e-129,1.930722976703025e-86,9.483541969312334e-83,7.00032588489113e-121,4.714887876483598e-75,6.604999711583417e-91,7.908361111574598e-119,2.133210248827644e-93,2.774910913184754e-91,2.7054179357750883e-92,1.4008890526915557e-20,1.9611842247520455e-13,1.0388128363476109e-14,0.0003923263344761118,2.4498576900645136e-174,1.0440725070535959e-134,2.1690735883357377e-152,8.280077732505014e-129,1.930722976703025e-86,9.483541969312334e-83,7.000325884890334e-121,4.71488787648306e-75,6.604999711584546e-91,7.908361111576846e-119,2.1332102488280687e-93,2.7749109131853066e-91,2.7054179357757052e-92,0.2532078041374205,-5568.978776403337,11145.957552806674,11165.2637337009,10325.142292680204,SR_Q_D_E_V_WOB,0.2637216435741825,0.27781155930197965,0.2946409994048072,0.4152817812106852,sub_24,,,,
-63.836667223200024,-10.199840296355195,-10.945378027124141,-7.809796469011687,222.01382698158523,202.6075380980376,201.02664499052844,197.8065015035342,188.16295213140393,180.97354853392892,185.1663917756651,196.7747164170436,186.8285824566268,205.7377033672365,203.5948547772676,207.5445617908793,205.07916159784145,-63.83666722320014,-10.199840296355234,-10.9453780271239,-7.809796469010223,222.01382698158517,202.6075380980376,201.02664499052784,197.80650150353424,188.1629521314037,180.97354853392898,185.166391775665,196.77471641704352,186.82858245662663,205.73770336723683,203.59485477726815,207.5445617908794,205.07916159784088,4.4380972567991393e-10,3.1243135217199375e-05,2.1514131786500243e-08,0.6029803302154929,6.9370842201176565e-146,1.584913201921307e-134,2.8843866388903972e-126,1.2970919497402492e-160,8.74658549151546e-118,1.770867190918224e-114,2.154136318008418e-133,4.295499526374766e-120,4.553640140180114e-116,1.742459247769998e-136,3.426967754422437e-172,4.2065573531469555e-187,6.472983300997818e-173,4.438097256798783e-10,3.1243135217197694e-05,2.1514131786514606e-08,0.6029803302155617,6.9370842201176565e-146,1.584913201920766e-134,2.8843866388903972e-126,1.297091949740397e-160,8.74658549151546e-118,1.770867190918224e-114,2.154136318008418e-133,4.29549952637501e-120,4.5536401401811514e-116,1.7424592477697993e-136,3.426967754422633e-172,4.2065573531469555e-187,6.472983300997818e-173,0.17947127156144693,-5192.03467367155,10392.0693473431,10411.474087053077,3465.3056048485023,SR_Q_D_E_V_WOB,0.1692735457790006,0.3006205579863932,1.0,0.08004633008984291,sub_25,207.80025628259497,207.80025628259497,3.445769316161131e-192,3.445769316161131e-192
-81.94605021829085,-14.536389177194554,4.320222684350979,-11.298440744929804,184.79258437597667,184.1842591670692,185.47277693131022,189.00860207874751,185.86217797190156,205.65170642562157,187.3771490388349,194.74182065739183,202.15472936930752,188.82269479539826,193.55890452046023,204.1175540464708,202.47930317486615,-81.94605021829109,-14.53638917719442,4.3202226843515446,-11.298440744930243,184.792584375976,184.1842591670689,185.47277693131028,189.00860207874769,185.8621779719017,205.65170642562157,187.37714903883492,194.74182065739183,202.15472936930766,188.82269479539832,193.55890452046032,204.11755404647056,202.47930317486674,1.8727280047101668e-09,0.00012426124840162302,0.14773419765646922,0.3877460236793789,1.530006320954732e-71,6.838058334206432e-67,1.1355956268274199e-70,1.733715391602874e-86,8.078422778532926e-72,1.991431401288912e-73,1.65460048421062e-88,1.183403907063809e-67,1.2064978915561222e-71,1.2313006787761035e-48,2.5481694096401007e-103,5.581858437770639e-98,2.374091684247211e-103,1.8727280047098996e-09,0.00012426124840163804,0.14773419765641554,0.3877460236793606,1.5300063209549068e-71,6.838058334207212e-67,1.1355956268271933e-70,1.733715391602726e-86,8.078422778531317e-72,1.991431401288798e-73,1.6546004842105254e-88,1.1834039070639099e-67,1.2064978915558821e-71,1.2313006787759806e-48,2.5481694096401007e-103,5.581858437769366e-98,2.374091684247617e-103,0.09235364864618913,-4785.146584831211,9578.293169662422,9597.120619008832,7056.8061071965685,SR_Q_D_E_V_WOB,0.25952218809347843,0.9416593539187252,0.3905028042170807,0.2317433522512093,sub_26,196.97327354025555,196.9732735402552,3.616546925019636e-94,3.616546925019636e-94
-13.965846160524814,-10.921605708336408,-10.922564312650833,25.861710298261045,212.59314309976432,213.64088970240147,206.9233446297337,204.0557105793424,209.54464124623195,213.40457705618562,207.93499823864016,213.17080773568824,198.1589123036124,211.8916019171134,211.46640261416042,209.09193644025646,197.6823759738626,-13.965846160524602,-10.921605708336301,-10.922564312650897,25.86171029826157,212.59314309976432,213.64088970240087,206.9233446297337,204.05571057934247,209.54464124623203,213.40457705618567,207.93499823864042,213.17080773568802,198.15891230361214,211.89160191711312,211.46640261416042,209.09193644025646,197.6823759738626,3.18518092932112e-06,7.478942940735527e-08,2.7280240730473988e-11,0.07375809944071197,0.0,0.0,0.0,0.0,8.987972549879863e-264,1.2134062124882955e-243,0.0,5.04377744534985e-245,1.146433570263298e-233,5.22504e-319,3.371018448417075e-262,3.004229732907284e-243,3.440118177587588e-244,3.1851809293221696e-06,7.478942940737665e-08,2.7280240730468637e-11,0.073758099440706,0.0,0.0,0.0,0.0,8.987972549875774e-264,1.2134062124878814e-243,0.0,5.043777445352145e-245,1.1464335702638199e-233,5.22504e-319,3.371018448416692e-262,3.004229732907625e-243,3.4401181775875884e-244,0.13253554624386332,-4982.781934886474,9973.563869772948,9992.938869568974,2407.6138962225227,SR_Q_D_E_V_WOB,0.348932331293871,0.006004276332167892,0.0001,0.2302742692327698,sub_28,,,,
-66.0424226686527,-11.399239975132929,3.368904141497739,-9.250063529980537,183.3266063869033,206.0520837791769,202.7026617018991,200.51921994160068,206.37241756502388,209.180923488218,218.91054179364608,214.24885280386474,226.20138579557354,216.58011600065976,220.3232018897354,221.4493065920246,214.3743938677833,-66.04242266865302,-11.39923997513301,3.3689041414979393,-9.25006352998081,183.3266063869038,206.0520837791764,202.7026617018991,200.5192199416008,206.3724175650239,209.1809234882184,218.91054179364613,214.24885280386468,226.20138579557377,216.5801160006593,220.3232018897346,221.44930659202538,214.3743938677834,0.00022502866473715497,0.002047514128374121,0.2477908194910749,0.19481222497238895,2.3740638480061036e-49,7.260810076710778e-63,2.631766487698906e-56,7.82773879530985e-73,4.311702030003181e-58,2.3158144456814763e-63,2.047481329008834e-79,1.2433746300141147e-63,3.2704815255027806e-71,2.3273665147283093e-66,6.447713094625854e-96,1.7844700837226898e-102,2.3846711473684262e-88,0.000225028664737136,0.0020475141283739745,0.24779081949104634,0.1948122249723756,2.3740638480058324e-49,7.260810076713261e-63,2.631766487698906e-56,7.827738795308735e-73,4.3117020300025674e-58,2.315814445681277e-63,2.04748132900901e-79,1.2433746300141147e-63,3.2704815255027806e-71,2.3273665147285744e-66,6.447713094625486e-96,1.784470083723503e-102,2.3846711473685624e-88,0.08712855453780001,-5316.060928845852,10640.121857691704,10659.349175133271,7504.961985449686,SR_Q_D_E_V_WOB,0.07154928888833759,0.09042161650349388,0.16249943430600491,0.01938203275716215,sub_29,229.12103564405257,229.12103564405206,2.6669222425077863e-104,2.666922242507711e-104
