P_diff,congruency,hand,postError,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,congruency.1,hand.1,postError.1,nblock_1.1,nblock_2.1,nblock_3.1,nblock_4.1,nblock_5.1,nblock_6.1,nblock_7.1,nblock_8.1,nblock_9.1,nblock_10.1,nblock_11.1,nblock_12.1,nblock_13.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,NBLOCK_1,NBLOCK_2,NBLOCK_3,NBLOCK_4,NBLOCK_5,NBLOCK_6,NBLOCK_7,NBLOCK_8,NBLOCK_9,NBLOCK_10,NBLOCK_11,NBLOCK_12,NBLOCK_13,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,NBLOCK_1.1,NBLOCK_2.1,NBLOCK_3.1,NBLOCK_4.1,NBLOCK_5.1,NBLOCK_6.1,NBLOCK_7.1,NBLOCK_8.1,NBLOCK_9.1,NBLOCK_10.1,NBLOCK_11.1,NBLOCK_12.1,NBLOCK_13.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,ccc,alpha_ccc,alpha_v,subject,nblock_14,nblock_14.1,NBLOCK_14,NBLOCK_14.1
-81.95073765751995,-17.13579894199303,7.180675826227143,2.2925004577062733,209.33046133718003,219.1540660557011,199.46641726811353,214.53743684296262,212.97792224500316,214.48101943266545,211.0151380787094,222.7168713863321,214.26591181600776,228.1348567235992,219.73709892508407,224.20026697780813,207.10501886270973,-81.95073765751991,-17.13579894199271,7.1806758262273656,2.2925004577063834,209.3304613371796,219.1540660557013,199.46641726811387,214.53743684296276,212.977922245003,214.48101943266568,211.01513807870973,222.71687138633217,214.26591181600799,228.13485672359926,219.737098925084,224.20026697780847,207.1050188627092,8.325550477915323e-10,0.006574465220386553,0.1436341480577686,0.8392588515806247,1.1290063506935528e-75,1.2182188171866607e-97,1.1783648100505218e-66,3.378608699519486e-103,7.23477543859362e-45,5.686977782724228e-52,1.1957324922488111e-63,4.395179705267357e-48,1.4619558388546535e-44,1.8830515129342038e-80,1.096855156068736e-44,4.8144814790361506e-49,1.7477710100165698e-41,8.325550477915384e-10,0.006574465220387522,0.14363414805775607,0.8392588515806172,1.129006350693649e-75,1.2182188171867647e-97,1.1783648100503875e-66,3.378608699519486e-103,7.234775438592791e-45,5.686977782725121e-52,1.1957324922484018e-63,4.395179705267357e-48,1.4619558388546117e-44,1.8830515129342038e-80,1.0968551560687049e-44,4.8144814790354616e-49,1.7477710100170445e-41,0.08508953144895204,-5317.062742565398,10646.125485130797,10674.497256809304,19582.05234853167,SR_Q_D_E_alphaCCC_V_WOB,0.2459896398984911,0.2308991715881923,0.0442331137945288,-0.6658507084993303,0.8137863263487247,0.35393284340946,sub_19,,,,
-9.671599486162137,0.18274144036113785,12.34585920631073,-1.5273785966676195e-13,246.3277974642893,229.4013670701005,227.20139354098058,236.58618890370983,259.57796312685286,256.62290930590405,262.15721486810503,247.9227345221921,284.0378779412316,253.43532651401523,272.3998647169142,243.77525062037273,262.8741984968822,-9.671599486162403,0.18274144036082876,12.3458592063109,0.0,246.32779746428952,229.40136707010123,227.20139354098075,236.58618890371014,259.5779631268528,256.62290930590416,262.15721486810503,247.9227345221922,284.0378779412319,253.4353265140153,272.39986471691367,243.7752506203727,262.874198496882,0.01609363576776605,0.9618679379394032,5.6230346693037426e-05,8.864105376946039e-160,1.4376298950673176e-279,3.6193211042214717e-212,1.452493799301627e-252,1.1511609812223706e-240,3.176950893579515e-160,6.606218131888622e-131,2.7188373351755127e-230,1.0179479312939092e-135,1.7174630697453257e-179,2.750361275428531e-203,4.152738494981147e-170,7.753918143275133e-134,5.684179953099057e-167,0.01609363576776306,0.9618679379394676,5.623034669302329e-05,,1.4376298950661726e-279,3.619321104217148e-212,1.452493799301296e-252,1.1511609812215851e-240,3.176950893579336e-160,6.606218131887495e-131,2.718837335175204e-230,1.0179479312938509e-135,1.7174630697452277e-179,2.750361275428531e-203,4.152738494982801e-170,7.75391814327425e-134,5.684179953100995e-167,0.12326478884471324,-5472.3244989295945,10956.64899785919,10985.608269200533,8372.225280837109,SR_Q_D_E_alphaCCC_V_WOB,0.4622214881129425,0.024596075651897573,0.31437309995227536,-0.4372632373716801,0.10648242904446424,0.8776602545681774,sub_20,,,,
-47.25529559741865,-10.867557273756807,24.889618292035628,-3.2525300094950005,172.01681538966824,194.09303502794384,182.5504737724156,191.82732611515863,216.42588900746682,202.24214521680386,194.5555176439219,220.66686863835,203.47993183997139,213.8788759562024,222.70032820470797,229.93954572406986,238.11425607706954,-47.255295597418716,-10.867557273756509,24.889618292035106,-3.2525300094946843,172.01681538966855,194.09303502794398,182.55047377241507,191.82732611515843,216.425889007467,202.24214521680352,194.555517643922,220.6668686383501,203.47993183997124,213.87887595620253,222.70032820470757,229.93954572406966,238.1142560770693,1.136975366274732e-12,0.06809699670496988,1.4278168876132356e-07,0.8431798619547668,4.767488416056997e-39,1.2900020114845767e-50,1.3268116981343821e-42,1.1440658638277068e-83,6.122586196707113e-58,8.266400792717839e-57,1.2286343467936385e-69,2.7432343999698547e-65,1.7846754066044127e-46,6.517059983658272e-58,1.2756614561806718e-109,2.7521155587629534e-141,6.952367713328365e-119,1.136975366274691e-12,0.06809699670497704,1.4278168876141085e-07,0.8431798619547819,4.767488416055702e-39,1.2900020114845767e-50,1.3268116981348371e-42,1.1440658638278696e-83,6.1225861967058895e-58,8.266400792719491e-57,1.2286343467936038e-69,2.7432343999698547e-65,1.7846754066046666e-46,6.517059983658272e-58,1.2756614561811072e-109,2.7521155587635804e-141,6.952367713330343e-119,0.1563067220637665,-5718.552177539026,11449.104355078052,11477.918723657998,19341.66123127057,SR_Q_D_E_alphaCCC_V_WOB,0.9496804779750476,0.05654108184457308,0.8213152477240018,-0.9968716487578722,0.06487625261119917,0.36015278399539385,sub_21,242.57348537032573,242.57348537032533,1.8475045842448919e-146,1.8475045842458377e-146
-146.34751178070698,-15.642245657875018,10.483063848213362,-15.5952954291571,195.1636322594878,197.7946328106041,208.15196497980736,208.2518520747187,199.70124816075298,233.04799761126884,208.6271430175336,250.5564061370476,265.2276986865366,232.42741554095002,251.35607344069058,268.72451587420966,227.092190576746,-146.34751178070724,-15.642245657874547,10.483063848213217,-15.595295429157732,195.1636322594872,197.7946328106039,208.15196497980722,208.25185207471938,199.701248160753,233.04799761126893,208.6271430175336,250.5564061370476,265.2276986865368,232.42741554094962,251.35607344069038,268.72451587420966,227.0921905767459,2.348599466890356e-18,0.016107434978515973,0.039601197676300055,0.4609818837847866,4.0814321707806083e-38,3.406992300741995e-36,2.843715268627319e-42,2.1490399492162326e-52,6.779085018136858e-39,1.0558160485935032e-46,5.647746682423286e-59,4.3686293108297025e-49,1.702149282431115e-59,8.662315694613194e-46,1.507149942621023e-98,6.271706260065862e-91,3.308632078877718e-79,2.348599466889933e-18,0.016107434978519058,0.039601197676302866,0.4609818837847689,4.08143217078195e-38,3.4069923007421904e-36,2.8437152686278073e-42,2.1490399492157422e-52,6.779085018136371e-39,1.055816048593503e-46,5.647746682423285e-59,4.3686293108297025e-49,1.702149282431115e-59,8.662315694614062e-46,1.507149942621023e-98,6.271706260065862e-91,3.308632078877718e-79,0.16023576844058673,-5618.570741746539,11249.141483493078,11277.786826811223,22127.364700274902,SR_Q_D_E_alphaCCC_V_WOB,0.4053997002025577,0.6439089901484607,0.0001,-0.13744430791997708,0.5268055261066299,0.16232104403982908,sub_22,211.83078295246327,211.83078295246327,5.875378516811362e-61,5.875378516811362e-61
-239.0857484844646,-14.403155466749705,-12.327185575287249,2.8999756113390376,194.1365952668774,170.81611886416374,178.47363132065334,208.3697134759456,177.74365153799354,181.64671925972957,185.36620611603647,221.69804421611096,211.19237949984267,219.3565343399917,210.09007390490174,221.26622117453098,234.7330506818158,-239.08574848446528,-14.403155466750293,-12.32718557528355,2.899975611338803,194.1365952668792,170.8161188641649,178.47363132065,208.3697134759546,177.74365153799272,181.64671925972968,185.3662061160364,221.69804421611084,211.19237949984262,219.35653433999138,210.0900739049014,221.26622117453044,234.73305068181682,0.0009052278748895985,0.0040519387192438725,0.0021657934418604294,0.8563543321762624,7.348982771048975e-08,1.4322040887268375e-06,5.752404059525536e-07,5.13760129440803e-09,1.9859129534179106e-06,1.1737829850997484e-06,4.4039161897567283e-07,3.3196506395265398e-09,2.145594663251217e-08,2.3008357706459777e-09,1.963208564210037e-08,2.527705639337443e-09,3.845834224370088e-10,0.0009052278748895227,0.004051938719242421,0.0021657934418669905,0.8563543321762739,7.348982771050027e-08,1.432204088726917e-06,5.75240405952471e-07,5.137601294412534e-09,1.985912953417873e-06,1.1737829850997348e-06,4.4039161897566965e-07,3.3196506395263814e-09,2.1455946632512013e-08,2.300835770645801e-09,1.9632085642100526e-08,2.527705639337351e-09,3.845834224370395e-10,0.12965349390586445,-5752.292497100354,11516.584994200708,11545.570239608584,14560.691455376333,SR_Q_D_E_alphaCCC_V_WOB,0.045715572698464935,0.4384455148591673,0.0020927153275972017,-0.0005705418015855558,0.07299906254141775,0.014592038880187947,sub_23,,,,
-88.22182400589372,-31.973758213319286,26.335126840174535,45.60945544920409,220.61510105557755,210.47553171426893,201.84529441867573,190.5874296974261,202.6664628169672,204.89921684876012,194.48663775098555,196.85032308550672,211.4072519812697,212.61164349091555,212.10785667771287,216.122634053596,204.8416026824471,-88.22182400589409,-31.973758213319268,26.335126840175253,45.609455449204,220.61510105557832,210.47553171426904,201.84529441867585,190.5874296974261,202.6664628169675,204.89921684875983,194.48663775098538,196.85032308550663,211.4072519812696,212.6116434909151,212.1078566777125,216.12263405359616,204.84160268244744,4.2254991460278525e-21,3.885008549803444e-13,1.7417417621978193e-14,0.000317329313659014,6.614385384475916e-171,4.044015634829269e-131,1.5022475490250131e-148,8.543906646199751e-125,1.2609929023335534e-84,8.11798687750845e-81,2.1837287648201323e-117,2.081627195009535e-73,4.894038002211034e-89,5.537843093481112e-116,1.634349911820094e-91,2.6866923436197888e-89,9.297608429500668e-89,4.2254991460261824e-21,3.8850085498035147e-13,1.7417417621948377e-14,0.0003173293136590278,6.614385384470272e-171,4.044015634828349e-131,1.5022475490247567e-148,8.543906646197807e-125,1.260992902333266e-84,8.117986877509607e-81,2.183728764820754e-117,2.0816271950098906e-73,4.89403800221382e-89,5.537843093482689e-116,1.6343499118203263e-91,2.686692343619177e-89,9.297608429497759e-89,0.2551625331780534,-5567.770526626442,11147.541053252884,11176.500324594224,10298.116225443404,SR_Q_D_E_alphaCCC_V_WOB,0.25378764951597604,0.2809150630005864,0.2465932855999739,-0.8032382878541912,0.6916808172315121,0.3940558516979175,sub_24,,,,
-21.227480646896886,-9.783352450716666,-11.670086236028252,-3.8430070624099457,243.5549417174099,224.62774117544524,222.576477352815,219.83823897868317,210.25337124203656,203.10719929829108,207.5161287945372,221.11746940746846,208.44238618401343,227.46763933549028,224.7694867176656,229.6492060575201,226.66212026066472,-21.227480646896858,-9.783352450716293,-11.67008623602838,-3.8430070624095976,243.55494171741046,224.6277411754453,222.576477352815,219.8382389786832,210.25337124203634,203.1071992982912,207.51612879453708,221.11746940746852,208.44238618401357,227.46763933548993,224.76948671766547,229.64920605751968,226.66212026066412,4.1377067841407935e-11,6.190906852981886e-05,2.0925077106427563e-09,0.7970106941265214,3.0004759798511873e-238,5.521671352415966e-235,8.388265351158742e-214,2.19487675e-315,2.7775787591233364e-202,9.108008707474065e-209,1.5681001144229937e-261,8.142158949006492e-227,4.86533469918919e-199,4.8803699759628456e-237,0.0,0.0,0.0,4.1377067841409454e-11,6.190906852985683e-05,2.092507710641932e-09,0.7970106941265399,3.000475979849822e-238,5.521671352415966e-235,8.388265351161603e-214,2.19487675e-315,2.777578759124444e-202,9.108008707470439e-209,1.5681001144231721e-261,8.142158949002789e-227,4.865334699188361e-199,4.880369975966177e-237,0.0,0.0,0.0,0.18356818809185813,-5189.669562167971,10391.339124335942,10420.446233900902,3448.00326393372,SR_Q_D_E_alphaCCC_V_WOB,0.9001921001874682,0.2080921535619424,0.7793171282201837,-0.8263771823044219,0.0930414655098167,0.3883485846284581,sub_25,229.1670993794089,229.16709937940877,0.0,0.0
-47.995306925725615,-14.410157166754795,4.247099067708496,-10.774906357797644,202.460530278258,201.4031936660096,202.74547826990195,205.9676632061044,203.35829988806728,221.80155118775173,204.2303313951715,211.74647344262425,219.15465245040886,205.59457332312482,210.6879407104766,220.85128232848285,219.36208573546241,-47.99530692572526,-14.410157166755374,4.247099067709092,-10.774906357797494,202.4605302782579,201.40319366600974,202.74547826990133,205.9676632061044,203.35829988806734,221.80155118775193,204.2303313951714,211.74647344262436,219.15465245040886,205.5945733231246,210.68794071047625,220.85128232848288,219.362085735462,1.8965936941659208e-10,0.0001361931421215262,0.15357716254080664,0.4084282498854863,7.943750269962453e-112,1.1510949530396972e-101,3.197975330680538e-111,2.246197851624805e-140,6.165919225553411e-112,5.077271812879295e-107,3.7136869727240894e-151,2.5043231212544814e-99,1.8863012128800398e-106,3.2393964471831523e-69,2.3639551531684119e-181,7.630646576321315e-155,1.32098198573141e-173,1.896593694166528e-10,0.00013619314212144618,0.1535771625407484,0.4084282498854931,7.943750269964489e-112,1.1510949530394676e-101,3.1979753306837233e-111,2.24619785162506e-140,6.165919225553411e-112,5.077271812879295e-107,3.7136869727240894e-151,2.5043231212541964e-99,1.8863012128799324e-106,3.239396447183523e-69,2.363955153169756e-181,7.630646576321747e-155,1.3209819857319356e-173,0.09741250112490996,-4782.860608298578,9577.721216597156,9605.962390616773,7017.474333219586,SR_Q_D_E_alphaCCC_V_WOB,0.5128914867622957,0.9999196878350448,0.9635644822541342,-0.5129096505371695,0.03164320924939189,0.4659874437137631,sub_26,214.22069464320458,214.2206946432049,5.80172906994305e-160,5.801729069941401e-160
-78.77225412472974,-11.0509119677184,-81.5851431189068,26.22609974296259,214.0631794330429,216.14653364059484,208.8853533200549,206.47848991557984,212.42125688456449,216.18815905196442,211.3191515323423,216.0608483628097,201.09823943498333,214.82086331614548,214.3724776116497,212.0074459732101,200.34765691334815,-78.7722541247297,-11.050911967718516,-81.58514311890653,26.226099742962877,214.063179433043,216.14653364059484,208.8853533200547,206.47848991557944,212.42125688456426,216.18815905196476,211.31915153234226,216.06084836280982,201.09823943498364,214.8208633161459,214.3724776116497,212.00744597321014,200.3476569133481,9.542719092657064e-08,4.6791210936355476e-08,1.1020633289906762e-09,0.06876909229847271,0.0,0.0,0.0,0.0,1.254342671789945e-279,5.693806227674679e-258,0.0,4.971227886177033e-259,4.199836215591837e-248,0.0,3.284522009062993e-278,3.0810335119441904e-258,9.404522822639525e-259,9.542719092657064e-08,4.6791210936338496e-08,1.1020633289905644e-09,0.06876909229846917,0.0,0.0,0.0,0.0,1.2543426717909431e-279,5.6938062276695e-258,0.0,4.971227886182687e-259,4.199836215590881e-248,0.0,3.2845220090607515e-278,3.081033511944891e-258,9.404522822641665e-259,0.13888547971534115,-4979.336177140804,9970.672354281607,9999.734853975644,2389.989902627256,SR_Q_D_E_alphaCCC_V_WOB,0.8352534637419108,0.0001,0.879184739270837,-0.4602015974356479,0.018258433971025726,0.3540446319573416,sub_28,,,,
-44.32339155053856,-11.693269306112938,3.766532091968033,-8.72972982883723,193.93116614495312,216.5417462398341,214.62268728799995,211.6436333110416,216.82982441456605,220.71347483832835,229.2970919037127,226.3942056915775,236.41354694395463,228.4141166983981,231.78138736979224,232.34758375535478,225.2836412808839,-44.3233915505387,-11.69326930611295,3.76653209196764,-8.729729828837701,193.9311661449528,216.54174623983462,214.62268728799958,211.64363331104178,216.829824414566,220.7134748383281,229.2970919037124,226.39420569157699,236.41354694395454,228.4141166983981,231.78138736979213,232.34758375535424,225.28364128088432,4.883304847839929e-05,0.001538438024660163,0.1960741925990836,0.22042119711321967,1.1516958100600265e-77,1.5601888757586615e-98,8.777054146929694e-91,1.3189167695329391e-130,2.7252141477131763e-88,1.0543654644892913e-102,2.8453576616238807e-129,5.27652605392893e-104,5.980129217675364e-107,1.3968529882148315e-108,1.6740300002216018e-164,2.2632807812603447e-182,1.0171497153197797e-151,4.883304847839663e-05,0.001538438024660147,0.19607419259913084,0.2204211971131942,1.1516958100603544e-77,1.5601888757577286e-98,8.777054146930442e-91,1.318916769532864e-130,2.7252141477137964e-88,1.0543654644894112e-102,2.8453576616243663e-129,5.276526053931482e-104,5.980129217675364e-107,1.3968529882154277e-108,1.6740300002216018e-164,2.2632807812608604e-182,1.0171497153196639e-151,0.09009609497193727,-5314.589184715745,10641.17836943149,10670.019345593844,7480.5650370355015,SR_Q_D_E_alphaCCC_V_WOB,0.09989778305606738,0.0006174096699778313,0.2636538634709844,-0.1285698803648445,0.20321717510766868,0.037152257865053336,sub_29,239.27561449866292,239.27561449866246,3.351785864854899e-179,3.3517858648552796e-179
