P_diff,congruency,hand,postError,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,congruency.1,hand.1,postError.1,nblock_1.1,nblock_2.1,nblock_3.1,nblock_4.1,nblock_5.1,nblock_6.1,nblock_7.1,nblock_8.1,nblock_9.1,nblock_10.1,nblock_11.1,nblock_12.1,nblock_13.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,NBLOCK_1,NBLOCK_2,NBLOCK_3,NBLOCK_4,NBLOCK_5,NBLOCK_6,NBLOCK_7,NBLOCK_8,NBLOCK_9,NBLOCK_10,NBLOCK_11,NBLOCK_12,NBLOCK_13,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,NBLOCK_1.1,NBLOCK_2.1,NBLOCK_3.1,NBLOCK_4.1,NBLOCK_5.1,NBLOCK_6.1,NBLOCK_7.1,NBLOCK_8.1,NBLOCK_9.1,NBLOCK_10.1,NBLOCK_11.1,NBLOCK_12.1,NBLOCK_13.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,alpha_v,subject,nblock_14,nblock_14.1,NBLOCK_14,NBLOCK_14.1
-51.91193460536909,-19.434974129575203,6.884644305764308,2.724145959869338,226.1239739232717,236.03546350046642,216.4161941604545,230.77243330262615,232.60115157339214,232.88774778049358,227.50600487210457,244.39643531927013,231.73091792084483,246.50693663498237,235.860308309838,243.12469304734714,226.00265506532142,-51.911934605369,-19.434974129575146,6.884644305764195,2.724145959869178,226.123973923272,236.035463500467,216.41619416045486,230.77243330262593,232.601151573392,232.8877477804935,227.5060048721046,244.39643531927013,231.7309179208447,246.50693663498214,235.86030830983796,243.12469304734697,226.0026550653214,2.840795521119234e-10,0.002086091281830475,0.1605100236050032,0.8092538043749781,5.9608034802882636e-102,4.9509262942297317e-138,2.970462879922044e-90,5.474587731822451e-149,4.3179617784763076e-58,1.8984109692802118e-68,6.43731447321536e-83,7.343113832426464e-65,1.3114096909240635e-55,1.4987242774644958e-106,6.523872206856632e-55,1.4166321330217283e-62,1.893531838406341e-53,2.840795521119369e-10,0.0020860912818305155,0.16051002360501013,0.8092538043749888,5.960803480288603e-102,4.950926294223252e-138,2.970462879921368e-90,5.474587731824632e-149,4.3179617784764314e-58,1.8984109692801043e-68,6.43731447321536e-83,7.343113832425416e-65,1.3114096909240635e-55,1.4987242774648804e-106,6.523872206856632e-55,1.4166321330219703e-62,1.8935318384065035e-53,0.08743251199301094,-5315.990919618905,10641.98183923781,10665.624982303232,19531.904964149137,SR_Q_D_alphaCCC_V_WOB,0.4256478189221618,0.17877112618327426,-0.5552364476128916,0.21890898712915893,0.9552691812222712,sub_19,,,,
-9.560654984146826,0.14697437249427026,12.295269921111116,-2.7742908167224357e-14,246.63000369600036,229.7061008470261,227.44339557579482,236.75465956422784,259.6534737747502,256.9149169137466,262.24560929566957,248.13308594461213,284.07796845306245,253.59174011155227,272.6081632017424,244.04410039558945,263.12545405268247,-9.560654984146721,0.14697437249431644,12.295269921111007,0.0,246.63000369600064,229.70610084702614,227.44339557579482,236.75465956422775,259.6534737747502,256.9149169137461,262.24560929566934,248.1330859446124,284.07796845306257,253.59174011155227,272.60816320174257,244.04410039558928,263.1254540526826,0.012573508187499652,0.969321645502668,6.034089968212023e-05,6.923489985622951e-16,7.250226373427653e-282,7.378177596600648e-214,1.3357715253500033e-254,4.927885860722714e-242,1.2451658366701508e-160,1.4858122465206695e-131,2.6549828617088416e-231,1.1983751385829625e-136,6.698666299854767e-180,3.9410218299623275e-204,5.952736682462839e-171,1.0777353090453441e-134,4.930864988440213e-168,0.012573508187500556,0.9693216455026584,6.034089968212992e-05,,7.250226373421056e-282,7.378177596596869e-214,1.3357715253495477e-254,4.927885860722714e-242,1.245165836670859e-160,1.4858122465216845e-131,2.654982861709748e-231,1.1983751385828947e-136,6.698666299853625e-180,3.9410218299627765e-204,5.952736682461145e-171,1.0777353090454666e-134,4.930864988439651e-168,0.12368638623414295,-5472.1027636333365,10954.205527266677,10978.338253384458,8368.199312444316,SR_Q_D_alphaCCC_V_WOB,0.984433538553252,0.0001,-0.04856673828422409,0.19426970726156936,1.0,sub_20,,,,
-41.67284273311685,-10.352808962643524,23.965557059791823,-5.957291540750442,174.74726773322567,198.5978124632281,186.0058801765821,196.19203064715288,219.81708794528004,206.36759360269298,197.799477231702,223.807101931592,207.58640986036386,216.4109385047229,224.6268082520656,232.62954162394414,240.81577911423864,-41.67284273311704,-10.35280896264327,23.96555705979217,-5.95729154075066,174.74726773322612,198.5978124632281,186.00588017658225,196.19203064715282,219.8170879452804,206.36759360269286,197.79947723170204,223.80710193159214,207.5864098603637,216.41093850472234,224.62680825206556,232.62954162394396,240.8157791142381,8.012379925480622e-12,0.08277663421020101,4.190514456982544e-07,0.7175979733047755,2.8226617698235437e-40,3.0382788125092525e-53,3.2744454547602076e-44,1.6356675327298043e-88,8.638110466358075e-60,2.2376627785031083e-59,2.7198858898020066e-72,2.6781287458982422e-67,1.8930514009076585e-48,2.910857045872244e-59,1.6162877236414181e-111,1.3739236299167754e-145,5.225319350787834e-122,8.012379925479055e-12,0.08277663421020827,4.1905144569808393e-07,0.7175979733047657,2.8226617698229793e-40,3.0382788125093823e-53,3.2744454547602076e-44,1.6356675327298043e-88,8.638110466356596e-60,2.237662778503109e-59,2.7198858898022394e-72,2.6781287458979358e-67,1.8930514009074424e-48,2.9108570458733233e-59,1.6162877236414181e-111,1.3739236299169321e-145,5.225319350789915e-122,0.15263354277473573,-5720.507085748668,11451.014171497336,11475.026145313956,19425.868834177258,SR_Q_D_alphaCCC_V_WOB,0.9875206780265569,0.0012787842594966072,-0.9980783117565306,0.7831171251269871,0.4737093934600417,sub_21,244.12205138031447,244.12205138031464,2.3465860544162633e-148,2.34658605441573e-148
-137.37758754229878,-15.942446319763892,10.258569274890107,-14.376331751895135,198.64947709702147,202.0921685154678,211.96396641799754,213.62153714121436,202.6682925905207,237.77766192554742,213.1826655334404,255.47259880642937,270.2258661703397,237.5683573164734,255.28401947676892,272.8477925326985,231.68779792634174,-137.3775875422987,-15.942446319763816,10.25856927489004,-14.376331751895792,198.64947709702048,202.09216851546785,211.96396641799785,213.62153714121456,202.6682925905206,237.77766192554768,213.1826655334401,255.4725988064296,270.2258661703397,237.5683573164734,255.28401947676946,272.84779253269835,231.68779792634217,2.3156273342786327e-18,0.014194533689539237,0.04400664877462423,0.4966023967845231,2.7862818731508084e-40,1.4570089138270572e-38,8.427557427460524e-45,2.5671403148996693e-57,9.214874585035827e-41,9.184072108673465e-50,4.7223798582369815e-64,3.632760474592675e-52,2.0442012250432767e-63,5.365842710621421e-49,3.2923118620258205e-105,2.7125134985837375e-96,8.492107932390022e-86,2.3156273342788496e-18,0.014194533689539688,0.04400664877462561,0.4966023967845029,2.7862818731523214e-40,1.4570089138270572e-38,8.427557427458721e-45,2.5671403148995595e-57,9.214874585036483e-41,9.184072108672808e-50,4.722379858237518e-64,3.632760474592261e-52,2.0442012250432767e-63,5.365842710622033e-49,3.292311862025352e-105,2.7125134985840473e-96,8.492107932388809e-86,0.16026314275725906,-5618.556480054632,11247.112960109263,11270.98407954105,22126.643401045087,SR_Q_D_alphaCCC_V_WOB,0.4394765748022626,0.7109221684828212,-0.18378158312028134,0.6229476031421965,0.1885467391885564,sub_22,215.85894785754815,215.85894785754837,1.8528506540750358e-65,1.8528506540748239e-65
-162.1918230437821,-14.414236168894158,-12.404440946495054,1.98832033074439,233.04239211029477,209.72015108351562,217.36247087619068,247.02935280929947,215.67514129621614,220.33647983752542,223.91431807886693,260.3459900118516,249.88955857454238,258.123929051112,248.0819525875676,259.62033127729444,272.9544056607148,-162.19182304378333,-14.414236168892876,-12.404440946495475,1.988320330747861,233.0423921102977,209.72015108351482,217.36247087618943,247.0293528093001,215.6751412962164,220.33647983752502,223.91431807886653,260.3459900118529,249.8895585745426,258.1239290511145,248.08195258756749,259.62033127729404,272.9544056607138,0.0005362813037654631,0.004004032720639608,0.0020226923372128397,0.9012192540246672,4.541452892027556e-22,2.795120950609907e-19,5.678352182721272e-20,1.7516800450973473e-25,1.1428996090343098e-16,1.4032170415408715e-17,2.484318431986742e-19,1.0245082090827743e-23,1.6487910195855264e-21,2.7130192193656326e-25,2.242001938679755e-21,5.152901354580587e-24,1.8617085274247455e-25,0.0005362813037653826,0.004004032720642772,0.002022692337212139,0.9012192540244957,4.541452892029253e-22,2.795120950609846e-19,5.678352182720373e-20,1.7516800450975358e-25,1.1428996090343342e-16,1.403217041540902e-17,2.484318431986653e-19,1.0245082090828113e-23,1.6487910195856216e-21,2.7130192193662942e-25,2.242001938679755e-21,5.152901354580476e-24,1.8617085274244523e-25,0.13058518783424433,-5751.796596512669,11513.593193025337,11537.747564198567,14545.104433471442,SR_Q_D_alphaCCC_V_WOB,0.07199403731884428,0.37954682170207255,-0.01791812686153726,0.1090641240224554,0.022264027793462038,sub_23,,,,
-91.4501377624172,-32.655628101963,26.58921332870135,44.90176847413767,218.5991186195224,209.1404157885902,200.06134245401987,189.24751112476258,201.3788283390736,203.7807670885614,192.48771098896995,195.68995506031726,210.12411903237918,211.3386367762185,210.68688221281369,214.96065716781087,202.08576718425869,-91.45013776241726,-32.65562810196277,26.589213328700843,44.90176847413719,218.59911861952233,209.14041578859073,200.06134245401938,189.24751112476247,201.37882833907366,203.7807670885615,192.4877109889704,195.68995506031712,210.12411903237918,211.33863677621872,210.6868822128135,214.96065716781052,202.0857671842589,2.0149077767672632e-21,1.2448365240294075e-13,9.429971988775129e-15,0.00038902487173854666,3.0446180651201063e-165,1.379585816971932e-128,5.73757734303226e-144,4.339357936347072e-122,2.827953767363913e-83,8.488047428727516e-80,1.7515451267969324e-113,1.9831053302586814e-72,1.1040247451271176e-87,4.432177809744115e-114,6.065600125371976e-90,3.667451726522576e-88,1.4349324687416452e-85,2.0149077767670165e-21,1.2448365240298445e-13,9.4299719887866e-15,0.00038902487173859946,3.044618065119587e-165,1.379585816971304e-128,5.737577343037159e-144,4.339357936347565e-122,2.827953767363672e-83,8.488047428726792e-80,1.7515451267967327e-113,1.983105330258286e-72,1.1040247451270232e-87,4.432177809742851e-114,6.065600125371976e-90,3.6674517265228897e-88,1.4349324687415632e-85,0.2563680434304506,-5567.023799365363,11144.047598730725,11168.180324848508,10281.448851146972,SR_Q_D_alphaCCC_V_WOB,0.2143565779842046,0.26132384102545075,-0.8029728823589262,0.9211088640145068,0.3689173049726071,sub_24,,,,
-20.685667004576462,-9.79119612392628,-11.718876378320605,-2.5016065064386765,243.8905349768744,225.032046000854,222.90250611909363,220.25477577336426,210.748452473182,203.5096495352524,208.0457322787272,221.86733707298146,208.87759860405532,227.80643116321102,224.99122577015567,229.842421992134,226.86104189062152,-20.685667004576345,-9.7911961239266,-11.718876378320694,-2.501606506439032,243.89053497687388,225.03204600085414,222.90250611909374,220.25477577336383,210.74845247318203,203.50964953525258,208.04573227872714,221.86733707298146,208.87759860405515,227.80643116321082,224.99122577015564,229.8424219921341,226.8610418906211,4.4100369731783573e-11,6.114277656452337e-05,1.8020631496629484e-09,0.8669871244400039,2.8609006236121755e-239,2.48350648812586e-236,8.997063297540847e-215,1.359975e-317,1.3211020559314583e-203,4.7840903392950745e-210,7.172809553063345e-264,2.692246348999388e-229,3.0470003057649046e-200,3.350428232640841e-238,0.0,0.0,0.0,4.41003697317951e-11,6.114277656449114e-05,1.802063149662475e-09,0.8669871244399852,2.860900623615429e-239,2.4835064881255774e-236,8.997063297545452e-215,1.359975e-317,1.3211020559313832e-203,4.7840903392945295e-210,7.172809553063345e-264,2.692246348999388e-229,3.047000305766291e-200,3.3504282326416026e-238,0.0,0.0,0.0,0.18345826628070028,-5189.733173799633,10389.466347599266,10413.722272236735,3448.467492187856,SR_Q_D_alphaCCC_V_WOB,0.9122797338009221,0.20890056377500846,-0.8510482118933962,0.11878256838083665,0.4527635327173847,sub_25,229.37100855683047,229.3710085568301,0.0,0.0
-47.854299048142956,-14.432856234309304,4.224365241625756,-8.203890750666371,202.52052203187233,201.54468878668763,202.85865374355816,206.10235597147914,203.42047785779664,222.31728993112057,204.41859208468856,211.88659933146664,219.25635940060863,205.68175294397489,210.69983008368027,220.8902327417144,219.3443124347223,-47.854299048143424,-14.43285623430942,4.224365241625868,-8.203890750666458,202.52052203187245,201.5446887866874,202.85865374355853,206.10235597147945,203.42047785779656,222.317289931121,204.41859208468875,211.8865993314664,219.25635940060832,205.68175294397514,210.6998300836803,220.89023274171402,219.34431243472233,2.5206569554107253e-10,0.0001336428702034052,0.15594377103832682,0.5285137808310718,1.0054060159699984e-111,9.968085915881734e-102,3.2828773399108324e-111,1.9699757300208498e-140,7.826406481499536e-112,9.095011827691035e-108,2.215485764834203e-151,2.241609487519808e-99,2.080091318907957e-106,3.549490706469005e-69,7.896651821820437e-181,1.3842173110116994e-154,5.409591382817965e-173,2.5206569554095786e-10,0.00013364287020338548,0.1559437710383158,0.5285137808310673,1.0054060159700272e-111,9.968085915881734e-102,3.2828773399098046e-111,1.9699757300198408e-140,7.826406481501319e-112,9.095011827691815e-108,2.2154857648336987e-151,2.241609487519808e-99,2.0800913189083123e-106,3.549490706468296e-69,7.896651821818642e-181,1.3842173110119358e-154,5.409591382817965e-173,0.0967848896680964,-4783.144906366223,9576.289812732446,9599.82412441546,7022.3539125987845,SR_Q_D_alphaCCC_V_WOB,0.5088474817104499,0.9999818562932016,-0.5088508349496785,0.03078265600088811,0.4742656457027866,sub_26,214.2637366854884,214.2637366854884,1.2707201937022964e-159,1.2707201937024412e-159
-56.54837915495897,-10.987249289928744,-58.989517249681604,26.30647588165162,213.98849218357884,215.9941220512547,208.75168852216095,206.28749454529998,212.322246340712,216.01531056437258,211.24061043551083,215.90684144642742,200.97507772911572,214.7006662070179,214.26576052460518,211.8436435800238,200.23430497418556,-56.548379154959186,-10.9872492899289,-58.989517249681924,26.30647588165171,213.9884921835789,215.994122051255,208.75168852216086,206.2874945452998,212.32224634071224,216.01531056437275,211.24061043551117,215.90684144642728,200.97507772911555,214.70066620701766,214.26576052460496,211.8436435800233,200.23430497418545,5.284068369281151e-08,5.4777679824479434e-08,6.342604171415682e-11,0.06775516450910425,0.0,0.0,0.0,0.0,1.3432841386447677e-279,9.8169364313185e-258,0.0,7.422711344260147e-259,5.289978963779574e-248,0.0,3.685620467358762e-278,5.071617667334531e-258,1.1306597839025103e-258,5.28406836928068e-08,5.4777679824458026e-08,6.342604171414735e-11,0.06775516450910359,0.0,0.0,0.0,0.0,1.3432841386436981e-279,9.8169364313185e-258,0.0,7.422711344266899e-259,5.28997896378138e-248,0.0,3.6856204673608575e-278,5.071617667338569e-258,1.1306597839027674e-258,0.13995600211526382,-4978.75276188299,9967.50552376598,9991.72427351101,2387.018709440006,SR_Q_D_alphaCCC_V_WOB,0.9040080168551629,0.0001,-0.2196176939457275,0.028503895903130124,0.3474560852309441,sub_28,,,,
-74.05542534408781,-11.5948704785077,3.0726188384553184,-8.999000932988878,180.0911282960288,202.16016038363117,200.15220044151195,198.26917448197304,201.5908465152848,205.74953880200096,215.46186587381303,211.83084994860596,222.13522715246293,214.6867380469773,216.90565543964004,217.07543507581082,210.9971402466829,-74.05542534408758,-11.594870478507671,3.072618838455023,-8.999000932988649,180.09112829602975,202.1601603836309,200.15220044151252,198.2691744819734,201.59084651528443,205.7495388020006,215.46186587381334,211.83084994860616,222.1352271524631,214.6867380469778,216.90565543964007,217.07543507580985,210.9971402466824,5.0048424450040916e-05,0.0016841301004282211,0.2910104429606404,0.20648397434689425,6.554950620600011e-48,7.46127285002692e-60,2.5617576209690738e-56,5.79801628755992e-74,8.994296537048658e-54,1.8403144525888146e-61,8.369065353905902e-77,4.2873322967969756e-64,1.1347734439064472e-67,3.713686802230183e-68,7.080048815050372e-92,2.9371785432343147e-94,5.001020615920217e-85,5.004842445004446e-05,0.001684130100428257,0.2910104429606874,0.2064839743469061,6.554950620598048e-48,7.461272850027346e-60,2.5617576209687813e-56,5.79801628755992e-74,8.994296537049685e-54,1.8403144525888146e-61,8.369065353905902e-77,4.287332296796608e-64,1.1347734439064472e-67,3.71368680223029e-68,7.080048815049772e-92,2.937178543232393e-94,5.001020615919789e-85,0.09004820199326269,-5314.612975202354,10639.225950404709,10663.260097206667,7480.9587758784655,SR_Q_D_alphaCCC_V_WOB,0.04787090788000931,0.0001,-0.14416576734475914,0.16135965720637913,0.03126342017009781,sub_29,224.3511898139513,224.3511898139525,7.512247785781138e-95,7.512247785784562e-95
