stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6
green,1,1,1,445,0,1,1,88,0,0,1,0,0,0,0,0
green,1,1,1,346.4,0,1,1,89,0,0,1,0,0,0,0,0
green,0,1,1,577.2,1,1,1,90,0,0,1,0,0,0,0,0
red,0,1,0,622.1,0,1,0,91,0,0,1,0,0,0,0,0
green,1,1,1,535.3,0,1,1,92,0,0,1,0,0,0,0,0
green,1,1,1,436.3,0,1,1,93,0,0,1,0,0,0,0,0
red,0,1,0,545.3,0,1,0,94,0,0,1,0,0,0,0,0
green,1,1,1,408.3,0,1,1,95,0,0,1,0,0,0,0,0
red,0,1,0,359.3,0,1,0,96,0,0,1,0,0,0,0,0
green,1,1,1,420.2,0,1,1,97,0,0,1,0,0,0,0,0
red,0,1,0,471.1,0,1,0,98,0,0,1,0,0,0,0,0
red,0,1,0,346.2,0,1,0,99,0,0,1,0,0,0,0,0
green,1,1,1,415.2,0,1,1,100,0,0,1,0,0,0,0,0
red,0,1,0,366.1,0,1,0,101,0,0,1,0,0,0,0,0
red,0,1,0,387.2,0,1,0,102,0,0,1,0,0,0,0,0
red,1,1,0,656.2,1,1,0,103,0,0,1,0,0,0,0,0
red,0,1,0,463.1,0,1,0,104,0,0,1,0,0,0,0,0
red,0,1,0,374.2,0,1,0,105,0,0,1,0,0,0,0,0
green,1,1,1,475.1,0,1,1,106,0,0,1,0,0,0,0,0
green,0,1,1,551.8,1,1,1,107,0,0,1,0,0,0,0,0
green,1,1,1,366.9,0,1,1,108,0,0,1,0,0,0,0,0
green,1,1,1,355.9,0,1,1,109,0,0,1,0,0,0,0,0
red,0,1,0,643.1,0,1,0,110,0,0,1,0,0,0,0,0
green,1,1,1,492,0,1,1,111,0,0,1,0,0,0,0,0
red,0,1,0,440.8,0,1,0,112,0,0,1,0,0,0,0,0
green,1,1,1,462,0,1,1,113,0,0,1,0,0,0,0,0
green,1,1,1,451.1,0,1,1,114,0,0,1,0,0,0,0,0
green,0,1,1,655.9,1,1,1,115,0,0,1,0,0,0,0,0
red,1,1,0,559,1,1,0,116,0,0,1,0,0,0,0,0
red,0,1,0,693.9,0,1,0,117,0,0,1,0,0,0,0,0
green,1,1,1,730.6,0,1,1,118,0,0,1,0,0,0,0,0
red,1,1,0,535.8,1,1,0,119,0,0,1,0,0,0,0,0
red,1,1,0,470.6,1,1,0,120,0,0,1,0,0,0,0,0
red,0,1,0,435.9,0,1,0,121,0,0,1,0,0,0,0,0
green,0,1,1,576.9,1,1,1,122,0,0,1,0,0,0,0,0
green,0,1,1,565.9,1,1,1,123,0,0,1,0,0,0,0,0
green,0,1,1,516.8,1,1,1,124,0,0,1,0,0,0,0,0
green,0,1,1,417.8,1,1,1,125,0,0,1,0,0,0,0,0
red,1,1,0,616.6,1,1,0,126,0,0,1,0,0,0,0,0
red,1,1,0,455.8,1,1,0,127,0,0,1,0,0,0,0,0
green,1,1,1,460.4,0,1,1,128,0,0,1,0,0,0,0,0
red,1,1,0,483.6,1,1,0,129,0,0,1,0,0,0,0,0
green,0,1,1,488.4,1,1,1,130,0,0,1,0,0,0,0,0
green,0,1,1,461.6,1,1,1,131,0,0,1,0,0,0,0,0
red,1,1,0,564.6,1,1,0,132,0,0,1,0,0,0,0,0
red,1,1,0,449.3,1,1,0,133,0,0,1,0,0,0,0,0
green,0,1,1,390.5,1,1,1,134,0,0,1,0,0,0,0,0
green,0,1,1,435.6,1,1,1,135,0,0,1,0,0,0,0,0
red,1,1,0,400.4,1,1,0,136,0,0,1,0,0,0,0,0
