trial_index, block, condition, full_condition_code, RT, response_type, response_key, error_outlier
235, 2, T_Sinc, T_Sinc_DGLG, 522.5, hit, 1, 0
236, 2, T_Sinc, T_Sinc_URRR, 422.0, hit, 2, 0
237, 2, T_Sinc, T_Sinc_DGLG, 513.4, hit, 1, 0
238, 2, T_Sinc, T_Sinc_DGLG, 684.8, hit, 1, 0
239, 2, T_Sinc, T_Sinc_DGLG, 372.3, hit, 1, 0
240, 2, T_Scon, T_Scon_UGLG, 387.8, hit, 1, 0
241, 2, T_Sinc, T_Sinc_URRR, 491.2, hit, 2, 0
242, 2, T_Sinc, T_Sinc_DGLG, 558.5, hit, 1, 0
243, 2, T_Sinc, T_Sinc_DGLG, 434.0, hit, 1, 0
244, 2, T_Sinc, T_Sinc_DGLG, 445.4, hit, 1, 0
245, 2, T_Sinc, T_Sinc_DGLG, 432.9, hit, 1, 0
246, 2, T_Scon, T_Scon_UGLG, 364.3, hit, 1, 0
247, 2, T_Scon, T_Scon_UGLG, 359.8, hit, 1, 0
248, 2, T_Sinc, T_Sinc_URRR, 627.2, hit, 2, 0
249, 2, T_Sinc, T_Sinc_DGLG, 514.7, hit, 1, 0
250, 2, T_Sinc, T_Sinc_DGLG, 514.1, hit, 1, 0
251, 2, T_Sinc, T_Sinc_URRR, 469.6, hit, 2, 0
252, 2, T_Sinc, T_Sinc_URRR, 665.0, hit, 2, 0
253, 2, T_Scon, T_Scon_DRRR, 452.2, hit, 2, 0
254, 2, T_Sinc, T_Sinc_URRR, 451.6, hit, 2, 0
255, 2, T_Sinc, T_Sinc_DGLG, 599.0, hit, 1, 0
256, 2, T_Sinc, T_Sinc_DGLG, 418.5, hit, 1, 0
257, 2, T_Sinc, T_Sinc_DGLG, 401.9, hit, 1, 0
258, 2, T_Sinc, T_Sinc_URRR, 429.4, hit, 2, 0
259, 2, T_Sinc, T_Sinc_URRR, 656.8, hit, 2, 0
260, 2, T_Sinc, T_Sinc_DGLG, 520.3, hit, 1, 0
261, 2, T_Sinc, T_Sinc_URRR, 731.6, incorrect, 1, 1
262, 2, T_Sinc, T_Sinc_URRR, 503.0, hit, 2, 0
263, 2, T_Scon, T_Scon_UGLG, 482.5, hit, 1, 0
264, 2, T_Scon, T_Scon_UGLG, 433.9, hit, 1, 0
265, 2, T_Scon, T_Scon_DRRR, 505.4, hit, 2, 0
266, 2, T_Scon, T_Scon_UGLG, 524.8, hit, 1, 0
267, 2, T_Scon, T_Scon_UGLG, 1364.3, hit, 1, 2
268, 2, T_Sinc, T_Sinc_URRR, 679.7, hit, 2, 0
269, 2, T_Scon, T_Scon_UGLG, 795.2, hit, 1, 0
270, 2, T_Sinc, T_Sinc_DGLG, 518.5, hit, 1, 0
271, 2, T_Sinc, T_Sinc_URRR, 530.0, hit, 2, 0
272, 2, T_Sinc, T_Sinc_URRR, 369.4, hit, 2, 0
273, 2, T_Scon, T_Scon_DRRR, 328.9, hit, 2, 0
274, 2, T_Scon, T_Scon_DRRR, 332.3, hit, 2, 0
275, 2, T_Scon, T_Scon_UGLG, 463.8, hit, 1, 0
276, 2, T_Sinc, T_Sinc_DGLG, 743.2, hit, 1, 0
277, 2, T_Scon, T_Scon_UGLG, 662.7, hit, 1, 0
278, 2, T_Scon, T_Scon_UGLG, 454.1, hit, 1, 0
279, 2, T_Sinc, T_Sinc_DGLG, 629.5, hit, 1, 0
280, 2, T_Sinc, T_Sinc_URRR, 704.9, hit, 2, 0
281, 2, T_Sinc, T_Sinc_DGLG, 484.4, hit, 1, 0
282, 2, T_Sinc, T_Sinc_URRR, 487.8, hit, 2, 0
283, 2, T_Sinc, T_Sinc_URRR, 507.3, hit, 2, 0
284, 2, T_Scon, T_Scon_DRRR, 590.7, hit, 2, 0
285, 2, T_Sinc, T_Sinc_URRR, 442.2, hit, 2, 0
286, 2, T_Sinc, T_Sinc_DGLG, 549.6, hit, 1, 0
287, 2, T_Scon, T_Scon_UGLG, 637.1, hit, 1, 0
288, 2, T_Sinc, T_Sinc_DGLG, 640.5, hit, 1, 0
289, 3, T_Sinc, T_Sinc_DGLG, 422.1, hit, 1, 0
290, 3, T_Sinc, T_Sinc_DGLG, 393.5, hit, 1, 0
291, 3, T_Sinc, T_Sinc_DGLG, 357.0, hit, 1, 0
292, 3, T_Sinc, T_Sinc_URRR, 384.5, hit, 2, 0
293, 3, T_Sinc, T_Sinc_DGLG, 299.9, hit, 1, 0
294, 3, T_Sinc, T_Sinc_DGLG, 471.3, hit, 1, 0
295, 3, T_Scon, T_Scon_UGLG, 466.8, hit, 1, 0
296, 3, T_Sinc, T_Sinc_URRR, 386.2, hit, 2, 0
297, 3, T_Sinc, T_Sinc_URRR, 437.7, hit, 2, 0
298, 3, T_Scon, T_Scon_DRRR, 449.1, hit, 2, 0
299, 3, T_Sinc, T_Sinc_URRR, 528.6, hit, 2, 0
300, 3, T_Sinc, T_Sinc_URRR, 499.9, hit, 2, 0
301, 3, T_Sinc, T_Sinc_URRR, 447.4, hit, 2, 0
302, 3, T_Scon, T_Scon_UGLG, 462.8, hit, 1, 0
303, 3, T_Sinc, T_Sinc_URRR, 370.3, hit, 2, 0
304, 3, T_Sinc, T_Sinc_URRR, 617.7, hit, 2, 0
305, 3, T_Sinc, T_Sinc_DGLG, 453.1, hit, 1, 0
306, 3, T_Sinc, T_Sinc_URRR, 424.6, hit, 2, 0
307, 3, T_Sinc, T_Sinc_DGLG, 408.1, hit, 1, 0
308, 3, T_Scon, T_Scon_DRRR, 843.5, hit, 2, 0
309, 3, T_Sinc, T_Sinc_DGLG, 478.9, hit, 1, 0
310, 3, T_Sinc, T_Sinc_URRR, 450.3, hit, 2, 0
311, 3, T_Sinc, T_Sinc_URRR, 813.7, hit, 2, 0
312, 3, T_Sinc, T_Sinc_URRR, 509.2, hit, 2, 0
313, 3, T_Sinc, T_Sinc_DGLG, 376.6, hit, 1, 0
314, 3, T_Scon, T_Scon_UGLG, 416.1, hit, 1, 0
315, 3, T_Sinc, T_Sinc_URRR, 487.5, hit, 2, 0
316, 3, T_Scon, T_Scon_UGLG, 571.0, hit, 1, 0
317, 3, T_Sinc, T_Sinc_URRR, 658.4, hit, 2, 0
318, 3, T_Sinc, T_Sinc_URRR, 433.7, hit, 2, 0
319, 3, T_Sinc, T_Sinc_DGLG, 417.2, hit, 1, 0
320, 3, T_Sinc, T_Sinc_URRR, 484.7, hit, 2, 0
321, 3, T_Sinc, T_Sinc_DGLG, 480.1, hit, 1, 0
322, 3, T_Scon, T_Scon_UGLG, 719.6, hit, 1, 0
323, 3, T_Sinc, T_Sinc_DGLG, 627.0, hit, 1, 0
324, 3, T_Sinc, T_Sinc_URRR, 446.5, hit, 2, 0
325, 3, T_Sinc, T_Sinc_DGLG, 453.6, hit, 1, 0
326, 3, T_Sinc, T_Sinc_URRR, 425.0, hit, 2, 0
327, 3, T_Sinc, T_Sinc_DGLG, 336.5, hit, 1, 0
328, 3, T_Sinc, T_Sinc_URRR, 515.9, incorrect, 1, 1
329, 3, T_Sinc, T_Sinc_URRR, 479.4, hit, 2, 0
330, 3, T_Sinc, T_Sinc_DGLG, 342.8, hit, 1, 0
331, 3, T_Scon, T_Scon_DRRR, 570.3, hit, 2, 0
332, 3, T_Sinc, T_Sinc_DGLG, 621.6, hit, 1, 0
333, 3, T_Sinc, T_Sinc_DGLG, 529.1, hit, 1, 0
334, 3, T_Scon, T_Scon_DRRR, 688.5, hit, 2, 0
335, 3, T_Scon, T_Scon_DRRR, 528.0, hit, 2, 0
336, 3, T_Sinc, T_Sinc_DGLG, 515.4, hit, 1, 0
337, 3, T_Sinc, T_Sinc_DGLG, 782.9, hit, 1, 0
338, 3, T_Scon, T_Scon_UGLG, 538.3, hit, 1, 0
339, 3, T_Sinc, T_Sinc_DGLG, 517.7, hit, 1, 0
340, 3, T_Sinc, T_Sinc_DGLG, 573.2, hit, 1, 0
341, 3, T_Sinc, T_Sinc_URRR, 456.6, hit, 2, 0
342, 3, T_Sinc, T_Sinc_URRR, 564.1, hit, 2, 0
343, 3, T_Scon, T_Scon_UGLG, 611.5, hit, 1, 0
344, 3, T_Sinc, T_Sinc_DGLG, 715.0, hit, 1, 0
345, 3, T_Scon, T_Scon_DRRR, 1150.4, hit, 2, 2
346, 3, T_Sinc, T_Sinc_DGLG, 713.9, hit, 1, 0
347, 3, T_Sinc, T_Sinc_DGLG, 1373.3, hit, 1, 2
348, 3, T_Scon, T_Scon_DRRR, 824.7, hit, 2, 0
349, 3, T_Scon, T_Scon_UGLG, 532.2, hit, 1, 0
350, 3, T_Sinc, T_Sinc_URRR, 631.5, hit, 2, 0
351, 3, T_Sinc, T_Sinc_DGLG, 463.0, hit, 1, 0
352, 3, T_Scon, T_Scon_UGLG, 618.4, hit, 1, 0
353, 3, T_Sinc, T_Sinc_DGLG, 485.9, hit, 1, 0
354, 3, T_Sinc, T_Sinc_DGLG, 441.3, hit, 1, 0
355, 3, T_Sinc, T_Sinc_DGLG, 412.8, hit, 1, 0
356, 3, T_Sinc, T_Sinc_URRR, 548.1, hit, 2, 0
357, 3, T_Sinc, T_Sinc_DGLG, 331.6, hit, 1, 0
358, 3, T_Sinc, T_Sinc_DGLG, 623.0, hit, 1, 0
359, 3, T_Sinc, T_Sinc_URRR, 750.5, hit, 2, 0
360, 3, T_Sinc, T_Sinc_URRR, 669.9, hit, 2, 0
361, 3, T_Sinc, T_Sinc_URRR, 437.1, hit, 2, 0
362, 3, T_Scon, T_Scon_UGLG, 384.5, hit, 1, 0
363, 3, T_Scon, T_Scon_DRRR, 555.9, hit, 2, 0
364, 3, T_Sinc, T_Sinc_DGLG, 487.4, hit, 1, 0
365, 3, T_Sinc, T_Sinc_URRR, 474.8, hit, 2, 0
366, 3, T_Sinc, T_Sinc_URRR, 458.3, hit, 2, 0
367, 3, T_Sinc, T_Sinc_URRR, 369.7, hit, 2, 0
368, 3, T_Sinc, T_Sinc_URRR, 493.2, hit, 2, 0
369, 3, T_Scon, T_Scon_UGLG, 504.6, hit, 1, 0
370, 3, T_Sinc, T_Sinc_URRR, 436.1, hit, 2, 0
371, 3, T_Sinc, T_Sinc_URRR, 507.5, hit, 2, 0
