trial_index, block, condition, full_condition_code, RT, response_type, response_key, error_outlier
1, 1, T_Sinc, T_Sinc_DGLG, 806.7, hit, 1, 2
2, 1, T_Scon, T_Scon_UGLG, 606.1, hit, 1, 0
3, 1, T_Scon, T_Scon_DRRR, 433.5, hit, 2, 0
4, 1, T_Scon, T_Scon_UGLG, 405.0, hit, 1, 0
5, 1, T_Scon, T_Scon_UGLG, 372.4, hit, 1, 0
6, 1, T_Sinc, T_Sinc_URRR, 519.9, hit, 2, 0
7, 1, T_Scon, T_Scon_DRRR, 855.3, hit, 2, 2
8, 1, T_Scon, T_Scon_DRRR, 446.8, hit, 2, 0
9, 1, T_Sinc, T_Sinc_URRR, 446.2, hit, 2, 0
10, 1, T_Sinc, T_Sinc_DGLG, 965.7, hit, 1, 2
11, 1, T_Scon, T_Scon_UGLG, 513.1, hit, 1, 0
12, 1, T_Sinc, T_Sinc_URRR, 540.5, hit, 2, 0
13, 1, T_Scon, T_Scon_DRRR, 648.0, hit, 2, 0
14, 1, T_Sinc, T_Sinc_DGLG, 371.4, hit, 1, 0
15, 1, T_Scon, T_Scon_DRRR, 434.9, hit, 2, 0
16, 1, T_Scon, T_Scon_UGLG, 630.2, hit, 1, 0
17, 1, T_Scon, T_Scon_UGLG, 365.7, hit, 1, 0
18, 1, T_Scon, T_Scon_UGLG, 697.1, hit, 1, 2
19, 1, T_Sinc, T_Sinc_DGLG, 432.6, hit, 1, 0
20, 1, T_Scon, T_Scon_UGLG, 400.0, hit, 1, 0
21, 1, T_Scon, T_Scon_UGLG, 299.5, hit, 1, 0
22, 1, T_Scon, T_Scon_DRRR, 398.9, hit, 2, 0
23, 1, T_Scon, T_Scon_DRRR, 442.4, hit, 2, 0
24, 1, T_Sinc, T_Sinc_DGLG, 421.8, incorrect, 2, 1
25, 1, T_Scon, T_Scon_DRRR, 1249.2, incorrect, 1, 1
26, 1, T_Sinc, T_Sinc_DGLG, 824.6, hit, 1, 2
27, 1, T_Scon, T_Scon_DRRR, 672.1, hit, 2, 0
28, 1, T_Scon, T_Scon_UGLG, 611.5, hit, 1, 0
29, 1, T_Scon, T_Scon_DRRR, 726.9, hit, 2, 2
30, 1, T_Scon, T_Scon_DRRR, 786.4, hit, 2, 2
31, 1, T_Scon, T_Scon_DRRR, 381.8, hit, 2, 0
32, 1, T_Scon, T_Scon_UGLG, 373.3, hit, 1, 0
33, 1, T_Scon, T_Scon_DRRR, 488.7, hit, 2, 0
34, 1, T_Sinc, T_Sinc_DGLG, 548.2, hit, 1, 0
35, 1, T_Scon, T_Scon_UGLG, 459.5, hit, 1, 0
36, 1, T_Scon, T_Scon_UGLG, 463.0, hit, 1, 0
37, 1, T_Scon, T_Scon_DRRR, 990.2, hit, 2, 2
38, 1, T_Scon, T_Scon_DRRR, 421.6, hit, 2, 0
39, 1, T_Scon, T_Scon_UGLG, 409.1, hit, 1, 0
40, 1, T_Scon, T_Scon_UGLG, 360.5, hit, 1, 0
41, 1, T_Scon, T_Scon_UGLG, 323.9, hit, 1, 0
42, 1, T_Sinc, T_Sinc_DGLG, 663.3, hit, 1, 0
43, 1, T_Scon, T_Scon_DRRR, 554.8, hit, 2, 0
44, 1, T_Sinc, T_Sinc_URRR, 394.2, hit, 2, 0
45, 1, T_Scon, T_Scon_UGLG, 401.7, hit, 1, 0
46, 1, T_Sinc, T_Sinc_URRR, 537.1, hit, 2, 0
47, 1, T_Sinc, T_Sinc_URRR, 852.6, hit, 2, 2
48, 1, T_Scon, T_Scon_UGLG, 468.1, hit, 1, 0
49, 1, T_Scon, T_Scon_UGLG, 479.5, hit, 1, 0
50, 1, T_Sinc, T_Sinc_URRR, 602.8, hit, 2, 0
51, 1, T_Scon, T_Scon_DRRR, 566.3, hit, 2, 0
52, 1, T_Scon, T_Scon_DRRR, 433.7, hit, 2, 0
53, 1, T_Scon, T_Scon_DRRR, 341.2, hit, 2, 0
54, 1, T_Scon, T_Scon_UGLG, 344.6, hit, 1, 0
55, 1, T_Scon, T_Scon_DRRR, 716.1, hit, 2, 2
56, 1, T_Scon, T_Scon_DRRR, 439.5, hit, 2, 0
57, 1, T_Sinc, T_Sinc_URRR, 367.0, hit, 2, 0
58, 1, T_Sinc, T_Sinc_DGLG, 458.3, hit, 1, 0
59, 1, T_Sinc, T_Sinc_URRR, 429.7, hit, 2, 0
60, 1, T_Sinc, T_Sinc_DGLG, 425.2, hit, 1, 0
61, 1, T_Scon, T_Scon_DRRR, 564.6, hit, 2, 0
62, 1, T_Scon, T_Scon_UGLG, 340.1, hit, 1, 0
63, 1, T_Scon, T_Scon_DRRR, 387.5, hit, 2, 0
64, 1, T_Scon, T_Scon_DRRR, 759.0, hit, 2, 2
65, 1, T_Scon, T_Scon_UGLG, 506.4, hit, 1, 0
66, 1, T_Scon, T_Scon_DRRR, 473.9, hit, 2, 0
67, 1, T_Scon, T_Scon_UGLG, 605.2, hit, 1, 0
68, 1, T_Sinc, T_Sinc_URRR, 464.7, hit, 2, 0
69, 1, T_Sinc, T_Sinc_DGLG, 732.1, hit, 1, 0
70, 1, T_Scon, T_Scon_UGLG, 479.6, hit, 1, 0
71, 1, T_Scon, T_Scon_UGLG, 351.0, hit, 1, 0
72, 1, T_Sinc, T_Sinc_URRR, 410.5, hit, 2, 0
73, 1, T_Scon, T_Scon_DRRR, 705.6, hit, 2, 2
74, 1, T_Scon, T_Scon_DRRR, 421.0, hit, 2, 0
75, 1, T_Sinc, T_Sinc_DGLG, 328.5, hit, 1, 0
76, 1, T_Scon, T_Scon_UGLG, 427.9, hit, 1, 0
77, 1, T_Scon, T_Scon_DRRR, 607.4, hit, 2, 0
78, 1, T_Scon, T_Scon_DRRR, 322.8, hit, 2, 0
79, 1, T_Scon, T_Scon_DRRR, 374.3, hit, 2, 0
80, 1, T_Scon, T_Scon_UGLG, 373.7, hit, 1, 0
81, 1, T_Sinc, T_Sinc_URRR, 593.1, hit, 2, 0
82, 1, T_Scon, T_Scon_UGLG, 496.6, hit, 1, 0
83, 1, T_Scon, T_Scon_DRRR, 480.0, hit, 2, 0
84, 1, T_Scon, T_Scon_DRRR, 435.4, hit, 2, 0
85, 1, T_Scon, T_Scon_DRRR, 374.9, hit, 2, 0
86, 1, T_Scon, T_Scon_UGLG, 358.3, hit, 1, 0
87, 1, T_Scon, T_Scon_DRRR, 389.8, hit, 2, 0
88, 1, T_Scon, T_Scon_DRRR, 393.2, hit, 2, 0
89, 1, T_Scon, T_Scon_DRRR, 324.6, hit, 2, 0
90, 1, T_Scon, T_Scon_UGLG, 376.0, hit, 1, 0
91, 1, T_Scon, T_Scon_DRRR, 443.5, hit, 2, 0
92, 1, T_Scon, T_Scon_UGLG, 326.9, hit, 1, 0
93, 1, T_Scon, T_Scon_DRRR, 306.4, hit, 2, 0
94, 1, T_Sinc, T_Sinc_DGLG, 517.8, hit, 1, 0
95, 1, T_Scon, T_Scon_DRRR, 389.3, hit, 2, 0
96, 1, T_Scon, T_Scon_UGLG, 364.7, hit, 1, 0
97, 1, T_Scon, T_Scon_UGLG, 416.1, hit, 1, 0
98, 1, T_Scon, T_Scon_UGLG, 307.6, hit, 1, 0
99, 1, T_Scon, T_Scon_UGLG, 283.0, hit, 1, 0
100, 1, T_Scon, T_Scon_UGLG, 262.5, hit, 1, 0
101, 1, T_Scon, T_Scon_DRRR, 333.8, hit, 2, 0
102, 1, T_Scon, T_Scon_DRRR, 301.3, hit, 2, 0
103, 1, T_Scon, T_Scon_UGLG, 324.7, hit, 1, 0
104, 1, T_Scon, T_Scon_DRRR, 404.2, hit, 2, 0
105, 1, T_Scon, T_Scon_UGLG, 491.6, incorrect, 2, 1
106, 1, T_Scon, T_Scon_DRRR, 615.1, hit, 2, 0
107, 1, T_Scon, T_Scon_DRRR, 362.5, hit, 2, 0
108, 1, T_Scon, T_Scon_UGLG, 330.0, hit, 1, 0
109, 1, T_Sinc, T_Sinc_DGLG, 517.1, hit, 1, 0
110, 1, T_Scon, T_Scon_UGLG, 384.5, hit, 1, 0
111, 1, T_Scon, T_Scon_DRRR, 372.0, hit, 2, 0
112, 1, T_Scon, T_Scon_DRRR, 403.5, hit, 2, 0
113, 1, T_Sinc, T_Sinc_URRR, 410.9, hit, 2, 0
114, 1, T_Scon, T_Scon_UGLG, 350.3, hit, 1, 0
115, 1, T_Sinc, T_Sinc_DGLG, 457.8, hit, 1, 0
116, 1, T_Scon, T_Scon_UGLG, 333.2, hit, 1, 0
117, 1, T_Scon, T_Scon_DRRR, 428.6, hit, 2, 0
118, 1, T_Scon, T_Scon_DRRR, 496.0, hit, 2, 0
119, 1, T_Scon, T_Scon_UGLG, 351.5, hit, 1, 0
120, 1, T_Sinc, T_Sinc_URRR, 1162.9, hit, 2, 2
121, 1, T_Sinc, T_Sinc_URRR, 318.4, hit, 2, 0
122, 1, T_Scon, T_Scon_UGLG, 489.8, hit, 1, 0
123, 1, T_Scon, T_Scon_UGLG, 509.2, hit, 1, 0
124, 1, T_Scon, T_Scon_UGLG, 412.7, hit, 1, 0
125, 1, T_Sinc, T_Sinc_DGLG, 448.1, hit, 1, 0
126, 1, T_Scon, T_Scon_DRRR, 459.6, hit, 2, 0
127, 1, T_Scon, T_Scon_UGLG, 551.0, hit, 1, 0
128, 1, T_Sinc, T_Sinc_URRR, 406.4, hit, 2, 0
129, 1, T_Scon, T_Scon_DRRR, 433.8, hit, 2, 0
130, 1, T_Scon, T_Scon_UGLG, 421.3, hit, 1, 0
131, 1, T_Scon, T_Scon_UGLG, 440.7, hit, 1, 0
132, 1, T_Scon, T_Scon_UGLG, 380.2, hit, 1, 0
133, 1, T_Sinc, T_Sinc_DGLG, 435.6, hit, 1, 0
134, 1, T_Sinc, T_Sinc_DGLG, 371.1, hit, 1, 0
135, 1, T_Sinc, T_Sinc_URRR, 478.5, hit, 2, 0
136, 1, T_Scon, T_Scon_DRRR, 721.9, hit, 2, 2
137, 1, T_Scon, T_Scon_DRRR, 357.4, hit, 2, 0
138, 1, T_Scon, T_Scon_DRRR, 312.9, hit, 2, 0
139, 1, T_Sinc, T_Sinc_URRR, 364.3, hit, 2, 0
140, 1, T_Scon, T_Scon_UGLG, 407.7, hit, 1, 0
141, 1, T_Scon, T_Scon_UGLG, 347.1, hit, 1, 0
142, 1, T_Scon, T_Scon_DRRR, 374.5, hit, 2, 0
143, 1, T_Scon, T_Scon_UGLG, 274.0, hit, 1, 0
144, 1, T_Scon, T_Scon_UGLG, 373.4, hit, 1, 0
145, 2, T_Sinc, T_Sinc_DGLG, 525.4, hit, 1, 0
146, 2, T_Scon, T_Scon_UGLG, 456.8, hit, 1, 0
147, 2, T_Sinc, T_Sinc_URRR, 500.3, hit, 2, 0
148, 2, T_Sinc, T_Sinc_URRR, 431.7, hit, 2, 0
149, 2, T_Scon, T_Scon_DRRR, 355.2, hit, 2, 0
150, 2, T_Scon, T_Scon_UGLG, 374.5, hit, 1, 0
151, 2, T_Scon, T_Scon_DRRR, 701.9, hit, 2, 2
152, 2, T_Sinc, T_Sinc_DGLG, 513.4, hit, 1, 0
153, 2, T_Sinc, T_Sinc_DGLG, 296.9, hit, 1, 0
154, 2, T_Scon, T_Scon_UGLG, 300.3, hit, 1, 0
155, 2, T_Scon, T_Scon_DRRR, 415.7, hit, 2, 0
156, 2, T_Scon, T_Scon_DRRR, 727.2, hit, 2, 2
157, 2, T_Scon, T_Scon_UGLG, 450.6, hit, 1, 0
158, 2, T_Sinc, T_Sinc_URRR, 382.1, hit, 2, 0
159, 2, T_Scon, T_Scon_UGLG, 385.5, hit, 1, 0
160, 2, T_Scon, T_Scon_DRRR, 533.0, hit, 2, 0
161, 2, T_Scon, T_Scon_UGLG, 368.3, hit, 1, 0
162, 2, T_Scon, T_Scon_UGLG, 315.8, hit, 1, 0
163, 2, T_Sinc, T_Sinc_DGLG, 315.2, hit, 1, 0
164, 2, T_Scon, T_Scon_DRRR, 366.7, hit, 2, 0
165, 2, T_Scon, T_Scon_DRRR, 410.1, hit, 2, 0
166, 2, T_Scon, T_Scon_DRRR, 313.6, hit, 2, 0
167, 2, T_Scon, T_Scon_UGLG, 317.0, hit, 1, 0
168, 2, T_Scon, T_Scon_UGLG, 296.5, hit, 1, 0
169, 2, T_Scon, T_Scon_UGLG, 291.9, hit, 1, 0
170, 2, T_Scon, T_Scon_DRRR, 399.4, hit, 2, 0
171, 2, T_Scon, T_Scon_UGLG, 458.8, hit, 1, 0
172, 2, T_Scon, T_Scon_DRRR, 294.2, hit, 2, 0
173, 2, T_Scon, T_Scon_UGLG, 337.7, hit, 1, 0
174, 2, T_Sinc, T_Sinc_URRR, 337.1, incorrect, 1, 1
175, 2, T_Scon, T_Scon_DRRR, 476.5, hit, 2, 0
176, 2, T_Sinc, T_Sinc_DGLG, 467.9, hit, 1, 0
177, 2, T_Sinc, T_Sinc_URRR, 339.4, hit, 2, 0
178, 2, T_Sinc, T_Sinc_DGLG, 322.8, hit, 1, 0
179, 2, T_Scon, T_Scon_UGLG, 402.3, hit, 1, 0
180, 2, T_Sinc, T_Sinc_URRR, 377.7, hit, 2, 0
181, 2, T_Sinc, T_Sinc_DGLG, 468.9, hit, 1, 0
182, 2, T_Scon, T_Scon_UGLG, 332.3, hit, 1, 0
183, 2, T_Scon, T_Scon_DRRR, 403.8, hit, 2, 0
184, 2, T_Scon, T_Scon_DRRR, 371.2, hit, 2, 0
185, 2, T_Scon, T_Scon_UGLG, 326.6, hit, 1, 0
186, 2, T_Scon, T_Scon_UGLG, 314.0, hit, 1, 0
187, 2, T_Scon, T_Scon_UGLG, 297.5, hit, 1, 0
188, 2, T_Scon, T_Scon_DRRR, 341.0, hit, 2, 0
189, 2, T_Scon, T_Scon_DRRR, 496.3, hit, 2, 0
190, 2, T_Scon, T_Scon_UGLG, 315.8, hit, 1, 0
191, 2, T_Scon, T_Scon_UGLG, 315.2, hit, 1, 0
192, 2, T_Scon, T_Scon_DRRR, 394.6, hit, 2, 0
193, 2, T_Scon, T_Scon_UGLG, 298.1, hit, 1, 0
194, 2, T_Scon, T_Scon_DRRR, 481.5, hit, 2, 0
195, 2, T_Sinc, T_Sinc_URRR, 545.0, hit, 2, 0
196, 2, T_Sinc, T_Sinc_URRR, 512.4, hit, 2, 0
197, 2, T_Scon, T_Scon_DRRR, 531.9, hit, 2, 0
198, 2, T_Scon, T_Scon_UGLG, 335.4, hit, 1, 0
199, 2, T_Scon, T_Scon_UGLG, 326.8, hit, 1, 0
200, 2, T_Sinc, T_Sinc_DGLG, 346.2, hit, 1, 0
201, 2, T_Sinc, T_Sinc_DGLG, 325.6, hit, 1, 0
202, 2, T_Sinc, T_Sinc_URRR, 301.0, hit, 2, 0
203, 2, T_Scon, T_Scon_DRRR, 364.5, hit, 2, 0
204, 2, T_Scon, T_Scon_DRRR, 303.9, hit, 2, 0
205, 2, T_Scon, T_Scon_UGLG, 355.4, hit, 1, 0
206, 2, T_Scon, T_Scon_DRRR, 502.8, hit, 2, 0
207, 2, T_Scon, T_Scon_DRRR, 478.3, hit, 2, 0
208, 2, T_Scon, T_Scon_DRRR, 325.7, hit, 2, 0
209, 2, T_Scon, T_Scon_UGLG, 341.2, hit, 1, 0
210, 2, T_Scon, T_Scon_UGLG, 264.6, hit, 1, 0
211, 2, T_Sinc, T_Sinc_URRR, 404.0, hit, 2, 0
212, 2, T_Sinc, T_Sinc_URRR, 487.4, hit, 2, 0
213, 2, T_Sinc, T_Sinc_URRR, 466.9, hit, 2, 0
214, 2, T_Scon, T_Scon_UGLG, 438.3, hit, 1, 0
215, 2, T_Scon, T_Scon_UGLG, 305.8, hit, 1, 0
216, 2, T_Scon, T_Scon_UGLG, 281.2, hit, 1, 0
217, 2, T_Scon, T_Scon_DRRR, 448.4, hit, 2, 0
218, 2, T_Sinc, T_Sinc_DGLG, 427.8, hit, 1, 0
219, 2, T_Scon, T_Scon_UGLG, 491.2, hit, 1, 0
220, 2, T_Scon, T_Scon_DRRR, 370.7, hit, 2, 0
221, 2, T_Scon, T_Scon_UGLG, 314.1, hit, 1, 0
222, 2, T_Sinc, T_Sinc_DGLG, 425.6, hit, 1, 0
223, 2, T_Scon, T_Scon_UGLG, 337.0, hit, 1, 0
224, 2, T_Scon, T_Scon_DRRR, 376.4, hit, 2, 0
225, 2, T_Scon, T_Scon_DRRR, 539.8, hit, 2, 0
226, 2, T_Scon, T_Scon_DRRR, 343.3, hit, 2, 0
227, 2, T_Scon, T_Scon_DRRR, 298.7, hit, 2, 0
228, 2, T_Scon, T_Scon_DRRR, 334.2, hit, 2, 0
229, 2, T_Sinc, T_Sinc_URRR, 373.6, hit, 2, 0
230, 2, T_Scon, T_Scon_UGLG, 425.0, hit, 1, 0
231, 2, T_Scon, T_Scon_DRRR, 412.5, hit, 2, 0
232, 2, T_Scon, T_Scon_UGLG, 271.9, hit, 1, 0
233, 2, T_Scon, T_Scon_DRRR, 515.4, hit, 2, 0
234, 2, T_Scon, T_Scon_UGLG, 426.8, hit, 1, 0
235, 2, T_Scon, T_Scon_UGLG, 282.3, hit, 1, 0
236, 2, T_Scon, T_Scon_DRRR, 333.6, hit, 2, 0
237, 2, T_Scon, T_Scon_DRRR, 273.1, hit, 2, 0
238, 2, T_Sinc, T_Sinc_DGLG, 508.5, hit, 1, 0
239, 2, T_Scon, T_Scon_DRRR, 432.0, hit, 2, 0
240, 2, T_Scon, T_Scon_UGLG, 431.4, hit, 1, 0
241, 2, T_Scon, T_Scon_UGLG, 306.9, hit, 1, 0
242, 2, T_Sinc, T_Sinc_URRR, 390.3, hit, 2, 0
243, 2, T_Scon, T_Scon_DRRR, 457.8, hit, 2, 0
244, 2, T_Scon, T_Scon_UGLG, 381.2, hit, 1, 0
245, 2, T_Scon, T_Scon_UGLG, 344.6, hit, 1, 0
246, 2, T_Sinc, T_Sinc_URRR, 388.1, hit, 2, 0
247, 2, T_Scon, T_Scon_DRRR, 431.4, incorrect, 1, 1
248, 2, T_Scon, T_Scon_DRRR, 450.9, hit, 2, 0
249, 2, T_Sinc, T_Sinc_DGLG, 478.3, hit, 1, 0
250, 2, T_Scon, T_Scon_UGLG, 329.8, hit, 1, 0
251, 2, T_Scon, T_Scon_DRRR, 329.2, hit, 2, 0
252, 2, T_Scon, T_Scon_DRRR, 316.7, hit, 2, 0
253, 2, T_Scon, T_Scon_UGLG, 475.9, hit, 1, 0
254, 2, T_Scon, T_Scon_UGLG, 279.3, hit, 1, 0
255, 2, T_Scon, T_Scon_UGLG, 330.7, hit, 1, 0
256, 2, T_Scon, T_Scon_UGLG, 390.1, hit, 1, 0
257, 2, T_Scon, T_Scon_UGLG, 305.7, hit, 1, 0
258, 2, T_Scon, T_Scon_UGLG, 301.1, hit, 1, 0
259, 2, T_Scon, T_Scon_DRRR, 384.5, hit, 2, 0
260, 2, T_Sinc, T_Sinc_URRR, 351.8, hit, 2, 0
261, 2, T_Scon, T_Scon_UGLG, 339.3, hit, 1, 0
262, 2, T_Scon, T_Scon_DRRR, 474.7, hit, 2, 0
263, 2, T_Scon, T_Scon_UGLG, 326.2, hit, 1, 0
264, 2, T_Scon, T_Scon_UGLG, 405.6, incorrect, 2, 1
265, 2, T_Scon, T_Scon_UGLG, 405.1, hit, 1, 0
266, 2, T_Scon, T_Scon_UGLG, 284.5, hit, 1, 0
267, 2, T_Sinc, T_Sinc_URRR, 600.0, hit, 2, 0
268, 2, T_Scon, T_Scon_DRRR, 407.4, hit, 2, 0
269, 2, T_Sinc, T_Sinc_DGLG, 458.9, hit, 1, 0
270, 2, T_Sinc, T_Sinc_DGLG, 334.3, hit, 1, 0
271, 2, T_Scon, T_Scon_DRRR, 473.8, hit, 2, 0
272, 2, T_Sinc, T_Sinc_DGLG, 365.2, hit, 1, 0
273, 2, T_Sinc, T_Sinc_DGLG, 296.6, hit, 1, 0
274, 2, T_Scon, T_Scon_DRRR, 356.0, hit, 2, 0
275, 2, T_Sinc, T_Sinc_DGLG, 383.5, hit, 1, 0
276, 2, T_Sinc, T_Sinc_URRR, 618.9, hit, 2, 0
277, 2, T_Scon, T_Scon_DRRR, 382.3, hit, 2, 0
278, 2, T_Scon, T_Scon_DRRR, 305.8, hit, 2, 0
279, 2, T_Scon, T_Scon_DRRR, 349.2, hit, 2, 0
280, 2, T_Scon, T_Scon_UGLG, 408.7, hit, 1, 0
281, 2, T_Scon, T_Scon_DRRR, 556.0, hit, 2, 0
282, 2, T_Scon, T_Scon_UGLG, 399.5, hit, 1, 0
283, 2, T_Scon, T_Scon_UGLG, 331.0, hit, 1, 0
284, 2, T_Scon, T_Scon_DRRR, 446.4, hit, 2, 0
285, 2, T_Scon, T_Scon_DRRR, 277.8, hit, 2, 0
286, 2, T_Scon, T_Scon_DRRR, 321.3, hit, 2, 0
287, 2, T_Scon, T_Scon_DRRR, 288.7, hit, 2, 0
288, 2, T_Scon, T_Scon_DRRR, 292.2, hit, 2, 0
289, 3, T_Sinc, T_Sinc_DGLG, 476.6, hit, 1, 0
290, 3, T_Sinc, T_Sinc_URRR, 388.0, hit, 2, 0
291, 3, T_Scon, T_Scon_UGLG, 347.4, hit, 1, 0
292, 3, T_Scon, T_Scon_DRRR, 354.8, hit, 2, 0
293, 3, T_Sinc, T_Sinc_DGLG, 486.3, hit, 1, 0
294, 3, T_Sinc, T_Sinc_URRR, 321.7, hit, 2, 0
295, 3, T_Scon, T_Scon_DRRR, 401.1, hit, 2, 0
296, 3, T_Scon, T_Scon_UGLG, 364.6, hit, 1, 0
297, 3, T_Scon, T_Scon_UGLG, 364.0, hit, 1, 0
298, 3, T_Scon, T_Scon_UGLG, 275.5, hit, 1, 0
299, 3, T_Sinc, T_Sinc_DGLG, 422.9, hit, 1, 0
300, 3, T_Sinc, T_Sinc_URRR, 574.4, hit, 2, 0
301, 3, T_Scon, T_Scon_DRRR, 353.8, hit, 2, 0
302, 3, T_Scon, T_Scon_DRRR, 285.3, hit, 2, 0
303, 3, T_Scon, T_Scon_UGLG, 332.7, hit, 1, 0
304, 3, T_Scon, T_Scon_DRRR, 324.1, hit, 2, 0
305, 3, T_Scon, T_Scon_DRRR, 319.6, hit, 2, 0
306, 3, T_Scon, T_Scon_UGLG, 323.1, hit, 1, 0
307, 3, T_Scon, T_Scon_UGLG, 302.5, hit, 1, 0
308, 3, T_Sinc, T_Sinc_DGLG, 385.9, hit, 1, 0
309, 3, T_Scon, T_Scon_DRRR, 381.3, hit, 2, 0
310, 3, T_Scon, T_Scon_DRRR, 420.8, hit, 2, 0
311, 3, T_Sinc, T_Sinc_URRR, 336.2, hit, 2, 0
312, 3, T_Scon, T_Scon_UGLG, 367.6, hit, 1, 0
313, 3, T_Scon, T_Scon_DRRR, 499.1, hit, 2, 0
314, 3, T_Sinc, T_Sinc_URRR, 398.5, hit, 2, 0
315, 3, T_Sinc, T_Sinc_DGLG, 378.0, hit, 1, 0
316, 3, T_Scon, T_Scon_DRRR, 537.4, hit, 2, 0
317, 3, T_Scon, T_Scon_UGLG, 388.9, hit, 1, 0
318, 3, T_Scon, T_Scon_DRRR, 408.3, hit, 2, 0
319, 3, T_Sinc, T_Sinc_DGLG, 467.7, hit, 1, 0
320, 3, T_Scon, T_Scon_UGLG, 423.1, hit, 1, 0
321, 3, T_Scon, T_Scon_DRRR, 366.6, hit, 2, 0
322, 3, T_Scon, T_Scon_DRRR, 562.0, hit, 2, 0
323, 3, T_Scon, T_Scon_UGLG, 317.5, hit, 1, 0
324, 3, T_Scon, T_Scon_UGLG, 296.9, hit, 1, 0
325, 3, T_Scon, T_Scon_UGLG, 392.1, hit, 1, 0
326, 3, T_Scon, T_Scon_DRRR, 363.5, hit, 2, 0
327, 3, T_Sinc, T_Sinc_DGLG, 430.9, incorrect, 2, 1
328, 3, T_Scon, T_Scon_DRRR, 430.4, hit, 2, 0
329, 3, T_Sinc, T_Sinc_DGLG, 557.8, hit, 1, 0
330, 3, T_Scon, T_Scon_DRRR, 345.3, hit, 2, 0
331, 3, T_Scon, T_Scon_DRRR, 580.7, hit, 2, 0
332, 3, T_Scon, T_Scon_UGLG, 308.2, hit, 1, 0
333, 3, T_Scon, T_Scon_UGLG, 315.6, hit, 1, 0
334, 3, T_Sinc, T_Sinc_DGLG, 507.0, hit, 1, 0
335, 3, T_Scon, T_Scon_UGLG, 274.5, hit, 1, 0
336, 3, T_Sinc, T_Sinc_URRR, 430.0, hit, 2, 0
337, 3, T_Scon, T_Scon_DRRR, 609.3, hit, 2, 0
338, 3, T_Scon, T_Scon_UGLG, 364.7, hit, 1, 0
339, 3, T_Scon, T_Scon_DRRR, 404.2, hit, 2, 0
340, 3, T_Scon, T_Scon_DRRR, 479.6, hit, 2, 0
341, 3, T_Sinc, T_Sinc_URRR, 327.1, hit, 2, 0
342, 3, T_Scon, T_Scon_UGLG, 374.5, hit, 1, 0
343, 3, T_Scon, T_Scon_UGLG, 418.0, hit, 1, 0
344, 3, T_Scon, T_Scon_DRRR, 429.4, hit, 2, 0
345, 3, T_Scon, T_Scon_UGLG, 368.9, hit, 1, 0
346, 3, T_Sinc, T_Sinc_URRR, 476.3, hit, 2, 0
347, 3, T_Scon, T_Scon_UGLG, 271.8, hit, 1, 0
348, 3, T_Scon, T_Scon_UGLG, 367.2, hit, 1, 0
349, 3, T_Scon, T_Scon_UGLG, 298.7, hit, 1, 0
350, 3, T_Sinc, T_Sinc_URRR, 370.0, hit, 2, 0
351, 3, T_Sinc, T_Sinc_URRR, 333.5, hit, 2, 0
352, 3, T_Sinc, T_Sinc_URRR, 276.9, hit, 2, 0
353, 3, T_Sinc, T_Sinc_URRR, 276.4, hit, 2, 0
354, 3, T_Scon, T_Scon_DRRR, 447.8, hit, 2, 0
355, 3, T_Scon, T_Scon_UGLG, 303.3, hit, 1, 0
356, 3, T_Sinc, T_Sinc_DGLG, 362.7, hit, 1, 0
357, 3, T_Scon, T_Scon_DRRR, 414.2, hit, 2, 0
358, 3, T_Scon, T_Scon_UGLG, 521.6, hit, 1, 0
359, 3, T_Scon, T_Scon_DRRR, 468.9, hit, 2, 0
360, 3, T_Scon, T_Scon_UGLG, 336.4, hit, 1, 0
361, 3, T_Scon, T_Scon_UGLG, 363.7, hit, 1, 0
362, 3, T_Scon, T_Scon_UGLG, 255.1, hit, 1, 0
363, 3, T_Sinc, T_Sinc_DGLG, 326.5, incorrect, 2, 1
364, 3, T_Scon, T_Scon_DRRR, 505.9, hit, 2, 0
365, 3, T_Scon, T_Scon_UGLG, 353.3, hit, 1, 0
366, 3, T_Scon, T_Scon_UGLG, 260.8, hit, 1, 0
367, 3, T_Scon, T_Scon_UGLG, 320.2, hit, 1, 0
368, 3, T_Scon, T_Scon_DRRR, 447.6, hit, 2, 0
369, 3, T_Scon, T_Scon_UGLG, 259.1, hit, 1, 0
370, 3, T_Scon, T_Scon_DRRR, 562.5, hit, 2, 0
371, 3, T_Scon, T_Scon_UGLG, 342.0, hit, 1, 0
372, 3, T_Scon, T_Scon_DRRR, 561.4, hit, 2, 0
373, 3, T_Scon, T_Scon_UGLG, 328.9, hit, 1, 0
374, 3, T_Scon, T_Scon_DRRR, 436.3, hit, 2, 0
375, 3, T_Scon, T_Scon_UGLG, 319.8, hit, 1, 0
376, 3, T_Sinc, T_Sinc_URRR, 483.2, hit, 2, 0
377, 3, T_Scon, T_Scon_UGLG, 362.7, hit, 1, 0
378, 3, T_Sinc, T_Sinc_DGLG, 430.0, hit, 1, 0
379, 3, T_Scon, T_Scon_UGLG, 321.5, hit, 1, 0
380, 3, T_Scon, T_Scon_DRRR, 416.9, hit, 2, 0
381, 3, T_Sinc, T_Sinc_DGLG, 372.4, incorrect, 2, 1
382, 3, T_Scon, T_Scon_UGLG, 335.8, hit, 1, 0
