subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_19,10647.49333161984,10645.791319410251,10646.869866231484,10641.98183923781,10646.125485130797
sub_20,10949.931808328227,10951.96694419264,10954.057734851202,10954.205527266677,10956.64899785919
sub_21,11446.295315883423,11447.959856771397,11449.17488515146,11451.014171497336,11449.104355078052
sub_22,11277.322242960974,11251.354707645532,11251.819404272632,11247.112960109263,11249.141483493078
sub_23,11514.733795234499,11512.360923161556,11514.325345285692,11513.593193025337,11516.584994200708
sub_24,11152.982743316505,11143.374312913147,11145.957552806674,11144.047598730725,11147.541053252884
sub_25,10396.211108316682,10394.08512984382,10392.0693473431,10389.466347599266,10391.339124335942
sub_26,9593.762964428824,9576.44115653853,9578.293169662422,9576.289812732446,9577.721216597156
sub_28,9969.716476945789,9971.71362789366,9973.563869772948,9967.50552376598,9970.672354281607
sub_29,10637.19519627155,10639.196848333293,10640.121857691704,10639.225950404709,10641.17836943149
sub_30,12066.394012742407,12060.389650948578,12062.389650958889,12061.740536317544,12063.454514931023
sub_31,10803.412970960477,10800.857416272118,10802.653716328845,10798.362317523377,10801.6118727389
sub_32,10984.348690383064,10963.575365687771,10963.835051185062,10962.182008956876,10962.34577572828
sub_33,9666.929408590622,9659.174776995778,9660.664158996906,9655.625398466762,9654.059439415523
sub_34,9514.36619353246,9502.357601019829,9486.953725911464,9495.79615884109,9479.72177947241
sub_35,11160.346995345402,11162.347432121176,11162.331155776863,11159.076717585403,11161.301909947068
sub_36,9943.939425540595,9945.939800304803,9947.77779512174,9947.885136030029,9948.141138214913
