P_diff,congruency,hand,postError,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,congruency.1,hand.1,postError.1,nblock_1.1,nblock_2.1,nblock_3.1,nblock_4.1,nblock_5.1,nblock_6.1,nblock_7.1,nblock_8.1,nblock_9.1,nblock_10.1,nblock_11.1,nblock_12.1,nblock_13.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,NBLOCK_1,NBLOCK_2,NBLOCK_3,NBLOCK_4,NBLOCK_5,NBLOCK_6,NBLOCK_7,NBLOCK_8,NBLOCK_9,NBLOCK_10,NBLOCK_11,NBLOCK_12,NBLOCK_13,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,NBLOCK_1.1,NBLOCK_2.1,NBLOCK_3.1,NBLOCK_4.1,NBLOCK_5.1,NBLOCK_6.1,NBLOCK_7.1,NBLOCK_8.1,NBLOCK_9.1,NBLOCK_10.1,NBLOCK_11.1,NBLOCK_12.1,NBLOCK_13.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,alpha_v,subject,nblock_14,nblock_14.1,NBLOCK_14,NBLOCK_14.1
-38.94815907760322,-18.917693691539398,7.953197490144093,3.836631132477538,232.2308079642917,241.22353207327498,221.1687208463585,235.81127463252025,235.27375837671215,236.37685809125253,232.41930644319496,244.53863495296912,233.46360752474257,246.9802195874361,239.7321379375377,244.80495437928943,227.12935268003542,-38.948159077603066,-18.917693691538602,7.953197490145079,3.836631132477728,232.23080796429193,241.2235320732751,221.16872084635838,235.8112746325209,235.27375837671195,236.37685809125247,232.4193064431949,244.53863495296886,233.46360752474288,246.9802195874363,239.7321379375379,244.8049543792893,227.12935268003508,9.318995875368095e-08,0.0029161371737706785,0.10700440548631578,0.7355792040452717,7.85278012985569e-108,8.049883974515259e-145,6.180727248484401e-94,1.4383543308399193e-156,1.1753948467339997e-58,1.20719861157362e-69,4.119222879948649e-86,2.1819512128725447e-63,1.3143273982493923e-55,1.0159475769346769e-104,4.3715456473728045e-56,1.961063178271317e-62,4.792200485275455e-53,9.318995875368802e-08,0.002916137173771807,0.10700440548627192,0.7355792040452589,7.852780129853452e-108,8.049883974514346e-145,6.180727248485106e-94,1.438354330839019e-156,1.1753948467342346e-58,1.207198611573689e-69,4.119222879948296e-86,2.1819512128731678e-63,1.3143273982490363e-55,1.0159475769345613e-104,4.371545647372618e-56,1.9610631782714845e-62,4.792200485276755e-53,0.07477979382407485,-5321.746665809919,10647.49333161984,10656.950588846008,19802.7141823144,SR_Q_V_WOB,0.5945738142831369,0.5487297322057223,sub_19,,,,
-1290.7813426396358,0.4011145972832182,11.658526582085402,-1.0383779843187676e-11,-395.50952846891374,-413.6505326594165,-414.3992647349929,-405.7887119374744,-385.3892348690541,-383.6519522783776,-379.0914298261167,-395.63836870614165,-355.34720548730826,-389.1146469360147,-371.95201733934624,-395.170246580954,-381.30044128437964,-1290.7813426396438,0.40111459726663057,11.658526582093268,0.0,-395.5095284688973,-413.6505326594803,-414.39926473502464,-405.7887119375985,-385.38923486900865,-383.65195227824233,-379.0914298261174,-395.6383687061666,-355.34720548730024,-389.1146469360309,-371.9520173393296,-395.17024658094454,-381.30044128439454,0.033251941668159035,0.9164699504750698,0.00017951809667272626,0.13711931956083545,0.1908188107646771,0.17223860448827774,0.17049338698088154,0.18009222697819707,0.20505667561158736,0.20376165395502924,0.2101812894270491,0.19339125364551996,0.23882312966017866,0.19878533541618712,0.22112806552126352,0.19011746370398305,0.20979475989664126,0.03325194166815956,0.9164699504785088,0.00017951809667006018,,0.1908188107646793,0.17223860448827222,0.17049338698087926,0.18009222697818375,0.20505667561159527,0.20376165395505194,0.2101812894270488,0.1933912536455161,0.23882312966018046,0.19878533541618407,0.2211280655212676,0.190117463703984,0.2097947598966386,0.1220441078500668,-5472.965904164113,10949.931808328227,10959.58489877534,8383.881954200777,SR_Q_V_WOB,0.0001,0.0010936972008404491,sub_20,,,,
-40.91646462618911,-10.474472920346527,24.10526586528041,-6.253104102464287,175.02224015911617,198.7910989991096,186.47701845571214,196.39666248995042,219.88941647322562,206.1455018517828,198.08602870366303,224.000652355178,207.80067286633425,216.45216782597873,224.69087510814254,232.4458838110686,240.6243580338437,-40.91646462618935,-10.474472920346813,24.105265865280828,-6.253104102464008,175.0222401591161,198.7910989991096,186.47701845571208,196.39666248995042,219.88941647322545,206.1455018517828,198.0860287036631,224.000652355178,207.80067286633442,216.4521678259785,224.69087510814273,232.44588381106854,240.6243580338437,1.520252879701127e-11,0.07946587007998056,3.665395237346715e-07,0.7044195941455069,2.3922197763168203e-40,2.8827840107343447e-53,2.1857623122705323e-44,1.4252641115265648e-88,9.838583250130312e-60,4.1624961990184074e-59,2.0609725795004526e-72,2.626221798169858e-67,1.7683463188891093e-48,3.550910746781595e-59,2.1604681080122718e-111,7.606653182615019e-145,1.7974443751685406e-121,1.5202528797006248e-11,0.07946587007997273,3.66539523734486e-07,0.7044195941455196,2.392219776316581e-40,2.8827840107342213e-53,2.1857623122707516e-44,1.425264111526646e-88,9.838583250131715e-60,4.1624961990191185e-59,2.0609725795005702e-72,2.6262217981700073e-67,1.768346318889034e-48,3.550910746781899e-59,2.16046810801178e-111,7.606653182615452e-145,1.7974443751685406e-121,0.1514264629770261,-5721.147657941711,11446.295315883423,11455.900105410074,19453.54112940044,SR_Q_V_WOB,0.9605998546652508,0.43269577437458895,sub_21,243.95090686261608,243.950906862616,1.2570961304645136e-147,1.257096130464657e-147
-63.281844870257224,-14.891024401851347,9.639945830041768,-12.177636452244528,231.64961236445583,230.41774027539174,245.7520685638125,245.1671431807277,238.8967806506187,270.22677322466814,247.32215232419568,288.39234273221336,306.4880082750966,268.0401496578538,293.37148062843363,307.2507644061468,267.16550677873533,-63.281844870256656,-14.891024401852025,9.63994583004205,-12.17763645224522,231.6496123644554,230.41774027539168,245.752068563812,245.16714318072778,238.89678065061904,270.226773224668,247.32215232419568,288.39234273221336,306.4880082750967,268.0401496578537,293.3714806284338,307.25076440614725,267.16550677873505,1.556317646387491e-10,0.02478211675989147,0.06373174999736549,0.572685683887131,8.661734440140744e-58,4.5556319635405444e-51,9.27864151780492e-64,2.8407642230717513e-81,7.927959126364546e-61,1.1671506703191048e-66,4.6342314502482124e-97,1.6469584771855355e-68,1.8713380282062515e-86,6.092192042009871e-64,6.44337099402943e-163,8.07249124619702e-133,4.623246211303892e-131,1.5563176463881413e-10,0.024782116759885068,0.06373174999735756,0.5726856838871098,8.661734440143708e-58,4.555631963541065e-51,9.278641517809946e-64,2.8407642230715083e-81,7.927959126364094e-61,1.1671506703193043e-66,4.6342314502476854e-97,1.6469584771855355e-68,1.871338028206092e-86,6.092192042010397e-64,6.443370994028697e-163,8.072491246196101e-133,4.623246211305206e-131,0.12478408570034705,-5636.661121480487,11277.322242960974,11286.870690733691,23061.49868251126,SR_Q_V_WOB,0.7482055304164982,0.0001,sub_22,257.8430325194235,257.84303251942316,1.0109699208276484e-110,1.0109699208278498e-110
-10.56776631338245,-13.951280530624599,-11.956996568797095,3.2141047492353683,306.9639505514125,282.5396490646309,290.58002912423177,320.71624927671735,291.6845264923048,296.760812168772,300.07706730140734,336.66655790819635,326.10563620552324,333.7453203292992,323.72800413337933,335.2851042436571,348.77872355565245,-10.567766313382254,-13.951280530624445,-11.956996568797146,3.214104749235016,306.9639505514112,282.5396490646306,290.58002912423194,320.716249276717,291.6845264923048,296.7608121687718,300.0770673014072,336.6665579081956,326.1056362055229,333.7453203292992,323.72800413337865,335.28510424365686,348.77872355565245,0.02565059054953774,0.005507016894574508,0.003016946001168448,0.8415190009402159,1.157941822057682e-211,5.7093744623922e-235,8.304237879568303e-200,2.5602953818838596e-298,1.2951497144283362e-115,1.3544898653466374e-121,5.165786987189154e-175,2.2135871401529673e-155,8.367455720816191e-133,6.0431776842566684e-226,7.14967720121226e-132,4.5281934267214216e-155,1.3523532244397973e-150,0.02565059054954043,0.005507016894575018,0.0030169460011683267,0.8415190009402329,1.1579418220593948e-211,5.709374462394798e-235,8.304237879566414e-200,2.5602953818853158e-298,1.295149714428631e-115,1.354489865346792e-121,5.165786987188859e-175,2.2135871401539746e-155,8.367455720819047e-133,6.0431776842566684e-226,7.149677201215106e-132,4.528193426723483e-155,1.3523532244397973e-150,0.12385501158991552,-5755.366897617249,11514.733795234499,11524.395543703791,14657.604133615501,SR_Q_V_WOB,0.6330396013909838,0.997463442450828,sub_23,,,,
-53.16699418070158,-32.05886550485455,27.07980754844603,44.71795205478857,239.19960881096713,228.8415887058216,220.2018561938327,208.7848829998455,219.98374706363475,220.08379339917718,212.46979935157464,213.137455711021,229.89235176130782,230.0664642356939,229.60463342282597,231.22777041646717,219.16551418780682,-53.16699418070155,-32.05886550485429,27.079807548446073,44.717952054788455,239.1996088109671,228.84158870582172,220.20185619383258,208.7848829998456,219.98374706363484,220.0837933991774,212.4697993515747,213.13745571102086,229.89235176130782,230.0664642356937,229.60463342282569,231.22777041646725,219.16551418780662,3.3373616209876005e-18,4.968218299657904e-13,5.143832549489448e-15,0.0004583305060597991,1.7094894866600232e-225,5.3075177105236515e-170,2.0723957528662943e-199,1.3132365346893758e-165,2.9032892041093913e-104,1.173317281410041e-95,2.6541780136825534e-154,6.36809899116644e-88,3.889759399619909e-110,4.059206302404554e-144,7.805523396409652e-112,5.018623684129803e-105,2.8408732440367374e-104,3.3373616209878636e-18,4.96821829966015e-13,5.1438325494888885e-15,0.00045833050605981434,1.7094894866602176e-225,5.307517710525765e-170,2.0723957528659404e-199,1.3132365346890767e-165,2.9032892041093913e-104,1.1733172814101408e-95,2.6541780136817972e-154,6.368098991165351e-88,3.889759399619909e-110,4.059206302405247e-144,7.805523396409652e-112,5.018623684129803e-105,2.840873244036901e-104,0.2442241263597278,-5574.491371658252,11152.982743316505,11162.635833763616,10449.350542150623,SR_Q_V_WOB,0.1923456655012448,0.4193089029502237,sub_24,,,,
-19.151872870139684,-9.976628073357013,-11.809485216394839,-0.5283871339476178,245.08149127708717,224.6379219444023,223.12836690933216,220.4244781317016,209.36945971788484,202.92569803589024,208.26198203496045,221.04998605559226,208.31946468551632,227.8564518337355,226.0228425630152,230.53075432761972,228.20894444285813,-19.151872870139986,-9.976628073357054,-11.809485216394481,-0.5283871339469428,245.08149127708683,224.63792194440248,223.12836690933284,220.42447813170224,209.36945971788467,202.92569803589024,208.2619820349604,221.04998605559243,208.31946468551664,227.85645183373512,226.0228425630156,230.53075432761918,228.20894444285847,2.6784070571597638e-08,4.975280090253992e-05,1.7411390988986642e-09,0.9719633179646272,3.042584944736412e-238,3.671512753444215e-229,1.8777912423662032e-210,7.9391454534027e-311,3.6904797161735375e-195,8.559299523618017e-203,2.527286551523486e-258,1.1230250597519419e-220,3.663036499982427e-194,2.464259813218912e-232,0.0,0.0,0.0,2.6784070571583186e-08,4.9752800902536844e-05,1.7411390989005686e-09,0.971963317964663,3.042584944738142e-238,3.671512753443797e-229,1.8777912423642807e-210,7.93914545339e-311,3.690479716174376e-195,8.559299523617041e-203,2.527286551523486e-258,1.1230250597516223e-220,3.6630364999813846e-194,2.4642598132197537e-232,0.0,0.0,0.0,0.17237136665072472,-5196.105554158341,10396.211108316682,10405.91347817167,3495.2903444783196,SR_Q_V_WOB,0.5972431944585258,0.10753987985158044,sub_25,230.22833040624172,230.22833040624218,0.0,0.0
-19.22803380626957,-15.268066204117837,4.587506098027437,-7.202673203444697,216.23808646311988,214.80780873506203,217.8002809664059,220.97866204483742,215.3147801851936,238.84383099139137,219.39021366111183,226.1307441835729,234.91225585737809,222.16142113683776,224.3547960308588,235.6012240212414,234.7835257190651,-19.228033806269654,-15.268066204117124,4.587506098027396,-7.202673203444513,216.2380864631191,214.8078087350618,217.80028096640564,220.97866204483728,215.31478018519337,238.8438309913913,219.39021366111183,226.1307441835727,234.9122558573779,222.1614211368373,224.3547960308589,235.6012240212413,234.7835257190651,3.598376376608539e-05,6.942185455545392e-05,0.12873939942142784,0.5854431837840357,2.730057320274063e-132,5.541780532762536e-119,2.9527349376917286e-135,2.7006922462876353e-173,2.0961558868857913e-128,9.520725956441567e-131,1.4330872254989336e-192,1.910799412489768e-116,1.237879306986119e-127,4.9861278694483426e-83,4.4639870659369506e-226,3.2947890555730894e-188,3.2824269244476342e-220,3.598376376608236e-05,6.942185455550713e-05,0.12873939942143134,0.5854431837840448,2.7300573202759276e-132,5.54178053276506e-119,2.9527349376934094e-135,2.7006922462873282e-173,2.0961558868855525e-128,9.520725956443733e-131,1.4330872254991783e-192,1.9107994124899857e-116,1.2378793069864008e-127,4.986127869449761e-83,4.463987065937966e-226,3.2947890555730894e-188,3.282426924447447e-220,0.07049096542249332,-4794.881482214412,9593.762964428824,9603.17668910203,7226.784994086338,SR_Q_V_WOB,0.3700332142844239,0.5723733108174147,sub_26,230.52253543967663,230.5225354396764,2.155223278003206e-206,2.1552232780041873e-206
-13.652246473334868,-10.921313139895584,-10.886129097421355,25.312190291751968,212.7203769849987,213.79895106047832,207.05120125396104,204.1846599378188,209.67110851957585,213.54457734333187,208.10503989361527,213.28440867456882,198.29862844863518,211.98082230121082,211.59588186892606,209.2159348973568,197.81337363397338,-13.65224647333492,-10.921313139895624,-10.886129097420833,25.312190291750426,212.72037698499975,213.79895106047837,207.05120125396087,204.1846599378188,209.67110851957574,213.54457734333184,208.10503989361519,213.28440867456857,198.2986284486351,211.98082230121128,211.59588186892654,209.21593489735653,197.81337363397358,3.44384162624506e-06,7.503420976229237e-08,3.1683508739925986e-11,0.08013118155055089,0.0,0.0,0.0,0.0,2.174523068151038e-264,2.971020792851297e-244,0.0,1.7182193835584555e-245,2.7714242459087185e-234,1.4417e-319,7.958739922066255e-263,8.597589776572564e-244,8.289845525007248e-245,3.4438416262447616e-06,7.503420976228894e-08,3.168350873999074e-11,0.08013118155056922,0.0,0.0,0.0,0.0,2.1745230681500487e-264,2.9710207928516345e-244,0.0,1.7182193835588465e-245,2.771424245908404e-234,1.4417e-319,7.95873992205811e-263,8.597589776576478e-244,8.289845525004417e-245,0.1323944033150296,-4982.858238472893,9969.716476945789,9979.4039768438,2408.0056329390445,SR_Q_V_WOB,0.35183166622452045,0.23113979614660896,sub_28,,,,
-27.756406291724648,-11.297113720927074,3.1398260583708435,-9.44847369367072,202.87306962560882,223.8221045264985,222.10116246344242,219.94283910945663,223.47124757467185,228.71193991283343,237.63128140785938,232.26266588963327,244.94417816623033,235.6765303888704,239.5463428066236,240.9492057768926,233.7491854754507,-27.75640629172477,-11.297113720926864,3.1398260583712765,-9.448473693670532,202.87306962560874,223.8221045264986,222.10116246344228,219.9428391094565,223.47124757467202,228.71193991283369,237.63128140785955,232.2626658896331,244.9441781662304,235.6765303888709,239.5463428066232,240.94920577689248,233.7491854754507,0.0003944606229402269,0.002260601308912221,0.28162839107114684,0.18569327960224785,1.0270156132544115e-96,2.1349979424886818e-116,6.561772627571611e-107,7.669125762374901e-169,3.7679508986824705e-101,1.1463908309182463e-123,4.12319680085813e-161,7.524629338206117e-117,8.68218831141724e-129,1.1589904474133992e-127,2.1515102093393276e-202,8.414824500091463e-240,9.665395778373686e-194,0.0003944606229402061,0.002260601308912612,0.2816283910710799,0.1856932796022565,1.0270156132545282e-96,2.1349979424877086e-116,6.561772627572359e-107,7.669125762374901e-169,3.7679508986807555e-101,1.146390830918116e-123,4.12319680085766e-161,7.524629338207402e-117,8.68218831141724e-129,1.1589904474126736e-127,2.1515102093405513e-202,8.414824500090509e-240,9.665395778373686e-194,0.08604403899370118,-5316.597598135775,10637.19519627155,10646.808854992334,7513.878079792999,SR_Q_V_WOB,0.1655356563046185,0.03602565795448945,sub_29,248.296116688013,248.29611668801385,1.7316159217739721e-239,1.7316159217727908e-239
