stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14
0,1,1,486.4,0,1,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,475.5,0,2,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,386.4,0,3,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,425.4,0,4,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,408.5,1,5,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,407.3,0,6,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,348.3,0,7,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,411.4,0,8,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,528.3,1,9,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,381.3,1,10,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,432.3,0,11,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,365.2,0,12,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,386.3,0,13,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,391.3,0,14,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,366.2,0,15,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,425.1,0,16,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,478.2,1,17,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,451.1,0,18,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,432.2,1,19,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,481.2,0,20,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,526.2,0,21,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,379.2,0,22,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,442.1,0,23,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,455.2,1,24,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,398.1,1,25,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,527.1,0,26,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,477.9,0,27,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,410.9,0,28,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,522,0,29,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,415,0,30,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,380.1,1,31,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,384.9,0,32,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,454,0,33,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,354.9,0,34,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,575.8,0,35,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,390.9,0,36,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,389.8,0,37,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,498.9,0,38,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,519.9,0,39,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,468.7,0,40,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,667.8,1,41,0,80,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,390.7,1,42,1,80,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,365.6,1,43,1,80,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,340.6,1,44,1,80,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,353.7,1,45,1,80,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
