stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13
1,0,1,640.3,0,61,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,557.2,0,62,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,836.1,0,63,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,777.2,1,64,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,638.1,0,65,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,797,0,66,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,746.1,0,67,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,567.1,0,68,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,614.1,0,69,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,531,0,70,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,808,0,71,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,653,0,72,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,642.2,0,73,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,663.1,0,74,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,640,1,75,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,655,0,76,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,684,0,77,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,736.9,1,78,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,932.1,0,79,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,625,0,80,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,683.9,1,81,0,20,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1384.9,0,82,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,631.9,0,83,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,636.9,0,84,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,571.9,0,85,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,896.9,0,86,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,765.8,0,87,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,724.8,0,88,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,743.8,0,89,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,744.8,0,90,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,741.7,0,91,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,789,0,92,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
