stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14
1,1,0,793.9,0,59,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,550.8,0,60,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,939.7,1,61,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,570.7,0,62,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,641.7,1,63,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,640.8,0,64,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,565.8,0,65,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,506.8,0,66,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,647.8,0,67,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,558.5,1,68,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,603.7,0,69,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,690.5,1,70,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,529.9,0,71,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,528.4,0,72,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,463.3,0,73,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,676.5,0,74,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,505.6,0,75,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,456.6,0,76,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,413.4,0,77,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,642.4,1,78,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,735.6,0,79,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,444.3,0,80,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,465.5,1,81,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,510.4,1,82,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,403.4,1,83,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,514.2,1,84,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,655.5,1,85,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,612.2,1,86,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,609.5,1,87,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,582.3,0,88,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,787.5,1,89,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,530.3,1,90,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,613.4,1,91,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,516.3,1,92,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,355.2,1,93,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,506.1,0,94,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,491,1,95,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1390.1,0,96,1,80,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,491.2,1,97,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,536,0,98,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,645,1,99,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,588.1,0,100,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,523.1,0,101,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,442.1,1,102,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,447.1,1,103,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,964,1,104,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,545.1,1,105,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,488.1,1,106,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,428.9,1,107,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,484.1,1,108,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,387,1,109,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,760.2,1,110,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,629.1,1,111,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,401.9,1,112,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,425.1,1,113,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,470,0,114,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,437,0,115,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1069.8,1,116,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,442.8,1,117,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,439.9,1,118,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,349,1,119,1,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,681.8,1,120,0,80,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,606.8,0,121,0,20,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,459.7,0,122,1,20,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,540.9,0,123,0,20,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,577.6,0,124,0,20,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,440.7,1,125,0,20,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,429.8,0,126,1,20,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,322.5,0,127,0,20,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
