P_diff,congruency,Response,P,congruency.1,Response.1,p_DIFF,CONGRUENCY,rESPONSE,p,CONGRUENCY.1,rESPONSE.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,alpha_v,subject
-488.6066843411088,-16.485904719283713,1.1269967975669717,-488.6066843411088,-16.485904719283276,1.1269967975667727,0.0,4.0362880982538203e-07,0.7256902281747639,0.0,4.036288098256554e-07,0.7256902281748107,0.9540762966559608,-5732.975231311954,11475.950462623909,11500.243287797866,9958.56782532448,SR_Q_D_alphaCCC_V_WOB,0.10040344317191484,0.34164653120010624,-0.42759214619509794,0.4987842262283749,0.0373225988132926,sub_1
-449.0297716512033,-16.491782835107006,11.05809190782738,-449.02977165120325,-16.491782835107234,11.058091907827267,0.0,3.911732053794975e-07,0.0006385300271125336,0.0,3.911732053793563e-07,0.0006385300271126135,0.9530065083474138,-5625.178543371547,11260.357086743094,11284.565164125479,9718.001041959204,SR_Q_D_alphaCCC_V_WOB,0.00010002606440042487,0.9999999998037924,-0.6539537761022094,1.0,0.00010002602342896742,sub_2
-525.6253636421677,22.998094615627828,26.520363080179248,-525.6253636421677,22.998094615627817,26.520363080179273,4.38713563636824e-240,0.0002361644340324569,2.1985579039665022e-05,4.3871356363677403e-240,0.0002361644340324588,2.1985579039664565e-05,0.9087591359200448,-5493.857087627773,10997.714175255545,11021.327324229822,32351.06841740022,SR_Q_D_alphaCCC_V_WOB,0.050282974066813986,0.4725575966286442,-0.8473079014558604,0.6293059589440548,0.020318816198976103,sub_3
-463.4928205352113,-21.239945912004465,1.636928790451825,-463.4928205352112,-21.23994591200453,1.6369287904517558,0.0,7.964615377966058e-09,0.6537397796350854,0.0,7.964615377965272e-09,0.653739779635099,0.9402693711371756,-5799.581872758814,11609.163745517628,11633.419670155095,12536.131657113565,SR_Q_D_alphaCCC_V_WOB,0.00010028422935088891,1.0,-0.5669617758440997,1.0,0.0001,sub_4
-533.2751697471862,-12.671345370510426,28.13977896728053,-533.2751697471862,-12.671345370510386,28.139778967280737,1.1841868115088891e-284,0.029717740802373063,1.5473899845454825e-06,1.1841868115087543e-284,0.02971774080237353,1.5473899845451797e-06,0.9036179791876118,-6269.1191836742555,12548.23836734851,12572.51541134156,32021.921934930673,SR_Q_D_alphaCCC_V_WOB,0.013837316821277338,0.8118538667282256,-0.8221178190675105,0.8587200685916723,0.004579292857375462,sub_5
-888.6816916696644,-16.476043673572573,-30.08392042260931,-888.6816916696637,-16.476043673572303,-30.083920422609573,9.374335122273034e-172,0.20357909919946926,0.027563572789184414,9.374335122272498e-172,0.2035790991994764,0.02756357278918308,0.8921785320836991,-3746.570206004495,7503.140412008989,7524.476414751695,87603.66722520265,SR_Q_D_alphaCCC_V_WOB,0.0001,1.0,-0.4195815536454369,1.0,0.00010001603359824704,sub_6
-439.3908565124426,-1.978776551843889,16.46371547869279,-439.3908565124425,-1.978776551843639,16.463715478693118,0.0,0.5675204405276242,2.255415463626159e-06,0.0,0.5675204405276728,2.255415463625074e-06,0.9477466524219684,-5802.271868258436,11614.543736516873,11638.841811035145,11372.988960948649,SR_Q_D_alphaCCC_V_WOB,0.0001,1.0,-0.3035113243136172,1.0,0.0001,sub_7
-675.4871166291408,11.119669333510904,23.668094461898217,-675.4871166291405,11.119669333510739,23.668094461898516,0.0,0.06689547834976793,0.00011195098268243072,0.0,0.06689547834977212,0.0001119509826824074,0.9414890657112024,-5593.503797079718,11197.007594159437,11220.721997338396,31393.271028568688,SR_Q_D_alphaCCC_V_WOB,0.003146942496140989,0.007091964008718681,-0.9189632755092708,0.0001,0.0001,sub_8
-464.28808397857733,-14.162651298900824,-0.2521317919587656,-464.2880839785772,-14.162651298900835,-0.2521317919588304,0.0,6.352272840931559e-05,0.9429935917009692,0.0,6.352272840931463e-05,0.9429935917009546,0.9457794301540228,-5714.320067403296,11438.640134806592,11462.853551217782,11604.190585426984,SR_Q_D_alphaCCC_V_WOB,0.0001,1.0,-0.768767209951565,1.0,0.0001,sub_9
-541.1030631120245,-7.865071903335781,7.747019335888678,-541.1030631120245,-7.865071903335908,7.7470193358887744,2.5446802559743233e-300,0.1611430515857889,0.1675168057700203,2.5446802559740335e-300,0.16114305158578227,0.16751680577001465,0.9078027645607978,-6227.232752067664,12464.465504135325,12488.7372766466,29725.03132681819,SR_Q_D_alphaCCC_V_WOB,0.0001,0.9511579202686924,-0.9711773637907932,0.004916968439868004,0.0001,sub_10
