P_diff,congruency,Response,P,congruency.1,Response.1,p_DIFF,CONGRUENCY,rESPONSE,p,CONGRUENCY.1,rESPONSE.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_v,subject
-477.82536167000677,-18.57515789842353,-3.841094117314349,-477.82536167000643,-18.575157898423587,-3.8410941173141007,0.0,3.516955914897445e-09,0.21794441065050946,0.0,3.516955914897098e-09,0.2179444106505388,0.957517906804024,-5695.895428255182,11397.790856510364,11412.366551614741,9212.253820892967,SR_Q_D_V_WOB,0.0001,1.0,0.0001,sub_1
-463.2167460574252,-18.048460333985584,10.218554578321733,-463.21674605742544,-18.048460333985645,10.218554578321664,0.0,1.1722585825379865e-09,0.0005140330690068215,0.0,1.172258582537858e-09,0.0005140330690068688,0.9610499923393556,-5537.320834271869,11080.641668543738,11095.16651497317,8054.651729403266,SR_Q_D_V_WOB,0.09898178223700024,0.8756831148946417,0.0649365026756347,sub_2
-525.6249295529799,22.997972269090265,26.52026027401837,-525.6249295529799,22.99797226909033,26.520260274018217,4.387135630332608e-240,0.0002361831866191521,2.1987256741659038e-05,4.387135630332109e-240,0.000236183186619141,2.198725674166163e-05,0.9087591359203478,-5493.857087626393,10993.714175252786,11007.882064637352,32351.06841729693,SR_Q_D_V_WOB,0.05028496447763151,0.4726311994874201,0.02032147606216253,sub_3
-463.49317579992896,-21.24000239558641,1.6369348427012698,-463.49317579992936,-21.240002395586195,1.6369348427014483,0.0,7.963682941914847e-09,0.6537382735749894,0.0,7.963682941917233e-09,0.653738273574954,0.9402694776549568,-5799.581030147621,11605.162060295243,11619.715615077725,12539.991962693362,SR_Q_D_V_WOB,0.00010468257527218888,1.0,0.0001,sub_4
-534.78530824721,-12.479098178114596,28.396348324852053,-534.7853082472102,-12.479098178114171,28.396348324852067,5.056375422731461e-285,0.03204576113594787,1.20161453433559e-06,5.05637542273031e-285,0.03204576113595357,1.201614534335572e-06,0.9037911660205026,-6268.26579762489,12542.53159524978,12557.09782164561,31964.38237180083,SR_Q_D_V_WOB,0.005837255156217371,0.1650131460850115,0.0057795928655446785,sub_5
-888.6819791365804,-16.47609219922496,-30.084074570987326,-888.6819791365804,-16.476092199225842,-30.084074570987536,9.375430773292197e-172,0.20357790844856705,0.027562836425993376,9.375430773291667e-172,0.20357790844854354,0.02756283642599234,0.8921784840140692,-3746.570323479659,7499.140646959318,7511.942248604942,87602.40708226075,SR_Q_D_V_WOB,0.0001,1.0,0.00010092318889444427,sub_6
-439.39085651206045,-1.978776551794664,16.463715478738653,-439.39085651206034,-1.9787765517942653,16.463715478738827,0.0,0.5675204405378681,2.255415463563536e-06,0.0,0.5675204405379457,2.2554154635629943e-06,0.9477466524218024,-5802.2718682599525,11610.543736519905,11625.12258123087,11407.705613636761,SR_Q_D_V_WOB,0.0001,1.0,0.0001,sub_7
-678.3155750854497,7.2922567395173505,24.294261941939816,-678.3155750854497,7.292256739517491,24.294261941939286,3.95e-322,0.2358895403704324,8.316092964887757e-05,3.95e-322,0.2358895403704235,8.316092964890905e-05,0.9405613544328324,-5600.173726622621,11206.347453245242,11220.576095152617,31891.023121891016,SR_Q_D_V_WOB,0.00010703878990347465,1.0,0.0001,sub_8
-464.28808397857733,-14.162651298900824,-0.2521317919587656,-464.2880839785772,-14.162651298900835,-0.2521317919588304,0.0,6.352272840931559e-05,0.9429935917009692,0.0,6.352272840931463e-05,0.9429935917009546,0.9457794301540228,-5714.320067403296,11434.640134806592,11449.168184653308,11604.190585426984,SR_Q_D_V_WOB,0.0001,1.0,0.0001,sub_9
-548.0565916632238,-8.075643564730175,8.433907898208853,-548.0565916632245,-8.075643564729893,8.43390789820867,3.998934832440915e-304,0.1462541496525558,0.1285749634051242,3.99893483243955e-304,0.14625414965256953,0.12857496340513294,0.9094954680974277,-6218.44942778816,12442.89885557632,12457.461919083084,29179.29176351319,SR_Q_D_V_WOB,0.012445612328905571,0.08719070901653499,0.0001,sub_10
-613.7175554550831,0.9369156830004356,-4.123797224626377,-613.7175554550831,0.9369156830003292,-4.123797224626168,0.0,0.8741176708516935,0.48564328768342296,0.0,0.8741176708517078,0.485643287683445,0.9182079052077294,-6312.821594554955,12631.64318910991,12646.222033820872,33214.761207610805,SR_Q_D_V_WOB,0.0001,0.9999999999999972,0.00010001240070361782,sub_11
-590.3747817816152,-23.903629456408535,25.42832990120957,-590.3747817816155,-23.90362945640805,25.428329901209498,1.3611661342169662e-255,0.00048762310589038496,0.00019738791797565438,1.3611661342168112e-255,0.00048762310589050537,0.00019738791797566408,0.8861341262571194,-6218.537271946886,12443.074543893772,12457.550924002539,42873.280930173205,SR_Q_D_V_WOB,0.031538572645905094,0.3135584653980986,0.050450613816567236,sub_12
-620.2836095495912,-54.9216006430127,14.566371438970187,-620.2836095495916,-54.92160064301297,14.566371438970025,1.7750983658651746e-304,1.6673381166630964e-17,0.021008704895382528,1.775098365864771e-304,1.667338116662628e-17,0.021008704895383926,0.8984817941987302,-6354.5960326357845,12715.192065271569,12729.761451225357,37805.87695867737,SR_Q_D_V_WOB,0.0001,0.5621045707861778,0.03281212091553146,sub_13
-452.30426766282363,-8.888964267836814,7.545526841595567,-452.30426766282363,-8.888964267836588,7.545526841595543,0.0,0.007080675451473966,0.022353954191212045,0.0,0.007080675451475348,0.02235395419121244,0.9518021136273794,-5704.028983458177,11414.057966916354,11428.611521698838,10240.87092467163,SR_Q_D_V_WOB,0.00010000014942193327,0.9919776014071444,0.01966485899754042,sub_14
-521.3052639942532,-11.892198042221573,-14.863282076141305,-521.3052639942532,-11.892198042221787,-14.86328207614108,0.0,0.0031528989817561732,0.00022972175146285186,0.0,0.003152898981755667,0.0002297217514629,0.9400542737816108,-5911.814129186023,11829.628258372046,11844.191321878809,15280.06995220824,SR_Q_D_V_WOB,0.0217707371397658,0.9107526004357509,0.05188181263038116,sub_15
-541.5975246211358,-20.0107861986416,3.966970431910595,-541.5975246211354,-20.010786198641483,3.966970431910318,0.0,5.152108753906303e-06,0.36364447466881106,0.0,5.152108753906935e-06,0.3636444746688451,0.9387134843510214,-6009.968644041042,12025.937288082085,12040.509830269719,18076.503620038693,SR_Q_D_V_WOB,0.0001,1.0,0.0001,sub_16
