alpha,alpha_CCC,CCC,decay,corr_value,corr,corr_p,AIC,AIC_rl
0.76,0.55,0.24,0.15,-0.265708826,0.265708826,5.62E-17,11459.67448,11461.67448
0.36,0.39,0.15,0.33,-0.265587125,0.265587125,5.81E-17,11459.74127,11461.74127
0.41,0.17,0.77,0.25,-0.265576872,0.265576872,5.83E-17,11459.74689,11461.74689
0.45,0.97,0.8,0.27,-0.265408338,0.265408338,6.11E-17,11459.83932,11461.83932
0.97,0.55,0.84,0.1,-0.265219303,0.265219303,6.44E-17,11459.94291,11461.94291
0.47,0.13,0.86,0.13,-0.265174911,0.265174911,6.52E-17,11459.96722,11461.96722
0.27,0.5,0.25,0.39,-0.265076869,0.265076869,6.70E-17,11460.0209,11462.0209
0.28,0.72,0.67,0.13,-0.264962149,0.264962149,6.91E-17,11460.08368,11462.08368
0.84,0.64,0.22,0.18,-0.264825506,0.264825506,7.18E-17,11460.15842,11462.15842
0.38,0.19,0.75,0.26,-0.264761872,0.264761872,7.31E-17,11460.19321,11462.19321
0.32,0.32,0.11,0.14,-0.264667205,0.264667205,7.50E-17,11460.24495,11462.24495
0.62,0.46,0.29,0.23,-0.26435931,0.26435931,8.17E-17,11460.41309,11462.41309
0.16,0.4,0.31,0.06,-0.264025343,0.264025343,8.95E-17,11460.5952,11462.5952
0.45,0.42,0.55,0.08,-0.263998331,0.263998331,9.02E-17,11460.60992,11462.60992
0.43,0.73,0.4,0.24,-0.263731072,0.263731072,9.71E-17,11460.75545,11462.75545
0.62,0.49,0.6,0.23,-0.263705107,0.263705107,9.78E-17,11460.76958,11462.76958
0.99,0.52,0.6,0.19,-0.263629427,0.263629427,9.98E-17,11460.81076,11462.81076
0.72,0.34,0.02,0.36,-0.263615174,0.263615174,1.00E-16,11460.81851,11462.81851
0.51,0.46,0.24,0.06,-0.263559692,0.263559692,1.02E-16,11460.84869,11462.84869
0.35,0.3,0.38,0.21,-0.263533572,0.263533572,1.03E-16,11460.86289,11462.86289
0.62,0.59,0.4,0.09,-0.263522361,0.263522361,1.03E-16,11460.86899,11462.86899
0.5,0.45,0.25,0.39,-0.263448841,0.263448841,1.05E-16,11460.90895,11462.90895
0.69,0.5,0.53,0.33,-0.26339335,0.26339335,1.07E-16,11460.93911,11462.93911
0.31,0.24,1,0.32,-0.263315855,0.263315855,1.09E-16,11460.98122,11462.98122
0.47,0.45,0.79,0.37,-0.263270309,0.263270309,1.10E-16,11461.00596,11463.00596
0.27,0.41,0.97,0.21,-0.26323076,0.26323076,1.11E-16,11461.02743,11463.02743
0.42,0.46,0.87,0.37,-0.263155313,0.263155313,1.14E-16,11461.0684,11463.0684
0.92,0.64,0.2,0.12,-0.263063027,0.263063027,1.17E-16,11461.11849,11463.11849
0.31,0.57,0.81,0.28,-0.263062022,0.263062022,1.17E-16,11461.11903,11463.11903
0.68,0.16,1,0.18,-0.263024008,0.263024008,1.18E-16,11461.13966,11463.13966
0.51,0.52,0.18,0.37,-0.263018227,0.263018227,1.18E-16,11461.14279,11463.14279
0.27,0.23,0.52,0.26,-0.26300449,0.26300449,1.19E-16,11461.15024,11463.15024
0.56,0.38,0.16,0.12,-0.262703811,0.262703811,1.29E-16,11461.31325,11463.31325
0.34,0.65,0.68,0.28,-0.262468481,0.262468481,1.37E-16,11461.44069,11463.44069
0.73,0.5,0.42,0.21,-0.262445673,0.262445673,1.38E-16,11461.45303,11463.45303
0.93,0.47,0.42,0.33,-0.262286803,0.262286803,1.44E-16,11461.53898,11463.53898
0.32,0.57,0.56,0.29,-0.262163037,0.262163037,1.49E-16,11461.60589,11463.60589
0.05,0.65,0.15,0.13,-0.262117667,0.262117667,1.51E-16,11461.63041,11463.63041
0.24,0.64,0.05,0.09,-0.262115886,0.262115886,1.51E-16,11461.63137,11463.63137
0.6,0.76,0.54,0.16,-0.262105731,0.262105731,1.52E-16,11461.63686,11463.63686
0.48,0.41,0.52,0.35,-0.26208247,0.26208247,1.53E-16,11461.64943,11463.64943
0.05,0.25,0.03,0.17,-0.261968171,0.261968171,1.57E-16,11461.71117,11463.71117
0.34,0.5,0.71,0.01,-0.261766258,0.261766258,1.66E-16,11461.82016,11463.82016
0.65,0.6,0.11,0.37,-0.261747796,0.261747796,1.67E-16,11461.83012,11463.83012
0.38,0.73,0.89,0.13,-0.26167565,0.26167565,1.71E-16,11461.86904,11463.86904
0.5,0.45,0.53,0.37,-0.261668329,0.261668329,1.71E-16,11461.87299,11463.87299
0.79,0.54,0.27,0.29,-0.261667777,0.261667777,1.71E-16,11461.87329,11463.87329
0.64,0.67,0.73,0.09,-0.261649114,0.261649114,1.72E-16,11461.88335,11463.88335
0.72,0.6,0.24,0.09,-0.261645159,0.261645159,1.72E-16,11461.88549,11463.88549
0.16,0.63,0.1,0.31,-0.261606852,0.261606852,1.74E-16,11461.90614,11463.90614
0.29,0.73,1,0.12,-0.26131018,0.26131018,1.88E-16,11462.066,11464.066
0.66,0.67,0.04,0.32,-0.261258598,0.261258598,1.91E-16,11462.09377,11464.09377
0.63,0.49,0.47,0.06,-0.261124351,0.261124351,1.98E-16,11462.16603,11464.16603
0.26,0.48,0.22,0.42,-0.260937552,0.260937552,2.09E-16,11462.26649,11464.26649
0.61,0.99,0.84,0.35,-0.260786463,0.260786463,2.17E-16,11462.34769,11464.34769
0.25,0.18,0.57,0.29,-0.260634071,0.260634071,2.26E-16,11462.42953,11464.42953
0.46,0.39,0.67,0.06,-0.260528969,0.260528969,2.33E-16,11462.48595,11464.48595
0.73,0.49,0.08,0.09,-0.260236521,0.260236521,2.52E-16,11462.64279,11464.64279
0.65,0.32,0.32,0.45,-0.260233528,0.260233528,2.52E-16,11462.64439,11464.64439
0.61,0.38,0.25,0.46,-0.260230196,0.260230196,2.53E-16,11462.64618,11464.64618
0.75,0.66,0.71,0.17,-0.260210396,0.260210396,2.54E-16,11462.65679,11464.65679
0.68,0.51,0.95,0.32,-0.260102709,0.260102709,2.62E-16,11462.71448,11464.71448
0.63,0.85,0.74,0.4,-0.26005334,0.26005334,2.65E-16,11462.74092,11464.74092
0.31,0.35,0.78,0.38,-0.260035693,0.260035693,2.66E-16,11462.75037,11464.75037
0.87,0.72,0.01,0.29,-0.259918543,0.259918543,2.75E-16,11462.81309,11464.81309
0.28,0.73,0.79,0.11,-0.259751501,0.259751501,2.88E-16,11462.90246,11464.90246
0.58,0.28,0.8,0.13,-0.259579998,0.259579998,3.01E-16,11462.99414,11464.99414
0.58,0.51,0.32,0.44,-0.259536652,0.259536652,3.05E-16,11463.01731,11465.01731
0.36,0.45,0.69,0.42,-0.259447687,0.259447687,3.12E-16,11463.06483,11465.06483
0.71,0.88,0.96,0.16,-0.259428318,0.259428318,3.14E-16,11463.07517,11465.07517
0.74,0.63,0.65,0.27,-0.259425738,0.259425738,3.14E-16,11463.07655,11465.07655
0.18,0.44,0.01,0.41,-0.259405267,0.259405267,3.16E-16,11463.08748,11465.08748
0.77,0.44,0.16,0.36,-0.259273602,0.259273602,3.27E-16,11463.15777,11465.15777
0.22,0.1,0.9,0.27,-0.259238497,0.259238497,3.30E-16,11463.17651,11465.17651
0.37,0.27,0.37,0.35,-0.259224941,0.259224941,3.32E-16,11463.18374,11465.18374
0.39,0.29,0.42,0.14,-0.259215033,0.259215033,3.33E-16,11463.18902,11465.18902
0.67,0.44,0.82,0.18,-0.259173291,0.259173291,3.36E-16,11463.21129,11465.21129
0.44,0.85,0.65,0.39,-0.25912261,0.25912261,3.41E-16,11463.23833,11465.23833
0.36,0.75,0.71,0.05,-0.259095152,0.259095152,3.43E-16,11463.25297,11465.25297
0.82,0.39,0.08,0.16,-0.258978202,0.258978202,3.54E-16,11463.31532,11465.31532
0.23,0.12,0.87,0.18,-0.258956228,0.258956228,3.57E-16,11463.32703,11465.32703
0.5,0.4,0.72,0.42,-0.258847465,0.258847465,3.67E-16,11463.38498,11465.38498
0.54,0.55,0.24,0.42,-0.258800448,0.258800448,3.72E-16,11463.41002,11465.41002
0.63,0.37,0.8,0.28,-0.258715919,0.258715919,3.80E-16,11463.45503,11465.45503
0.43,0.43,0.91,0.01,-0.258470401,0.258470401,4.06E-16,11463.58567,11465.58567
0.32,0.1,0.79,0.09,-0.258435927,0.258435927,4.10E-16,11463.604,11465.604
0.21,0.82,0.99,0.26,-0.258431933,0.258431933,4.11E-16,11463.60612,11465.60612
0.55,0.71,0.08,0.1,-0.258425509,0.258425509,4.11E-16,11463.60954,11465.60954
0.9,0.7,0.36,0.2,-0.25834535,0.25834535,4.20E-16,11463.65215,11465.65215
0.14,0.7,0.22,0.23,-0.2582065,0.2582065,4.36E-16,11463.72592,11465.72592
0.27,0.08,0.87,0.39,-0.257830005,0.257830005,4.83E-16,11463.92574,11465.92574
0.87,0.71,0.41,0.29,-0.25782973,0.25782973,4.83E-16,11463.92589,11465.92589
0.48,0.26,0.18,0.45,-0.257744685,0.257744685,4.94E-16,11463.97097,11465.97097
0.5,0.7,0.97,0.45,-0.257680884,0.257680884,5.02E-16,11464.00479,11466.00479
0.8,0.43,0.73,0.13,-0.257680538,0.257680538,5.02E-16,11464.00497,11466.00497
0.45,0.78,0.91,0.44,-0.257678225,0.257678225,5.03E-16,11464.0062,11466.0062
0.65,0.29,0.01,0.43,-0.257676984,0.257676984,5.03E-16,11464.00686,11466.00686
0.41,0.26,0.18,0.37,-0.257650734,0.257650734,5.07E-16,11464.02077,11466.02077
0.68,0.55,0.54,0.42,-0.25762694,0.25762694,5.10E-16,11464.03337,11466.03337
0.43,0.87,0.67,0.45,-0.257583541,0.257583541,5.16E-16,11464.05636,11466.05636
0.71,0.4,0.1,0.4,-0.257551952,0.257551952,5.20E-16,11464.0731,11466.0731
0.25,0.27,0.18,0.39,-0.257520985,0.257520985,5.24E-16,11464.0895,11466.0895
0.22,0.54,0.98,0.17,-0.257364304,0.257364304,5.47E-16,11464.17244,11466.17244
0.24,0.97,0.92,0.37,-0.257331451,0.257331451,5.52E-16,11464.18982,11466.18982
0.21,0.07,0.4,0.25,-0.257119477,0.257119477,5.84E-16,11464.30193,11466.30193
0.42,0.23,0.47,0.14,-0.257089031,0.257089031,5.89E-16,11464.31802,11466.31802
0.2,0.29,0.71,0.25,-0.256991374,0.256991374,6.04E-16,11464.36963,11466.36963
0.67,0.69,0.69,0.05,-0.256859021,0.256859021,6.26E-16,11464.43953,11466.43953
0.13,0.44,0.23,0.08,-0.256854986,0.256854986,6.27E-16,11464.44166,11466.44166
