alpha,alpha_CCC,CCC,decay,corr_value,corr,corr_p,AIC,AIC_rl
0.19,0.33,0.94,0.5,-0.245931812,0.245931812,1.08E-14,11470.06989,11472.06989
0.87,0.83,0.73,0.43,-0.245795716,0.245795716,1.12E-14,11470.13827,11472.13827
0.44,0.08,0.31,0.36,-0.245761286,0.245761286,1.13E-14,11470.15556,11472.15556
0.67,0.49,0.07,0.57,-0.245736055,0.245736055,1.14E-14,11470.16823,11472.16823
0.45,0.16,0.95,0.57,-0.245676824,0.245676824,1.16E-14,11470.19797,11472.19797
0.66,0.2,0.25,0.6,-0.245446625,0.245446625,1.23E-14,11470.31346,11472.31346
0.18,0.63,0.65,0.28,-0.245310681,0.245310681,1.27E-14,11470.38161,11472.38161
0.19,0.94,0.74,0.51,-0.245173227,0.245173227,1.31E-14,11470.45048,11472.45048
0.97,0.87,0.77,0.3,-0.244999562,0.244999562,1.37E-14,11470.53742,11472.53742
0.32,0.87,0.35,0.55,-0.244966707,0.244966707,1.39E-14,11470.55386,11472.55386
0.67,0.99,0.73,0.61,-0.244929463,0.244929463,1.40E-14,11470.5725,11472.5725
0.31,0.55,0.58,0.58,-0.24488361,0.24488361,1.41E-14,11470.59543,11472.59543
0.4,0.82,0.12,0.39,-0.244874204,0.244874204,1.42E-14,11470.60014,11472.60014
0.96,0.11,0.47,0.38,-0.244815154,0.244815154,1.44E-14,11470.62967,11472.62967
0.51,0.87,0.41,0.4,-0.244779246,0.244779246,1.45E-14,11470.64762,11472.64762
0.65,0.93,0.23,0.24,-0.244692695,0.244692695,1.48E-14,11470.69088,11472.69088
0.09,0.26,0.11,0.45,-0.244374968,0.244374968,1.61E-14,11470.84954,11472.84954
0.39,0.02,0.61,0.19,-0.244280151,0.244280151,1.65E-14,11470.89685,11472.89685
0.91,0.72,0.86,0.04,-0.244254273,0.244254273,1.66E-14,11470.90975,11472.90975
0.55,0.12,0.49,0.29,-0.244239323,0.244239323,1.67E-14,11470.91721,11472.91721
0.15,0.5,0.45,0.07,-0.2441759,0.2441759,1.69E-14,11470.94883,11472.94883
0.1,0.65,0.84,0.25,-0.244159353,0.244159353,1.70E-14,11470.95708,11472.95708
0.61,0.3,0.87,0.55,-0.244067648,0.244067648,1.74E-14,11471.00279,11473.00279
0.21,0.24,0.24,0.04,-0.243993681,0.243993681,1.77E-14,11471.03964,11473.03964
0.7,0.15,0.86,0.39,-0.243980135,0.243980135,1.78E-14,11471.04639,11473.04639
0.42,0.65,0.66,0.6,-0.243962872,0.243962872,1.79E-14,11471.05498,11473.05498
0.76,0.06,0.93,0.09,-0.243845347,0.243845347,1.84E-14,11471.1135,11473.1135
0.88,0.83,0.47,0.04,-0.243811596,0.243811596,1.86E-14,11471.1303,11473.1303
0.09,0.49,0.83,0.38,-0.243803067,0.243803067,1.86E-14,11471.13455,11473.13455
0.41,0.94,0.78,0.06,-0.243797757,0.243797757,1.86E-14,11471.13719,11473.13719
0.37,0.17,0.58,0.56,-0.243789836,0.243789836,1.87E-14,11471.14113,11473.14113
0.13,0.06,0.54,0.47,-0.243780153,0.243780153,1.87E-14,11471.14595,11473.14595
0.78,0.29,0.79,0.36,-0.243774748,0.243774748,1.87E-14,11471.14864,11473.14864
0.43,0.04,0.23,0.55,-0.243752112,0.243752112,1.88E-14,11471.1599,11473.1599
0.29,0.54,0.65,0.6,-0.243686048,0.243686048,1.92E-14,11471.19277,11473.19277
0.84,0.44,0.35,0.56,-0.24366319,0.24366319,1.93E-14,11471.20414,11473.20414
0.42,0.95,0.79,0.05,-0.243654773,0.243654773,1.93E-14,11471.20832,11473.20832
0.81,0.9,0.84,0.51,-0.243582075,0.243582075,1.97E-14,11471.24447,11473.24447
0.1,0.86,0.54,0.42,-0.243575887,0.243575887,1.97E-14,11471.24755,11473.24755
0.96,0.19,0.77,0.19,-0.243558465,0.243558465,1.98E-14,11471.25621,11473.25621
0.92,0.83,0.31,0.49,-0.24353532,0.24353532,1.99E-14,11471.26772,11473.26772
0.51,0.49,0.17,0.61,-0.243472389,0.243472389,2.02E-14,11471.29899,11473.29899
0.58,0.36,0.33,0.57,-0.243471141,0.243471141,2.02E-14,11471.29961,11473.29961
0.45,0.55,0.86,0.61,-0.243464491,0.243464491,2.03E-14,11471.30292,11473.30292
0.38,0.22,0.98,0.6,-0.243453634,0.243453634,2.03E-14,11471.30831,11473.30831
0.79,0.78,0.26,0.52,-0.24341781,0.24341781,2.05E-14,11471.32611,11473.32611
0.11,0.66,0.86,0.21,-0.243254351,0.243254351,2.14E-14,11471.40729,11473.40729
0.84,0.82,0.92,0.48,-0.243188743,0.243188743,2.17E-14,11471.43985,11473.43985
0.38,1,0.81,0.58,-0.243146635,0.243146635,2.19E-14,11471.46075,11473.46075
0.52,0.7,0.02,0.54,-0.243134707,0.243134707,2.20E-14,11471.46666,11473.46666
0.45,0.31,0.41,0.58,-0.242960747,0.242960747,2.30E-14,11471.55294,11473.55294
0.9,0.4,0.72,0.41,-0.24295026,0.24295026,2.30E-14,11471.55814,11473.55814
0.44,0.61,0.73,0.62,-0.242680913,0.242680913,2.47E-14,11471.69158,11473.69158
0.64,0.26,0.35,0.48,-0.242669069,0.242669069,2.47E-14,11471.69744,11473.69744
0.55,0.93,0.02,0.14,-0.242618761,0.242618761,2.50E-14,11471.72234,11473.72234
0.61,0.3,0.14,0.31,-0.242534696,0.242534696,2.56E-14,11471.76395,11473.76395
0.69,0.1,0.9,0.5,-0.242493774,0.242493774,2.58E-14,11471.78419,11473.78419
0.38,0.64,0.92,0.61,-0.242456448,0.242456448,2.61E-14,11471.80265,11473.80265
0.29,0.5,0.47,0.64,-0.242312692,0.242312692,2.70E-14,11471.87373,11473.87373
0.3,0.08,0.27,0.38,-0.242271291,0.242271291,2.73E-14,11471.89419,11473.89419
0.75,0.59,0.41,0.58,-0.242183627,0.242183627,2.79E-14,11471.9375,11473.9375
0.83,0.48,0.84,0.03,-0.242150379,0.242150379,2.82E-14,11471.95392,11473.95392
0.44,0.91,0.67,0.07,-0.242094809,0.242094809,2.86E-14,11471.98137,11473.98137
0.99,0.88,0.36,0.07,-0.242047321,0.242047321,2.89E-14,11472.00481,11474.00481
0.79,0.51,0.87,0.47,-0.241838872,0.241838872,3.05E-14,11472.10766,11474.10766
0.25,0.11,0.36,0.52,-0.24163284,0.24163284,3.21E-14,11472.20922,11474.20922
0.74,0.29,1,0.56,-0.241613456,0.241613456,3.22E-14,11472.21877,11474.21877
0.98,0.83,0.38,0.49,-0.241572558,0.241572558,3.25E-14,11472.23892,11474.23892
0.54,0.99,0.53,0.16,-0.24155057,0.24155057,3.27E-14,11472.24975,11474.24975
0.87,0.12,0.64,0.09,-0.241496343,0.241496343,3.32E-14,11472.27646,11474.27646
0.71,0.47,0.63,0.6,-0.24140841,0.24140841,3.39E-14,11472.31974,11474.31974
0.85,0.66,0.06,0.61,-0.241385348,0.241385348,3.41E-14,11472.33109,11474.33109
0.78,0.29,0.96,0.51,-0.241313557,0.241313557,3.47E-14,11472.36642,11474.36642
1,0.92,0.85,0.35,-0.241202113,0.241202113,3.57E-14,11472.42123,11474.42123
0.52,0.5,0.73,0.62,-0.241147604,0.241147604,3.62E-14,11472.44803,11474.44803
0.75,0.69,0.69,0.57,-0.241101933,0.241101933,3.66E-14,11472.47048,11474.47048
0.73,0.05,0.46,0.28,-0.2410894,0.2410894,3.67E-14,11472.47664,11474.47664
0.09,0.41,0.51,0.23,-0.240998668,0.240998668,3.76E-14,11472.52122,11474.52122
0.89,0.35,0.34,0.56,-0.240923647,0.240923647,3.83E-14,11472.55807,11474.55807
0.97,0.85,0.04,0.52,-0.240916358,0.240916358,3.83E-14,11472.56165,11474.56165
0.17,0.82,0.55,0.55,-0.240828409,0.240828409,3.92E-14,11472.60483,11474.60483
0.4,0.96,0.89,0.63,-0.240827371,0.240827371,3.92E-14,11472.60534,11474.60534
0.94,0.56,0.91,0.11,-0.240586896,0.240586896,4.16E-14,11472.72331,11474.72331
0.85,0.8,0.43,0.53,-0.240576932,0.240576932,4.17E-14,11472.7282,11474.7282
0.1,0.92,0.13,0.13,-0.240492546,0.240492546,4.26E-14,11472.76956,11474.76956
0.8,0.19,0.76,0.43,-0.24039669,0.24039669,4.36E-14,11472.81653,11474.81653
0.19,0.55,0.55,0.56,-0.240363947,0.240363947,4.40E-14,11472.83257,11474.83257
0.39,0.96,0.23,0.15,-0.240266739,0.240266739,4.51E-14,11472.88017,11474.88017
0.16,0.12,0.47,0.55,-0.240019723,0.240019723,4.79E-14,11473.00103,11475.00103
0.79,0.07,0.45,0.23,-0.239916042,0.239916042,4.92E-14,11473.05172,11475.05172
0.28,0.79,0.29,0.7,-0.2398337,0.2398337,5.02E-14,11473.09196,11475.09196
0.95,0.26,0.38,0.16,-0.23970208,0.23970208,5.18E-14,11473.15625,11475.15625
0.49,0.49,0.43,0.64,-0.239690588,0.239690588,5.20E-14,11473.16186,11475.16186
0.23,0.29,0.81,0.6,-0.239487943,0.239487943,5.47E-14,11473.26075,11475.26075
0.81,0.42,0.63,0.55,-0.239445008,0.239445008,5.52E-14,11473.28169,11475.28169
0.46,0.79,0.88,0.64,-0.239359851,0.239359851,5.64E-14,11473.32322,11475.32322
0.17,0.35,0.85,0.09,-0.239271285,0.239271285,5.77E-14,11473.36638,11475.36638
0.5,0.38,0.44,0.64,-0.23924834,0.23924834,5.80E-14,11473.37756,11475.37756
0.62,0.13,0.54,0.45,-0.239208223,0.239208223,5.86E-14,11473.39711,11475.39711
0.17,0.27,0.9,0.57,-0.239185096,0.239185096,5.89E-14,11473.40838,11475.40838
0.5,0.13,0.44,0.51,-0.239182454,0.239182454,5.89E-14,11473.40966,11475.40966
0.9,0.42,0.94,0.28,-0.239135206,0.239135206,5.96E-14,11473.43267,11475.43267
0.54,0.09,0.96,0.63,-0.238879362,0.238879362,6.35E-14,11473.55719,11475.55719
0.73,0.21,0.19,0.65,-0.238748223,0.238748223,6.56E-14,11473.62096,11475.62096
0.08,0.5,0.61,0.48,-0.238734321,0.238734321,6.58E-14,11473.62772,11475.62772
0.68,0.24,0.21,0.02,-0.238673077,0.238673077,6.68E-14,11473.65748,11475.65748
0.48,0.31,0.27,0.67,-0.238657541,0.238657541,6.71E-14,11473.66503,11475.66503
0.94,0.81,0.64,0.01,-0.238623208,0.238623208,6.77E-14,11473.68171,11475.68171
0.76,0.73,0.12,0.6,-0.238554239,0.238554239,6.88E-14,11473.71521,11475.71521
0.53,0.96,0.8,0.65,-0.238551558,0.238551558,6.89E-14,11473.71651,11475.71651
0.43,0.34,0.43,0.62,-0.238416592,0.238416592,7.12E-14,11473.78204,11475.78204
0.94,0.81,0.86,0.51,-0.238357036,0.238357036,7.22E-14,11473.81094,11475.81094
0.56,0.73,0.28,0.57,-0.238231235,0.238231235,7.45E-14,11473.87196,11475.87196
0.08,0.27,0.68,0.49,-0.238187016,0.238187016,7.53E-14,11473.89341,11475.89341
0.26,0.05,0.34,0.17,-0.238143453,0.238143453,7.61E-14,11473.91452,11475.91452
0.78,0.28,1,0.58,-0.238108495,0.238108495,7.68E-14,11473.93147,11475.93147
0.63,0.28,0.06,0.66,-0.237874684,0.237874684,8.13E-14,11474.04472,11476.04472
0.16,0.54,0.54,0.23,-0.237826624,0.237826624,8.23E-14,11474.06798,11476.06798
0.26,0.57,0.96,0.63,-0.237756012,0.237756012,8.37E-14,11474.10216,11476.10216
0.07,0.32,0.82,0.48,-0.23775592,0.23775592,8.38E-14,11474.1022,11476.1022
0.96,0.13,0.58,0.47,-0.237680836,0.237680836,8.53E-14,11474.13852,11476.13852
0.06,0.67,0.45,0.46,-0.237667888,0.237667888,8.56E-14,11474.14478,11476.14478
0.97,0.37,0.92,0.17,-0.237604765,0.237604765,8.69E-14,11474.17531,11476.17531
0.51,0.18,0.15,0.38,-0.237571152,0.237571152,8.76E-14,11474.19156,11476.19156
0.84,0.2,0.87,0.12,-0.237471549,0.237471549,8.98E-14,11474.2397,11476.2397
0.28,0.93,0.35,0.09,-0.237399123,0.237399123,9.14E-14,11474.27469,11476.27469
0.14,0.32,0.15,0.56,-0.237283879,0.237283879,9.40E-14,11474.33034,11476.33034
0.73,0.45,0.95,0.59,-0.237173064,0.237173064,9.66E-14,11474.38382,11476.38382
0.45,0.63,0.43,0.66,-0.237022749,0.237022749,1.00E-13,11474.45633,11476.45633
0.74,0.22,0.68,0.54,-0.236969203,0.236969203,1.02E-13,11474.48214,11476.48214
0.05,0.24,0.53,0.45,-0.236961681,0.236961681,1.02E-13,11474.48577,11476.48577
0.67,0.4,0.01,0.66,-0.236842247,0.236842247,1.05E-13,11474.54332,11476.54332
0.43,0.89,0.88,0.67,-0.236781189,0.236781189,1.06E-13,11474.57273,11476.57273
0.88,0.27,0.27,0.33,-0.236732978,0.236732978,1.08E-13,11474.59595,11476.59595
0.85,0.53,0.38,0.6,-0.236725276,0.236725276,1.08E-13,11474.59966,11476.59966
0.49,0.58,0.95,0.67,-0.236677665,0.236677665,1.09E-13,11474.62258,11476.62258
0.71,0.32,0.02,0.57,-0.236380058,0.236380058,1.17E-13,11474.76574,11476.76574
0.72,0.99,0.39,0.41,-0.236265279,0.236265279,1.21E-13,11474.8209,11476.8209
0.62,0.29,0.77,0.58,-0.236146406,0.236146406,1.24E-13,11474.878,11476.878
0.71,0.27,0.57,0.02,-0.235950448,0.235950448,1.30E-13,11474.97205,11476.97205
0.46,0.26,0.85,0.66,-0.235893915,0.235893915,1.32E-13,11474.99917,11476.99917
0.72,0.39,1,0.63,-0.235771241,0.235771241,1.36E-13,11475.05799,11477.05799
0.54,0.82,0.73,0.7,-0.235737912,0.235737912,1.37E-13,11475.07396,11477.07396
0.7,0.28,0.05,0.35,-0.235647266,0.235647266,1.40E-13,11475.11739,11477.11739
0.03,0.92,0.95,0.42,-0.235370839,0.235370839,1.50E-13,11475.24973,11477.24973
0.79,0.43,0.02,0.66,-0.235243222,0.235243222,1.55E-13,11475.31076,11477.31076
0.32,0.67,0.76,0.68,-0.235238142,0.235238142,1.55E-13,11475.31319,11477.31319
0.78,0.69,0.57,0.63,-0.235142968,0.235142968,1.58E-13,11475.35869,11477.35869
0.61,0.83,0.04,0.56,-0.234984711,0.234984711,1.65E-13,11475.43429,11477.43429
0.88,0.09,0.67,0.37,-0.234873352,0.234873352,1.69E-13,11475.48745,11477.48745
0.73,0.87,0.16,0.54,-0.234799176,0.234799176,1.72E-13,11475.52285,11477.52285
0.69,0.24,0.1,0.26,-0.234776058,0.234776058,1.73E-13,11475.53388,11477.53388
0.93,0.33,0.07,0.3,-0.234577302,0.234577302,1.82E-13,11475.62865,11477.62865
0.12,0.03,0.38,0.14,-0.23457525,0.23457525,1.82E-13,11475.62963,11477.62963
0.36,0.64,0.11,0.58,-0.23457326,0.23457326,1.82E-13,11475.63058,11477.63058
0.28,0.12,0.85,0.01,-0.234511146,0.234511146,1.85E-13,11475.66018,11477.66018
0.87,0.95,0.64,0.06,-0.234500325,0.234500325,1.85E-13,11475.66533,11477.66533
0.66,0.15,0.92,0.62,-0.234300728,0.234300728,1.94E-13,11475.76039,11477.76039
0.16,0.61,0.87,0.62,-0.23428725,0.23428725,1.95E-13,11475.7668,11477.7668
0.02,0.34,0.99,0.38,-0.234281489,0.234281489,1.95E-13,11475.76954,11477.76954
0.52,1,0.03,0.12,-0.234266088,0.234266088,1.96E-13,11475.77687,11477.77687
0.02,0.48,0.56,0.42,-0.23401818,0.23401818,2.08E-13,11475.89478,11477.89478
0.97,0.95,0.7,0.06,-0.233995554,0.233995554,2.09E-13,11475.90554,11477.90554
0.15,0.35,0.6,0.05,-0.233958175,0.233958175,2.11E-13,11475.9233,11477.9233
0.98,0.28,0.98,0.28,-0.233893572,0.233893572,2.14E-13,11475.954,11477.954
0.15,0.28,0.16,0.64,-0.233852468,0.233852468,2.16E-13,11475.97352,11477.97352
0.04,0.62,0.42,0.27,-0.233791553,0.233791553,2.20E-13,11476.00245,11478.00245
0.03,0.19,0.86,0.3,-0.233777703,0.233777703,2.20E-13,11476.00903,11478.00903
0.55,0.09,0.44,0.52,-0.233679113,0.233679113,2.26E-13,11476.05583,11478.05583
0.7,0.26,0.04,0.48,-0.233638086,0.233638086,2.28E-13,11476.0753,11478.0753
0.44,0.99,0.35,0.11,-0.233475581,0.233475581,2.37E-13,11476.15237,11478.15237
0.38,0.47,0.89,0.7,-0.23344869,0.23344869,2.39E-13,11476.16512,11478.16512
0.29,0.61,0.65,0.71,-0.233434514,0.233434514,2.39E-13,11476.17184,11478.17184
0.56,0.79,0.59,0.76,-0.233336254,0.233336254,2.45E-13,11476.21841,11478.21841
0.5,0.3,0.84,0.68,-0.233321615,0.233321615,2.46E-13,11476.22535,11478.22535
0.64,0.37,0.55,0.68,-0.233184185,0.233184185,2.54E-13,11476.29043,11478.29043
0.03,0.71,0.76,0.29,-0.233146719,0.233146719,2.57E-13,11476.30817,11478.30817
0.24,0.85,0.41,0.37,-0.233112456,0.233112456,2.59E-13,11476.32439,11478.32439
0.2,0.39,0.59,0.67,-0.233096544,0.233096544,2.60E-13,11476.33192,11478.33192
0.83,0.83,0.25,0.61,-0.233058876,0.233058876,2.62E-13,11476.34974,11478.34974
0.13,0.2,0.22,0.57,-0.232984559,0.232984559,2.67E-13,11476.3849,11478.3849
0.6,0.07,0.42,0.59,-0.232977679,0.232977679,2.67E-13,11476.38816,11478.38816
0.77,0.05,0.9,0.02,-0.232857805,0.232857805,2.75E-13,11476.44484,11478.44484
0.53,0.27,0.75,0.64,-0.232853753,0.232853753,2.75E-13,11476.44676,11478.44676
0.66,0.22,0.12,0.56,-0.232793418,0.232793418,2.79E-13,11476.47527,11478.47527
0.18,0.69,0.83,0.07,-0.232760748,0.232760748,2.81E-13,11476.49071,11478.49071
0.01,0.01,0.13,0.41,-0.232713112,0.232713112,2.85E-13,11476.51322,11478.51322
0.56,0.37,0.74,0.66,-0.232668,0.232668,2.88E-13,11476.53452,11478.53452
0.18,0.38,0.55,0.67,-0.232650398,0.232650398,2.89E-13,11476.54284,11478.54284
0.05,0.22,0.2,0.44,-0.232458584,0.232458584,3.03E-13,11476.63338,11478.63338
0.44,0.26,0.8,0.69,-0.232359921,0.232359921,3.10E-13,11476.67992,11478.67992
0.17,0.8,0.51,0.36,-0.23224693,0.23224693,3.18E-13,11476.73319,11478.73319
0.24,0.91,0.97,0.68,-0.232108802,0.232108802,3.29E-13,11476.79827,11478.79827
0.74,0.07,0.43,0.43,-0.231953587,0.231953587,3.42E-13,11476.87136,11478.87136
0.17,0.68,0.49,0.64,-0.231942338,0.231942338,3.42E-13,11476.87665,11478.87665
0.26,0.45,0.77,0.7,-0.231831275,0.231831275,3.52E-13,11476.92891,11478.92891
0.22,0.23,0.25,0.68,-0.231676173,0.231676173,3.65E-13,11477.00184,11479.00184
0.73,0.23,0.02,0.09,-0.231135212,0.231135212,4.15E-13,11477.25579,11479.25579
0.96,0.81,0.03,0.65,-0.231069644,0.231069644,4.22E-13,11477.28652,11479.28652
0.46,0.59,0.41,0.7,-0.23088162,0.23088162,4.41E-13,11477.37461,11479.37461
0.79,0.41,0.66,0.66,-0.230662905,0.230662905,4.64E-13,11477.47697,11479.47697
0.45,0.07,0.17,0.72,-0.230640804,0.230640804,4.67E-13,11477.4873,11479.4873
0.64,0.29,0.05,0.71,-0.23057275,0.23057275,4.75E-13,11477.51913,11479.51913
0.84,0.17,0.49,0.69,-0.230412627,0.230412627,4.93E-13,11477.59397,11479.59397
0.41,0.97,0.85,0.73,-0.230379954,0.230379954,4.97E-13,11477.60923,11479.60923
0.13,0.29,0.73,0.1,-0.230357552,0.230357552,4.99E-13,11477.61969,11479.61969
0.19,0.64,0.55,0.7,-0.230006354,0.230006354,5.43E-13,11477.78359,11479.78359
0.13,0.28,0.7,0.65,-0.229883229,0.229883229,5.59E-13,11477.84098,11479.84098
0.56,0.18,0.75,0.63,-0.229670298,0.229670298,5.88E-13,11477.94016,11479.94016
0.81,0.91,0.29,0.59,-0.229643032,0.229643032,5.91E-13,11477.95285,11479.95285
0.85,0.98,0.33,0.54,-0.22957868,0.22957868,6.01E-13,11477.9828,11479.9828
0.65,0.91,0.29,0.55,-0.229576181,0.229576181,6.01E-13,11477.98396,11479.98396
0.02,0.11,0.83,0.54,-0.229497404,0.229497404,6.12E-13,11478.02061,11480.02061
1,0.29,0.94,0.48,-0.229474798,0.229474798,6.15E-13,11478.03112,11480.03112
0.03,0.8,0.52,0.25,-0.229423295,0.229423295,6.23E-13,11478.05507,11480.05507
0.05,0.84,0.96,0.21,-0.22918502,0.22918502,6.59E-13,11478.1658,11480.1658
0.17,0.17,0.68,0.05,-0.229134364,0.229134364,6.67E-13,11478.18932,11480.18932
0.9,0.72,0.09,0.72,-0.229019871,0.229019871,6.85E-13,11478.24247,11480.24247
0.85,0.7,0.87,0.61,-0.228977136,0.228977136,6.92E-13,11478.2623,11480.2623
0.2,0.7,0.58,0.72,-0.228917083,0.228917083,7.02E-13,11478.29016,11480.29016
0.1,0.52,0.77,0.64,-0.228889202,0.228889202,7.07E-13,11478.30309,11480.30309
0.65,0.55,0.39,0.73,-0.228854141,0.228854141,7.13E-13,11478.31935,11480.31935
0.08,0.05,0.69,0.16,-0.228769056,0.228769056,7.27E-13,11478.35879,11480.35879
0.43,0.67,0.37,0.69,-0.22876206,0.22876206,7.28E-13,11478.36203,11480.36203
0.82,0.5,0.23,0.67,-0.228680303,0.228680303,7.42E-13,11478.39992,11480.39992
0.03,0.84,0.62,0.57,-0.228675423,0.228675423,7.43E-13,11478.40218,11480.40218
0.36,0.13,0.16,0.66,-0.228654245,0.228654245,7.47E-13,11478.41199,11480.41199
0.55,0.98,0.55,0.79,-0.228551038,0.228551038,7.65E-13,11478.45979,11480.45979
0.12,0.71,0.29,0.23,-0.228462748,0.228462748,7.81E-13,11478.50066,11480.50066
0.01,0.37,0.77,0.54,-0.228459176,0.228459176,7.82E-13,11478.50231,11480.50231
0.67,0.99,0.69,0.78,-0.228371973,0.228371973,7.98E-13,11478.54266,11480.54266
0.55,0.5,0.95,0.74,-0.228336922,0.228336922,8.05E-13,11478.55887,11480.55887
0.11,0.86,0.7,0.66,-0.227774084,0.227774084,9.18E-13,11478.81884,11480.81884
0.96,0.29,0.74,0.55,-0.227684699,0.227684699,9.38E-13,11478.86006,11480.86006
0.86,0.07,0.73,0.38,-0.227684502,0.227684502,9.38E-13,11478.86015,11480.86015
0.71,0.85,0.45,0.67,-0.227574167,0.227574167,9.62E-13,11478.91101,11480.91101
0.34,0.97,0.31,0.02,-0.227433108,0.227433108,9.95E-13,11478.97599,11480.97599
0.93,0.33,0.79,0.6,-0.22735642,0.22735642,1.01E-12,11479.0113,11481.0113
0.55,0.27,0.2,0.76,-0.227170785,0.227170785,1.06E-12,11479.09671,11481.09671
0.05,0.43,0.24,0.6,-0.227168275,0.227168275,1.06E-12,11479.09786,11481.09786
0.88,0.48,0.75,0.68,-0.22702337,0.22702337,1.09E-12,11479.16448,11481.16448
0.9,0.23,0.13,0.54,-0.226964507,0.226964507,1.11E-12,11479.19153,11481.19153
0.74,0.74,0.07,0.71,-0.226957312,0.226957312,1.11E-12,11479.19483,11481.19483
0.67,0.6,0.22,0.75,-0.226920915,0.226920915,1.12E-12,11479.21155,11481.21155
0.67,0.03,0.56,0.43,-0.226828656,0.226828656,1.15E-12,11479.25392,11481.25392
0.45,0.05,0.35,0.63,-0.226727602,0.226727602,1.17E-12,11479.30031,11481.30031
0.03,0.49,0.87,0.23,-0.226672997,0.226672997,1.19E-12,11479.32536,11481.32536
0.01,0.43,0.25,0.27,-0.226665778,0.226665778,1.19E-12,11479.32868,11481.32868
0.2,0.2,0.36,0.72,-0.226551848,0.226551848,1.22E-12,11479.38093,11481.38093
0.3,0.04,0.26,0.26,-0.22646256,0.22646256,1.25E-12,11479.42186,11481.42186
0.83,1,0.12,0.55,-0.226267504,0.226267504,1.31E-12,11479.51121,11481.51121
0.1,0.11,0.91,0.12,-0.225686811,0.225686811,1.49E-12,11479.77672,11481.77672
0.38,0.95,0.57,0.79,-0.225594818,0.225594818,1.53E-12,11479.81871,11481.81871
0.24,0.07,0.46,0.71,-0.225443262,0.225443262,1.58E-12,11479.88785,11481.88785
0.83,0.21,0.58,0.61,-0.225367498,0.225367498,1.61E-12,11479.9224,11481.9224
0.53,0.12,0.59,0.56,-0.225239807,0.225239807,1.66E-12,11479.98059,11481.98059
0.29,0.21,0.88,0.76,-0.225154954,0.225154954,1.69E-12,11480.01924,11482.01924
0.5,0.07,0.8,0.73,-0.22493288,0.22493288,1.78E-12,11480.12031,11482.12031
0.7,0.97,0.65,0.69,-0.224781424,0.224781424,1.84E-12,11480.18918,11482.18918
0.57,0.52,0.28,0.78,-0.224757485,0.224757485,1.85E-12,11480.20006,11482.20006
0.04,0.77,0.31,0.64,-0.224503202,0.224503202,1.97E-12,11480.31556,11482.31556
0.71,0.56,0.15,0.78,-0.22431011,0.22431011,2.05E-12,11480.40317,11482.40317
0.37,0.21,0.24,0.78,-0.224153787,0.224153787,2.13E-12,11480.47403,11482.47403
0.67,1,0.54,0.65,-0.223996399,0.223996399,2.21E-12,11480.54532,11482.54532
0.12,0.65,0.12,0.49,-0.223952779,0.223952779,2.23E-12,11480.56507,11482.56507
0.24,0.86,0.49,0.71,-0.22389873,0.22389873,2.26E-12,11480.58953,11482.58953
0.67,0.94,0.84,0.78,-0.223882601,0.223882601,2.27E-12,11480.59683,11482.59683
0.61,0.1,0.53,0.13,-0.22359633,0.22359633,2.42E-12,11480.72629,11482.72629
0.03,0.24,0.12,0.09,-0.22337674,0.22337674,2.55E-12,11480.82547,11482.82547
0.99,0.34,0.24,0.78,-0.223291074,0.223291074,2.60E-12,11480.86413,11482.86413
0.67,0.18,0.3,0.04,-0.223205812,0.223205812,2.65E-12,11480.90259,11482.90259
0.32,0.65,0.14,0.62,-0.222988231,0.222988231,2.78E-12,11481.00068,11483.00068
0.65,0.56,0.06,0.81,-0.22289919,0.22289919,2.84E-12,11481.04078,11483.04078
0.67,0.63,1,0.77,-0.222720665,0.222720665,2.96E-12,11481.12115,11483.12115
0.18,0.69,0.27,0.58,-0.22249119,0.22249119,3.12E-12,11481.22434,11483.22434
0.51,0.22,0.41,0.77,-0.22246884,0.22246884,3.14E-12,11481.23438,11483.23438
0.41,0.19,0.84,0.79,-0.222448339,0.222448339,3.15E-12,11481.24359,11483.24359
0.75,0.4,0.63,0.76,-0.222207006,0.222207006,3.33E-12,11481.35197,11483.35197
0.32,0.64,0.22,0.66,-0.222166068,0.222166068,3.36E-12,11481.37034,11483.37034
0.86,0.64,0.51,0.75,-0.221869118,0.221869118,3.60E-12,11481.50348,11483.50348
0.29,0.38,0.28,0.79,-0.221673319,0.221673319,3.76E-12,11481.59117,11483.59117
0.17,0.59,0.78,0.06,-0.221663858,0.221663858,3.77E-12,11481.5954,11483.5954
0.79,0.43,0.38,0.76,-0.221582053,0.221582053,3.84E-12,11481.63201,11483.63201
0.33,0.13,0.26,0.81,-0.221451819,0.221451819,3.95E-12,11481.69026,11483.69026
0.01,0.5,0.45,0.65,-0.22124458,0.22124458,4.14E-12,11481.78287,11483.78287
0.04,0.9,0.5,0.68,-0.221222922,0.221222922,4.16E-12,11481.79254,11483.79254
0.62,0.61,0.07,0.8,-0.221067014,0.221067014,4.32E-12,11481.86215,11483.86215
0.2,0.9,0.56,0.78,-0.221031272,0.221031272,4.35E-12,11481.87809,11483.87809
0.64,0.92,0.04,0.65,-0.221029508,0.221029508,4.35E-12,11481.87888,11483.87888
0.24,0.48,0.78,0.79,-0.220570497,0.220570497,4.83E-12,11482.08345,11484.08345
0.47,0.75,0.13,0.68,-0.220547277,0.220547277,4.85E-12,11482.09378,11484.09378
