stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14
1,1,1,401.9,1,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,416.7,1,2,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,361.8,1,3,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,320.7,0,4,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,343.7,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,434.6,1,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,397.5,1,7,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,378.6,1,8,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,463.6,1,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,336.4,1,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,441.5,1,11,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,400.4,1,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,339.6,1,13,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,474.4,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,343.4,1,15,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,334.4,1,16,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,453.3,0,17,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,482.3,1,18,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,455.3,1,19,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,358.3,1,20,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,481.2,1,21,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,462.2,1,22,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,451.2,0,23,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,374.1,1,24,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,439.1,0,25,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,500.3,1,26,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,467,1,27,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,400,1,28,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,437,0,29,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,474,0,30,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,399,1,31,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,572,1,32,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,360.9,1,33,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,354,0,34,0,80,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,386.9,1,35,0,80,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,361.8,1,36,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,454.9,1,37,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,459.9,0,38,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,456.9,1,39,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,303.8,1,40,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,350.7,1,41,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,509.7,0,42,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,410.6,0,43,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,385.5,0,44,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,390.6,0,45,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,411.6,0,46,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,480.6,0,47,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,393.5,0,48,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,486.7,1,49,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,387.6,0,50,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,338.5,0,51,1,20,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,551.5,0,52,0,20,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,398.5,0,53,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,373.4,1,54,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,430.4,0,55,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,495.3,0,56,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,552.3,0,57,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,471.3,1,58,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,460.3,0,59,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,593.4,0,60,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,368.3,0,61,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,631.4,0,62,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,542.2,1,63,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,387.2,0,64,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
